"Date","HDIL.NS.Open","HDIL.NS.High","HDIL.NS.Low","HDIL.NS.Close","HDIL.NS.Volume","HDIL.NS.Adjusted"
2015-01-01,67.5,68.95,67.1,68.3,6325100,68.3
2015-01-02,68.2,70.7,68.2,69.9,8596500,69.9
2015-01-05,70,72.5,69.3,71.8,12328600,71.8
2015-01-06,70.7,70.7,66.55,67,12404600,67
2015-01-07,66.65,67.9,64.7,66.9,11354800,66.9
2015-01-08,67.15,69.35,67.15,69,7660300,69
2015-01-09,69.65,70.5,67.1,68.05,9129300,68.05
2015-01-12,68.5,69.75,67.8,69.1,7175400,69.1
2015-01-13,69.45,69.7,66.4,67.15,7899400,67.15
2015-01-14,67.25,67.5,65.35,66,6174700,66
2015-01-15,68.5,78.8,68.4,77.65,37588900,77.65
2015-01-16,78.3,82.95,75.35,80.45,37331100,80.45
2015-01-19,80.5,81.15,78.55,79.8,10286200,79.8
2015-01-20,79.8,80.95,78.05,78.75,9265300,78.75
2015-01-21,79,80.1,76.5,77.3,8117800,77.3
2015-01-22,77.5,79.7,75.75,78.65,11799500,78.65
2015-01-23,79.7,81.4,77.8,79.9,14185500,79.9
2015-01-26,79.9,79.9,79.9,79.9,0,79.9
2015-01-27,80.7,84.8,79.75,83.95,18874800,83.95
2015-01-28,83.4,87.1,82.65,86.7,20939900,86.7
2015-01-29,86.75,98.8,85.7,96.5,40113500,96.5
2015-01-30,98.8,112.4,98.8,110.05,56263100,110.05
2015-02-02,112,114.3,108.05,110.2,26243500,110.2
2015-02-03,110.1,111.2,103.25,105.15,20253000,105.15
2015-02-04,105.3,113.95,103.65,108.95,33230500,108.95
2015-02-05,108.45,110.4,103.9,105.7,19794500,105.7
2015-02-06,106.6,115.45,106.6,114.55,33500500,114.55
2015-02-09,113.5,114.9,108.4,109.25,20605000,109.25
2015-02-10,107.6,117.9,106.3,113.55,29621700,113.55
2015-02-11,112.65,114.4,109.15,110.3,15640100,110.3
2015-02-12,110.7,115.4,110.7,113.2,12294500,113.2
2015-02-13,114.2,116.35,109,110.1,12955100,110.1
2015-02-16,115,119.5,114.1,117.75,21006900,117.75
2015-02-17,117.75,117.75,117.75,117.75,0,117.75
2015-02-18,118.95,120.8,116.65,117.6,14720500,117.6
2015-02-19,117.5,118.2,111.5,115.6,13392100,115.6
2015-02-20,117.1,122.9,115.85,118.15,22366700,118.15
2015-02-23,118,118.95,108.7,110.05,15831800,110.05
2015-02-24,111.45,113.5,109.25,112.15,14770500,112.15
2015-02-25,112.4,113.7,110.95,112.15,10447600,112.15
2015-02-26,112.3,116.7,111.4,113.05,17900600,113.05
2015-02-27,113.9,120.9,113.2,119.5,20745300,119.5
2015-03-02,119.75,121.5,115.25,117.2,12893200,117.2
2015-03-03,117.4,118.55,114.3,115.65,9299200,115.65
2015-03-04,120,121,111.7,113.75,16833700,113.75
2015-03-05,113.85,115.3,111.05,114.3,10852600,114.3
2015-03-06,114.3,114.3,114.3,114.3,0,114.3
2015-03-09,112,113.3,110.7,111.35,8257000,111.35
2015-03-10,111.85,113.7,108.7,112.1,12659600,112.1
2015-03-11,113.15,115.8,111.6,114.95,12654300,114.95
2015-03-12,116,116.7,114.55,116.2,7454600,116.2
2015-03-13,117.5,117.8,110.2,110.9,11060500,110.9
2015-03-16,111.5,112.4,108.95,111,7252900,111
2015-03-17,112,112.95,110.2,112,6525700,112
2015-03-18,112.9,114.75,112,113.95,7705300,113.95
2015-03-19,115.9,116.45,106.75,108.6,9161200,108.6
2015-03-20,107.9,107.9,97.9,99.2,21115000,99.2
2015-03-23,99.95,101.9,95.55,100.55,14049100,100.55
2015-03-24,101.5,102.7,99,100.1,10192800,100.1
2015-03-25,100,101.8,99.4,100.3,6990300,100.3
2015-03-26,99.15,101.95,99.15,101.3,6765300,101.3
2015-03-27,102.15,102.85,96.8,100.65,9884100,100.65
2015-03-30,101.6,103,99.3,102.5,6546800,102.5
2015-03-31,103,103.85,100.4,101.75,7318500,101.75
2015-04-01,101,104.6,99.55,103.75,7130900,103.75
2015-04-02,103.75,103.75,103.75,103.75,0,103.75
2015-04-03,103.75,103.75,103.75,103.75,0,103.75
2015-04-06,104,130.45,103.35,128.9,41203200,128.9
2015-04-07,130.6,131.75,124.65,128.6,39769700,128.6
2015-04-08,127.9,139.4,126.65,133.65,39694200,133.65
2015-04-09,134.2,135.9,130.65,134,16603500,134
2015-04-10,133.15,138.8,132.8,136.75,17025700,136.75
2015-04-13,137.4,143.3,137,138.55,22561600,138.55
2015-04-14,138.55,138.55,138.55,138.55,0,138.55
2015-04-15,138,139.4,133.4,134.85,10587700,134.85
