"Date","HEROMOTOCO.NS.Open","HEROMOTOCO.NS.High","HEROMOTOCO.NS.Low","HEROMOTOCO.NS.Close","HEROMOTOCO.NS.Volume","HEROMOTOCO.NS.Adjusted"
2015-01-01,3111,3120,3083,3105.4,112400,2951.96
2015-01-02,3115,3119,3090.55,3098.1,187600,2945.02
2015-01-05,3104,3146.9,3098.1,3119.4,160000,2965.27
2015-01-06,3098,3098,3001,3014.4,457700,2865.46
2015-01-07,3014,3022,2966.7,2974.05,378800,2827.1
2015-01-08,2978,2999.7,2951.75,2984,513300,2836.56
2015-01-09,2998.85,3011,2966.25,2992.25,365300,2844.4
2015-01-12,2988,2988,2924,2937.15,396300,2792.02
2015-01-13,2951,2962.55,2887.55,2893.2,387200,2750.25
2015-01-14,2909,2924.7,2883,2903.05,503300,2759.61
2015-01-15,2940,2970,2928.65,2950.55,548000,2804.76
2015-01-16,2950.4,2970,2891.3,2897.7,441300,2754.52
2015-01-19,2900.05,2920,2836,2841.3,494900,2700.91
2015-01-20,2860,2868,2797.2,2828.65,620500,2688.88
2015-01-21,2833.9,2894,2833.9,2875.15,502800,2733.09
2015-01-22,2899.95,2909,2811.6,2838.85,616200,2698.58
2015-01-23,2870,2895.6,2851,2862.8,616100,2721.35
2015-01-26,2862.8,2862.8,2862.8,2862.8,0,2721.35
2015-01-27,2860,2869.65,2823,2857.75,563100,2716.55
2015-01-28,2860,2895.5,2840.55,2865.1,415600,2723.53
2015-01-29,2860,2898.75,2857,2876.5,544300,2734.37
2015-01-30,2887.55,2936.85,2857.4,2865.5,447600,2723.91
2015-02-02,2877.95,2888.8,2810,2833.2,298100,2693.21
2015-02-03,2857.5,2860,2791,2812.4,377400,2673.44
2015-02-04,2770,2864,2750,2829.5,902900,2689.69
2015-02-05,2811,2857.8,2811,2847.3,475800,2706.61
2015-02-06,2847.2,2852.95,2771.25,2776.3,544300,2639.12
2015-02-09,2750,2764.95,2705,2728.8,425200,2593.97
2015-02-10,2715,2752,2690.7,2720.15,531500,2585.75
2015-02-11,2721.6,2765.3,2701.55,2753.35,427700,2617.31
2015-02-12,2782.35,2819,2775.6,2807.55,471800,2668.83
2015-02-13,2822.4,2868.2,2815,2852.9,278700,2711.94
2015-02-16,2855,2861.65,2793.3,2805,278300,2666.4
2015-02-17,2805,2805,2805,2805,0,2666.4
2015-02-18,2705,2728,2645.7,2663.75,10612600,2532.13
2015-02-19,2677,2700,2649.1,2664.95,4318900,2533.27
2015-02-20,2670,2683.4,2647.55,2658.9,516000,2527.52
2015-02-23,2658.9,2662.85,2629.25,2647.9,569900,2517.07
2015-02-24,2652.95,2670,2640.15,2651.4,433500,2520.39
2015-02-25,2665,2670,2615,2624.55,587300,2494.87
2015-02-26,2630,2635.05,2600,2622.25,1172300,2492.68
2015-02-27,2643.9,2678.75,2637.35,2672.6,1913800,2540.55
2015-03-02,2702,2705.5,2616.25,2624.55,817800,2494.87
2015-03-03,2618.05,2643.75,2598.1,2636.5,438200,2506.23
2015-03-04,2675,2678,2610,2622.25,456500,2492.68
2015-03-05,2631,2636.75,2584.6,2609.45,428400,2480.52
2015-03-06,2609.45,2609.45,2609.45,2609.45,0,2480.52
2015-03-09,2598.05,2607.55,2572.25,2599.25,801600,2470.82
2015-03-10,2590.1,2625.4,2590.1,2617.7,605900,2488.36
2015-03-11,2610.6,2628,2592,2612.7,577800,2483.61
2015-03-12,2624.8,2647.4,2616.2,2642.35,589700,2511.79
2015-03-13,2673.95,2673.95,2605.1,2610,293100,2481.04
2015-03-16,2615.05,2643.75,2600,2631.25,212100,2501.24
2015-03-17,2645,2655,2631.05,2651.45,503600,2520.44
2015-03-18,2652,2688.9,2640.1,2675.35,547500,2543.16
2015-03-19,2696.45,2697.6,2654.05,2662.8,382400,2531.23
2015-03-20,2650,2660,2603.2,2609.95,307500,2480.99
2015-03-23,2619.95,2646,2602.8,2637.1,202800,2506.8
2015-03-24,2645.8,2649,2599.1,2605.1,514200,2476.38
2015-03-25,2626.95,2626.95,2591,2595.75,401500,2467.49
2015-03-26,2590.05,2617.85,2575.95,2603.75,715100,2475.1
2015-03-27,2592,2604,2552,2576.15,584300,2448.86
2015-03-30,2580.1,2666.85,2561.4,2644.3,281300,2513.64
2015-03-31,2649,2658.75,2620.7,2639.8,493700,2509.37
2015-04-01,2639.95,2669.95,2628,2655.85,375600,2524.62
2015-04-02,2655.85,2655.85,2655.85,2655.85,0,2524.62
2015-04-03,2655.85,2655.85,2655.85,2655.85,0,2524.62
2015-04-06,2673.9,2678,2635,2672.7,365000,2540.64
2015-04-07,2672.8,2672.8,2621.6,2632.35,359900,2502.28
2015-04-08,2637,2642.2,2601.5,2605.8,1053500,2477.05
2015-04-09,2620,2633.95,2602.3,2611.6,1041400,2482.56
2015-04-10,2614.95,2624.4,2575.5,2583.85,654700,2456.18
2015-04-13,2599,2599,2565.65,2580.7,420000,2453.19
2015-04-14,2580.7,2580.7,2580.7,2580.7,0,2453.19
2015-04-15,2581.2,2587,2509.8,2524.55,726300,2399.81
2015-04-16,2516.2,2520,2413,2430.1,1443000,2310.03
2015-04-17,2429.8,2440,2382.75,2410.5,1198400,2291.4
2015-04-20,2411,2427.35,2300.9,2316.35,1710600,2201.9
2015-04-21,2316,2346.75,2293.5,2329.1,901300,2214.02
2015-04-22,2340,2421,2340,2409.4,840500,2290.35
2015-04-23,2412.7,2427.1,2359,2390.55,1012400,2272.43
2015-04-24,2380.45,2397.9,2325.5,2352.8,1960900,2236.55
2015-04-27,2360,2363.05,2295.6,2317,2307100,2202.52
2015-04-28,2309,2369.95,2300,2355.55,711300,2239.16
2015-04-29,2356.3,2390,2340.1,2372.1,295400,2254.89
2015-04-30,2360.1,2363,2325,2328.9,1052500,2213.83
2015-05-01,2328.9,2328.9,2328.9,2328.9,0,2213.83
2015-05-04,2340,2399.8,2330,2389.55,1647700,2271.48
2015-05-05,2389.55,2390.5,2340.85,2357.45,775000,2240.97
2015-05-06,2353,2355.85,2308.5,2326.4,1488700,2211.45
2015-05-07,2330.1,2372.4,2305.4,2354.55,1397400,2238.21
2015-05-08,2309,2314.8,2251.3,2300.65,1079100,2186.97
2015-05-11,2310,2404.65,2310,2384.25,887800,2266.44
2015-05-12,2398,2497.1,2385.15,2466.4,2015400,2344.53
2015-05-13,2486.8,2530,2480.4,2503.75,885600,2380.04
2015-05-14,2500,2549,2482.15,2537.5,512400,2412.12
2015-05-15,2537.95,2555.5,2518.5,2529.7,309600,2404.71
2015-05-18,2518,2548,2507,2520.55,812000,2396.01
2015-05-19,2520,2609.45,2520,2580.75,923500,2453.23
2015-05-20,2590,2594.75,2576,2579.4,688400,2451.95
2015-05-21,2580,2615,2543.7,2602.4,531900,2473.81
2015-05-22,2602.1,2610,2578.1,2603.45,138800,2474.81
2015-05-25,2603.9,2607.9,2580.1,2588.1,178300,2460.22
2015-05-26,2590.9,2638.5,2589.35,2613.85,428300,2484.7
2015-05-27,2606.5,2663.75,2594.6,2606.3,396900,2477.52
2015-05-28,2610.4,2668.5,2592.1,2643.4,1494400,2512.79
2015-05-29,2640,2705,2624,2696.85,701700,2563.6
2015-06-01,2678,2737.9,2643.25,2710,510100,2605.08
2015-06-02,2692.25,2692.25,2601,2608.6,822000,2507.6
2015-06-03,2600,2629.9,2567.3,2576.95,555700,2477.18
2015-06-04,2577,2591,2536,2547.9,516500,2449.25
2015-06-05,2549.95,2598,2528.1,2577.65,335800,2477.85
2015-06-08,2593.8,2593.8,2508.05,2520.65,411100,2423.06
2015-06-09,2511.05,2529.95,2494,2499.95,531200,2403.16
2015-06-10,2515,2530,2501,2514.95,377000,2417.58
2015-06-11,2532,2548,2500,2504.2,410200,2407.24
2015-06-12,2490,2524.6,2484.2,2503.55,332900,2406.62
2015-06-15,2495,2531.5,2482,2506.05,253900,2409.02
2015-06-16,2504.3,2554.6,2499.8,2543.2,290000,2444.73
2015-06-17,2565,2567.95,2515,2522.3,530600,2424.64
2015-06-18,2525,2546.95,2518.1,2526.3,448300,2428.49
2015-06-19,2534.2,2580.3,2530,2551.45,374200,2452.67
2015-06-22,2579.4,2589,2563.2,2581.55,271400,2481.6
2015-06-23,2590,2590,2512,2517.4,350900,2419.93
2015-06-24,2517.5,2547,2510.1,2521,320700,2423.39
2015-06-25,2530,2575,2527,2552.1,400600,2453.29
2015-06-26,2550,2566.6,2521,2539.2,200600,2440.89
2015-06-29,2508,2556,2500,2535.75,355900,2437.57
2015-06-30,2542,2554,2502,2523.5,325400,2425.8
2015-07-01,2525.1,2534.95,2500.4,2520.6,401100,2423.01
2015-07-02,2521.5,2568,2521,2528.3,423200,2430.41
2015-07-03,2540,2584.95,2530,2576.65,271100,2476.89
2015-07-06,2566,2624.95,2555.75,2613.4,307000,2512.22
2015-07-07,2625,2639,2560,2563.75,425300,2464.49
2015-07-08,2549.55,2582.9,2516.55,2549.9,510500,2451.18
2015-07-09,2540.1,2609.95,2540.1,2604.75,418100,2503.9
2015-07-10,2609,2618.75,2566,2571.55,401700,2471.99
2015-07-13,2580,2609,2550.1,2600.2,229700,2499.53
2015-07-14,2610,2649.9,2592,2638.7,324900,2536.54
2015-07-15,2648.95,2670.9,2648,2658.25,145400,2555.33
2015-07-16,2658,2666,2626,2649.3,201200,2546.73
2015-07-17,2652.95,2678,2641.3,2649.4,180100,2546.82
2015-07-20,2666.8,2675,2654,2661.9,165900,2558.84
2015-07-21,2661.9,2695,2658.55,2687.25,156800,2583.21
2015-07-22,2686,2719.9,2670.35,2711,196200,2606.04
2015-07-23,2710,2730,2674,2717.6,296400,2612.38
2015-07-24,2700,2748.8,2700,2740.4,336500,2634.3
2015-07-27,2749.45,2749.45,2595,2605.05,453900,2504.19
2015-07-28,2612.2,2631.45,2501.1,2531.5,614000,2433.49
2015-07-29,2538.7,2581,2506.3,2569.85,412200,2470.35
2015-07-30,2570,2627.35,2565,2580.35,1025200,2480.45
2015-07-31,2599.95,2698.5,2585.45,2682.7,471100,2578.83
2015-08-03,2656,2718,2602.35,2697.1,861200,2592.68
2015-08-04,2790,2793.8,2613.65,2623.85,1657500,2522.26
2015-08-05,2637,2674.9,2628.45,2666,404500,2562.78
2015-08-06,2682,2682,2639,2651.1,247000,2548.46
2015-08-07,2633.05,2669.5,2633.05,2661.85,175400,2558.79
2015-08-10,2664.6,2729.9,2662.55,2703.95,431900,2599.26
2015-08-11,2709.1,2718.65,2668.8,2688.4,682300,2584.31
2015-08-12,2665,2697,2622.05,2634.8,347900,2532.79
2015-08-13,2637.5,2684,2619.2,2646.5,346700,2544.04
2015-08-14,2663,2722.2,2641.2,2712.45,316000,2607.43
2015-08-17,2718,2720.15,2641,2650.25,191200,2547.64
2015-08-18,2651.2,2676.7,2635.1,2641,142900,2538.75
2015-08-19,2630.55,2708.95,2616.3,2684.7,200300,2580.76
2015-08-20,2650,2664.35,2621.3,2629.1,239800,2527.31
2015-08-21,2615,2657.95,2535,2555.05,536600,2456.13
2015-08-24,2512,2518.95,2400,2472.55,589400,2376.82
2015-08-25,2475.15,2518.7,2404.8,2464.5,588800,2369.08
2015-08-26,2447,2450,2367.05,2392.7,1271700,2300.06
2015-08-27,2418,2418,2364.25,2377.8,937900,2285.74
2015-08-28,2399.5,2428.95,2377.8,2398.6,318300,2305.73
2015-08-31,2380,2415,2380,2397.2,358100,2304.39
2015-09-01,2370,2395.4,2353.05,2383.85,367800,2291.55
2015-09-02,2365,2389.8,2300.45,2338.7,493900,2248.15
2015-09-03,2356,2362.5,2315.1,2322.35,260600,2232.44
2015-09-04,2323.6,2329.95,2265.55,2290.85,424000,2202.15
2015-09-07,2300,2311.1,2257.2,2280.6,257400,2192.3
2015-09-08,2292,2327.65,2282.3,2313.2,174900,2223.64
2015-09-09,2341,2369.8,2333.1,2344.3,208000,2253.54
2015-09-10,2327,2364.65,2300,2348.6,222100,2257.67
2015-09-11,2350.1,2367.85,2332.1,2343.05,193700,2252.33
2015-09-14,2339.95,2359.7,2320,2349.5,116600,2258.53
2015-09-15,2339.7,2341.65,2305.05,2310.55,330000,2221.09
2015-09-16,2326.2,2383.9,2318,2368.35,399400,2276.65
2015-09-17,2368.35,2368.35,2368.35,2368.35,0,2276.65
