"Date","HEXAWARE.NS.Open","HEXAWARE.NS.High","HEXAWARE.NS.Low","HEXAWARE.NS.Close","HEXAWARE.NS.Volume","HEXAWARE.NS.Adjusted"
2015-01-01,200.25,202.65,200.25,200.95,635100,187.5676
2015-01-02,201.4,205.7,201.4,204.25,1524200,190.6478
2015-01-05,204.6,208.4,202.45,204.2,1591200,190.6011
2015-01-06,203.65,203.65,195,196.45,993800,183.3673
2015-01-07,196.1,196.95,192.65,195.3,770100,182.2939
2015-01-08,197.5,202.45,196,201.15,1138200,187.7543
2015-01-09,203.05,210.4,200.3,209.3,2777200,195.3615
2015-01-12,211.4,213.65,210.15,211.3,1895600,197.2283
2015-01-13,212,216.5,209.25,214.85,1829500,200.5419
2015-01-14,215.3,218.9,214.4,215.35,1521000,201.0086
2015-01-15,217.5,219.4,212.75,217.75,1292500,203.2488
2015-01-16,217,217.5,215,216.65,702200,202.222
2015-01-19,218.2,220.85,215.65,217.1,1103700,202.6421
2015-01-20,217.3,217.7,213.15,215.25,936500,200.9153
2015-01-21,215,225.6,214.05,225,1828500,210.016
2015-01-22,225.5,226,219.7,220.75,971600,206.049
2015-01-23,221.6,225.25,218.05,221.95,1333900,207.1691
2015-01-26,221.95,221.95,221.95,221.95,0,207.1691
2015-01-27,222.25,226,219.05,224.65,1343900,209.6893
2015-01-28,224.2,227.45,219.75,222.3,1249000,207.4958
2015-01-29,222.5,224,217.75,220.35,978900,205.6756
2015-01-30,223.2,227.25,220.85,225.65,1207400,210.6227
2015-02-02,227,239.5,225.8,238.2,2804300,222.3369
2015-02-03,239.85,239.85,233.5,234.55,1177800,218.93
2015-02-04,235.25,240.25,232.25,234,1383300,218.4166
2015-02-05,233.3,242,231,233.2,1527300,217.6699
2015-02-06,233.95,237.45,227.5,230.55,1465600,215.1964
2015-02-09,229.55,239.35,227.5,237.7,1450600,221.8702
2015-02-10,243.3,246.6,234.65,241.35,5170400,225.2771
2015-02-11,241.9,251.35,239.5,248.6,1781400,232.0443
2015-02-12,250.45,259,249.75,257.3,2104500,240.1649
2015-02-13,259,260.85,254.75,258.75,1262200,241.5184
2015-02-16,258,258.9,252.65,255.35,640200,238.3448
2015-02-17,255.35,255.35,255.35,255.35,0,238.3448
2015-02-18,253.3,270,248.3,268.8,3096300,253.3798
2015-02-19,269,269.45,259.2,264.35,969100,249.1851
2015-02-20,264,268.7,261.25,265.05,1219400,249.8449
2015-02-23,267,270.75,261.5,268.65,1874200,253.2384
2015-02-24,270,275,268.95,274.3,2157300,258.5642
2015-02-25,272,274.85,264.55,266.8,963200,251.4945
2015-02-26,268.55,272.75,264.3,267.15,1862300,251.8244
2015-02-27,268,273,266.25,271.75,806900,256.1605
2015-03-02,270,273,265.05,270.05,766200,254.5581
2015-03-03,270.05,278.8,269,276.35,806400,260.4967
2015-03-04,278.75,278.75,271,272.7,673600,257.0561
2015-03-05,270.05,277.3,270.05,272.3,546900,256.679
2015-03-06,272.3,272.3,272.3,272.3,0,256.679
2015-03-09,268.9,269.75,250,261.95,706500,246.9228
2015-03-10,261.95,277.45,261.95,274.65,1210500,258.8942
2015-03-11,277.4,285.5,276.4,278.8,2306100,262.8061
2015-03-12,279.6,283.45,277,281.7,950800,265.5398
2015-03-13,282,289.9,277.6,279.5,1385900,263.4659
2015-03-16,280.1,281.35,266.5,269.2,2209600,253.7568
2015-03-17,271.85,274.2,264.55,271.5,793400,255.9249
2015-03-18,272.9,279,268.15,278.15,1172900,262.1934
2015-03-19,279,281.4,273,274.2,994500,258.47
2015-03-20,276.5,276.5,266.3,268.6,1447600,253.1913
2015-03-23,269,270.85,262.85,266.7,698600,251.4003
2015-03-24,268.3,287.8,265.45,283.75,2087100,267.4721
2015-03-25,284.75,294,280.25,291.95,2932300,275.2017
2015-03-26,287,296.5,286,289.45,3779700,272.8452
2015-03-27,290,314,288.5,311.2,5849700,293.3474
2015-03-30,314,315,305.6,310.2,2094100,292.4048
2015-03-31,311.5,316.75,310,312.55,2017700,294.62
2015-04-01,310,313.15,306.5,312.35,1258600,294.4315
2015-04-02,312.35,312.35,312.35,312.35,0,294.4315
2015-04-03,312.35,312.35,312.35,312.35,0,294.4315
2015-04-06,311.8,316.75,303.8,313.2,1630000,295.2327
2015-04-07,314.95,325.5,310.65,323.85,2555000,305.2717
2015-04-08,325,329.4,323.35,326.2,1535600,307.4869
2015-04-09,326,328.5,322.95,326.45,1352500,307.7226
2015-04-10,324.95,332.25,322.5,330.7,1100000,311.7288
2015-04-13,333,335.75,330.85,333.1,646100,313.9911
2015-04-14,333.1,333.1,333.1,333.1,0,313.9911
2015-04-15,332.95,333.2,322.55,324.35,628400,305.743
2015-04-16,325.8,329.25,321.05,324.2,994800,305.6017
2015-04-17,321.2,322.15,311.95,312.9,709700,294.9499
2015-04-20,310,328.45,306.6,323.1,1722300,304.5648
2015-04-21,323.9,329.4,318.2,325.75,1736000,307.0627
2015-04-22,324.05,325.95,309,315.65,1955600,297.5421
2015-04-23,316.75,321.3,314.05,318.65,728000,300.37
2015-04-24,319.25,319.5,308.5,310.5,1791100,292.6876
2015-04-27,310.5,313.75,301,309,1280800,291.2736
2015-04-28,308.9,316.8,306.15,313.65,1536800,295.6569
2015-04-29,313.8,320.75,306.25,309.05,3089900,291.3207
2015-04-30,284,293.55,272.85,281.55,7339300,265.3983
2015-05-01,281.55,281.55,281.55,281.55,0,265.3983
2015-05-04,285.55,285.55,272.5,279.35,1670400,263.3246
2015-05-05,280,284.25,275.4,277.7,1103800,263.6569
2015-05-06,277.7,277.75,256.85,259.25,1219400,246.1399
2015-05-07,258.65,264.15,240,243.95,2524400,231.6136
2015-05-08,245.55,260.9,245.55,254.1,2465500,241.2503
2015-05-11,258,259.4,252.15,255.6,906100,242.6744
2015-05-12,255.1,262.9,250.25,253.9,2151500,241.0604
2015-05-13,255.9,258,248.65,252.85,1163600,240.0635
2015-05-14,250,257.8,250,252.95,1846400,240.1584
2015-05-15,254.2,268.2,253.95,266.3,2627600,252.8333
2015-05-18,264.6,271.3,263.5,269.95,2009300,256.2988
2015-05-19,269.45,274.8,266.85,271.45,1982000,257.7229
2015-05-20,271.8,279.7,271.8,275.95,1660100,261.9954
2015-05-21,274.65,279,270.65,277.75,1319800,263.7043
2015-05-22,276.4,281.4,274.7,279.95,1790600,265.7931
2015-05-25,279.8,286.5,278.5,284.45,1185600,270.0655
2015-05-26,285,285,276.4,277.55,985300,263.5144
2015-05-27,273,290,272.65,284.5,1708300,270.113
2015-05-28,285.95,287.7,278.8,283.15,1825100,268.8312
2015-05-29,283.55,286.8,278.8,281.25,853900,267.0273
2015-06-01,281.45,285.9,279.4,280.75,658300,266.5526
2015-06-02,281.9,285,275.15,276.45,836500,262.4701
2015-06-03,275,278.25,270.05,276.1,845200,262.1378
2015-06-04,276,280.75,267.15,272.6,848000,258.8148
2015-06-05,270.05,276.5,266.25,273.4,986900,259.5743
2015-06-08,276.25,278.9,271.65,275.5,951700,261.5681
2015-06-09,273.1,278.5,271.5,276.65,892900,262.6599
2015-06-10,276.65,289.9,275.4,287.9,1117200,273.341
2015-06-11,291,295.4,269.3,272.05,1768600,258.2926
2015-06-12,268.05,276.8,266,272.2,971800,258.435
2015-06-15,271.95,274.35,257.5,260.25,1279100,247.0893
2015-06-16,256,263.2,251.5,261.95,1773600,248.7033
2015-06-17,264.75,265.85,255.55,262.25,1375400,248.9882
2015-06-18,262.25,268.1,259.6,262.55,1083700,249.273
2015-06-19,265.55,265.55,259.95,261.15,1688100,247.9438
2015-06-22,262.75,266,260,264.25,841900,250.887
2015-06-23,265.3,270.75,263.25,265.4,989800,251.9789
2015-06-24,265.55,267,255.6,257.4,842600,244.3834
2015-06-25,255,260,252.75,258.15,1235700,245.0955
2015-06-26,258,262.5,254.8,259.55,898800,246.4247
2015-06-29,256.85,256.85,247.9,252.55,1057600,239.7787
2015-06-30,249.05,256.7,249.05,255.45,927800,242.532
2015-07-01,255.1,258.4,254.2,256.95,822700,243.9562
2015-07-02,259.95,261,254.25,255.4,1090600,242.4846
2015-07-03,256.8,257.4,249.05,251.2,911800,238.4969
2015-07-06,247,255.8,246.05,254.5,873900,241.6301
2015-07-07,254.15,258.65,253.05,255.25,679500,242.3421
2015-07-08,252,256.25,249.5,252.25,883100,239.4939
2015-07-09,258,259,250.55,251.4,687900,238.6868
2015-07-10,255,256,248.6,254.65,671700,241.7725
2015-07-13,257,265.7,253.5,264.8,1552900,251.4092
2015-07-14,267,267.85,263.05,264,793900,250.6497
2015-07-15,265.05,273.5,264,269.9,1097200,256.2513
2015-07-16,271.1,278.7,270.6,276.65,1135900,262.6599
2015-07-17,278.05,278.05,270.65,273.6,940900,259.7642
2015-07-20,276.3,276.3,271.25,272.95,954300,259.1471
2015-07-21,273,281,269.2,271.55,2080000,257.8178
2015-07-22,271.95,274.7,271.05,272.9,439300,259.0996
2015-07-23,273.65,279.25,271.05,276.7,1173800,262.7074
2015-07-24,278.5,279.95,272.25,274,657800,260.144
2015-07-27,273.9,276.75,268.1,271.85,1097300,258.1027
2015-07-28,273,275.25,269,270.35,469500,256.6785
2015-07-29,272.8,277.5,271.15,276.35,956600,262.3751
2015-07-30,279.95,282.5,276.5,278.2,2663700,264.1316
2015-07-31,281.2,287.85,278.25,286.7,871400,272.2017
2015-08-03,288.9,288.9,278,281.2,2002100,266.9799
2015-08-04,283,292.45,282,290.45,2724400,275.7621
2015-08-05,298.1,298.5,278.8,283.45,4888300,269.1161
2015-08-06,286.1,286.4,274.1,275.75,1696700,261.8055
2015-08-07,275.75,280.85,274.05,279.15,1358200,265.0335
2015-08-10,278.2,286.5,278.2,281.3,1250800,267.0748
2015-08-11,281,285,276.1,279.1,484100,264.9861
2015-08-12,276.2,282.85,274.3,275.7,1057900,261.758
2015-08-13,277,282,273.5,275.55,1071600,263.5273
2015-08-14,277.9,283.35,277.1,282.25,1623100,269.9349
2015-08-17,285.1,285.9,275.6,276.7,821800,264.6271
2015-08-18,279,280.25,273.15,278.1,911700,265.966
2015-08-19,280.5,280.5,274.2,275.2,783300,263.1926
2015-08-20,274.7,274.7,264,265.25,1514900,253.6767
2015-08-21,262.05,264.3,255.05,259.55,940500,248.2254
2015-08-24,252.8,252.8,201.5,224,5486200,214.2265
2015-08-25,232,239.7,205,235.8,2758600,225.5116
2015-08-26,236.05,238.5,222.1,224.8,1298500,214.9916
2015-08-27,230,242.35,227.3,238.3,2886700,227.9026
2015-08-28,241.9,247.15,233.75,236.45,1392600,226.1333
2015-08-31,236.45,247.25,235.55,244.65,1998800,233.9755
2015-09-01,240,253.25,228.25,234.1,1825600,223.8858
2015-09-02,236.8,245.25,234.3,243.15,1547700,232.5409
2015-09-03,247.65,250.8,245.5,248.15,1295300,237.3228
2015-09-04,248.3,248.3,232.7,241.15,1210500,230.6282
2015-09-07,241.05,244.5,230.5,233.5,950600,223.312
2015-09-08,235,245.9,230.3,241.45,801900,230.9151
2015-09-09,245.05,250.45,242.65,246.45,867900,235.697
2015-09-10,241.5,251.7,237,249.85,933100,238.9486
2015-09-11,250.35,255,245.05,246.8,854300,236.0317
2015-09-14,246,250.5,244.25,246.7,433700,235.936
2015-09-15,246.85,248.5,241.25,241.75,341000,231.202
2015-09-16,244,244.5,235.25,236.2,659200,225.8942
2015-09-17,236.2,236.2,236.2,236.2,0,225.8942
2015-09-18,238.9,248,237.1,241.1,1452900,230.5804
2015-09-21,237.6,253.85,235,247,620600,236.223
2015-09-22,249,256.5,246.15,252.95,1480700,241.9134
2015-09-23,250.4,254.8,242,250.15,1157200,239.2355
2015-09-24,248.15,252.4,244.05,245.85,934500,235.1231
2015-09-25,245.85,245.85,245.85,245.85,0,235.1231
2015-09-28,247.4,250.45,243.05,244.6,306600,233.9277
2015-09-29,240,243.8,236,240.8,537900,230.2935
2015-09-30,242,249.05,241.05,247.55,597900,236.749
2015-10-01,247.5,256,241.3,252.85,1344100,241.8177
2015-10-02,252.85,252.85,252.85,252.85,0,241.8177
