"Date","HINDALCO.NS.Open","HINDALCO.NS.High","HINDALCO.NS.Low","HINDALCO.NS.Close","HINDALCO.NS.Volume","HINDALCO.NS.Adjusted"
2015-01-01,157.4,159,155.4,158.45,2350000,155.3119
2015-01-02,158.9,161.2,158.35,160.1,2923800,156.9292
2015-01-05,161,161.95,155.5,156.85,4830100,153.7436
2015-01-06,156.3,156.3,151.15,153.4,7054000,150.3619
2015-01-07,153.8,154.5,146.7,148.9,6638100,145.951
2015-01-08,150.7,153.2,148.55,152.55,3540000,149.5287
2015-01-09,153.1,155.25,152.1,155,3743200,151.9302
2015-01-12,155.2,155.2,150.5,151.1,4659400,148.1075
2015-01-13,152.1,154.4,150.75,151.7,4324600,148.6956
2015-01-14,150.95,151.35,140.8,142.15,13580700,139.3347
2015-01-15,143.55,145.75,138.35,141.9,10860300,139.0897
2015-01-16,141.5,143.4,137.75,138.55,9096900,135.806
2015-01-19,140.95,141.7,139.5,140.25,8541800,137.4723
2015-01-20,141,145.2,141,144.7,8856100,141.8342
2015-01-21,145.65,146.35,140.5,143.2,8871700,140.3639
2015-01-22,143.05,144.9,141.1,143.45,6918100,140.609
2015-01-23,145.6,146.25,142.1,144.8,6943900,141.9322
2015-01-26,144.8,144.8,144.8,144.8,0,141.9322
2015-01-27,139.9,144.5,139,142.5,7886700,139.6778
2015-01-28,141.75,143.1,139.65,140.15,7496600,137.3743
2015-01-29,139.9,142.9,138.25,142.4,10636700,139.5798
2015-01-30,143,143.1,138.6,139.7,7570800,136.9332
2015-02-02,140,145.7,139.5,145.25,7296700,142.3733
2015-02-03,145.85,148.5,142.9,146.45,6262500,143.5495
2015-02-04,147,153.8,146,152.4,8349200,149.3817
2015-02-05,152.3,153.9,146.75,148.05,6672000,145.1179
2015-02-06,148,150,145.65,147.3,5623500,144.3827
2015-02-09,146.3,149,145.5,146.55,9737100,143.6476
2015-02-10,148.5,153.7,146.55,149.2,8706400,146.2451
2015-02-11,149.55,151.5,147.05,149.85,6154300,146.8822
2015-02-12,151.8,153.4,149.05,152.8,10713000,149.7738
2015-02-13,153,156.1,152,153.55,5666600,150.5089
2015-02-16,157,158,150.25,150.95,4949200,147.9604
2015-02-17,150.95,150.95,150.95,150.95,0,147.9604
2015-02-18,151,152.45,149.6,151.65,3717800,148.6466
2015-02-19,151,157.8,150.1,156.25,8185000,153.1555
2015-02-20,158,160.7,155.2,156.55,6630700,153.4495
2015-02-23,161.6,161.8,154.2,154.85,6743400,151.7832
2015-02-24,155,156.9,151.4,153.65,6455300,150.6069
2015-02-25,154.6,155.45,152.25,153.65,3479300,150.6069
2015-02-26,153.1,154,148,149.75,9010800,146.7842
2015-02-27,150.55,155.8,149.8,155.15,6534400,152.0772
2015-03-02,154.2,157.4,153.5,156.55,4452800,153.4495
2015-03-03,157.5,159.3,156.15,158.7,3718800,155.5569
2015-03-04,160,160,152.3,153.1,5559000,150.0678
2015-03-05,153.05,154,146.9,148.1,8404300,145.1669
2015-03-06,148.1,148.1,148.1,148.1,0,145.1669
2015-03-09,149.4,149.85,140,140.8,8031200,138.0114
2015-03-10,142.6,142.6,136.65,138.05,6588200,135.3159
2015-03-11,138.85,138.85,127.2,130.35,21561000,127.7684
2015-03-12,131.75,135.7,129.1,134.9,14242800,132.2283
2015-03-13,136.7,136.75,131.05,131.7,6690000,129.0917
2015-03-16,131,131.4,123.1,126.8,10785200,124.2887
2015-03-17,128,134.75,126.8,134.25,9699800,131.5912
2015-03-18,134,134.8,131.8,133.15,4154000,130.5129
2015-03-19,134,136.2,131.3,132.3,4626900,129.6798
2015-03-20,132.15,135,130.55,132.05,4836400,129.4347
2015-03-23,131.95,136.8,131.95,135.9,6306000,133.2085
2015-03-24,135.8,135.9,132,132.85,4386100,130.2189
2015-03-25,133,134.45,132.35,132.9,2895000,130.2679
2015-03-26,132.4,133.4,128.55,129.55,7955500,126.9843
2015-03-27,131,134.45,130.05,133.95,5241300,131.2971
2015-03-30,134.25,134.7,130.3,131.15,3651200,128.5526
2015-03-31,133,133.45,128.4,129,8516400,126.4451
2015-04-01,129,132.9,127.5,132.2,7180600,129.5818
2015-04-02,132.2,132.2,132.2,132.2,0,129.5818
2015-04-03,132.2,132.2,132.2,132.2,0,129.5818
2015-04-06,133.4,135.1,132,134.7,5542900,132.0323
2015-04-07,135,137.55,134.2,136.95,6514100,134.2377
2015-04-08,137.25,138.9,136.15,137.95,6176400,135.2179
2015-04-09,138.6,140.85,136.6,139.9,6142000,137.1293
2015-04-10,139,139.2,137.05,137.9,4860400,135.1689
2015-04-13,138,138.95,135.1,136.1,5017800,133.4045
2015-04-14,136.1,136.1,136.1,136.1,0,133.4045
2015-04-15,136,137.4,134.6,135.15,8714200,132.4733
2015-04-16,135.85,137.9,135.4,137.15,5457800,134.4337
2015-04-17,138,141.7,137.6,139.75,8674000,136.9822
2015-04-20,140.9,141.7,137.2,138.25,5669900,135.5119
2015-04-21,138.4,139.35,133.7,134.3,6236900,131.6402
2015-04-22,133.5,135.5,132.6,134.65,6263900,131.9832
2015-04-23,135.5,137,133.8,135.05,6782800,132.3753
2015-04-24,134.85,135.8,130.1,131.15,7487400,128.5526
2015-04-27,132,132.95,128.25,130.05,4805100,127.4744
2015-04-28,130.9,132.45,129.6,131.35,6154700,128.7486
2015-04-29,131.4,131.4,128.7,130.6,7223000,128.0135
2015-04-30,130,130.9,127.05,128.6,11618400,126.0531
2015-05-01,128.6,128.6,128.6,128.6,0,126.0531
2015-05-04,130.4,133.6,129.5,133.15,4003200,130.5129
2015-05-05,133.45,140.2,132.35,139.35,8946500,136.5902
2015-05-06,138.9,142,135.05,137.75,9503900,135.0219
2015-05-07,136.9,136.9,132.25,134.3,5764000,131.6402
2015-05-08,135.2,139.5,134.85,138.95,4144000,136.1981
2015-05-11,140.8,145.1,140.2,142.5,6190000,139.6778
2015-05-12,142.4,142.5,136.2,137.6,5822400,134.8748
2015-05-13,134.9,136.4,131.75,133.5,9200600,130.856
2015-05-14,134.1,138,132.5,137.45,3697300,134.7278
2015-05-15,137.7,138.75,134.55,137,3519000,134.2867
2015-05-18,138,141.85,137.9,139.1,5044600,136.3451
2015-05-19,138.85,140.55,136.6,139.95,4364100,137.1783
2015-05-20,140.65,140.65,138.15,138.95,3050400,136.1981
2015-05-21,137.7,139.9,136.25,139.1,3942100,136.3451
2015-05-22,139,139,136.5,136.9,2577900,134.1887
2015-05-25,136.75,138.4,133.9,134.5,2879700,131.8362
2015-05-26,135.15,135.65,133.2,134.3,2693300,131.6402
2015-05-27,133,134.6,132.2,133.55,3168700,130.905
2015-05-28,132.6,134,129.8,131.6,10174600,128.9937
2015-05-29,130.95,133.2,128.55,129.25,11477400,126.6902
2015-06-01,128.75,129.8,127.75,128.35,3272400,125.808
2015-06-02,128.95,129.2,122.9,123.25,4980300,120.809
2015-06-03,124.05,124.9,120,121.95,3508000,119.5348
2015-06-04,122.3,123.55,119,121.3,3192100,118.8976
2015-06-05,120.95,122.3,119.15,120.15,4163800,117.7704
2015-06-08,120.25,121.15,117.7,118.2,4663300,115.859
2015-06-09,118,121.3,117.55,120.1,4663400,117.7214
2015-06-10,120.5,121.8,119.65,120.3,3297800,117.9175
2015-06-11,120.7,121.5,118.6,119.2,4749400,116.8392
2015-06-12,118.75,119.25,116.1,116.75,5422400,114.4378
2015-06-15,116.2,117.15,113.8,114.3,4287300,112.0363
2015-06-16,114.65,115.5,113.6,115,5266400,112.7224
2015-06-17,115,119.15,114.8,118.55,5112900,116.2021
2015-06-18,118.5,120.6,117.65,120,4713700,117.6234
2015-06-19,122.85,123.4,120,120.8,7892800,118.4076
2015-06-22,121,122,119.9,121.2,2533300,118.7996
2015-06-23,122.6,124.45,121.25,121.6,4076300,119.1917
2015-06-24,121.95,122.75,116.6,117.25,3604700,114.9279
2015-06-25,117,118.5,115.65,118,5509900,115.663
2015-06-26,117.9,118.35,115.95,117,4253600,114.6828
2015-06-29,115,115.2,111,112.85,6441400,110.615
2015-06-30,112.9,113.5,111.25,111.9,7516400,109.6838
2015-07-01,112.3,113.9,112.15,113.05,3867400,110.811
2015-07-02,113.55,114.6,110.7,111.05,4764000,108.8506
2015-07-03,111,111.45,109.65,110.6,4606400,108.4096
2015-07-06,108.2,109.5,107.25,109.05,4509000,106.8903
2015-07-07,108.9,109,106.7,107.15,5412300,105.0279
2015-07-08,105.5,105.5,99.05,101.85,12611200,99.8329
2015-07-09,102.2,104.9,100.7,104,6650800,101.9403
2015-07-10,105,105.35,102.35,104.6,3399900,102.5284
2015-07-13,104.2,106.95,102.15,106.65,4140400,104.5378
2015-07-14,106.6,106.75,104.3,104.6,3600700,102.5284
2015-07-15,104.7,106.4,104.7,105.55,2290500,103.4596
2015-07-16,105.75,107.05,104.6,106.7,2705200,104.5868
2015-07-17,107.1,108.25,106.15,107.2,3325000,105.0769
2015-07-20,107.5,110.3,107.1,109.4,4352300,107.2333
2015-07-21,109.1,111.75,106.05,108.1,6584300,105.9591
2015-07-22,107.9,108.9,105.55,107.7,3385300,105.567
2015-07-23,107.95,109.3,106.45,108.7,2382100,106.5472
2015-07-24,108,110.25,107.75,109.35,3081500,107.1843
2015-07-27,108.5,108.5,103.95,104.4,6011700,102.3324
2015-07-28,103.15,106.65,102.25,105.5,4192700,103.4106
2015-07-29,105.8,108.15,105.7,106.55,4721000,104.4398
2015-07-30,106.85,107.3,104.25,104.7,8222300,102.6264
2015-07-31,105.5,107.3,104.5,105.2,5201000,103.1165
2015-08-03,105.25,106.5,104.7,105.7,2485300,103.6066
2015-08-04,106,110.4,105.75,109.25,4300400,107.0863
2015-08-05,110,111.9,107.85,108.25,4508200,106.1061
2015-08-06,108.95,110,107.5,108.7,2977400,106.5472
2015-08-07,108.15,112.25,108,109.55,3542500,107.3804
2015-08-10,110,111.75,106.75,107.8,3049400,105.665
2015-08-11,108,108.3,102.85,103.25,4765800,101.2051
2015-08-12,102.8,102.9,95.55,95.9,11715200,94.0007
2015-08-13,97,98,90.4,90.8,9789900,89.0017
2015-08-14,91,95.35,89.5,93.15,11777000,91.3052
2015-08-17,93.5,93.7,89.7,90.65,6356700,88.8547
2015-08-18,91.6,92.95,87.9,88.9,8355200,87.1393
2015-08-19,88.9,88.9,85.8,86.15,9032100,84.4438
2015-08-20,86,86.25,83.6,84.95,8280300,83.2676
2015-08-21,83,86.3,82.05,86,11079700,84.2968
2015-08-24,83.5,83.5,76.1,78.65,10640000,77.0923
2015-08-25,81.25,82.25,75.25,80.45,9592600,78.8567
2015-08-26,80.7,81.8,79,80.4,7083000,78.8077
2015-08-27,82.9,82.9,79.15,80.65,10675000,79.0527
2015-08-28,83.3,84.7,80.1,81.65,11959000,80.0329
2015-08-31,81.05,82.7,79.75,80.05,7893200,78.4646
2015-09-01,79.45,79.6,75.6,75.95,9754800,74.4458
2015-09-02,76.1,76.9,74.15,74.35,11987300,72.8775
2015-09-03,75.2,78.35,75,77.2,8897600,75.671
2015-09-04,76.95,77,73.5,73.9,9254900,72.4364
2015-09-07,74.15,74.25,71.4,71.55,5573500,71.095
2015-09-08,72.35,74.5,71.6,72.7,8371700,72.2377
2015-09-09,75.15,79.2,74,78.6,15543900,78.1002
2015-09-10,76.5,77.15,74.45,76.5,9452100,76.0135
2015-09-11,77.8,78.1,75.55,76.1,6938100,75.6161
2015-09-14,76.8,79.15,75.9,78.65,6215600,78.1498
2015-09-15,78.3,78.65,75.7,76.25,6194900,75.7651
2015-09-16,77.5,78.25,75.25,77.25,6409000,76.7587
2015-09-17,77.25,77.25,77.25,77.25,0,76.7587
2015-09-18,77.9,79,75.35,75.9,10191700,75.4173
2015-09-21,75.25,78.8,74.2,78.1,7954900,77.6033
2015-09-22,76.95,77,72.75,73.2,10220600,72.7345
2015-09-23,72,74.25,71.3,72.95,6112800,72.4861
2015-09-24,73.3,73.45,71.2,71.4,6783300,70.9459
2015-09-25,71.4,71.4,71.4,71.4,0,70.9459
2015-09-28,71.9,73,70.25,70.55,6132900,70.1014
2015-09-29,69.5,69.8,67.5,68.2,9667200,67.7663
2015-09-30,69.4,71.5,69,70.8,7662000,70.3498
2015-10-01,71.65,72.1,70.25,70.9,4570600,70.4491
2015-10-02,70.9,70.9,70.9,70.9,0,70.4491
2015-10-05,71.95,74.4,71.35,74,6499000,73.5294
2015-10-06,74.85,75.65,73.55,75,5594600,74.5231
2015-10-07,75,83.4,74.4,81.9,20395800,81.3792
2015-10-08,82,84.3,80.4,82.35,16159200,81.8263
2015-10-09,83.1,85.5,82.8,83.95,13467300,83.4161
2015-10-12,84.7,92.4,84.55,88.65,26948600,88.0863
2015-10-13,81,86.7,81,86.15,18613100,85.6021
2015-10-14,85.4,90.75,85.25,88.6,14422500,88.0366
2015-10-15,89.3,91.5,86.3,87.8,16205000,87.2417
2015-10-16,89.25,89.4,86.05,87.75,9119900,87.192
2015-10-19,88,88.5,86.5,86.75,4943100,86.1983
2015-10-20,86.7,86.7,84.05,84.45,8452400,83.913
2015-10-21,84.45,86.6,84.1,85.55,7239500,85.006
2015-10-22,85.55,85.55,85.55,85.55,0,85.006
2015-10-23,87.2,87.4,84.65,85.1,7207700,84.5588
2015-10-26,86.3,86.9,84.85,85.4,5855300,84.8569
2015-10-27,85,86.1,83.2,84.4,9200900,83.8633
2015-10-28,84,85.2,84,84.5,5213200,83.9626
2015-10-29,84.75,85,83,83.25,6610300,82.7206
2015-10-30,83.5,86.9,83.05,84.05,10426400,83.5155
2015-11-02,83.9,84.25,80.1,80.95,6934900,80.4352
2015-11-03,81.85,84.4,81.7,82.35,10902400,81.8263
2015-11-04,83.5,83.9,81.5,81.85,6302000,81.3295
2015-11-05,81.75,82.4,80.8,81.05,4001000,80.5346
2015-11-06,81.1,82.25,80,80.9,6199500,80.3855
2015-11-09,78,80.75,78,79.95,6902200,79.4416
2015-11-10,78.15,82.8,77.1,79.25,18103800,78.746
2015-11-11,79.25,79.25,79.25,79.25,0,78.746
2015-11-12,79.25,79.25,79.25,79.25,0,78.746
2015-11-13,79,80.25,77.15,77.4,11899900,76.9078
2015-11-16,76.95,79.5,76.4,79.05,11401100,78.5473
2015-11-17,79.8,82.45,79.25,80.85,11768800,80.3359
2015-11-18,80.85,81.3,76.3,76.55,13878100,76.0632
2015-11-19,77.8,78.9,75.4,78.4,13759100,77.9014
2015-11-20,78.35,79.4,76.85,77.2,14167100,76.7091
2015-11-23,77.05,77.3,73.8,74.25,11048500,73.7778
2015-11-24,73.6,74.55,73.2,73.6,9426700,73.132
2015-11-25,73.6,73.6,73.6,73.6,0,73.132
2015-11-26,74,75.5,73.85,75.1,7517900,74.6224
2015-11-27,75.3,79.1,75.2,77.65,12432600,77.1562
2015-11-30,77.4,77.9,76.6,77.05,10087800,76.56
2015-12-01,77.6,79.8,77.5,79.55,8171900,79.0441
2015-12-02,80,81.2,79.9,80.45,8880200,79.9384
2015-12-03,79.55,81.65,78.6,79.2,11515200,78.6963
2015-12-04,78.85,80.1,78.2,79.05,6152900,78.5473
2015-12-07,79.8,80.6,78.9,79.25,6293500,78.746
2015-12-08,78.5,78.75,75.7,76,7459800,75.5167
2015-12-09,75.5,75.65,73,73.75,7645700,73.281
2015-12-10,74.7,76.15,74.5,75.7,7082300,75.2186
2015-12-11,76,77.2,74.7,76.25,9056800,75.7651
2015-12-14,76,79.25,75.75,78.8,10437500,78.2989
2015-12-15,79.1,79.3,77.25,79,5371400,78.4976
2015-12-16,79.35,80.2,78.35,78.55,5407600,78.0505
2015-12-17,78.85,81.65,78.65,81.3,12765600,80.783
2015-12-18,81.2,82,79.6,79.9,9069500,79.3919
2015-12-21,80.2,81.8,80.2,81.3,7868100,80.783
2015-12-22,81.15,81.75,79.2,79.6,5451600,79.0938
2015-12-23,80.6,84.2,80.2,83.9,12159300,83.3665
2015-12-24,84.55,85.65,83.75,85.25,11012500,84.7079
2015-12-25,85.25,85.25,85.25,85.25,0,84.7079
2015-12-28,85.7,86,84.3,84.95,6753900,84.4098
2015-12-29,85.25,85.5,84.15,84.4,5043100,83.8633
2015-12-30,84.7,85.7,84.1,84.7,6327500,84.1614
2015-12-31,85,85.5,83.2,84.75,8803000,84.2111
2016-01-01,84.7,85.25,84,84.9,2806400,84.3601
2016-01-04,84.2,85.9,80.4,80.75,8706200,80.2365
2016-01-05,82,83.95,80.6,82.6,9819000,82.0747
2016-01-06,82.4,82.85,79.7,80.55,6494400,80.0378
2016-01-07,79,79.4,76.1,76.65,8098300,76.1626
2016-01-08,77.45,78.15,75.2,76.9,6800900,76.411
2016-01-11,75.8,78.65,74.3,77.9,9706600,77.4046
2016-01-12,78.4,78.65,75,75.6,6696100,75.1192
2016-01-13,76.4,77.5,74.3,76.7,8275500,76.2122
2016-01-14,75,76,73.4,74.7,7864800,74.225
2016-01-15,75.35,75.4,71.15,71.8,5206900,71.3434
2016-01-18,71.05,73.5,70.05,71.2,6814200,70.7472
2016-01-19,72.1,73.9,71.1,71.85,4396700,71.3931
2016-01-20,71,71.05,66.35,67.6,8312100,67.1701
2016-01-21,69,69.35,66.8,68.3,5883500,67.8657
2016-01-22,69.6,72.9,69.1,72.35,6988000,71.8899
2016-01-25,72.9,73.45,71.8,72,3930000,71.5421
2016-01-26,72,72,72,72,0,71.5421
2016-01-27,72.5,72.85,70.8,71.05,5960100,70.5982
2016-01-28,71.05,71.4,69.25,69.7,12038400,69.2568
2016-01-29,70,71.15,68.75,70.5,9203000,70.0517
2016-02-01,70.85,71.55,70.2,71.1,5582000,70.6479
2016-02-02,71.75,71.8,68.2,68.55,6192700,68.1141
2016-02-03,68,68,66.3,66.65,6780000,66.2262
2016-02-04,67.8,70.45,67.2,68.7,12083500,68.2631
2016-02-05,69.3,72.2,68.8,71.25,15932600,70.7969
2016-02-08,72,72,69.45,69.8,10400800,69.3561
2016-02-09,68.5,70.8,67.6,70,16969900,69.5549
2016-02-10,70.2,70.5,65,66.9,16937000,66.4746
2016-02-11,67.5,67.75,62.95,63.7,7915900,63.2949
2016-02-12,64.8,64.85,58.8,60.9,11171800,60.5127
2016-02-15,62.45,68.45,62.3,67,17333300,66.5739
2016-02-16,68.5,68.5,64.55,64.85,9530700,64.4376
2016-02-17,65.2,66.3,61.6,65.8,12113600,65.3816
2016-02-18,67.65,70.1,67.2,68.9,14663300,68.4618
2016-02-19,68.3,70,67.45,69.05,6048400,68.6109
2016-02-22,69.15,70.6,68.8,69.5,5132700,69.058
2016-02-23,69.9,71.85,67.8,68.5,10366300,68.0644
2016-02-24,67.6,68.45,66,66.4,6136900,65.9777
2016-02-25,67.35,68,66.45,67.15,6197800,66.723
2016-02-26,68.2,69.95,66.2,69.45,9806300,69.0083
2016-02-29,70.15,70.8,66.7,68.75,15550700,68.3128
2016-03-01,69,70.5,68.6,70.25,8273200,69.8033
2016-03-02,71.9,77,71.3,74.95,21643500,74.4734
2016-03-03,76.5,79.8,75.5,79.25,22949500,78.746
2016-03-04,79.85,81.9,77.6,79.4,15840400,78.8951
2016-03-07,79.4,79.4,79.4,79.4,0,78.8951
2016-03-08,80.3,84.2,80.05,83.15,19055200,82.6212
2016-03-09,80.4,81.4,79.05,81.1,11565400,80.5843
2016-03-10,81.9,85.55,81.55,83.8,18838600,83.2671
2016-03-11,83.9,84.75,81.6,83.5,10301100,82.969
2016-03-14,84.5,86,84.2,84.9,6642400,84.3601
2016-03-15,85,86,83.6,83.9,11700000,83.3665
2016-03-16,84,84.25,79.35,81.5,13890500,80.9817
2016-03-17,82.5,83.8,80.7,81,8476000,80.4849
2016-03-18,82.4,85.5,82,85.2,14366100,84.6582
2016-03-21,85.7,87,84.3,86,12324100,85.4531
2016-03-22,85.9,88,84.85,87,12800700,86.4467
2016-03-23,88,91.7,87.9,91.3,22685600,90.7194
2016-03-24,91.3,91.3,91.3,91.3,0,90.7194
2016-03-25,91.3,91.3,91.3,91.3,0,90.7194
2016-03-28,92.5,92.5,82.55,83.25,20101900,82.7206
2016-03-29,83.9,86.15,83.5,84.4,14305500,83.8633
2016-03-30,85.5,89.3,85.25,88,15758500,87.4404
2016-03-31,87.85,89,86.5,87.95,16963900,87.3907
2016-04-01,87.5,87.65,86.05,86.65,8139400,86.099
2016-04-04,87.45,90.65,86.5,89.1,14431500,88.5334
2016-04-05,88.2,89.4,84.35,84.9,11541200,84.3601
2016-04-06,85.75,89.7,85.5,88.95,14585700,88.3843
2016-04-07,89,89.4,86.75,87.3,6979400,86.7448
2016-04-08,87.25,89.5,86,87.7,10212000,87.1423
2016-04-11,88.15,93.2,87.85,92.2,15187100,91.6137
2016-04-12,91.35,93.15,90.2,92,12789400,91.4149
2016-04-13,93.05,97.7,93.05,96.3,18201700,95.6876
2016-04-14,96.3,96.3,96.3,96.3,0,95.6876
2016-04-15,96.3,96.3,96.3,96.3,0,95.6876
2016-04-18,96.8,97.6,94.5,97.05,11527000,96.4328
2016-04-19,97.05,97.05,97.05,97.05,0,96.4328
2016-04-20,99.45,102.4,98.25,101.8,24020000,101.1526
2016-04-21,102.4,104.25,100.65,101.8,18328900,101.1526
2016-04-22,101.5,102.75,100.6,101.1,10577200,100.4571
2016-04-25,101.15,101.35,96.55,98.4,9752700,97.7742
2016-04-26,99.05,103.45,98.9,103.15,17484700,102.494
2016-04-27,103.25,104.4,101.1,101.75,8607500,101.1029
2016-04-28,101.8,102.45,96.5,96.9,19093400,96.2838
2016-04-29,97.4,99,93.4,96.35,23929700,95.7373
2016-05-02,96.4,100.65,94.6,98.65,18962900,98.0227
2016-05-03,99.5,100.6,96.55,96.9,13225500,96.2838
2016-05-04,95.5,95.8,90.65,91.15,14740500,90.5704
2016-05-05,91.5,93.2,88.9,90.45,15926600,89.8748
2016-05-06,90.5,92.3,89.2,91.9,13758600,91.3156
2016-05-09,93,93.9,91,91.7,11577200,91.1169
2016-05-10,91.05,91.05,89.2,89.85,12264800,89.2786
2016-05-11,89.5,92.8,88.8,91.6,14204700,91.0175
2016-05-12,92.3,93.75,92,93.4,9628400,92.806
2016-05-13,93.4,93.4,88.85,89.3,12852600,88.7321
2016-05-16,89.75,90.55,88.1,89.8,8759700,89.2289
2016-05-17,90.55,91.2,88.9,89.1,7734600,88.5334
2016-05-18,88.2,89.6,87.25,89.15,8076300,88.5831
2016-05-19,89.05,90.9,86.3,87.05,10822500,86.4964
2016-05-20,87.6,88.55,86.45,86.95,10826000,86.3971
2016-05-23,87.95,88.45,86.3,86.9,6339800,86.3474
2016-05-24,87.1,87.45,83.5,86.3,8892200,85.7512
2016-05-25,89,89.25,87.55,88.75,8223800,88.1856
2016-05-26,88.9,90.7,87.65,90.3,12228000,89.7258
2016-05-27,91,92.7,90.85,91.9,11544300,91.3156
2016-05-30,100,103.5,98.15,102.95,43496900,102.2953
2016-05-31,103.1,107.65,102.5,105.25,36580800,104.5807
2016-06-01,105.35,105.75,102.6,103.1,12374600,102.4444
2016-06-02,102.75,106.35,102.2,106.05,12148700,105.3756
2016-06-03,106.7,106.9,104.1,105.55,9025900,104.8788
2016-06-06,105.05,108,104.55,106.85,13723100,106.1705
2016-06-07,107.25,110.25,107,109.5,14522200,108.8037
2016-06-08,109.75,110.45,108,109.35,10622500,108.6546
2016-06-09,109,112.6,108.95,110.9,16009300,110.1948
2016-06-10,110.45,115.9,110.45,115.3,26738800,114.5668
2016-06-13,113.5,115.5,111.35,114.7,15420100,113.9706
2016-06-14,114.95,115.85,114.1,115.6,10883600,114.8649
2016-06-15,116.25,116.7,114.2,115.75,10291500,115.0139
2016-06-16,115.35,119.45,114.35,119.05,19649900,118.2929
2016-06-17,120.1,120.25,117.95,118.8,9115000,118.0445
2016-06-20,117.45,121.35,117.3,121.05,7879400,120.2802
2016-06-21,122.25,124.65,121.6,123.5,15274400,122.7146
2016-06-22,123.95,123.95,120.1,122.2,10065700,121.4229
2016-06-23,122.1,124.5,121.65,123.9,8243300,123.1121
2016-06-24,118.35,119.6,112,117.3,22745600,116.5541
2016-06-27,115.95,120.8,115.9,119.8,13603300,119.0382
2016-06-28,119.9,121.05,117.75,118.05,11037500,117.2993
2016-06-29,119,121.3,118.6,119.95,9327300,119.1872
2016-06-30,122.4,123.45,121.25,122.85,15709300,122.0688
2016-07-01,124,125.5,123.15,124.75,8905800,123.9567
2016-07-04,126.1,126.75,125.5,125.95,5715300,125.149
2016-07-05,126,127.4,123.3,123.65,9848600,122.8637
2016-07-06,123.65,123.65,123.65,123.65,0,122.8637
2016-07-07,125,128.7,124.6,127.7,15661200,126.8879
2016-07-08,128.7,128.7,125.5,126.85,8327200,126.0433
2016-07-11,128.3,129.75,128.05,129.05,7534900,128.2293
2016-07-12,130.35,136.2,130,135.25,26490300,134.3899
2016-07-13,136,139.9,134.7,135.8,20241000,134.9364
2016-07-14,136,137.35,133.75,135.8,11703200,134.9364
2016-07-15,136.9,138,135.55,137.4,10639800,136.5262
2016-07-18,137.9,141.45,136.15,137.25,13729600,136.3772
2016-07-19,136.9,139.5,136.6,138,10933100,137.1224
2016-07-20,138.85,139.3,134.3,135.9,11898100,135.0358
2016-07-21,137.15,137.5,133.5,133.9,11200400,133.0485
2016-07-22,133.2,137,130.35,136,15030500,135.1351
