"Date","HINDPETRO.NS.Open","HINDPETRO.NS.High","HINDPETRO.NS.Low","HINDPETRO.NS.Close","HINDPETRO.NS.Volume","HINDPETRO.NS.Adjusted"
2015-01-01,549.999,556.851,545.601,550.551,2294300,140.5294
2015-01-02,546.999,554.901,543.999,546.249,2245000,139.4313
2015-01-05,543.099,564,543.099,561.699,4127000,143.375
2015-01-06,568.299,576.399,548.751,556.149,9360400,141.9583
2015-01-07,559.299,573.249,551.151,568.599,5689400,145.1362
2015-01-08,576,602.499,571.599,598.05,8401000,152.6536
2015-01-09,605.949,605.949,583.599,589.101,3997100,150.3694
2015-01-12,594.75,594.75,580.65,585,2953400,149.3226
2015-01-13,590.601,600.699,584.1,588.099,4677000,150.1136
2015-01-14,590.499,592.5,570.999,573.201,3970200,146.3109
2015-01-15,579.501,591.801,569.151,579.999,3505200,148.0461
2015-01-16,582,585.549,570.099,572.151,3445500,146.0428
2015-01-19,564.999,570,554.799,559.551,5772600,142.8267
2015-01-20,560.55,570.999,560.55,565.05,3575500,144.2303
2015-01-21,564,571.701,563.4,567.3,4060300,144.8046
2015-01-22,565.551,572.4,557.499,559.401,3226000,142.7884
2015-01-23,564.999,584.499,559.2,577.599,6963100,147.4335
2015-01-26,577.599,577.599,577.599,577.599,0,147.4335
2015-01-27,579.999,582.501,567.6,572.601,5818600,146.1577
2015-01-28,573,599.4,571.299,597.201,5586500,152.4369
2015-01-29,602.001,640.8,600.999,636.6,14632900,162.4936
2015-01-30,642.549,665.499,633.999,657.951,8795700,167.9435
2015-02-02,645.999,663.75,625.299,628.8,6990300,160.5026
2015-02-03,633,633,594.849,599.499,7587800,153.0235
2015-02-04,597.45,609.699,583.851,602.25,10114700,153.7257
2015-02-05,605.7,629.001,596.799,605.301,6335300,154.5045
2015-02-06,601.701,609.9,579.099,583.599,3834300,148.965
2015-02-09,579,591,568.149,574.749,5738300,146.706
2015-02-10,571.851,587.151,570,583.251,3930400,148.8762
2015-02-11,590.001,602.55,581.301,598.2,3473000,152.6919
2015-02-12,605.001,613.5,593.301,597.45,2922600,152.5005
2015-02-13,599.001,633.099,589.65,626.001,7130300,159.7882
2015-02-16,626.001,643.65,593.451,597.099,8288300,152.4109
2015-02-17,597.099,597.099,597.099,597.099,0,152.4109
2015-02-18,597.501,602.901,582.849,589.599,6930900,150.4965
2015-02-19,594.999,602.001,585.501,594.9,5484800,151.8496
2015-02-20,595.701,608.25,590.049,601.5,6681900,153.5342
2015-02-23,604.5,609.999,588.249,595.65,3331200,152.041
2015-02-24,599.1,609.501,593.001,607.401,3380300,155.0405
2015-02-25,609.999,620.499,602.799,614.25,5914600,156.7887
2015-02-26,615,615.501,588,594.849,8658100,151.8366
2015-02-27,599.001,609,590.1,605.85,3258000,154.6446
2015-03-02,630,660,630,654.45,8395100,167.0499
2015-03-03,656.649,666,647.001,656.1,3462800,167.471
2015-03-04,659.949,669.951,631.701,637.749,5384300,162.7869
2015-03-05,637.101,650.499,635.001,643.05,3687200,164.14
2015-03-06,643.05,643.05,643.05,643.05,0,164.14
2015-03-09,644.349,645.501,631.149,633.249,2113700,161.6382
2015-03-10,635.301,645.951,630.801,636.051,4360700,162.3535
2015-03-11,638.001,643.851,615.6,619.251,2533700,158.0652
2015-03-12,618.951,629.001,618,624.15,2773000,159.3157
2015-03-13,627.999,641.649,618.249,622.899,3717700,158.9964
2015-03-16,629.25,635.301,621.249,627.501,2846800,160.1711
2015-03-17,638.85,643.5,629.001,633.201,4686800,161.626
2015-03-18,637.95,664.449,635.001,653.451,5256200,166.7949
2015-03-19,657.999,663,639.999,645.501,4790900,164.7656
2015-03-20,647.001,647.001,624,628.05,3012500,160.3112
2015-03-23,629.7,635.949,620.1,623.301,3092400,159.099
2015-03-24,621.501,636.501,621,632.601,3883800,161.4729
2015-03-25,633,642.399,623.799,629.151,4914300,160.5922
2015-03-26,627,638.001,612.099,615.351,3937700,157.0698
2015-03-27,619.8,623.55,605.001,619.599,2094900,158.1541
2015-03-30,626.799,640.5,624.201,627.351,3407400,160.1328
2015-03-31,631.8,660.201,628.05,649.8,6261800,165.8629
2015-04-01,652.101,664.701,646.401,653.4,3434600,166.7818
2015-04-02,653.4,653.4,653.4,653.4,0,166.7818
2015-04-03,653.4,653.4,653.4,653.4,0,166.7818
2015-04-06,660,661.899,650.001,655.05,2317900,167.203
2015-04-07,653.001,654.801,640.95,643.5,2703300,164.2548
2015-04-08,645.999,678.9,641.649,672.75,6856300,171.721
2015-04-09,681,684.399,663.201,666.3,4872600,170.0746
2015-04-10,667.95,677.4,661.35,662.751,3661700,169.1687
2015-04-13,667.2,668.301,652.851,654.399,3434600,167.0368
2015-04-14,654.399,654.399,654.399,654.399,0,167.0368
2015-04-15,654.399,664.2,642,647.799,4435300,165.3522
2015-04-16,647.001,647.001,630,633.549,5207900,161.7148
2015-04-17,633.9,643.2,631.2,636.201,3148700,162.3918
2015-04-20,635.499,642.951,627,635.1,4761500,162.1107
2015-04-21,638.001,643.701,624.501,629.499,3674200,160.6811
2015-04-22,631.8,650.001,630.351,647.649,6137200,165.3139
2015-04-23,653.001,656.751,640.149,645.249,3928100,164.7013
2015-04-24,642,647.949,620.199,624.801,2569500,159.4819
2015-04-27,625.2,627.999,585,595.149,4563900,151.9131
2015-04-28,599.799,624.9,597.201,621,4916100,158.5117
2015-04-29,618,623.001,611.001,618.501,2042900,157.8738
2015-04-30,615,638.799,609.999,625.149,6832800,159.5707
2015-05-01,625.149,625.149,625.149,625.149,0,159.5707
2015-05-04,635.001,637.5,615.45,630,2381500,160.8089
2015-05-05,630,636,622.05,628.749,2055200,160.4896
2015-05-06,622.251,624.801,589.449,594.099,3827800,151.6451
2015-05-07,592.5,600.801,556.05,565.2,5159100,144.2686
2015-05-08,579,603.9,578.001,591.501,5082900,150.982
2015-05-11,594.999,609.999,592.551,605.499,2734100,154.555
