"Date","HINDUNILVR.NS.Open","HINDUNILVR.NS.High","HINDUNILVR.NS.Low","HINDUNILVR.NS.Close","HINDUNILVR.NS.Volume","HINDUNILVR.NS.Adjusted"
2015-01-01,759.3,761.9,754.15,758.45,372100,730.036
2015-01-02,757,766,752.65,755.95,1207300,727.63
2015-01-05,759.75,761.9,755.1,760.3,849200,731.817
2015-01-06,767,779.9,755.4,774.7,2738600,745.677
2015-01-07,779,806.8,779,801.9,3744100,771.858
2015-01-08,803.9,825,803.15,817.05,3076800,786.441
2015-01-09,818.5,868.4,817.05,864.6,3825000,832.209
2015-01-12,867.5,899.8,864.25,896.6,4338000,863.01
2015-01-13,899.95,908.65,876.4,884.55,3371700,851.412
2015-01-14,888.8,934.5,886,924.05,4578100,889.432
2015-01-15,934.95,937.4,909.7,921.55,3534500,887.026
2015-01-16,928,947,925,941.05,2021100,905.795
2015-01-19,946.3,947.4,886.05,892.55,7705300,859.112
2015-01-20,889.9,903,877.75,895.45,4355800,861.904
2015-01-21,897,948.4,888.5,941.95,4103900,906.662
2015-01-22,944,961.3,931.3,944.65,3585500,909.26
2015-01-23,947,968.85,944.65,965.3,2450000,929.137
2015-01-26,965.3,965.3,965.3,965.3,0,929.137
2015-01-27,962.1,967.9,936.6,941.95,3274800,906.662
2015-01-28,938,940.8,928.15,933.85,2246500,898.865
2015-01-29,931,948,926.4,941.6,3421400,906.325
2015-01-30,941,941,927.8,932.55,1562100,897.614
2015-02-02,926.35,929.95,904.8,908,1822800,873.983
2015-02-03,910.2,930.85,908,910.85,1544800,876.727
2015-02-04,910.9,919.8,895.1,899.9,1181800,866.187
2015-02-05,907.3,919.8,901.2,909.05,1711100,874.994
2015-02-06,906,915.85,899.4,905.75,717600,871.818
2015-02-09,905.75,914.6,895.9,900.15,860200,866.428
2015-02-10,895,907.5,885.4,887.75,1058700,854.492
2015-02-11,890.35,902.95,884.6,900.3,897300,866.572
2015-02-12,905,910.8,885.3,887.8,1121000,854.54
2015-02-13,892.4,898.8,885.2,892.8,1344200,859.353
2015-02-16,886.35,920,886.35,907,1635200,873.021
2015-02-17,907,907,907,907,0,873.021
2015-02-18,902,923.35,902,912.9,2178700,878.7
2015-02-19,919.95,922.8,895,908.15,1034400,874.128
2015-02-20,905.5,909.7,899,900.25,623200,866.524
2015-02-23,903,913.85,883.05,886.15,1054300,852.952
2015-02-24,889,915.6,887,913.7,2100400,879.47
2015-02-25,916.5,917.5,894,901.9,1141100,868.112
2015-02-26,905.7,905.7,883.8,886.4,1194400,853.193
2015-02-27,889.8,893,880.4,887.15,1906500,853.915
2015-03-02,914,939.95,906.1,935.65,2792100,900.598
2015-03-03,939.9,939.9,923.25,929.7,1510400,894.87
2015-03-04,931.1,945.3,913,916.1,1202300,881.78
2015-03-05,913.45,946.35,913.45,939.7,2301600,904.496
2015-03-06,939.7,939.7,939.7,939.7,0,904.496
2015-03-09,936,981,931,976,3529700,939.436
2015-03-10,978.3,978.65,951.05,957.15,1323300,921.292
2015-03-11,957.15,978.9,949.45,968.9,1742700,932.602
2015-03-12,968,972.8,955.6,960.55,1358400,924.565
2015-03-13,963.7,964.9,938.95,941.7,1466000,906.421
2015-03-16,939.45,957.25,902.5,931.75,1244400,896.844
2015-03-17,934.95,946.8,921.4,931.8,1239500,896.892
2015-03-18,932.4,937.25,911.5,922.1,1436200,887.555
2015-03-19,931,940.8,916.65,922.65,1249000,888.085
2015-03-20,922,922,892,895.75,1854300,862.192
2015-03-23,899.7,910,892.35,902.4,989300,868.593
2015-03-24,896.2,901.15,885.35,887.2,1288900,853.963
2015-03-25,889.75,897.6,883,886.4,2848900,853.193
2015-03-26,884.85,885,858.2,865.9,2570300,833.461
2015-03-27,870.5,870.9,848.95,851.3,2023500,819.408
2015-03-30,857.95,871,852,862.05,1415100,829.755
2015-03-31,862.95,884,858,873.55,1503900,840.824
2015-04-01,873.5,885.8,871.5,883.5,865800,850.401
2015-04-02,883.5,883.5,883.5,883.5,0,850.401
2015-04-03,883.5,883.5,883.5,883.5,0,850.401
2015-04-06,883.65,910.8,882.5,907.95,1482300,873.935
2015-04-07,911.35,919.05,897.6,913.45,1212900,879.229
2015-04-08,914.9,921.65,909.4,912.55,1296800,878.363
2015-04-09,913.9,932,913.6,926.45,1237600,891.742
2015-04-10,929.9,935.8,916.35,933.8,1161600,898.817
2015-04-13,931.35,950.95,928,949.15,1374200,913.592
2015-04-14,949.15,949.15,949.15,949.15,0,913.592
2015-04-15,942.9,948.95,933,934.7,924800,899.683
2015-04-16,932.5,937.8,918.1,933.1,1071700,898.143
2015-04-17,936.7,944.2,928.85,937.65,764900,902.523
2015-04-20,938.4,940.75,905.6,913.45,879500,879.229
2015-04-21,914.05,919.85,870.35,873.1,2535700,840.391
2015-04-22,887.45,913,875,907.15,2106600,873.165
2015-04-23,911,922,892.8,902.65,1027800,868.834
2015-04-24,903.95,903.95,873.75,889.5,1122600,856.176
2015-04-27,885,901.8,860.25,866.65,945700,834.183
2015-04-28,863.35,873.9,851.5,860.6,1844200,828.359
2015-04-29,860.4,875,852.15,857.7,1323800,825.568
2015-04-30,857.25,859.45,832.2,850.35,3001300,818.493
2015-05-01,850.35,850.35,850.35,850.35,0,818.493
2015-05-04,860,865.7,844.15,861.75,558100,829.466
2015-05-05,858,883.4,854,879.05,1663300,846.118
2015-05-06,879,879,850.1,858.2,1989300,826.049
2015-05-07,860,871.75,853.7,866.25,982600,833.798
2015-05-08,875.7,907.05,854.5,895.2,5244600,861.663
2015-05-11,899.8,901,862.2,864.7,2712100,832.306
2015-05-12,867,873.55,841.65,843.95,1837700,812.333
2015-05-13,850.1,855.65,827.1,841.05,1842500,809.542
2015-05-14,842.8,850.85,831,846.45,1458500,814.739
2015-05-15,848,852.3,840.1,844.8,861400,813.151
2015-05-18,848,854.9,837.5,852.7,794900,820.755
2015-05-19,852.4,855.85,841.25,844.75,1115100,813.103
2015-05-20,847.2,858.15,846,855.6,1051600,823.546
2015-05-21,856.4,865.9,848.05,864.35,998300,831.969
2015-05-22,867.45,868.85,853.95,863.75,1369000,831.391
2015-05-25,864.95,864.95,847.55,852.45,642200,820.515
2015-05-26,855,858.15,845.95,855.35,732600,823.306
2015-05-27,855.5,860,845.7,857.7,530500,825.568
2015-05-28,858.7,860,842.35,846.2,2062600,814.499
2015-05-29,847.5,860.7,843.1,859.55,3787100,827.349
2015-06-01,859.55,883.5,852.45,880.8,950300,847.802
2015-06-02,884,884.65,850.9,852.75,928600,820.803
2015-06-03,853,854.7,828.6,831.45,1074500,800.301
2015-06-04,833.5,835,820.05,822.65,1273000,791.831
2015-06-05,821.6,847.3,816.35,829.1,1564100,798.039
2015-06-08,828,829,809,812.25,1108600,781.821
2015-06-09,807,828.55,806.1,819.75,769000,789.04
2015-06-10,818.25,825,814,820.45,959200,789.713
2015-06-11,820,836.5,816,816.7,1263600,786.104
2015-06-12,813.35,821.5,810.85,814.5,833600,783.986
2015-06-15,814,827.45,808.45,821.75,626600,790.965
2015-06-16,818.1,839.35,817.3,834.95,864700,803.67
2015-06-17,840,868.85,840,862.05,2574800,829.755
2015-06-18,862,868,857.1,862.6,1234000,830.284
2015-06-19,851.1,864.9,844.85,857.7,1376400,834.272
2015-06-22,863.9,876,858.45,873.45,1039500,849.592
2015-06-23,878,879.8,871.35,875.7,741700,851.781
2015-06-24,877.5,908.9,877,896.55,1812100,872.061
2015-06-25,888.55,897.9,879.1,883.25,1257400,859.124
2015-06-26,884,891.4,875,887.95,758600,863.696
2015-06-29,872,905,868.35,900.4,1221700,875.806
2015-06-30,907,923.1,906,916.7,2318200,891.661
2015-07-01,916.7,926,912,918.3,1456200,893.217
2015-07-02,919.8,929.2,912,923.45,962600,898.226
2015-07-03,922,929.5,917.05,924.5,512900,899.248
2015-07-06,917,930,914.65,927.45,595100,902.117
2015-07-07,921.6,927.4,915.6,924.35,715600,899.102
2015-07-08,920,944,918.1,927.65,1791800,902.312
2015-07-09,927.65,934.8,912.4,921.55,1153600,896.378
2015-07-10,924.5,924.5,891.3,900.25,2198200,875.66
2015-07-13,900.8,914.5,890.5,910.7,1103100,885.825
2015-07-14,910.5,929.1,902.8,927.3,662300,901.971
2015-07-15,927,935,920.35,929,980500,903.625
2015-07-16,930,939.5,923.25,936.85,667500,911.26
2015-07-17,937.05,941.95,922.25,924.3,848100,899.053
2015-07-20,924,931.5,909.05,913.1,738500,888.159
2015-07-21,915,916.85,871.1,891.3,4915100,866.954
2015-07-22,894,923,891.15,920.5,1433500,895.357
2015-07-23,919,919,895.2,904.25,1049700,879.551
2015-07-24,905,911.45,897.6,906.8,624100,882.031
2015-07-27,906,910.15,895,900.1,1305600,875.514
2015-07-28,893.25,916,891.5,904.75,1648600,880.037
2015-07-29,906.15,919.05,897,899.2,1332400,874.639
2015-07-30,905,934.45,899.2,920.7,1997500,895.551
2015-07-31,920.3,928.2,913.2,921.65,1616000,896.476
2015-08-03,921,924.8,906.5,909.7,1813600,884.852
2015-08-04,910.5,914.45,900.05,908.1,2728500,883.296
2015-08-05,910.7,912.85,905,908.6,2869200,883.782
2015-08-06,910,910.4,902.55,907.75,1105100,882.955
2015-08-07,907.75,909.05,900.9,904.85,849300,880.134
2015-08-10,905,909,901,906.15,1089600,881.399
2015-08-11,903,905.85,885,888.2,1430400,863.939
2015-08-12,889,889,859.6,866.35,1406200,842.686
2015-08-13,866,879,850,866.55,976700,842.881
2015-08-14,871,879,857.5,870.55,742800,846.771
2015-08-17,874.45,879,860,872.65,373100,848.814
2015-08-18,872,877.85,868.05,872.85,606000,849.008
2015-08-19,869.35,885.25,861.4,876.2,548100,852.267
2015-08-20,870,901.85,867,872.05,1086400,848.23
2015-08-21,867,888,860.95,884.15,1428200,860
2015-08-24,865.35,880,844.95,851.15,2392800,827.901
2015-08-25,861,878,855.1,865.95,2303000,842.297
2015-08-26,866.25,868.55,850,855,1894500,831.646
2015-08-27,860.65,864.45,851,857.8,2087600,834.37
2015-08-28,870,870.5,852,854.5,1427500,831.16
2015-08-31,862.9,870,848.8,860.9,1990600,837.385
2015-09-01,855,861.35,848.35,853.75,1483300,830.43
2015-09-02,857,862.4,824.2,830.6,1463400,807.912
2015-09-03,830.5,841.75,815.1,833.75,1228800,810.976
2015-09-04,831.35,840.75,823.2,830,1332000,807.329
2015-09-07,831,834,817.4,819.85,868600,797.456
2015-09-08,827.8,827.8,785,801.1,2511600,779.218
2015-09-09,806,812.45,790.9,803.05,1519900,781.115
2015-09-10,801,801,777.6,790.15,2651100,768.567
2015-09-11,792,799.7,784.05,795.25,1368000,773.528
2015-09-14,800.9,800.9,788.1,794.75,1115000,773.042
2015-09-15,794.75,808.65,791.15,804.6,1239100,782.623
2015-09-16,811,811.8,796.75,806.85,1000400,784.811
2015-09-17,806.85,806.85,806.85,806.85,0,784.811
2015-09-18,807,816.8,793,797.85,3196000,776.057
2015-09-21,795,799.9,788.4,790.7,1097700,769.102
2015-09-22,792,796.85,783.2,785.9,1900100,764.433
2015-09-23,788.8,789.4,780.15,785,1108700,763.558
2015-09-24,789,789,776.25,781.7,2627800,760.348
2015-09-25,781.7,781.7,781.7,781.7,0,760.348
2015-09-28,785,802.5,780.8,790.65,1121500,769.054
2015-09-29,782.6,801,781.35,784.35,2377800,762.926
2015-09-30,799.8,818,787,814.75,2321900,792.495
2015-10-01,817.8,827.25,811.2,816.4,903800,794.1
2015-10-02,816.4,816.4,816.4,816.4,0,794.1
2015-10-05,820.55,824,801,809.8,1344900,787.681
2015-10-06,816.95,832,811.9,829.3,1470600,806.648
2015-10-07,818,828,816,823.55,1126900,801.055
2015-10-08,827,831.95,817.5,821.9,673000,799.45
2015-10-09,826,830.4,810,818,740400,795.657
2015-10-12,819,822.5,807.35,814.85,760300,792.593
2015-10-13,817,819,805.8,812.9,860700,790.696
2015-10-14,814.05,815,787,797.2,3479600,775.425
2015-10-15,783,801,769,791.55,4110600,769.929
2015-10-16,788,790.9,782,785,2121200,763.558
2015-10-19,784.9,796.95,778,793.9,1733700,778.663
2015-10-20,797.45,797.45,783,787.1,1428500,771.993
2015-10-21,788,794.45,787,790.35,879800,775.181
2015-10-22,790.35,790.35,790.35,790.35,0,775.181
2015-10-23,795,805.6,791.25,800.2,1956400,784.842
2015-10-26,802.8,810,800.65,808.6,754300,793.08
