"Date","HINDZINC.NS.Open","HINDZINC.NS.High","HINDZINC.NS.Low","HINDZINC.NS.Close","HINDZINC.NS.Volume","HINDZINC.NS.Adjusted"
2015-01-01,170.75,170.8,167.5,168.45,225800,162.954
2015-01-02,168.7,173,168.7,171.55,649700,165.953
2015-01-05,172,172.45,167.5,169.25,592600,163.728
2015-01-06,169.85,173.4,167.2,168.25,1693100,162.761
2015-01-07,168.6,169.05,163,164.15,774600,158.794
2015-01-08,165.5,166.15,162.2,164.85,1855100,159.472
2015-01-09,167,167,161.95,162.75,994000,157.44
2015-01-12,161.1,162.75,159.1,159.55,1086600,154.345
2015-01-13,160.4,161,158.5,159.15,715300,153.958
2015-01-14,159.1,159.2,152.25,153.45,2383600,148.444
2015-01-15,154.5,155.75,152.55,153.9,3260600,148.879
2015-01-16,154.1,160.3,153.75,156.95,1748700,151.829
2015-01-19,159,161.8,158.05,160.35,1327300,155.118
2015-01-20,165,165.35,161.5,161.9,2802800,156.618
2015-01-21,162,164.5,159.2,163.75,1563700,158.408
2015-01-22,165,165.75,162.55,165.2,1393000,159.81
2015-01-23,166,166.8,164.5,166.05,1062900,160.632
2015-01-26,166.05,166.05,166.05,166.05,0,160.632
2015-01-27,167,170,164,169.7,1805800,164.163
2015-01-28,168.5,171.6,168.35,170.45,2031700,164.889
2015-01-29,169.9,175.3,168.8,174.7,1577200,169
2015-01-30,175,177.95,172,175,1505500,169.29
2015-02-02,175.9,176.15,170.4,173.8,842900,168.13
2015-02-03,173,175.5,172.6,173.55,1304400,167.888
2015-02-04,173.6,177.5,173.6,176.05,977300,170.306
2015-02-05,176.2,176.8,170.35,173.9,843100,168.226
2015-02-06,172.4,172.4,167.1,169.85,870300,164.309
2015-02-09,165.55,177.25,165.55,174,843900,168.323
2015-02-10,173,179.4,170,178,1100800,172.193
2015-02-11,180,184.5,179.55,182.7,1318000,176.739
2015-02-12,184,184,172.55,174.65,1319300,168.952
2015-02-13,176,177.7,175.05,176,602800,170.258
2015-02-16,176.35,182.65,175.35,181.35,683900,175.433
2015-02-17,181.35,181.35,181.35,181.35,0,175.433
2015-02-18,179.85,181.25,176.15,177.9,571600,172.096
2015-02-19,179,190.5,175,185.4,1791300,179.351
2015-02-20,187,187,180,181.3,956900,175.385
2015-02-23,182.15,182.7,173,175.85,750600,170.113
2015-02-24,175,179.35,172.65,174.75,985100,169.049
2015-02-25,174.35,177.95,171.2,172.8,1189300,167.162
2015-02-26,173.05,178.35,173.05,176.4,980000,170.645
2015-02-27,177,179.65,175.5,177.35,560100,171.564
2015-03-02,179.3,179.3,174.25,176.1,328300,170.355
2015-03-03,177.15,180.1,174.85,179.2,429100,173.353
2015-03-04,180.35,182.5,172.25,175.05,1374400,169.339
2015-03-05,174,176.9,171.1,171.9,1202600,166.292
2015-03-06,171.9,171.9,171.9,171.9,0,166.292
2015-03-09,171,172.4,167.4,170.05,1053800,164.502
2015-03-10,170.5,172,169.5,170.3,383700,164.744
2015-03-11,170.3,171,168.9,169.85,635400,164.309
2015-03-12,170.4,171,166.55,170.3,970200,164.744
2015-03-13,171.15,172.5,166.95,168.65,648100,163.148
2015-03-16,168,169.25,164.8,168.25,625500,162.761
2015-03-17,167,172,167,171.1,717200,165.518
2015-03-18,171.85,177,171.85,176.1,1064400,170.355
2015-03-19,176.9,177.6,169.2,170.55,894400,164.986
2015-03-20,168.4,172,161.7,164.75,1107600,159.375
2015-03-23,165.25,165.8,160.05,162.95,1211100,157.634
2015-03-24,162.6,164.9,158,159.1,772900,153.909
2015-03-25,159,162.5,158.8,162,1338900,156.715
2015-03-26,162,164.3,156.35,159.75,1635600,154.538
2015-03-27,158.65,161.9,157.3,160.75,513900,155.505
2015-03-30,160.35,163.95,159.8,162.25,646300,156.956
2015-03-31,162.5,166.65,161,162.15,412000,156.86
2015-04-01,162.1,165.15,160.5,163.65,294900,158.311
2015-04-02,163.65,163.65,163.65,163.65,0,158.311
2015-04-03,163.65,163.65,163.65,163.65,0,158.311
2015-04-06,164.65,165.8,161.6,163.6,365400,158.262
2015-04-07,163.6,166,162.25,165.25,425000,159.859
2015-04-08,165.3,167.2,163.75,164.95,456800,159.568
2015-04-09,166.15,166.2,162.65,164.05,415200,158.698
2015-04-10,164.5,175,164.5,174.4,1085600,168.71
2015-04-13,174.8,174.8,170.2,170.8,802400,165.228
2015-04-14,170.8,170.8,170.8,170.8,0,165.228
2015-04-15,170.8,171.9,169.35,170.3,749700,164.744
2015-04-16,173,173.35,170.4,172.3,1048800,166.679
2015-04-17,172.1,174,171,172.2,445000,166.582
2015-04-20,173,173.6,167,170.3,1953500,164.744
2015-04-21,171.15,174.9,166.25,168.3,1959900,162.809
2015-04-22,168,172.6,165.7,168.7,1325400,163.196
2015-04-23,170,173.7,169.25,172,1243600,166.388
2015-04-24,170.2,172.1,166.3,167.65,756200,162.18
2015-04-27,169.15,170.4,162.25,163.15,1044400,157.827
2015-04-28,163,169.85,162.4,169.1,1956100,163.583
2015-04-29,170,172,168.3,170.95,821200,165.373
2015-04-30,170.4,171,167.7,169.4,2257200,163.873
2015-05-01,169.4,169.4,169.4,169.4,0,163.873
2015-05-04,170.5,173.75,169.55,172.35,1195700,166.727
2015-05-05,172.1,183.45,172.05,182.35,1926100,176.401
2015-05-06,181.05,183,173.55,175.6,1611700,169.871
2015-05-07,174.2,179.85,172,175.2,1396800,169.484
2015-05-08,175,178.15,174.95,176.75,854000,170.983
2015-05-11,177.7,180.85,175,176.55,1747100,170.79
