"Date","IBREALEST.NS.Open","IBREALEST.NS.High","IBREALEST.NS.Low","IBREALEST.NS.Close","IBREALEST.NS.Volume","IBREALEST.NS.Adjusted"
2015-01-01,69,69.3,68.2,68.85,2101900,68.85
2015-01-02,68.6,73,68.6,72.4,6491500,72.4
2015-01-05,72.55,74.1,72.1,72.5,6412600,72.5
2015-01-06,71.8,71.8,66.8,67.25,5030100,67.25
2015-01-07,67.15,68.75,66.7,68.25,4997800,68.25
2015-01-08,69.15,70.9,68.3,70.6,4735700,70.6
2015-01-09,71.15,71.45,68.1,68.7,4665500,68.7
2015-01-12,68.6,69.4,67.2,68.75,4500000,68.75
2015-01-13,69,69.35,65.7,65.95,4711100,65.95
2015-01-14,66.05,66.65,63.75,64.05,4629000,64.05
2015-01-15,67,73.4,66.7,70.65,15947300,70.65
2015-01-16,70.9,74.1,69.25,72.25,11082400,72.25
2015-01-19,72.85,73.8,71,71.75,4735800,71.75
2015-01-20,72.2,73.6,69.55,70.5,7713300,70.5
2015-01-21,70.9,71.2,68.25,68.85,4311800,68.85
2015-01-22,69.05,72.25,68.35,71.9,8690500,71.9
2015-01-23,73.25,76.75,73,75.9,15929200,75.9
2015-01-26,75.9,75.9,75.9,75.9,0,75.9
2015-01-27,76.55,78.35,75.3,76.6,9507500,76.6
2015-01-28,75.35,77.75,75,75.5,7945300,75.5
2015-01-29,74.2,79.7,74.2,78.5,16078500,78.5
2015-01-30,80.15,85.25,80.1,83.45,30184600,83.45
2015-02-02,84,86.95,82.85,84.25,13579100,84.25
2015-02-03,84.85,85.75,80.6,81.45,12985700,81.45
2015-02-04,81.7,85,80,81.2,12852600,81.2
2015-02-05,81.2,82.3,76.1,76.95,7525900,76.95
2015-02-06,76.8,80.9,76.6,80.15,10140500,80.15
2015-02-09,79.6,79.95,76.15,77.2,6501400,77.2
2015-02-10,76.1,78.5,70.1,71.45,14387100,71.45
2015-02-11,71.5,74.6,71.3,73.1,7391400,73.1
2015-02-12,73.8,78.9,73.45,76.8,16167100,76.8
2015-02-13,77.55,81,77.25,77.9,8487900,77.9
2015-02-16,78.75,80.65,78.2,78.8,7928600,78.8
2015-02-17,78.8,78.8,78.8,78.8,0,78.8
2015-02-18,79.4,82.7,79.2,80.9,9395800,80.9
2015-02-19,81.3,82.95,78.3,82.25,9387600,82.25
2015-02-20,81.9,84.95,80.9,84.15,11147800,84.15
2015-02-23,85.05,86,80.25,81.65,9648300,81.65
2015-02-24,81.65,82.6,80.15,80.95,5877700,80.95
2015-02-25,81.25,82.8,79.1,79.9,5882700,79.9
2015-02-26,80.15,80.7,77.95,78.65,7495000,78.65
2015-02-27,79.5,83.35,77.95,82.95,10290900,82.95
2015-03-02,80.7,82,78,78.45,6442800,78.45
2015-03-03,79,79.9,76.3,76.7,6128200,76.7
2015-03-04,79.6,81.15,75.4,76.25,11516300,76.25
2015-03-05,76.4,76.9,74.25,76.25,5927900,76.25
2015-03-06,76.25,76.25,76.25,76.25,0,76.25
2015-03-09,75.6,75.95,73.25,73.8,4257500,73.8
2015-03-10,73.8,74.85,72.6,73.15,6593800,73.15
2015-03-11,73.55,75.5,72.95,74.5,4959700,74.5
2015-03-12,74.75,77.8,74.75,77.4,5469800,77.4
2015-03-13,78,78.4,73.4,73.85,5833200,73.85
2015-03-16,74.05,75.3,73.4,74.65,4477100,74.65
2015-03-17,74.9,75.2,72.65,73.3,3269900,73.3
2015-03-18,73.3,74.4,72.7,73.25,2847500,73.25
2015-03-19,73.85,74.4,69.7,70.2,4510900,70.2
2015-03-20,69.2,69.65,65,65.7,8564600,65.7
2015-03-23,65.7,66.15,63.1,64.85,5932100,64.85
2015-03-24,64.75,66.95,64.5,65.55,5800100,65.55
2015-03-25,65.55,66,64.2,64.6,4550100,64.6
2015-03-26,64,64.85,63.4,64.35,7013500,64.35
2015-03-27,65,66.65,62.1,66.15,6807300,66.15
2015-03-30,66.65,67.75,64.95,67.15,3813500,67.15
2015-03-31,67.65,67.65,65.15,65.4,3975700,65.4
2015-04-01,65.45,68.3,64.9,67.65,3969100,67.65
2015-04-02,67.65,67.65,67.65,67.65,0,67.65
2015-04-03,67.65,67.65,67.65,67.65,0,67.65
2015-04-06,68,73.2,66.35,72.4,12921300,72.4
2015-04-07,72.85,72.85,69.5,70.35,7413700,70.35
2015-04-08,70.85,74,70.2,71.95,9437400,71.95
2015-04-09,72.25,72.6,69.95,70.8,4744800,70.8
2015-04-10,70.9,73.3,70.5,71.6,6117500,71.6
2015-04-13,72.05,73.4,71.65,72.1,4564800,72.1
2015-04-14,72.1,72.1,72.1,72.1,0,72.1
2015-04-15,72.35,73,68.85,69.75,4934700,69.75
2015-04-16,69.6,69.65,66.15,66.5,5685400,66.5
2015-04-17,66.65,67.05,65,65.35,4582300,65.35
2015-04-20,65.55,65.8,61.1,61.85,6241000,61.85
2015-04-21,61.85,63.3,60.7,61.05,5274900,61.05
2015-04-22,61.5,63.3,60.4,62,5548000,62
2015-04-23,62.5,63.7,61,61.4,5631400,61.4
2015-04-24,61.7,61.8,57.2,57.85,5698800,57.85
2015-04-27,58,58.25,52.7,53.25,6312200,53.25
2015-04-28,52.25,54.75,52.25,53.95,7913600,53.95
2015-04-29,54,56.6,53.45,55.95,6411300,55.95
2015-04-30,55.8,60.2,55.6,59.7,13347100,59.7
2015-05-01,59.7,59.7,59.7,59.7,0,59.7
2015-05-04,59.8,60.9,59.05,60.1,5054100,60.1
2015-05-05,60.3,61.5,59.15,59.8,4224500,59.8
2015-05-06,59.7,59.7,54.95,55.2,7142100,55.2
2015-05-07,55.1,56.25,53.5,54.95,5908500,54.95
2015-05-08,56,58.35,55.45,57.15,5488100,57.15
2015-05-11,57.65,59.65,57.35,58.25,5617000,58.25
2015-05-12,58,58,54.8,55.25,6088600,55.25
2015-05-13,56,57.7,54.45,57.2,6309700,57.2
2015-05-14,57.05,58.1,55.9,57.7,6188900,57.7
2015-05-15,58,58.65,55.4,56.35,5252000,56.35
2015-05-18,56.6,58.3,56.5,57.4,3735300,57.4
2015-05-19,57.35,58,56.25,56.9,3364200,56.9
2015-05-20,57.35,58.75,57.15,58.3,4472700,58.3
2015-05-21,58.7,59.3,57.05,58.15,5135000,58.15
2015-05-22,60.75,61.9,58.9,59.45,12102300,59.45
2015-05-25,59.45,59.65,58.25,58.7,2814400,58.7
2015-05-26,59,59,56.8,57.5,3432500,57.5
2015-05-27,57.15,59.5,56.3,58.7,5048300,58.7
2015-05-28,59,59.15,57.3,57.9,3242700,57.9
2015-05-29,58.1,60.4,57.8,58.55,5610600,58.55
2015-06-01,58.65,60.25,58.3,58.9,3573100,58.9
2015-06-02,59.1,59.4,54.6,55.2,5115600,55.2
2015-06-03,55.2,55.25,45.15,50.6,12913300,50.6
2015-06-04,51.15,51.85,48.55,50.35,9473800,50.35
2015-06-05,49.95,50.9,49.3,49.7,4446100,49.7
2015-06-08,50.4,50.4,47.5,48.4,4422000,48.4
2015-06-09,48,49.15,46.15,46.8,4801300,46.8
2015-06-10,47.25,48.1,46.4,47.1,5283100,47.1
2015-06-11,47.9,47.9,44.65,44.95,4797100,44.95
2015-06-12,44.6,45.4,41.7,44.15,8828600,44.15
2015-06-15,44.5,45.65,43.45,44.05,5521600,44.05
2015-06-16,44.1,44.2,42.25,42.85,5411300,42.85
2015-06-17,43.15,43.8,42.25,42.9,5731900,42.9
2015-06-18,43,43.35,41,41.9,5547900,41.9
2015-06-19,42.3,42.8,41.1,42,5555800,42
2015-06-22,46.2,56.1,45.1,54.65,59117000,54.65
2015-06-23,56,56.5,51.2,53.5,32704000,53.5
