"Date","IBULHSGFIN.NS.Open","IBULHSGFIN.NS.High","IBULHSGFIN.NS.Low","IBULHSGFIN.NS.Close","IBULHSGFIN.NS.Volume","IBULHSGFIN.NS.Adjusted"
2015-01-01,457,461.9,452.8,454.15,193300,405.02
2015-01-02,455.05,495.6,455.05,480.35,3164400,428.39
2015-01-05,482.1,489.7,477.2,483.4,982700,431.11
2015-01-06,474.7,485.9,468.05,473.6,924500,422.37
2015-01-07,475,502,472.15,497.5,1494400,443.68
2015-01-08,504.6,512.4,500.25,504.65,1125800,450.06
2015-01-09,505.2,507.15,488,495.5,1184900,441.9
2015-01-12,493.1,505.5,488.35,497.6,1153400,443.77
2015-01-13,499.7,506.5,486.4,492.2,1133400,438.95
2015-01-14,493.15,503.25,490,499.45,521900,445.42
2015-01-15,510,542,507.15,533.7,4525700,475.96
2015-01-16,534.6,574.9,531,566.35,4220800,505.08
2015-01-19,573,580,562.3,571.95,2866900,510.08
2015-01-20,572.4,606.4,572,597.1,3963700,532.51
2015-01-21,597,599.7,581.4,588.65,1643500,524.97
2015-01-22,589.5,599.55,583,586.2,891000,522.79
2015-01-23,588.4,597.8,581.6,585.85,904300,522.47
2015-01-26,585.85,585.85,585.85,585.85,0,522.47
2015-01-27,585.5,636.35,572.1,620.25,4018700,553.15
2015-01-28,621,640,606.5,619.95,2025700,552.88
2015-01-29,611.85,611.85,590,593.55,1994400,537.14
2015-01-30,591.95,599.9,556,588.7,2201100,532.75
2015-02-02,589,609,587.6,595.05,934500,538.5
2015-02-03,595.25,611.5,590,603.45,1123700,546.1
2015-02-04,607.85,611,595.1,597.9,1001500,541.07
2015-02-05,595,604.9,575,584.45,1389300,528.9
2015-02-06,586.05,597.8,580.25,586.45,568700,530.71
2015-02-09,582.7,591.9,573.4,574.7,967500,520.08
2015-02-10,573.9,585.55,560,580.5,1012700,525.33
2015-02-11,578.15,595,577.95,585.25,719200,529.63
2015-02-12,589.85,599.5,585.1,591.45,1380900,535.24
2015-02-13,594.8,624.4,594.8,610.75,2941100,552.7
2015-02-16,615.95,629.8,611.6,616.05,1726900,557.5
2015-02-17,616.05,616.05,616.05,616.05,0,557.5
2015-02-18,619.9,642.4,618.25,635.15,1640100,574.78
2015-02-19,641,650.8,624.45,629.8,1222700,569.94
2015-02-20,631,631.95,611.1,618.75,1181400,559.94
2015-02-23,623.85,629.2,615.3,621.5,911100,562.43
2015-02-24,624.3,640,615.25,632.95,1284700,572.79
2015-02-25,638.3,642.9,626,630.75,1271500,570.8
2015-02-26,631.45,641.15,625.15,630.55,2278700,570.62
2015-02-27,632.9,636.8,628,633.6,1818200,573.38
2015-03-02,625.9,638,616,628.15,1573600,568.45
2015-03-03,629.1,639,628,631.85,671900,571.8
2015-03-04,639.85,644,633,636.8,1712100,576.28
2015-03-05,637.3,642.95,626,632.75,448000,572.61
2015-03-06,632.75,632.75,632.75,632.75,0,572.61
2015-03-09,628.3,628.3,597.25,602.05,896600,544.83
2015-03-10,602,614,588.95,593.35,1316900,536.96
2015-03-11,596.6,602.6,565.35,568.45,1035000,514.42
2015-03-12,569,575,561.1,563.55,1295000,509.99
2015-03-13,570,571.45,543.8,565.5,1855900,511.75
2015-03-16,576.95,576.95,567.7,570.8,1334200,516.55
2015-03-17,574.9,584,561.15,563.8,1245900,510.22
2015-03-18,567.5,572.9,558.9,563.9,954500,510.31
2015-03-19,568.9,574,551,554.85,781900,502.12
2015-03-20,559.95,565,543,554.35,928100,501.66
2015-03-23,558,564,553.15,557.25,1082800,504.29
2015-03-24,558.6,568,553.05,561.8,1412400,508.41
2015-03-25,561.65,564.9,554.35,559.6,1196500,506.41
2015-03-26,557,562.5,538,544.2,1328900,492.48
2015-03-27,544,555.9,538.15,541.95,1188300,490.44
2015-03-30,549.85,554.15,546.1,548.85,924500,496.69
2015-03-31,554.15,574,550,557.9,2007500,504.88
2015-04-01,554.9,583.7,551.45,573.45,1400800,518.95
2015-04-02,573.45,573.45,573.45,573.45,0,518.95
2015-04-03,573.45,573.45,573.45,573.45,0,518.95
2015-04-06,578,582.9,568.55,573.55,737300,519.04
2015-04-07,577.8,577.8,558.65,560.75,895100,507.46
2015-04-08,564.9,569.75,553.05,557.65,889300,504.65
2015-04-09,562,591.2,559,581.4,1678900,526.14
2015-04-10,590,599.75,576.1,580.5,1443700,525.33
2015-04-13,582.85,585.85,576,580.7,602900,525.51
2015-04-14,580.7,580.7,580.7,580.7,0,525.51
2015-04-15,583,593,569.8,573.35,1086700,518.86
2015-04-16,574,579.05,552.3,570.2,920900,516.01
2015-04-17,568.5,572.7,550.75,554.75,614100,502.03
2015-04-20,556.75,557.9,522.25,536.25,1386700,485.28
2015-04-21,535,561,534.3,550.3,1511400,498
2015-04-22,559,569.3,550.25,561.15,1571700,507.82
2015-04-23,564.4,568.2,556.5,559.85,893500,506.64
2015-04-24,562,567,523.1,554.3,2497100,501.62
2015-04-27,559.65,569.4,535,557.35,2774200,504.38
2015-04-28,559,577.9,555.1,574.15,1144900,519.58
2015-04-29,574.65,594,574.65,589.9,1836300,533.83
2015-04-30,593,599,585,593.65,1964600,537.23
2015-05-01,593.65,593.65,593.65,593.65,0,537.23
2015-05-04,594.6,601.2,581.45,587.65,729200,531.8
2015-05-05,588.9,597,584,588.7,540500,532.75
2015-05-06,578.9,578.9,551.1,558.7,1008700,513.45
2015-05-07,554.9,554.9,517,541.8,1913400,497.92
2015-05-08,546,566.3,543.3,559.4,620400,514.09
2015-05-11,560.9,570,551.2,556.2,461700,511.15
2015-05-12,558,558,532.4,549.5,1267500,504.99
2015-05-13,555.7,572.7,553,564.65,871600,518.92
2015-05-14,566.4,566.4,554.4,560.5,431800,515.1
2015-05-15,563.45,566.4,555,558.1,1040600,512.9
2015-05-18,555,566.9,554.7,564.05,526900,518.37
2015-05-19,565.75,572,555.05,565.05,635500,519.29
2015-05-20,567.35,580.85,565.15,573.7,791300,527.23
2015-05-21,574.4,585.5,566.85,580.3,1375500,533.3
2015-05-22,579.9,601.1,579,594.35,1690600,546.21
2015-05-25,595,600,588.2,592.9,964700,544.88
2015-05-26,592.9,601,592,593.55,925800,545.48
2015-05-27,591.9,595.5,584,590.9,894100,543.04
2015-05-28,586.25,596.3,586.25,593.05,1508600,545.02
2015-05-29,595.65,607.9,589.1,595.95,1747000,547.68
2015-06-01,595.5,611.9,592.25,609.1,1315500,559.77
2015-06-02,612.9,614.85,590.25,596.7,2454200,548.37
2015-06-03,595,606.8,541.5,595.75,1675900,547.5
2015-06-04,603,604.95,583.15,589.05,810600,541.34
2015-06-05,583,594,582.95,585.2,523800,537.8
2015-06-08,587.7,592.75,582,588.35,480300,540.7
2015-06-09,585,588.25,568.2,573,532100,526.59
2015-06-10,572.95,586.5,568.1,578.95,502900,532.06
2015-06-11,582.5,597.5,576.25,579.4,1088700,532.47
2015-06-12,581.15,587.1,574.3,577.6,786300,530.82
2015-06-15,577.9,586.9,550.35,556.35,543200,511.29
2015-06-16,548.1,560.5,543.25,556.85,1013000,511.75
2015-06-17,571.25,586,567.95,580.55,1145400,533.53
2015-06-18,587.3,600,586.9,596.4,1456400,548.1
2015-06-19,597.1,606.45,590.4,597.8,1131500,549.38
2015-06-22,598.5,612.9,598,607.35,1608500,558.16
2015-06-23,609.8,613.2,594.1,599.85,1043700,551.27
2015-06-24,601,608.6,595,599.35,1289900,550.81
2015-06-25,597,614,595,607.55,1919100,558.34
2015-06-26,607,628,596.05,616.4,3101600,566.48
2015-06-29,600,614.75,572.1,610.4,869400,560.96
2015-06-30,610.4,625.4,606.75,622.45,1344800,572.04
2015-07-01,624.9,638.8,620.9,630.2,1082300,579.16
2015-07-02,634,674.55,631.55,667.25,3164300,613.21
2015-07-03,669.85,671.9,649,654.5,996000,601.49
2015-07-06,644.9,668,642.1,663,846000,609.3
2015-07-07,665,666.1,650.1,654.25,978500,601.26
2015-07-08,640.4,654,627,632.05,1086200,580.86
2015-07-09,626,634.95,616.8,620.85,1097600,570.57
2015-07-10,623,640,623,631.75,1230100,580.58
2015-07-13,633,641.35,630.25,633,1339800,581.73
2015-07-14,639,650,635.85,639.35,1590600,587.57
2015-07-15,640.5,644.4,627,634.1,823100,582.74
2015-07-16,638,659.8,633.05,656.55,1216600,603.37
2015-07-17,657,675,650,668.8,978000,614.63
2015-07-20,672.5,682,667,679,781400,624.01
2015-07-21,680.55,682.2,657.5,665,1737200,611.14
2015-07-22,673,720,668.15,713.55,1916800,655.76
2015-07-23,716.8,723.8,700.25,717.05,1839200,658.97
2015-07-24,710.1,738.8,701,728.05,1990300,669.08
2015-07-27,722,759,715.7,745.75,2217400,685.35
2015-07-28,748,761,726.5,751.6,1790900,690.73
2015-07-29,746,759.35,736.1,744.7,1389800,684.39
2015-07-30,736.3,745.95,726.15,730.55,1058900,679.59
2015-07-31,722.4,746.3,722.4,738.2,1757800,686.71
2015-08-03,738.3,762.55,738.2,755,988500,702.34
2015-08-04,757,789,753.6,785.8,2093600,730.99
2015-08-05,781.15,798.8,779.1,790,1679400,734.9
2015-08-06,786,810,782.15,802.15,1506800,746.2
2015-08-07,793.25,805.3,792.1,794.8,1504400,739.36
2015-08-10,794,820.85,794,801,1510200,745.13
2015-08-11,807.3,809.8,791.1,800.9,1300200,745.04
2015-08-12,790,796.2,746.4,755.1,1977200,702.43
2015-08-13,760.7,772,740.2,756.6,1705900,703.83
2015-08-14,776,795,775.05,793,3488500,737.69
2015-08-17,796.8,814.1,785,796.6,1366400,741.04
2015-08-18,800,803.4,779.5,795.45,1342400,739.97
2015-08-19,794.9,809.4,791.1,800.35,1492500,744.53
2015-08-20,796.95,809.5,787.4,791.2,3598800,736.01
2015-08-21,784.3,787,753.75,773.95,2455200,719.97
2015-08-24,733.6,743.2,685.15,716.05,5114600,666.11
2015-08-25,722.2,745,705,739.25,3012700,687.69
2015-08-26,732.35,765,721.75,759.9,2850000,706.9
2015-08-27,778.95,779,768.6,774.8,4928500,720.76
2015-08-28,780.2,782,751.25,777.15,5010500,722.94
2015-08-31,777.25,789.2,734.5,755.05,21811600,702.39
2015-09-01,728.6,747.7,717.1,727.5,2615300,676.76
2015-09-02,728,734.75,700.25,711.1,4307400,661.5
2015-09-03,711.95,722.7,695.3,710.65,2477200,661.08
2015-09-04,706.8,728.2,706,721.75,4099200,671.41
2015-09-07,722,731.9,713.7,724.45,3090000,673.92
2015-09-08,724.25,727.45,701.1,721.75,3404500,671.41
2015-09-09,725,735.9,714,715.95,5902700,666.01
2015-09-10,701.5,727.7,696.55,724.4,1933500,673.87
2015-09-11,730,732.9,725.25,729.6,1544200,678.71
2015-09-14,735.9,771.4,732.1,766.4,1652000,712.94
2015-09-15,765,769.95,746.65,748,1161900,695.83
2015-09-16,754,756,718.9,730.6,3089600,679.64
2015-09-17,730.6,730.6,730.6,730.6,0,679.64
2015-09-18,741,754.2,710.1,719.85,3557500,669.64
2015-09-21,708.4,727.25,704.9,716.8,1029800,666.8
