"Date","ICICIBANK.NS.Open","ICICIBANK.NS.High","ICICIBANK.NS.Low","ICICIBANK.NS.Close","ICICIBANK.NS.Volume","ICICIBANK.NS.Adjusted"
2015-01-01,352.7,353.45,350.2,352.3,2348400,339.36
2015-01-02,352,363.5,352,362.3,7520900,348.99
2015-01-05,365.3,367.4,361.5,363.05,9378200,349.71
2015-01-06,359.4,359.9,346.2,347.65,12074900,334.88
2015-01-07,345.6,346.25,335.45,338.25,19322100,325.83
2015-01-08,345,348.5,341.2,347.45,11416400,334.69
2015-01-09,349.95,350.4,337.1,341.85,14273600,329.29
2015-01-12,342.75,347.6,338.7,346.55,7549100,333.82
2015-01-13,349,349,339.75,340.9,11909800,328.38
2015-01-14,339.25,341.8,333,336.9,11934400,324.53
2015-01-15,352.15,356,347.55,352.85,15148100,339.89
2015-01-16,352.85,354.6,347.45,353.85,13387800,340.85
2015-01-19,355.5,361.8,353.5,360.8,9342700,347.55
2015-01-20,359.7,369.25,359.7,367.75,10434100,354.24
2015-01-21,366.5,370.95,365.15,368.45,11325300,354.92
2015-01-22,368.9,372.3,364.6,369.8,8473500,356.22
2015-01-23,374.9,375.5,368.7,370.7,12295900,357.08
2015-01-26,370.7,370.7,370.7,370.7,0,357.08
2015-01-27,374.5,384.8,372.7,383.5,12666100,369.41
2015-01-28,382.95,393.4,381.6,384.05,13443300,369.94
2015-01-29,380.1,383.8,375.55,380.3,20077500,366.33
2015-01-30,381.45,382,354.65,360.7,28520200,347.45
2015-02-02,360.3,360.7,350,351.85,33787200,338.93
2015-02-03,352,356.8,345.1,346.6,23614200,333.87
2015-02-04,346.05,347.25,340.25,344.65,14217600,331.99
2015-02-05,340.9,345.3,332.75,335.6,17065300,323.27
2015-02-06,336,340,327.7,329.35,16192500,317.25
2015-02-09,327.5,327.5,318.5,320.05,13937100,308.29
2015-02-10,318.5,335,316.4,331.05,28455700,318.89
2015-02-11,334.1,339.95,333.95,334.7,12483800,322.41
2015-02-12,338.2,341.35,330,339.15,13065700,326.69
2015-02-13,344,345.9,340.2,343.85,9024100,331.22
2015-02-16,346.95,346.95,336.4,338.05,10076300,325.63
2015-02-17,338.05,338.05,338.05,338.05,0,325.63
2015-02-18,339.7,344,339.7,342.4,8027300,329.82
2015-02-19,340.1,343.85,332.25,338.55,9387600,326.11
2015-02-20,335,335.8,328.5,330.95,15633600,318.79
2015-02-23,333,334.5,327,329,11124300,316.92
2015-02-24,329.5,331.4,324.5,326.05,11070600,314.07
2015-02-25,327.6,331,321.25,322.5,16390800,310.65
2015-02-26,324.7,325.45,320.15,321.3,16687500,309.5
2015-02-27,324.6,337.05,323,335.25,15597700,322.94
2015-03-02,350.85,351.95,340.55,349.05,14761000,336.23
2015-03-03,348,349.5,344.1,348.65,14827200,335.84
2015-03-04,360,362,346.05,349.35,24552100,336.52
2015-03-05,346.4,349.9,340.1,347.75,11525200,334.98
2015-03-06,347.75,347.75,347.75,347.75,0,334.98
2015-03-09,342,342.95,331.75,332.8,12465200,320.58
2015-03-10,332.7,337.8,330.35,333.65,14263700,321.39
2015-03-11,333.6,336.95,329,332.65,10693100,320.43
2015-03-12,337.55,339.7,334.65,338.2,11150000,325.78
2015-03-13,345,346,329,330.2,13061800,318.07
2015-03-16,329.5,333,325.65,331.45,11360400,319.28
2015-03-17,332,336.5,330.15,334.85,10195300,322.55
2015-03-18,333.1,336.55,331.05,334.8,8730600,322.5
2015-03-19,339.5,341.4,328.35,330.2,14080100,318.07
2015-03-20,328.9,329.25,316.7,318.6,21262900,306.9
2015-03-23,322.05,322.4,312.45,313.8,10470000,302.27
2015-03-24,310.5,316.65,309.45,311.9,16554100,300.44
2015-03-25,312,319,311.1,316.9,13735600,305.26
2015-03-26,311,313.7,302.6,307.95,31792400,296.64
2015-03-27,313,316.2,308.25,314.55,15803500,303
2015-03-30,316.3,319.5,313.35,318.7,12854600,306.99
2015-03-31,318.9,322.75,313.8,315.5,13016000,303.91
2015-04-01,315,324.4,314.05,323.15,8355300,311.28
2015-04-02,323.15,323.15,323.15,323.15,0,311.28
2015-04-03,323.15,323.15,323.15,323.15,0,311.28
2015-04-06,325.45,325.45,319.35,321.25,9557000,309.45
2015-04-07,322.95,323.45,315,317.4,8953900,305.74
2015-04-08,318.9,319.7,314.55,315.1,8325900,303.53
2015-04-09,318,321.9,316.9,320.6,12287400,308.82
2015-04-10,319.5,321.65,317.2,318.3,8230100,306.61
2015-04-13,319.9,319.9,316,316.9,8009600,305.26
2015-04-14,316.9,316.9,316.9,316.9,0,305.26
2015-04-15,318.35,322.3,313.05,315,10270600,303.43
2015-04-16,315.9,316,310.15,312.5,8802400,301.02
2015-04-17,314.05,314.95,308.25,310.1,10581400,298.71
2015-04-20,312.9,317.6,308.3,311.15,10603300,299.72
