"Date","ICIL.NS.Open","ICIL.NS.High","ICIL.NS.Low","ICIL.NS.Close","ICIL.NS.Volume","ICIL.NS.Adjusted"
2015-01-01,345.85,351.5,342,344.55,120000,68
2015-01-02,354,354,340.05,344.95,178900,68.08
2015-01-05,348.6,349.65,338.9,340.5,111700,67.2
2015-01-06,351,351,330,333.5,140100,65.82
2015-01-07,334,334,317,328.35,158100,64.81
2015-01-08,332,342,332,338.05,153600,66.72
2015-01-09,347.05,351.7,338.2,340.1,377200,67.12
2015-01-12,342.8,362,329,353,466700,69.67
2015-01-13,353,362.6,348.6,352.7,469700,69.61
2015-01-14,353.8,356,348,351.2,81700,69.31
2015-01-15,358.8,359.8,345.25,354.5,168900,69.97
2015-01-16,360.3,360.3,348,351.5,63800,69.37
2015-01-19,350,361.4,342,352.3,136600,69.53
2015-01-20,359,374,354.75,368.2,691500,72.67
2015-01-21,373.8,379.75,366.9,371.2,348800,73.26
2015-01-22,374.85,385,351,376.65,360300,74.34
2015-01-23,382,385,370.05,377.55,152100,74.52
2015-01-26,377.55,377.55,377.55,377.55,0,74.52
2015-01-27,380,422.2,380,417.05,853100,82.31
2015-01-28,423,432,405,413.5,383100,81.61
2015-01-29,416.95,416.95,400,409.2,134100,80.76
2015-01-30,410,417,402,406,80400,80.13
2015-02-02,408,427.95,407.05,423.25,146600,83.54
2015-02-03,421.95,449.9,420.05,440.65,373000,86.97
2015-02-04,441.2,479,432,468.5,604800,92.47
2015-02-05,470.35,482.95,457.4,467.55,402200,92.28
2015-02-06,461,461.95,430,441.6,322400,87.16
2015-02-09,441,453.25,416.15,443.25,179100,87.48
2015-02-10,436,454.2,417.3,436.45,352000,86.14
2015-02-11,440,473,437.15,445.7,306600,87.97
2015-02-12,449.8,453.4,435.5,440.3,164500,86.9
2015-02-13,434.5,444.45,432.85,435.65,122100,85.98
2015-02-16,425.05,435.05,417,422.35,121000,83.36
2015-02-17,422.35,422.35,422.35,422.35,0,83.36
2015-02-18,439,439,402,404.45,148700,79.82
2015-02-19,404.5,411,401.05,404.5,108800,79.83
2015-02-20,406.95,410,384,387.4,141400,76.46
2015-02-23,387,409.9,385,397.45,104000,78.44
2015-02-24,386,395.5,381.9,387.05,95400,76.39
2015-02-25,384.6,394.5,383.95,387,80700,76.38
2015-02-26,391.3,412.6,384,395.8,245300,78.12
2015-02-27,400.9,409.95,395.8,401.1,85900,79.16
2015-03-02,407.7,407.7,382,394.75,121100,77.91
2015-03-03,398,435,390.15,429.8,315700,84.83
2015-03-04,429.8,434.9,408,413.2,129300,81.55
2015-03-05,422.65,430,407,411.55,111300,81.23
2015-03-06,411.55,411.55,411.55,411.55,0,81.23
2015-03-09,411.5,425.9,406,414.05,129200,81.72
2015-03-10,418.05,430,412.5,424.15,165400,83.71
2015-03-11,420.45,429.6,420.4,425.9,72900,84.06
2015-03-12,429.85,435,420.1,424,122600,83.68
2015-03-13,433.45,435,421.65,424.4,177200,83.76
2015-03-16,420.3,425,411,413.65,54100,81.64
2015-03-17,422,425,406.1,410.4,51400,81
2015-03-18,418,420,405.1,408.5,86600,80.62
2015-03-19,412,420,386.1,390.65,94800,77.1
2015-03-20,393,405,376,380.05,134900,75.01
2015-03-23,379.55,379.55,359,367.15,87400,72.46
2015-03-24,376.75,385,366.5,381.8,46300,75.35
2015-03-25,380,388.7,380,386.45,112600,76.27
2015-03-26,385,385.95,367.8,379.1,68000,74.82
2015-03-27,381,381,360.3,365.5,64500,72.14
2015-03-30,395,400,371,399.1,124700,78.77
2015-03-31,400.4,400.4,375.55,377.2,115200,74.45
2015-04-01,400,414,382,398.8,102300,78.71
2015-04-02,398.8,398.8,398.8,398.8,0,78.71
2015-04-03,398.8,398.8,398.8,398.8,0,78.71
2015-04-06,400,419.9,343,402.25,196300,79.39
2015-04-07,407.95,411,402.25,406.35,41600,80.2
2015-04-08,406,487.6,404.95,474.9,1338200,93.73
2015-04-09,478.7,479,453.5,469.35,267600,92.63
2015-04-10,469.95,490,462,474.45,163300,93.64
2015-04-13,453.1,487,453.1,475.3,61000,93.81
2015-04-14,475.3,475.3,475.3,475.3,0,93.81
2015-04-15,483.9,483.9,460.05,463.15,75600,91.41
2015-04-16,463.9,464.5,443.65,451.2,135100,89.05
2015-04-17,442.55,458,430,437.9,45600,86.43
2015-04-20,447.7,461.55,432.55,445.65,204100,87.96
2015-04-21,459.95,467,442.05,453.9,69700,89.58
2015-04-22,472,472,432,440.35,131700,86.91
2015-04-23,446.75,449.3,432,434,36700,85.66
2015-04-24,434,436.8,407.45,421.45,90600,83.18
2015-04-27,425,425,385,409.45,135600,80.81
2015-04-28,405,423,396.25,418.25,52300,82.55
2015-04-29,418.15,434,417.65,422.65,80700,83.42
2015-04-30,424.55,441,422,435.6,103200,85.97
2015-05-01,435.6,435.6,435.6,435.6,0,85.97
2015-05-04,441.95,457.95,432,451.8,103400,89.17
2015-05-05,457.95,465,439,444.25,133400,87.68
2015-05-06,457.85,457.85,402.1,412.1,114800,81.33
2015-05-07,406.65,422.15,406,408.05,70200,80.54
2015-05-08,408,442.95,402,437.3,131700,86.31
2015-05-11,450,467,437.25,454.9,841200,89.78
2015-05-12,458.8,463.9,446,452.45,458300,89.3
2015-05-13,459.95,484.7,447,476.8,1735900,94.1
2015-05-14,475.1,521.95,475.1,512.7,1575500,101.19
2015-05-15,515,525,509,520.25,574400,102.68
2015-05-18,515,547,515,542.8,728800,107.13
2015-05-19,546,546,515,522.05,227800,103.03
2015-05-20,525.2,535,520,524.75,144900,103.57
2015-05-21,525,529.7,515,520.45,104100,102.72
2015-05-22,526,533.3,518.1,522.1,217300,103.04
2015-05-25,520,530,516,520.05,183000,102.64
2015-05-26,528,545,523.1,531.1,224400,104.82
2015-05-27,529,540,526.3,538.5,215300,106.28
2015-05-28,538.8,569.4,535.8,563.3,414800,111.18
2015-05-29,572.8,584,564,568.8,248600,112.26
2015-06-01,579.45,604.9,571,601.6,546200,118.74
2015-06-02,607.9,624,585.1,594.2,357500,117.27
2015-06-03,590.5,606.95,550.05,589.2,301100,116.29
2015-06-04,591.5,598.45,565.55,577.45,112800,113.97
2015-06-05,577,600,576.8,595.5,145100,117.53
2015-06-08,608.95,608.95,571.15,575.35,105100,113.55
2015-06-09,579.85,579.85,556,559.75,88300,110.48
2015-06-10,569.8,615,564.8,611.7,276200,120.73
2015-06-11,629.5,643.5,612.1,616.75,225600,121.73
2015-06-12,613.75,621.9,607,619.3,121700,122.23
2015-06-15,620,629.95,614.65,616.75,90200,121.73
2015-06-16,628,628,601,618.8,96100,122.13
2015-06-17,627.75,627.8,608.05,613.95,91900,121.17
2015-06-18,619.5,649.95,613,639.95,275100,126.3
2015-06-19,642,646.8,617.55,621.45,176900,122.65
2015-06-22,620,641.85,620,635.55,394000,125.44
2015-06-23,641.65,642.25,630,632.5,183500,124.83
2015-06-24,636.85,674.8,632.5,655.95,576800,129.46
2015-06-25,660,687.9,651,672.9,220600,132.81
2015-06-26,679.65,699.8,676.1,684.05,282100,135.01
2015-06-29,675,694.75,644,691.45,250800,136.47
2015-06-30,686,731.35,686,723.65,567100,142.82
2015-07-01,728.5,750,720.05,722.6,323700,142.62
2015-07-02,728,732.5,711.2,718.4,139500,141.79
2015-07-03,728,728,691,695.6,267900,137.29
2015-07-06,689.9,728.5,675.7,726.15,318800,143.32
2015-07-07,733.8,750,706.6,712.95,248500,140.71
2015-07-08,706,713.6,690,701.2,337400,138.39
2015-07-09,701,721.9,695,717.1,153800,141.53
2015-07-10,731,739,720,725.05,131800,143.1
2015-07-13,732.95,737.6,715,724.2,185600,142.93
2015-07-14,724.15,732.8,713.3,716.15,139500,141.34
2015-07-15,725.9,725.9,710.25,714.2,138300,140.96
2015-07-16,715.45,726.15,714.4,720.9,171800,142.28
2015-07-17,726.45,759.9,718.2,753,764600,148.62
2015-07-20,759.8,785,753.55,779.45,460200,153.84
2015-07-21,781.2,790,750.4,761.7,278400,150.33
2015-07-22,761.7,772.95,751.4,762.05,169400,150.4
2015-07-23,765.5,772.95,755.2,760,210400,150
2015-07-24,759,792.8,756,778.85,166100,153.72
2015-07-27,784.8,795,677.95,763.9,186100,150.77
2015-07-28,773.55,790,770,785.7,116700,155.07
2015-07-29,797,797,777.2,782.95,132800,154.53
2015-07-30,788.8,837,780.1,827.5,254900,163.32
2015-07-31,835.1,858.6,830,835.15,284400,164.83
2015-08-03,839,935,838.75,912.55,997500,180.11
2015-08-04,918.85,972,918.8,950.35,1051200,187.57
2015-08-05,955.1,1017.9,955.1,998.65,920200,197.1
2015-08-06,1005,1035,934.3,989.15,679900,195.22
2015-08-07,999,1008,968.9,975.15,159700,192.46
2015-08-10,953,994.5,940.5,975.9,234300,192.61
2015-08-11,974.85,992,941.1,949.7,169200,187.44
2015-08-12,945.95,945.95,822.65,836.55,551700,165.11
2015-08-13,845.95,870,800,850.95,582200,167.95
2015-08-14,853.05,890,842.25,886.8,429900,175.02
2015-08-17,889.95,917,862.4,903.8,657600,178.38
2015-08-18,904,932,891.5,914.2,228700,180.43
2015-08-19,921.95,1034.5,910.05,991.6,671900,195.71
2015-08-20,999.5,1018,930,942.65,410800,186.05
2015-08-21,934,1000,852.25,989,956800,195.2
2015-08-24,954.45,960,835,870.25,1236600,171.76
2015-08-25,886,939.25,766.6,870.25,463900,171.76
2015-08-26,879.7,910,842.05,852.95,317300,168.34
2015-08-27,902,973.8,887.4,937.75,594800,185.08
