"Date","IDBI.NS.Open","IDBI.NS.High","IDBI.NS.Low","IDBI.NS.Close","IDBI.NS.Volume","IDBI.NS.Adjusted"
2015-01-01,73.2,75.3,72.7,74.75,2844000,73.9292
2015-01-02,75.1,78.5,75,76.95,6493100,76.105
2015-01-05,77.85,77.85,75.75,76,3406400,75.1654
2015-01-06,75.7,75.7,71.35,71.9,3563500,71.1105
2015-01-07,72.2,72.65,69.5,70.85,3502500,70.072
2015-01-08,71.85,73,71.65,72.8,2187600,72.0006
2015-01-09,73.1,73.8,71.55,72.4,2203100,71.605
2015-01-12,72.4,75.1,71.7,74.85,2617900,74.0281
2015-01-13,75.95,76,73.3,73.9,3137900,73.0885
2015-01-14,73.8,74.9,72.5,73.25,2476300,72.4456
2015-01-15,75.6,76.95,74.95,76.25,3789400,75.4127
2015-01-16,75.85,76.45,75.05,75.45,1758900,74.6215
2015-01-19,75.8,76.3,74.7,75.2,1757200,74.3742
2015-01-20,75.2,76.35,75.2,75.9,1549200,75.0665
2015-01-21,76.1,78.35,75.7,76.6,3853300,75.7589
2015-01-22,77.7,77.75,75.35,75.75,2026200,74.9182
2015-01-23,76.75,76.75,74.5,75.8,3615900,74.9676
2015-01-26,75.8,75.8,75.8,75.8,0,74.9676
2015-01-27,75.55,76,74.35,75.25,1932400,74.4237
2015-01-28,75.5,75.7,73.9,74.75,1959000,73.9292
2015-01-29,74.3,74.9,72.5,72.75,3074800,71.9511
2015-01-30,73.1,73.8,70.15,70.8,2878400,70.0226
2015-02-02,70.6,72.4,70.4,71.95,2330900,71.1599
2015-02-03,72.3,72.45,69.15,69.45,2725800,68.6874
2015-02-04,69.6,69.8,68.15,68.55,2779500,67.7973
2015-02-05,68.8,69.15,65.05,65.75,2384400,65.028
2015-02-06,65,66.6,63.15,65.8,7505300,65.0775
2015-02-09,64.65,67.5,63.9,64.3,3212900,63.5939
2015-02-10,63.95,66.8,63.15,65,3641400,64.2862
2015-02-11,65.5,67.15,65.2,66.8,2186500,66.0665
2015-02-12,66.7,67.2,65.6,66.45,2548300,65.7203
2015-02-13,66.45,67.9,66.4,67.35,2634600,66.6104
2015-02-16,68.4,70.4,67.25,68.65,3331000,67.8962
2015-02-17,68.65,68.65,68.65,68.65,0,67.8962
2015-02-18,68.7,70.2,68.15,69.55,1881300,68.7863
2015-02-19,69.9,71.35,68.4,70.35,2265800,69.5775
2015-02-20,70.6,78.75,70.6,76.25,12132000,75.4127
