"Date","IDEA.NS.Open","IDEA.NS.High","IDEA.NS.Low","IDEA.NS.Close","IDEA.NS.Volume","IDEA.NS.Adjusted"
2015-01-01,154,159.9,153.85,159.35,2315900,157.57
2015-01-02,159.95,160.95,157.45,159.9,2528200,158.11
2015-01-05,159.85,161.5,153,153.55,2787100,151.83
2015-01-06,153.75,155.25,149.8,150.5,3001700,148.82
2015-01-07,149.9,151.75,148.6,149.75,1656300,148.08
2015-01-08,150.85,152.75,150.8,152.3,3507000,150.6
2015-01-09,153.2,153.35,145.6,147.6,3937200,145.95
2015-01-12,147.1,147.85,144.6,146.1,1765400,144.47
2015-01-13,147.5,148.7,146,147,5419900,145.36
2015-01-14,147,149.5,146.2,148.5,2313500,146.84
2015-01-15,148.7,152.2,148.35,150.05,11270900,148.37
2015-01-16,149.4,153.6,149.1,151.8,2617000,150.1
2015-01-19,151.85,156.2,150.65,155.4,2328800,153.66
2015-01-20,156.4,158.3,154.7,157.85,3349200,156.09
2015-01-21,157.85,163.75,156.4,163.1,5560000,161.28
2015-01-22,163.5,168.6,162.5,165.9,6022900,164.05
2015-01-23,166.45,169.45,164,168.85,4583000,166.96
2015-01-26,168.85,168.85,168.85,168.85,0,166.96
2015-01-27,170,170.95,165.2,170.3,4883900,168.4
2015-01-28,171.8,172.1,163.05,166.05,9130700,164.19
2015-01-29,163.05,164.45,158.25,159.45,6222800,157.67
2015-01-30,159.5,160.35,153.6,154.85,4247700,153.12
2015-02-02,154.1,155.55,151.35,154,2039500,152.28
2015-02-03,154.2,156.65,152.1,154.1,1933400,152.38
2015-02-04,155,158,154,154.1,1651200,152.38
2015-02-05,155,156.15,153.25,154.25,4089900,152.53
2015-02-06,154.25,155.9,153,155.05,3162900,153.32
2015-02-09,153.05,155.55,152.5,153.9,2642000,152.18
2015-02-10,154,155.3,150.05,150.8,2789900,149.11
2015-02-11,151.6,152.6,150,151.8,1792500,150.1
2015-02-12,153,153.85,151.15,153.3,1286500,151.59
2015-02-13,153.35,155.65,152.2,154.65,2536300,152.92
2015-02-16,153.9,158.95,153.9,158.05,3191400,156.28
2015-02-17,158.05,158.05,158.05,158.05,0,156.28
2015-02-18,159.95,160.35,156.3,159.45,21045500,157.67
2015-02-19,160.9,161.1,150.6,152.35,2690100,150.65
2015-02-20,153.45,153.7,149.75,150.95,4090100,149.26
2015-02-23,154.25,154.65,151.4,152.5,3189000,150.8
2015-02-24,152.3,153.8,148.55,149.45,8417700,147.78
2015-02-25,151,153.15,150.2,152.75,5918600,151.04
2015-02-26,152.95,155.85,152.2,154.95,7499700,153.22
2015-02-27,155,155.9,151.8,154.75,3507100,153.02
2015-03-02,153.1,154.5,151.25,153.4,2929100,151.69
2015-03-03,153,156.5,152.2,154.05,1623000,152.33
2015-03-04,156,161,153.05,156.4,4570500,154.65
2015-03-05,157,157.15,149,150.05,9879200,148.37
2015-03-06,150.05,150.05,150.05,150.05,0,148.37
2015-03-09,148,150.75,143.1,149,8396000,147.33
2015-03-10,149,162.6,145.35,153.85,11301800,152.13
2015-03-11,155,165.65,153.3,163.9,12969200,162.07
2015-03-12,163.5,175.95,162.4,175,18883200,173.04
2015-03-13,174.35,183.55,172.55,182.1,16423000,180.06
2015-03-16,181.75,181.8,172.55,173.4,45219700,171.46
2015-03-17,174.5,179,172.75,176.55,6569600,174.58
2015-03-18,176,181.15,174.3,175.25,6008200,173.29
2015-03-19,176.7,179.2,173.6,175.2,4966900,173.24
2015-03-20,176,178.95,173.7,174.8,8891200,172.85
2015-03-23,175.05,178.3,170.5,171.4,3232100,169.48
2015-03-24,171.45,174.25,169,169.9,4915300,168
2015-03-25,171.35,175.4,170.7,173.3,4403100,171.36
2015-03-26,172.6,184.4,172,180.55,21810200,178.53
2015-03-27,185.1,187,166.05,172.3,14612600,170.37
2015-03-30,171,185.7,170.55,183,10346200,180.95
2015-03-31,183.9,187.5,181.8,184,12786100,181.94
2015-04-01,182.15,190.45,182.15,189.65,9709300,187.53
2015-04-02,189.65,189.65,189.65,189.65,0,187.53
2015-04-03,189.65,189.65,189.65,189.65,0,187.53
2015-04-06,189.65,194.25,188.8,193.55,8062800,191.39
2015-04-07,193.85,199,190.5,197.15,4818000,194.95
2015-04-08,198,198.55,190.1,192.2,8534700,190.05
2015-04-09,192.7,194.75,186.3,187.65,6442000,185.55
2015-04-10,187,196.95,186.8,196.05,6951500,193.86
2015-04-13,195,203.6,194.4,202.2,7629900,199.94
2015-04-14,202.2,202.2,202.2,202.2,0,199.94
2015-04-15,202,202.05,197.5,198.7,6007400,196.48
2015-04-16,199,203.9,198.3,202.75,9141100,200.48
2015-04-17,203,204,195.75,196.95,5059500,194.75
2015-04-20,197.25,197.25,190.65,191.6,5949800,189.46
2015-04-21,190,194.15,184.6,185.55,8186500,183.48
2015-04-22,186.85,188.4,182.4,186.05,6122500,183.97
2015-04-23,187.95,188.8,182.25,184.55,4309400,182.49
2015-04-24,183.9,186,181.45,182.6,2878200,180.56
2015-04-27,182.7,189.25,182.7,185.75,6864700,183.67
2015-04-28,185.85,196.2,184.15,191.85,10854900,189.71
2015-04-29,197,199.5,179.1,181.55,17627500,179.52
2015-04-30,179.8,180.35,173.75,175,17455600,173.04
2015-05-01,175,175,175,175,0,173.04
2015-05-04,177.9,179.15,175.3,178.25,5796800,176.26
2015-05-05,178.4,180.95,176.35,178.95,4156500,176.95
2015-05-06,178,182.1,171.2,171.9,8263600,169.98
2015-05-07,171,173.75,170.1,172.9,5462700,170.97
2015-05-08,174.4,177.4,168,170,7501400,168.1
2015-05-11,170,174.15,169.65,171.1,4965800,169.19
2015-05-12,172.3,172.75,166.3,168.15,7809000,166.27
2015-05-13,170,170.05,165,168.25,4690000,166.37
2015-05-14,168.25,173.3,166.5,172.4,4719100,170.47
2015-05-15,173.25,175.8,171.35,173.7,2813900,171.76
2015-05-18,174.7,177.3,171.5,176.85,2916000,174.87
2015-05-19,177.4,179.75,175.05,179,3867200,177
2015-05-20,179.5,180,174.75,175.9,4122000,173.93
2015-05-21,175.3,177.25,170.8,171.9,6087600,169.98
2015-05-22,173.4,173.65,165.8,167.5,5816000,165.63
2015-05-25,167.95,170.5,165.5,167.45,4579400,165.58
2015-05-26,167.2,168.8,165.2,166.15,4736400,164.29
2015-05-27,166,175,165,170.05,6026000,168.15
2015-05-28,171.1,171.95,165,169.2,7045700,167.31
2015-05-29,170.3,175.5,168,173.2,7821700,171.26
2015-06-01,173.6,175,171.25,172.55,2357800,170.62
2015-06-02,173.4,174.3,170.1,172.45,3223500,170.52
2015-06-03,172.5,176.5,168.5,175.2,6188400,173.24
2015-06-04,175,179.1,173,174,4159200,172.05
2015-06-05,174.9,179.5,174,178.8,6257800,176.8
2015-06-08,179,180.4,174.7,176.9,3393300,174.92
2015-06-09,176,178,173.6,177.35,2357100,175.37
2015-06-10,176.3,179,174.5,175.5,4115900,173.54
2015-06-11,177,177,166.2,167.5,7336000,165.63
2015-06-12,166,172.05,165,170.45,4511700,168.54
2015-06-15,171.1,175.9,169.1,175.55,3285800,173.59
2015-06-16,175.55,175.85,166.75,168.45,4329800,166.57
2015-06-17,169.9,171.65,167,170.45,4722700,168.54
2015-06-18,171.35,175,169.2,174.1,3032500,172.15
2015-06-19,175,177,172.75,175.5,3799300,173.54
2015-06-22,176.35,176.7,173.1,175.2,2139800,173.24
2015-06-23,175.2,175.75,172.55,174.9,2714800,172.94
2015-06-24,175,177.9,173.15,174.4,2540600,172.45
2015-06-25,173.95,175.9,172.3,173.5,5106800,171.56
2015-06-26,172.2,174.5,171.05,172.3,2728700,170.37
2015-06-29,171,171.7,168.15,170.15,3209300,168.25
2015-06-30,170.05,176.75,170,176.15,4165600,174.18
2015-07-01,176.5,180.25,175.1,178.9,2972500,176.9
2015-07-02,181.1,183.7,180.35,182.65,3910600,180.61
2015-07-03,182.8,184.2,180.2,181.2,2405900,179.17
2015-07-06,178,181.5,178,180.85,2457400,178.83
2015-07-07,181.6,182.5,178.3,181,4050700,178.98
2015-07-08,179.1,181.8,176.75,180,2670400,177.99
2015-07-09,180,182.5,179.25,179.85,2448100,177.84
2015-07-10,180,180.4,173.8,174.9,5462000,172.94
2015-07-13,175.9,176.5,174.05,174.95,4267800,172.99
2015-07-14,175,176.4,174.35,175.65,1792900,173.69
2015-07-15,175.95,178.6,175.15,176.65,3529600,174.68
2015-07-16,177.5,180,175.6,179.2,3835600,177.2
2015-07-17,180,183,179.05,181.4,3653700,179.37
2015-07-20,181.5,184.9,181.5,184.1,3077700,182.04
2015-07-21,185.4,186.5,180.6,182.15,4430100,180.11
2015-07-22,184,186,176.55,179,8217500,177
2015-07-23,180.7,181,177.5,178,3082400,176.01
2015-07-24,178.7,179.8,177.45,178.75,1932700,176.75
2015-07-27,176.35,177.3,171.05,171.95,2619500,170.03
2015-07-28,171.2,174,167.9,169,4134000,167.11
2015-07-29,169.7,171.35,165.75,169.95,3997600,168.05
2015-07-30,170.55,172.9,169.6,170.55,4031200,168.64
2015-07-31,171.5,174.3,171.15,173.35,2665300,171.41
2015-08-03,175,175,170.2,170.8,2740100,168.89
2015-08-04,171.1,171.65,163,164.1,7334100,162.27
2015-08-05,166.1,167.45,164.8,165.8,3424600,163.95
2015-08-06,165.8,169.95,165.3,168.4,3840900,166.52
2015-08-07,169.7,170.9,166.5,166.95,3373800,165.08
2015-08-10,167.8,168,163.4,163.9,7857600,162.07
2015-08-11,164.2,165.9,160.45,160.9,2897800,159.1
2015-08-12,161,162.9,158.5,161.65,3054800,159.84
2015-08-13,164.5,165.75,155.65,157.2,4116300,155.44
2015-08-14,156.1,163.3,156.1,161.25,4454300,159.45
2015-08-17,161.7,163.75,160.6,162.65,3857200,160.83
2015-08-18,163.5,163.75,159.1,159.95,2859600,158.16
2015-08-19,159.15,161.2,156.7,160.55,4836800,158.76
2015-08-20,161.7,161.7,155.5,157.05,4181700,155.29
2015-08-21,155.5,155.75,152.1,152.5,3238700,150.8
2015-08-24,149,150.8,144.2,147,4673800,145.36
2015-08-25,147,153.6,141,151,4846700,149.31
2015-08-26,148.25,155.5,148.25,151.55,2904200,149.86
2015-08-27,154.1,154.6,150.3,151.85,4909000,150.15
2015-08-28,154.25,155.5,151.85,153.95,3454400,152.23
2015-08-31,156.1,156.95,153.55,155.85,4724300,154.11
2015-09-01,153.7,155,146.9,149.4,3082700,147.73
2015-09-02,150.05,155.45,149.1,154.5,3880700,152.77
2015-09-03,154.5,155,148.65,149.4,3519700,147.73
2015-09-04,149.9,150.7,146.3,149.1,2723300,147.43
2015-09-07,148.1,148.5,144.2,144.9,2081800,143.28
2015-09-08,145.1,147.5,143.3,145.85,1605100,144.22
2015-09-09,147,155.25,146.1,149.1,6568200,147.43
2015-09-10,147.65,150,144.85,148.9,3303200,147.24
2015-09-11,149,150.7,147.8,148.9,1596700,147.24
2015-09-14,148.9,149.8,145.8,147.4,2158900,145.75
2015-09-15,147.8,148.3,143.6,144.45,2689900,142.84
2015-09-16,145.3,148,144.8,146.2,3206700,144.57
2015-09-17,146.2,146.2,146.2,146.2,0,144.57
2015-09-18,147.9,149.25,145.5,147.25,5086300,146.2
2015-09-21,146.45,147.5,145,145.85,2223800,144.81
2015-09-22,146.05,147.05,142,143.6,3649500,142.58
2015-09-23,141,143.9,141,141.65,2100800,140.64
2015-09-24,141.6,142.4,138.65,139.25,3120000,138.26
2015-09-25,139.25,139.25,139.25,139.25,0,138.26
2015-09-28,140.15,145.3,140,142.8,3412300,141.79
2015-09-29,139.7,142.6,137.15,139.7,5308400,138.71
2015-09-30,140.9,150.35,140.5,149.5,9684000,148.44
2015-10-01,149.05,153.8,147.35,150,6899800,148.93
2015-10-02,150,150,150,150,0,148.93
2015-10-05,150.2,155,149.3,153.8,4420200,152.71
2015-10-06,154.8,159.2,153.2,158.65,4755800,157.52
2015-10-07,156.5,160.25,156.5,159,5352600,157.87
2015-10-08,159.05,159.7,155.05,156.9,2803400,155.79
2015-10-09,156.7,159.4,156,157.95,2193100,156.83
2015-10-12,158,159.15,156.2,157.85,1222000,156.73
2015-10-13,157.5,157.9,151.65,152.65,2305700,151.57
2015-10-14,152.65,153.65,150.2,150.85,1845100,149.78
2015-10-15,152,153.5,151.5,152.4,1971200,151.32
2015-10-16,151,152.4,147.5,150.4,3888700,149.33
2015-10-19,151.1,152.6,147.6,151.6,2675400,150.52
2015-10-20,151.55,153,149.45,151.55,2374700,150.47
2015-10-21,151.25,153.5,150.1,151.9,2704500,150.82
2015-10-22,151.9,151.9,151.9,151.9,0,150.82
2015-10-23,148.7,150.25,138,140.45,18955800,139.45
2015-10-26,141.25,142.85,139.1,141.55,5981400,140.54
2015-10-27,140.6,143.2,139.75,141,5460700,140
2015-10-28,141,142.45,140.4,141.5,3527800,140.49
2015-10-29,141.5,142.45,140,141.5,8611200,140.49
2015-10-30,141.9,142.3,139.55,140,4594600,139.01
2015-11-02,141,141.5,138.8,140.6,3958100,139.6
2015-11-03,141.5,141.5,138.65,139.3,5446400,138.31
2015-11-04,139.85,141.9,139.15,141.1,3929200,140.1
2015-11-05,140.5,140.9,138,139.1,3512300,138.11
2015-11-06,138.5,140.95,137,139.3,4535800,138.31
2015-11-09,135.1,136.85,131.85,134.75,7150600,133.79
2015-11-10,134.7,135,126.85,130.05,7853400,129.13
2015-11-11,130.05,130.05,130.05,130.05,0,129.13
2015-11-12,130.05,130.05,130.05,130.05,0,129.13
2015-11-13,131.35,131.7,129.1,130.05,4012500,129.13
2015-11-16,130,131.95,129.4,130.4,2566900,129.47
2015-11-17,131.2,132.5,129.05,130.95,2940800,130.02
2015-11-18,130.9,135.8,130.9,134.95,6716600,133.99
2015-11-19,136,136.65,131.7,133.4,2993300,132.45
2015-11-20,133.3,138.7,132.05,136.15,3450300,135.18
2015-11-23,135.85,140,134.6,139.3,4882000,138.31
2015-11-24,138.9,141.45,136.9,140.25,4671800,139.25
2015-11-25,140.25,140.25,140.25,140.25,0,139.25
2015-11-26,140,149.75,136.4,146.85,19707400,145.81
2015-11-27,145,146.5,142.75,144,5574900,142.98
2015-11-30,143.9,143.9,140.1,141.4,5698600,140.4
2015-12-01,141.1,145.2,141.1,142,4849800,140.99
2015-12-02,142.7,142.85,138.75,140.1,4282200,139.1
2015-12-03,140,141.3,138.8,140.2,3191200,139.2
2015-12-04,138.25,139.5,137,138.7,3165400,137.71
2015-12-07,138.9,139.8,136.5,137.15,1719600,136.18
2015-12-08,136.35,138.4,134.5,135.4,2671900,134.44
2015-12-09,136,136,131.5,133.8,2143800,132.85
2015-12-10,135.9,135.9,133.45,134.55,1869400,133.59
2015-12-11,134.6,135.25,131.1,131.8,1761300,130.86
2015-12-14,132,135.4,130.2,134.9,2500400,133.94
2015-12-15,133.55,134.95,129.1,131.9,4042400,130.96
2015-12-16,133.45,135.9,132.1,134.95,3945200,133.99
2015-12-17,136,136,132.5,133.75,3729800,132.8
2015-12-18,133.9,135.5,133,135,3875600,134.04
2015-12-21,134.95,139,133.55,138.2,2947900,137.22
2015-12-22,138.9,140.85,137.3,139.35,5638100,138.36
2015-12-23,140.2,140.75,139.1,139.7,2363600,138.71
2015-12-24,142.4,142.4,139.5,141.2,2364100,140.2
2015-12-25,141.2,141.2,141.2,141.2,0,140.2
2015-12-28,141.4,141.6,138.55,139.8,2843800,138.81
2015-12-29,139.9,141.9,139.25,140.65,3479000,139.65
2015-12-30,140.7,141.8,140.2,141.05,1554000,140.05
2015-12-31,142,144.95,139.75,143.65,4734500,142.63
2016-01-01,142.95,144.45,142.2,143.2,1017000,142.18
2016-01-04,141.25,142.4,134.65,135.6,2764900,134.64
2016-01-05,136.25,138,134.45,135.35,1940900,134.39
2016-01-06,135.5,138,133.8,134.5,3795000,133.54
2016-01-07,133.65,135.25,131.05,133.4,3126000,132.45
2016-01-08,132.05,134,131.55,133.1,1943500,132.15
2016-01-11,132.4,132.55,129.25,129.8,2888600,128.88
2016-01-12,130.35,130.85,123.85,125.85,3284500,124.96
2016-01-13,126.15,127.4,120,121.1,4216600,120.24
2016-01-14,119.5,121.8,117.1,119.3,6472400,118.45
2016-01-15,120.25,121.9,111.5,112.75,4673500,111.95
2016-01-18,112.05,113.45,109.65,111.45,4136200,110.66
2016-01-19,112.2,117.95,110.55,116.7,2423200,115.87
2016-01-20,115.65,118.5,112.2,117.55,4620700,116.71
2016-01-21,118.5,120,113.15,113.95,5234600,113.14
2016-01-22,113.95,115.8,105.5,106.85,16875400,106.09
2016-01-25,108,109.05,104.75,106.95,6289000,106.19
2016-01-26,106.95,106.95,106.95,106.95,0,106.19
2016-01-27,107.3,110.6,106.3,109.5,8929000,108.72
2016-01-28,108.5,110,104.05,104.6,10576700,103.86
2016-01-29,105.2,106.8,102.3,103.15,5696000,102.42
2016-02-01,104.05,105.65,103.4,105.1,5130400,104.35
2016-02-02,105,106.85,103.2,104.05,6507800,103.31
2016-02-03,102.75,104.65,99.75,103.5,4031300,102.76
2016-02-04,105,105.3,99.15,100,4558200,99.29
2016-02-05,100.9,101.9,99.8,101.4,3377100,100.68
2016-02-08,101.5,104.7,101.45,102.05,2326700,101.32
2016-02-09,101,103.45,100,102.2,1762200,101.47
2016-02-10,104.9,104.9,97.2,100.05,3052900,99.34
2016-02-11,100.1,103.9,98.8,101.15,5373900,100.43
2016-02-12,101.7,111.25,100.2,109.65,6935400,108.87
2016-02-15,109.5,112.2,107.2,109.2,4531700,108.42
2016-02-16,111.5,112.35,104.75,105.15,3618200,104.4
2016-02-17,104.2,108.6,103.5,108,2619200,107.23
2016-02-18,109,109.4,105,107.7,4073100,106.93
2016-02-19,105.8,110,105.5,108.4,5041700,107.63
2016-02-22,108.5,110.95,108.15,109.5,1909000,108.72
2016-02-23,109.5,110,104.25,106.75,2581900,105.99
2016-02-24,106,108.25,104.25,104.7,2789600,103.96
2016-02-25,105.1,107.55,103.65,106.25,6941900,105.5
2016-02-26,106.25,106.45,103.35,105.65,2028400,104.9
2016-02-29,105,106.25,102.8,104.3,4249600,103.56
2016-03-01,104,106,103.15,105.45,3560000,104.7
2016-03-02,105.7,108.5,105.4,106.75,2916500,105.99
2016-03-03,107,109.7,106.25,108.35,2896600,107.58
2016-03-04,108.5,109.35,104.5,105.65,3907700,104.9
2016-03-07,105.65,105.65,105.65,105.65,0,104.9
2016-03-08,106,107.1,104.65,105.9,8377200,105.15
2016-03-09,105.9,107.25,103.6,106.1,1909500,105.35
2016-03-10,107,107.05,104,104.65,3580600,103.91
2016-03-11,103.6,105.95,101.3,102.2,3564600,101.47
2016-03-14,103,103.45,101.1,101.3,3130800,100.58
2016-03-15,101.2,101.5,98.8,99.1,4384900,98.4
2016-03-16,99.25,99.55,98.05,98.4,3697300,97.7
2016-03-17,99.25,101.5,98.75,100.5,8949400,99.79
2016-03-18,102.4,103.5,101.2,102.05,6464600,101.32
2016-03-21,102.2,103,101.55,102.05,4141500,101.32
2016-03-22,102.5,102.95,101.5,102.05,5035300,101.32
2016-03-23,102.5,106.5,102,104.95,9142800,104.2
2016-03-24,104.95,104.95,104.95,104.95,0,104.2
2016-03-25,104.95,104.95,104.95,104.95,0,104.2
2016-03-28,105.5,106.35,103.5,105.35,5280200,104.6
2016-03-29,105.6,108.4,105.4,107.35,3830300,106.59
2016-03-30,108.65,110.45,106.75,109.2,4376700,108.42
2016-03-31,108.5,115.1,107.75,110.2,10301600,109.42
2016-04-01,110.5,110.8,106.4,107.1,4306700,106.34
2016-04-04,107.3,114.3,107.3,113.45,7192900,112.64
2016-04-05,113.5,113.5,108.75,109.4,4505800,108.62
2016-04-06,109.4,113.5,109.35,111.1,3286800,110.31
2016-04-07,111.8,111.8,108.85,109.35,1656500,108.57
2016-04-08,109.4,110,107.25,109.05,1779600,108.28
2016-04-11,109.6,115.5,108.75,115.2,4961700,114.38
2016-04-12,116,116.8,112.3,113.05,4362900,112.25
2016-04-13,114.9,116.7,113.6,114.65,6911400,113.84
2016-04-14,114.65,114.65,114.65,114.65,0,113.84
2016-04-15,114.65,114.65,114.65,114.65,0,113.84
2016-04-18,115.2,122,115.2,120.7,7575600,119.84
2016-04-19,120.7,120.7,120.7,120.7,0,119.84
2016-04-20,121,121.45,116.6,116.9,5379800,116.07
