"Date","IDFC.NS.Open","IDFC.NS.High","IDFC.NS.Low","IDFC.NS.Close","IDFC.NS.Volume","IDFC.NS.Adjusted"
2015-01-01,76.9352,77.9851,76.5446,77.0573,4065100,74.4424
2015-01-02,77.0573,78.4246,77.0573,77.5456,9603000,74.9141
2015-01-05,77.5456,79.2548,77.2527,78.5711,9537300,75.9048
2015-01-06,78.0584,78.0828,75.7389,76.1784,12832700,73.5933
2015-01-07,75.8365,76.5934,74.7378,75.4214,9365200,72.862
2015-01-08,76.1784,77.0329,75.983,76.4713,5904200,73.8763
2015-01-09,76.7643,77.0329,74.4448,75.2017,9434600,72.6498
2015-01-12,74.7866,76.8132,74.7866,75.8854,8012400,73.3103
2015-01-13,76.2272,76.862,75.7389,76.4713,10934300,73.8763
2015-01-14,76.1295,77.5945,75.983,76.4469,9794700,73.8527
2015-01-15,78.1316,82.9172,77.4236,81.9894,41025500,79.2071
2015-01-16,81.965,82.8439,80.8662,81.2325,19348700,78.4759
2015-01-19,81.6476,83.6009,81.4766,83.2834,20392800,80.4572
2015-01-20,83.5032,84.6263,82.551,83.6985,19818900,80.8582
2015-01-21,83.8939,84.724,82.8195,83.0637,13689700,80.245
2015-01-22,83.3079,85.7006,82.8928,85.3588,19552900,82.4622
2015-01-23,85.9448,86.5552,84.6019,85.1146,16281200,82.2263
2015-01-26,85.1146,85.1146,85.1146,85.1146,0,82.2263
2015-01-27,85.1635,85.8227,83.4055,84.5287,10847800,81.6602
2015-01-28,84.9682,86.7994,84.0892,84.431,19767000,81.5659
2015-01-29,84.2845,85.0902,83.0393,83.3079,23612500,80.4809
2015-01-30,83.5276,86.5552,80.1338,84.0159,37583700,81.1648
2015-02-02,84.2357,87.5074,83.6009,86.0669,27665000,83.1463
2015-02-03,86.6529,87.1168,84.0648,84.6019,13502000,81.731
2015-02-04,84.9682,85.31,82.6486,83.259,10215300,80.4336
2015-02-05,83.259,83.8206,80.6221,81.4034,10289200,78.641
2015-02-06,81.4034,82.8195,80.5732,80.9639,10063500,78.2164
2015-02-09,80.3291,81.0372,79.328,79.7919,7849700,77.0842
2015-02-10,79.4989,83.3323,79.1815,81.4766,12161200,78.7117
2015-02-11,81.8917,83.2102,81.1348,82.4045,8055400,79.6081
2015-02-12,83.259,84.4798,82.1115,84.0159,8374000,81.1648
2015-02-13,84.5531,85.2123,84.0159,84.6263,6456700,81.7545
2015-02-16,84.724,85.5541,83.0637,83.5276,9843300,80.6931
2015-02-17,83.5276,83.5276,83.5276,83.5276,0,80.6931
2015-02-18,83.845,84.6507,83.0149,84.0403,9502400,81.1884
2015-02-19,84.1136,84.3822,82.2336,83.2102,8442400,80.3865
2015-02-20,83.259,84.1136,82.5754,82.8928,8974600,80.0799
2015-02-23,83.2346,83.4544,81.3301,81.8185,6423900,79.042
2015-02-24,81.7696,82.5265,81.2813,81.965,7906800,79.1835
2015-02-25,82.3556,83.4788,82.2091,82.4777,6715700,79.6788
2015-02-26,82.3556,82.7463,79.8164,80.2558,18913200,77.5323
2015-02-27,80.7197,84.431,80.7197,84.0892,12707500,81.2357
2015-03-02,85.4565,89.2166,84.4798,88.948,30386700,85.9296
2015-03-03,89.6072,90.242,88.069,89.7537,19571400,86.7079
2015-03-04,91.1699,91.8047,86.4087,87.4342,23249500,84.4671
2015-03-05,87.4098,88.0934,86.189,87.2389,11400700,84.2785
2015-03-06,87.2389,87.2389,87.2389,87.2389,0,84.2785
2015-03-09,86.3599,86.4331,84.1868,84.431,8125700,81.5659
2015-03-10,84.8217,84.8705,82.6242,83.7229,8806100,80.8818
2015-03-11,83.7962,84.3822,82.1115,82.4045,11763000,79.6081
2015-03-12,82.966,83.7718,82.2336,82.7219,10396600,79.9148
2015-03-13,83.4544,84.1868,80.6709,81.1104,12548500,78.3579
2015-03-16,81.0616,82.1359,80.6465,81.965,7877000,79.1835
2015-03-17,82.5021,82.5998,81.0616,81.8185,7786500,79.042
2015-03-18,81.9161,83.5032,81.8429,82.7951,8535400,79.9855
2015-03-19,83.5032,83.8939,81.1104,81.4034,8435900,78.641
2015-03-20,81.1348,81.965,80.8174,81.6232,6893800,78.8533
2015-03-23,81.8917,82.4777,81.3057,81.9894,7273600,79.2071
2015-03-24,81.9161,82.6975,81.3546,82.2091,9818200,79.4194
2015-03-25,82.6486,82.6486,80.3291,80.7442,6183300,78.0042
2015-03-26,80.5488,81.8673,78.1316,79.0106,26354700,76.3294
2015-03-27,79.8408,82.5265,78.2537,82.0871,16403600,79.3015
2015-03-30,82.673,82.7463,81.3057,82.3801,5849500,79.5846
2015-03-31,82.8684,83.3323,80.8907,81.5255,7542000,78.759
2015-04-01,81.5011,84.6996,81.0616,84.3333,9088900,81.4715
2015-04-02,84.3333,84.3333,84.3333,84.3333,0,81.4715
2015-04-03,84.3333,84.3333,84.3333,84.3333,0,81.4715
2015-04-06,84.5775,86.1401,83.3567,85.6518,8633200,82.7452
2015-04-07,85.7495,85.8227,83.259,83.7474,12076400,80.9055
2015-04-08,84.0159,84.4798,82.7707,83.0149,8960900,80.1978
2015-04-09,83.6985,85.31,83.1369,84.1136,11720800,81.2592
2015-04-10,85.4565,87.3365,85.2367,85.9692,20886800,83.0519
2015-04-13,86.5796,86.8238,85.0414,85.5786,9419300,82.6745
2015-04-14,85.5786,85.5786,85.5786,85.5786,0,82.6745
2015-04-15,85.7495,86.3843,83.3079,83.8206,12205600,80.9762
2015-04-16,83.9671,84.0403,81.6232,82.7219,9661100,79.9148
2015-04-17,82.1359,83.4299,81.7941,82.2091,8980400,79.4194
2015-04-20,82.4045,82.8684,80.6221,81.5011,7155400,78.7354
2015-04-21,81.8917,82.7219,81.1104,81.7208,7066300,78.9476
2015-04-22,81.7696,82.4777,80.0849,81.5987,8220600,78.8297
2015-04-23,82.258,83.4544,81.9161,82.7219,10998300,79.9148
2015-04-24,82.6975,82.7219,81.1348,81.5499,8287300,78.7825
2015-04-27,81.8673,81.9161,79.2792,79.7675,8270200,77.0606
2015-04-28,79.4989,82.2336,79.0839,81.7941,9529400,79.0184
2015-04-29,81.7696,81.965,80.5732,81.0372,9065200,78.2872
2015-04-30,80.0849,82.5998,79.1083,81.9894,24716800,79.2071
2015-05-01,81.9894,81.9894,81.9894,81.9894,0,79.2071
2015-05-04,82.6975,82.9416,81.4278,81.9406,8051000,79.16
2015-05-05,82.0382,82.9172,81.0616,81.5011,9603000,78.7354
2015-05-06,81.2813,81.4278,78.1561,78.7176,12957600,76.0463
2015-05-07,78.1316,78.6932,74.3716,75.5924,17596300,73.0272
2015-05-08,76.6423,79.2059,75.7389,78.1805,21472000,75.5275
2015-05-11,78.7176,79.2792,78.1561,78.5223,10065000,75.8577
2015-05-12,78.3514,78.3758,74.6646,75.0796,11037700,72.5318
2015-05-13,75.7389,77.9363,75.4947,77.1306,13392400,74.5132
2015-05-14,76.8864,77.9363,76.2272,77.1794,6775400,74.5603
2015-05-15,77.3991,77.9851,76.0807,76.5202,9271300,73.9235
2015-05-18,76.8864,77.3015,75.5191,76.5934,10119600,73.9942
2015-05-19,76.4469,77.2771,75.9342,76.1051,11579900,73.5225
2015-05-20,76.276,76.9108,75.2505,75.5191,8785100,72.9564
2015-05-21,75.2017,75.9586,74.7622,75.1773,8487500,72.6262
2015-05-22,76.0807,76.8132,75.3482,75.5191,10235300,72.9564
2015-05-25,75.4947,76.0319,74.9575,75.1284,6111800,72.5789
2015-05-26,75.104,75.5435,74.7622,74.982,6443600,72.4375
2015-05-27,74.7866,75.5924,74.396,75.0796,11252300,72.5318
2015-05-28,75.0064,75.397,74.4692,74.7378,36860000,72.2016
2015-05-29,74.982,75.9098,74.396,75.4703,23834700,72.9092
2015-06-01,75.6412,76.276,74.9331,75.1773,8625000,72.6262
2015-06-02,75.4459,76.0074,72.9554,73.1752,11917700,70.692
2015-06-03,73.224,73.5414,70.3185,72.3939,11989900,69.9372
2015-06-04,72.6136,73.5658,71.3195,72.8822,6611200,70.409
2015-06-05,72.7357,74.2006,71.2951,72.1741,11906900,69.7249
2015-06-08,72.1009,72.4671,70.5626,71.2707,6482500,68.8522
2015-06-09,71.2951,72.6136,71.0754,72.1497,7002700,69.7013
2015-06-10,72.4671,72.8577,71.5881,71.7834,4373500,69.3475
2015-06-11,72.3206,72.638,71.1975,71.6125,6394100,69.1824
2015-06-12,71.6614,71.6614,69.9766,71.0021,7607600,68.5927
2015-06-15,70.9777,71.7346,70.6603,71.173,4620200,68.7578
2015-06-16,71.3928,72.9798,70.0255,72.4915,6669600,70.0315
2015-06-17,72.5648,73.8344,72.0276,72.5403,8739800,70.0787
2015-06-18,73.224,73.3705,72.5159,72.7601,6466100,70.291
2015-06-19,73.2484,73.3461,71.7102,72.0764,9929700,69.6305
2015-06-22,72.4915,75.7633,72.4183,75.104,10677400,72.5554
2015-06-23,75.3238,76.2516,74.5669,75.397,8300900,72.8384
2015-06-24,75.5924,75.8609,73.81,74.103,6153200,71.5883
2015-06-25,73.7611,75.4947,73.1996,75.2261,13899500,72.6733
2015-06-26,74.7134,75.0064,73.8344,74.5669,4715200,72.0365
2015-06-29,72.3206,72.7357,70.9045,72.3206,12416700,69.8664
2015-06-30,72.4915,73.3461,71.5637,72.1253,9358300,69.6778
2015-07-01,71.8811,74.8599,71.8323,74.2495,11791500,71.7299
2015-07-02,74.2739,74.7622,73.2484,73.3949,7660500,70.9043
2015-07-03,73.4437,74.2006,73.1263,73.4682,4815000,70.9751
2015-07-06,72.2718,74.4448,72.2718,73.9321,6042400,71.4232
2015-07-07,74.4204,75.4459,73.9809,74.2739,6334300,71.7534
2015-07-08,73.8832,74.3471,72.7601,73.7367,7431100,71.2345
2015-07-09,73.9321,74.8599,73.3461,74.3471,4413700,71.8242
2015-07-10,74.7378,75.9342,74.103,75.6412,8952700,73.0743
2015-07-13,75.6412,76.6178,74.8599,76.2272,6577700,73.6405
2015-07-14,76.3981,77.2527,75.4947,75.7144,7576200,73.1451
2015-07-15,75.7144,76.7887,75.7144,76.2516,7030600,73.664
2015-07-16,76.3737,77.3747,76.1784,76.6911,7864300,74.0886
2015-07-17,77.0085,77.0817,75.5191,75.69,5609500,73.1215
2015-07-20,75.9586,77.0085,75.69,76.4469,6172100,73.8527
2015-07-21,76.6178,76.862,74.7866,75.104,5764200,72.5554
2015-07-22,74.9331,76.7643,74.4936,76.6178,5168700,74.0178
2015-07-23,75.4214,75.8854,74.689,74.7866,7849000,74.7866
2015-07-24,74.9575,79.8896,74.4692,76.7643,49389700,76.7643
2015-07-27,76.6178,77.8631,74.7134,74.8843,17459100,74.8843
2015-07-28,75.4947,75.69,74.2251,74.5425,10781900,74.5425
2015-07-29,74.7134,75.6656,74.4448,75.3238,8454400,75.3238
2015-07-30,76.0319,76.0563,73.5902,74.5913,27364900,74.5913
2015-07-31,74.8355,75.0796,72.8822,73.1996,18411000,73.1996
2015-08-03,73.2484,74.6646,73.1019,73.3705,10146900,73.3705
2015-08-04,73.4682,73.7856,72.2718,72.4915,12131200,72.4915
2015-08-05,73.0775,73.3949,72.1985,72.5892,8286500,72.5892
2015-08-06,72.7601,73.1019,71.5637,72.052,7170700,72.052
2015-08-07,71.9299,73.1996,71.8323,72.1985,9222400,72.1985
2015-08-10,72.2718,72.6868,71.4416,71.9055,6716700,71.9055
2015-08-11,72.1253,72.1985,70.8556,71.0998,5253900,71.0998
2015-08-12,70.8312,71.0021,68.3652,68.707,12085700,68.707
2015-08-13,69.1465,69.7813,67.9013,68.4384,11073800,68.4384
2015-08-14,68.9023,71.051,68.6093,70.7091,8006600,70.7091
2015-08-17,71.0265,71.4904,69.7569,71.1242,4838900,71.1242
2015-08-18,71.1242,71.2951,69.8057,69.9522,4423500,69.9522
