"Date","IFCI.NS.Open","IFCI.NS.High","IFCI.NS.Low","IFCI.NS.Close","IFCI.NS.Volume","IFCI.NS.Adjusted"
2015-01-01,37.85,38,37.45,37.8,2816400,34.29
2015-01-02,37.85,38.45,37.85,38.1,4118900,34.56
2015-01-05,38,38.45,37.75,38.05,4219100,34.52
2015-01-06,37.6,37.8,35.85,36.05,6855700,32.7
2015-01-07,36.05,36.55,35.45,35.85,4776600,32.52
2015-01-08,36.25,36.6,36.15,36.4,3261900,33.02
2015-01-09,36.6,37.1,35.9,36.45,4038200,33.07
2015-01-12,36.45,36.95,36.1,36.75,2854600,33.34
2015-01-13,36.85,37.05,36,36.4,5015800,33.02
2015-01-14,36.2,36.55,35.6,35.9,2774700,32.57
2015-01-15,36.5,38.2,36.45,37.9,5655400,34.38
2015-01-16,37.95,38.25,37.35,37.6,3993100,34.11
2015-01-19,37.7,38.1,37.25,37.45,2979700,33.97
2015-01-20,37.5,38,37.15,37.5,2818800,34.02
2015-01-21,37.6,37.95,37.1,37.35,2674200,33.88
2015-01-22,37.45,37.9,37.2,37.45,3133500,33.97
2015-01-23,37.6,38.15,37,37.9,5995500,34.38
2015-01-26,37.9,37.9,37.9,37.9,0,34.38
2015-01-27,37.7,38.1,36.95,37.25,3493900,33.79
2015-01-28,37.25,37.8,36.95,37.4,3705600,33.93
2015-01-29,37.45,37.95,37.15,37.75,6584800,34.25
2015-01-30,38,39.65,37.05,37.6,14730000,34.11
2015-02-02,38,41.75,37.85,40.7,20386100,36.92
2015-02-03,41,41,38.85,39.35,11505900,35.7
2015-02-04,39.35,40.35,38.6,39.15,8245200,35.52
2015-02-05,39.2,39.5,37.5,37.75,6818200,34.25
2015-02-06,37.55,38.7,36.85,37.05,10715500,33.61
2015-02-09,36.65,37.05,34.95,35.05,7594400,31.8
2015-02-10,34.95,36.35,34.3,35.3,7220700,32.02
2015-02-11,35.45,37.35,35.35,36.85,5303600,33.43
2015-02-12,36.95,37.95,36.65,37.6,4950300,34.11
2015-02-13,37.5,38.05,37.2,37.65,4312500,34.16
2015-02-16,37.4,38.2,36.9,37.15,3139000,33.7
2015-02-17,37.15,37.15,37.15,37.15,0,33.7
2015-02-18,37.4,37.95,37.15,37.6,3109900,34.11
2015-02-19,37.65,37.9,36.55,37.7,5488800,34.2
2015-02-20,38,39.65,37.65,38.7,9532200,35.11
2015-02-23,38.85,39.1,36.7,37,4792400,33.57
2015-02-24,37.5,37.75,36.85,37.3,4932700,33.84
2015-02-25,37.4,38.2,37.3,37.75,4021700,34.25
2015-02-26,37.8,38.3,37.6,37.85,6646100,34.34
2015-02-27,38.4,40.2,38.05,40,9290700,36.29
2015-03-02,38.35,38.35,37.05,37.65,5411700,35.03
2015-03-03,37.8,39.4,37.4,39.05,6183600,36.33
2015-03-04,39.55,39.9,37.05,37.35,6193300,34.75
2015-03-05,37.45,38.05,37.1,37.9,3431000,35.26
2015-03-06,37.9,37.9,37.9,37.9,0,35.26
2015-03-09,37.75,37.75,36,36.2,4160300,33.68
2015-03-10,36.25,36.65,35.5,35.95,3550800,33.45
2015-03-11,35.75,36.3,35.25,35.5,3751900,33.03
2015-03-12,35.7,36.3,35.65,36.2,2219200,33.68
2015-03-13,36.45,36.7,35.3,35.4,3265000,32.94
2015-03-16,35.45,35.85,35.2,35.4,1919900,32.94
2015-03-17,35.55,35.95,35,35.4,3398000,32.94
2015-03-18,35.6,35.9,35.2,35.55,2582500,33.08
2015-03-19,35.7,36.1,34.25,34.7,3117400,32.29
2015-03-20,34.6,34.7,34,34.1,3147100,31.73
2015-03-23,34.2,34.45,33.35,33.6,2705000,31.26
2015-03-24,33.55,33.85,33.25,33.55,2081100,31.22
2015-03-25,33.55,33.9,33.35,33.5,2133400,31.17
2015-03-26,33.5,33.6,32.9,33.05,3041600,30.75
2015-03-27,33.25,33.5,31.15,32.9,5715100,30.61
2015-03-30,33.25,33.95,33.25,33.8,2384600,31.45
2015-03-31,33.95,34.05,33.15,33.35,3487000,31.03
2015-04-01,33.9,34.6,33.35,34.2,5455500,31.82
2015-04-02,34.2,34.2,34.2,34.2,0,31.82
2015-04-03,34.2,34.2,34.2,34.2,0,31.82
