"Date","IGL.NS.Open","IGL.NS.High","IGL.NS.Low","IGL.NS.Close","IGL.NS.Volume","IGL.NS.Adjusted"
2015-01-01,455,457.1,450.1,451.45,162100,440.26
2015-01-02,452.2,455.4,451.1,452.25,222100,441.04
2015-01-05,452.25,468.3,451.1,459.85,425100,448.45
2015-01-06,458.35,458.35,441.6,447.05,386800,435.97
2015-01-07,441,448,428.5,431.95,302500,421.24
2015-01-08,441,481.9,434.6,454.75,2041300,443.48
2015-01-09,459,468.7,447,451.6,567700,440.4
2015-01-12,453.55,459.85,447.3,452.6,286700,441.38
2015-01-13,452.8,466,451,459.05,560800,447.67
2015-01-14,459,462.5,442.8,446.4,380900,435.33
2015-01-15,448,457,446.5,452.75,353000,441.53
2015-01-16,456.9,469,449.5,467.25,802400,455.67
2015-01-19,470,473.95,460.55,462.1,388600,450.64
2015-01-20,463.25,474,461.55,466.6,668200,455.03
2015-01-21,468,483.4,463.6,477.95,649000,466.1
2015-01-22,479,489,469.5,474.6,771000,462.83
2015-01-23,477,483.95,468,470.5,433900,458.84
2015-01-26,470.5,470.5,470.5,470.5,0,458.84
2015-01-27,470.3,478.95,464.45,469.4,215100,457.76
2015-01-28,469.6,480,467.4,475.8,233900,464
2015-01-29,475,478.6,468.1,470.2,384600,458.54
2015-01-30,474.5,474.5,461.6,464.6,156200,453.08
2015-02-02,463.7,474.25,460,464.05,280500,452.54
2015-02-03,465.2,470.65,460.2,463.4,130600,451.91
2015-02-04,464.95,473.9,458.2,468.35,307200,456.74
2015-02-05,469.95,478.5,461,461.95,334200,450.5
2015-02-06,464.8,467.25,455.7,459.6,169500,448.21
2015-02-09,455,460.9,446.5,454,343900,442.74
2015-02-10,452.3,455.5,425.55,430.6,559000,419.92
2015-02-11,434.1,435,419.2,429.75,309800,419.1
2015-02-12,431,437.9,423.5,429.05,351300,418.41
2015-02-13,430.4,439.8,420,427.4,424300,416.8
2015-02-16,428,434.7,425,426.65,125300,416.07
2015-02-17,426.65,426.65,426.65,426.65,0,416.07
2015-02-18,428,436.9,424,426.6,235800,416.02
2015-02-19,427.5,432.85,420.55,427.5,177400,416.9
2015-02-20,429,439,429,435.95,832300,425.14
2015-02-23,438.95,445,433.3,439.2,418000,428.31
2015-02-24,439.2,447,438.85,441,297300,430.07
2015-02-25,444,445,435.5,440.35,160000,429.43
2015-02-26,442,442.2,425.05,427.05,430100,416.46
2015-02-27,429.95,444.4,425.2,439.4,168600,428.51
2015-03-02,444,449.7,429,444.5,160400,433.48
2015-03-03,447.15,450,434.9,442.65,250200,431.68
2015-03-04,446,448.65,432.05,435.95,317800,425.14
2015-03-05,438,439.9,429.5,432.05,117500,421.34
2015-03-06,432.05,432.05,432.05,432.05,0,421.34
2015-03-09,429.8,436,421,432.05,99000,421.34
2015-03-10,433.3,441.5,430.75,432.35,181900,421.63
2015-03-11,432,440.25,427.95,437.45,199500,426.6
2015-03-12,440.9,444.4,433.4,435.15,241600,424.36
2015-03-13,436.15,439.25,420.55,423.65,556000,413.15
2015-03-16,419.65,428.55,415.6,425.75,168300,415.19
2015-03-17,425,428.85,420.1,423,88100,412.51
2015-03-18,424.8,427.4,418.45,420.7,295800,410.27
2015-03-19,423.75,427.25,416,419.1,143900,408.71
2015-03-20,418.45,421,406.2,412.75,189600,402.52
2015-03-23,413,419,407,414.5,140300,404.22
2015-03-24,415.9,417.5,409.6,413.25,254300,403
2015-03-25,413,413.85,405,411.1,203600,400.91
2015-03-26,409,420.5,407.95,414.55,332500,404.27
2015-03-27,422,422,411.15,413.95,215000,403.69
2015-03-30,415,423.25,412,416.9,175300,406.56
2015-03-31,418,425.05,413.5,419.45,168600,409.05
2015-04-01,422,422,406,412.3,283700,402.08
2015-04-02,412.3,412.3,412.3,412.3,0,402.08
2015-04-03,412.3,412.3,412.3,412.3,0,402.08
2015-04-06,413,417.75,408.8,411.4,186700,401.2
2015-04-07,410,422.6,410,420.1,345200,409.68
2015-04-08,419.1,432,417.25,423.25,408200,412.76
2015-04-09,426,428.5,418.4,420.15,200900,409.73
2015-04-10,420,425,418.05,422.65,106100,412.17
2015-04-13,422.1,437.9,422.1,433.45,355200,422.7
2015-04-14,433.45,433.45,433.45,433.45,0,422.7
2015-04-15,434,441.15,418.2,422.5,852700,412.03
2015-04-16,422.5,425,414.4,418.5,350500,408.12
2015-04-17,418.5,427.55,414,419.85,348200,409.44
2015-04-20,421,424.5,414.3,419.3,192100,408.9
2015-04-21,419.1,441.9,415.85,432.65,672100,421.92
2015-04-22,430.25,448,429,444.8,866000,433.77
2015-04-23,450,455,442.65,446.8,827200,435.72
2015-04-24,451,452,424.4,427.45,413000,416.85
2015-04-27,425.4,425.9,401.15,418.65,376600,408.27
2015-04-28,418.95,422.7,410.3,418.55,326000,408.17
2015-04-29,418.6,423.7,415.25,417.55,240600,407.2
2015-04-30,416.4,419.85,408.5,411.75,666500,401.54
2015-05-01,411.75,411.75,411.75,411.75,0,401.54
2015-05-04,415.05,419.75,413,417.15,139100,406.81
2015-05-05,415,424,413.5,416.2,270900,405.88
2015-05-06,418.95,425,397.2,403,566900,393.01
2015-05-07,402,402,385.1,396.95,291400,387.11
2015-05-08,401,402.8,392.2,398.45,246900,388.57
2015-05-11,400,409.35,395.15,407.1,182800,397.01
2015-05-12,407.5,414.9,398.8,409.4,423400,399.25
