"Date","INDIACEM.NS.Open","INDIACEM.NS.High","INDIACEM.NS.Low","INDIACEM.NS.Close","INDIACEM.NS.Volume","INDIACEM.NS.Adjusted"
2015-01-01,169.3,172.9,169.3,171.3,875300,84.97
2015-01-02,172.3,175.8,171.7,172.8,1512800,85.71
2015-01-05,173,178.2,172.5,174.4,1758100,86.51
2015-01-06,173.7,175.7,164,164.8,2112200,81.74
2015-01-07,165,169.8,160.7,168.6,1796700,83.63
2015-01-08,169.8,173.4,168.1,172.3,1117200,85.46
2015-01-09,173.5,175.6,165.7,167.4,1261400,83.03
2015-01-12,166.6,174,166.2,173.4,1357200,86.01
2015-01-13,173.8,184,171.8,179.4,4368800,88.99
2015-01-14,180.2,185.2,177.1,177.7,3100200,88.14
2015-01-15,182,199.2,178.1,194,4640900,96.23
2015-01-16,194.4,210,191.3,204.2,5876400,101.29
2015-01-19,205.4,208,197.7,199.2,4745500,98.81
2015-01-20,201.2,207.6,200.4,203.5,3173700,100.94
2015-01-21,205.2,206.9,196.3,205.1,2922300,101.73
2015-01-22,206.9,231.3,196.8,221.7,12958300,109.97
2015-01-23,222,224,212,215.6,5828300,106.94
2015-01-26,215.6,215.6,215.6,215.6,0,106.94
2015-01-27,216,221.4,213,219.7,3068700,108.98
2015-01-28,218,225.1,214.2,219.4,2951900,108.83
2015-01-29,216.7,228,216,224,4219400,111.11
2015-01-30,224,226,213,215,2574500,106.64
2015-02-02,215,221.6,215,217.9,1723900,108.08
2015-02-03,218.6,220.6,205.7,209.4,2820700,103.87
2015-02-04,210.6,215.5,204,208.5,1844600,103.42
2015-02-05,209.8,212.7,188,192.5,2499200,95.48
2015-02-06,192.9,207.6,176.3,202.5,9003900,100.44
2015-02-09,200.6,209.1,192,196,3815200,97.22
2015-02-10,196,199.6,180.3,182.4,2391800,90.47
2015-02-11,184.4,192,184.4,190.3,2235400,94.39
2015-02-12,204,221.8,203,213.6,13464700,105.95
2015-02-13,214.9,215.8,203,204,2626800,101.19
2015-02-16,205.3,210.8,202.1,205.2,1947000,101.78
2015-02-17,205.2,205.2,205.2,205.2,0,101.78
2015-02-18,206.2,212.8,202.7,209.2,2280600,103.77
2015-02-19,209.4,211.1,202.1,205.5,1882400,101.93
2015-02-20,205.8,209.9,203.4,204.4,1630000,101.39
2015-02-23,205.7,206.4,196.2,197.9,2551200,98.16
2015-02-24,197.7,203.6,197.7,201.2,2562100,99.8
2015-02-25,202.1,203,196.2,197.3,1367300,97.87
2015-02-26,198.3,201.7,192.1,194.6,4254200,96.53
2015-02-27,192,203,186.8,200.8,4785500,99.6
2015-03-02,201.9,217.2,200,215.4,5990000,106.84
2015-03-03,217.9,219.6,212,214.4,2555100,106.35
2015-03-04,216.9,216.9,205.2,207.2,1723600,102.78
2015-03-05,208,208.5,200.8,204.5,2012400,101.44
2015-03-06,204.5,204.5,204.5,204.5,0,101.44
2015-03-09,204.5,204.5,196.2,196.9,1725700,97.67
2015-03-10,198.3,201.3,196.3,198.3,1032500,98.36
2015-03-11,199,200.4,196.6,197.5,1017000,97.96
2015-03-12,199,201.6,198,198.8,1292100,98.61
2015-03-13,201.2,201.6,191.2,192.1,1346100,95.29
2015-03-16,192.5,192.8,187.4,188.1,1088800,93.3
2015-03-17,191.6,191.8,185.2,187.7,1698500,93.1
2015-03-18,189,190.8,187.3,189.2,1053300,93.85
2015-03-19,191.6,202.7,188.3,190,2639200,94.24
2015-03-20,189.8,193.1,183.5,184.4,1749400,91.47
2015-03-23,186.2,189.2,182,183.6,1414000,91.07
2015-03-24,184.8,186.9,182.6,184,1453500,91.27
2015-03-25,184.1,186.4,182.9,183.8,865700,91.17
2015-03-26,183,183.3,173.6,175.5,2586100,87.05
2015-03-27,177.6,179.8,164.4,168.4,2133200,83.53
2015-03-30,172.2,179.6,170,178.4,2002300,88.49
2015-03-31,179.9,179.9,171,172.3,2036200,85.46
2015-04-01,172.5,179.2,170.8,178.1,1973100,88.34
2015-04-02,178.1,178.1,178.1,178.1,0,88.34
2015-04-03,178.1,178.1,178.1,178.1,0,88.34
2015-04-06,177.5,183.5,176.6,182.8,1785300,90.67
2015-04-07,183.9,193.1,182.3,192,2707900,95.24
2015-04-08,193.6,206.8,191,201.1,4850200,99.75
2015-04-09,203,225.1,201,214.5,7208000,106.4
2015-04-10,214.5,222.3,212,216.3,3298000,107.29
