"Date","INDIANB.NS.Open","INDIANB.NS.High","INDIANB.NS.Low","INDIANB.NS.Close","INDIANB.NS.Volume","INDIANB.NS.Adjusted"
2015-01-01,218.8,224.25,215.3,220.2,474700,211.79
2015-01-02,220.2,222.35,214.25,215.35,160900,207.13
2015-01-05,217,220.9,211.35,212.2,217500,204.1
2015-01-06,209.95,214.6,199,200.3,265000,192.65
2015-01-07,200,204.9,195.25,196.7,236200,189.19
2015-01-08,199.1,206.45,199.1,205.15,228000,197.32
2015-01-09,205.7,211.4,205.7,209.9,209500,201.89
2015-01-12,211.7,217.5,207.05,213.85,225500,205.68
2015-01-13,214,218.4,211.2,216.55,257800,208.28
2015-01-14,217,218.85,212.35,214.25,193500,206.07
2015-01-15,220.1,223,214,215.3,357800,207.08
2015-01-16,215,216.5,212,212.95,62000,204.82
2015-01-19,213,215.7,210,211.15,89900,203.09
2015-01-20,212,214.7,209.85,211.1,71900,203.04
2015-01-21,211.5,217.7,211.5,216.55,321100,208.28
2015-01-22,216.95,217,211,211.85,81300,203.76
2015-01-23,214.65,215.55,210,211.45,86600,203.38
2015-01-26,211.45,211.45,211.45,211.45,0,203.38
2015-01-27,211.9,213.3,207,209.55,85500,201.55
2015-01-28,209.95,212,206.3,209.85,166200,201.84
2015-01-29,209,210.5,195.2,198.85,167600,191.26
2015-01-30,199.5,201.75,179.5,185.75,446500,178.66
2015-02-02,184.75,193.5,180,186.55,1486800,179.43
2015-02-03,188.05,192.25,181,182.3,261000,175.34
2015-02-04,183,186.5,181.1,181.6,146800,174.67
2015-02-05,182,184.85,178.35,179.95,296500,173.08
2015-02-06,181,181,175.65,177.8,517600,171.01
2015-02-09,176,177.2,172.75,175.6,230700,168.9
2015-02-10,176.5,184.6,173.8,178.45,151000,171.64
2015-02-11,178.85,183,178.65,181.8,98900,174.86
2015-02-12,183.6,186.75,179.3,182.8,162400,175.82
2015-02-13,182.8,186.8,181.9,186.2,94500,179.09
2015-02-16,187,189,182.6,185.05,60300,177.98
2015-02-17,185.05,185.05,185.05,185.05,0,177.98
2015-02-18,186.75,186.75,182,183.45,56600,176.45
2015-02-19,183.9,184.75,177,180.1,86900,173.22
2015-02-20,181.95,190.95,179,188.55,279000,181.35
2015-02-23,190.2,190.2,185.45,186.95,62300,179.81
2015-02-24,186.1,189.5,183,186,55900,178.9
2015-02-25,185.15,193.65,185.15,188.1,157800,180.92
2015-02-26,187.15,187.5,184.1,186.45,46500,179.33
2015-02-27,188,194,187.45,190.6,237500,183.32
2015-03-02,185.15,188.6,177.9,178.45,217200,171.64
2015-03-03,179.45,181.8,175.05,177.3,759000,170.53
2015-03-04,183.15,185.8,172,172.8,273600,166.2
2015-03-05,174,175.7,173.1,174.5,68600,167.84
2015-03-06,174.5,174.5,174.5,174.5,0,167.84
2015-03-09,173,173,169,170.1,82900,163.61
2015-03-10,171,175.95,170.15,175.2,368400,168.51
2015-03-11,174.85,175.7,171.4,174,74200,167.36
2015-03-12,175.6,176.45,170.55,174.95,85300,168.27
2015-03-13,176,177.95,172.3,176.85,104300,170.1
2015-03-16,177.1,178,172,173.5,166700,166.88
2015-03-17,174.15,179.45,174.1,178,382600,171.2
2015-03-18,176.8,179,175.25,176.4,79800,169.66
2015-03-19,177.3,179,174.5,175.1,275800,168.41
2015-03-20,175.95,175.95,170.95,172.5,97000,165.91
2015-03-23,172.6,173.2,166.85,170.2,266100,163.7
2015-03-24,169.95,171.5,168.3,171.05,39200,164.52
2015-03-25,171.1,171.9,165.1,167.95,51600,161.54
2015-03-26,166.25,167.2,163,164.2,79800,157.93
2015-03-27,164.25,168.8,164,167.35,90400,160.96
2015-03-30,171,174,169.1,171.4,79700,164.86
2015-03-31,172.9,175,171.5,173.45,77100,166.83
2015-04-01,174.4,175.25,169.45,172.6,132500,166.01
2015-04-02,172.6,172.6,172.6,172.6,0,166.01
2015-04-03,172.6,172.6,172.6,172.6,0,166.01
2015-04-06,174.4,174.8,169,169.75,382600,163.27
2015-04-07,171.65,172.4,164.7,165.95,631600,159.61
2015-04-08,166.5,167.5,165.05,166,838300,159.66
2015-04-09,168.7,170.7,165.5,168.65,122100,162.21
2015-04-10,170,171.45,167,169.85,265400,163.36
2015-04-13,169.7,171.45,169.35,169.85,40100,163.36
2015-04-14,169.85,169.85,169.85,169.85,0,163.36
2015-04-15,168,177.8,168,173.35,195700,166.73
2015-04-16,174,174.3,165.5,166.75,192400,160.38
2015-04-17,166.8,167,163.05,163.6,144600,157.35
2015-04-20,164.9,164.9,161.1,161.55,57700,155.38
2015-04-21,161.9,162.75,160,160.5,51100,154.37
2015-04-22,161.9,162,152.15,161.15,122100,155
2015-04-23,162,162.5,155.5,157.05,91100,151.05
2015-04-24,157,157,152,153.35,84700,147.49
2015-04-27,153.75,153.75,145.65,148.25,142300,142.59
2015-04-28,147.9,147.95,144.35,146.35,68900,140.76
2015-04-29,145.85,147.6,140.5,142.2,147100,136.77
2015-04-30,143,144.7,137.2,139.9,323200,134.56
2015-05-01,139.9,139.9,139.9,139.9,0,134.56
2015-05-04,140.05,145.4,140,144.85,103500,139.32
2015-05-05,145,146.8,143.05,143.65,110000,138.17
2015-05-06,143.2,144.95,140.05,143.3,119800,137.83
2015-05-07,143,144.6,139.1,144.15,149200,138.65
2015-05-08,145,147,144,145.35,37600,139.8
2015-05-11,146.1,152.4,142.3,149.05,123600,143.36
2015-05-12,149.1,151.85,143,149.95,90600,144.22
2015-05-13,149.95,155.95,148,155,99200,149.08
2015-05-14,155.1,165,155.1,159.1,1837200,153.03
2015-05-15,156,161.6,156,160.3,482500,154.18
2015-05-18,161,162.75,159,159.95,169900,153.84
2015-05-19,160.75,160.75,157.6,158.2,98200,152.16
2015-05-20,159.7,160.2,157.2,158.95,52100,152.88
2015-05-21,159.85,160.2,156.4,158.65,75200,152.59
2015-05-22,159.75,162.3,157.5,160.6,127800,154.47
2015-05-25,161,161.25,156.3,159.15,48000,153.07
2015-05-26,160,160,157.5,158.2,26000,152.16
2015-05-27,157.45,165,156.7,162.25,171300,156.06
2015-05-28,165.1,165.9,161.2,162.3,44700,156.1
2015-05-29,162.55,170.9,161.65,166.7,115500,160.34
2015-06-01,168.4,171.4,164.75,165.8,58800,159.47
2015-06-02,167,168.7,160.95,161.5,65100,155.33
2015-06-03,162,162,158.7,160,75200,153.89
2015-06-04,161,161,155,156.85,56300,150.86
2015-06-05,156.85,156.85,151,151.55,84300,145.76
2015-06-08,151.95,151.95,145,145.65,69100,140.09
2015-06-09,145.95,146.75,143.15,144.25,61900,138.74
2015-06-10,144.95,147.5,143.1,143.85,66900,138.36
2015-06-11,145,147,141.05,141.8,74800,136.39
2015-06-12,142.9,144,140,142.45,43900,137.01
2015-06-15,143.8,146,142.5,144.6,54100,139.08
2015-06-16,144.75,149.8,141.85,148.45,63000,142.78
2015-06-17,148,151,147,148.8,40500,143.12
2015-06-18,149,151.4,146,148.1,40400,142.45
2015-06-19,149,150.65,145,145.4,99800,139.85
2015-06-22,146.5,154.8,146.5,153.2,175200,147.35
2015-06-23,150.7,153.9,150.7,151.7,107700,150.02
2015-06-24,151.7,152.8,138,149.55,53500,147.89
2015-06-25,148,149.75,141.8,144.1,127800,142.5
2015-06-26,144.8,145.75,143.5,144,64200,142.41
2015-06-29,141.75,141.75,137.6,139.9,69400,138.35
2015-06-30,140.95,143.8,139,142.15,54500,140.58
2015-07-01,142,145.35,140.5,143.7,103300,142.11
2015-07-02,144.1,147,139.5,139.95,129800,138.4
2015-07-03,140.9,142.9,138.2,139.6,108200,138.05
2015-07-06,139,142.3,136.2,141.2,101200,139.64
2015-07-07,142,143.8,138.5,139.25,152500,137.71
2015-07-08,138.75,139.95,137,137.85,107600,136.32
2015-07-09,139,140.3,137,137.95,64000,136.42
2015-07-10,139.15,140.3,136.65,137.15,106200,135.63
2015-07-13,138,139.25,136.65,136.9,100200,135.38
2015-07-14,138,139,136.9,137.35,87000,135.83
2015-07-15,138.4,139.4,137.1,138.25,56600,136.72
2015-07-16,139,139.25,138,138.15,53200,136.62
2015-07-17,138.15,141.5,138.1,138.35,97900,136.82
2015-07-20,138.35,140,135.8,136.4,83700,134.89
2015-07-21,136.4,137.65,130,130.55,187400,129.1
2015-07-22,130.1,134,129.5,133.45,116200,131.97
2015-07-23,133.9,142,128.4,136.25,958800,134.74
2015-07-24,137.2,140.9,137.2,139.15,214200,137.61
2015-07-27,138,141,133,134.3,99000,132.81
2015-07-28,135,137,130.3,131.15,126900,129.7
2015-07-29,132.35,132.9,127.7,128.1,114100,126.68
2015-07-30,129.65,130.85,127.4,127.7,175400,126.29
2015-07-31,129.2,134.8,128.9,132.4,555000,130.93
2015-08-03,135,146.5,134.55,144.8,597600,143.2
2015-08-04,148.8,155,142.2,153.65,547800,151.95
2015-08-05,156,160,153.1,156.4,623300,154.67
2015-08-06,155.05,157.35,148.6,151,187600,149.33
2015-08-07,151.85,153.6,147.15,148.35,97800,146.71
2015-08-10,148,151.9,148,149.9,102200,148.24
2015-08-11,151.9,151.9,145.45,147.6,105500,145.97
2015-08-12,149.8,149.8,143.85,145.65,122500,144.04
2015-08-13,147.1,148.95,138,141,93800,139.44
2015-08-14,141.85,150.65,141.7,148.75,125800,147.1
2015-08-17,148.9,168.5,148.9,162.5,568000,160.7
2015-08-18,161.5,168,152.2,153.1,484500,151.41
2015-08-19,153,157.5,147.4,148.5,175200,146.86
2015-08-20,147.5,149.75,142,142.4,172200,140.82
2015-08-21,140.9,142.9,136,139.75,185500,138.2
2015-08-24,136.5,136.5,120.1,124.75,247900,123.37
2015-08-25,128,134,120,129.05,212500,127.62
2015-08-26,130.8,134,125.75,132.35,138500,130.88
2015-08-27,136,138.35,132.1,132.95,262600,131.48
2015-08-28,135,137.05,132,133.45,135800,131.97
2015-08-31,134.5,135,132,133.3,175600,131.82
2015-09-01,131.3,134.8,128.2,129.35,250200,127.92
2015-09-02,131.2,133.2,124.15,124.9,174100,123.52
2015-09-03,127.95,130.05,126,128.45,121800,127.03
2015-09-04,127.9,128,123.65,126.65,87000,125.25
2015-09-07,127.5,129.45,124.15,124.65,58800,123.27
2015-09-08,124.2,128.3,124,126.4,154300,125
2015-09-09,129,130,126.5,127.3,213900,125.89
2015-09-10,126,128.8,123.2,126.25,76000,124.85
2015-09-11,126.65,129.5,124.1,125.05,78900,123.67
2015-09-14,126.7,129,124.1,125.6,276300,124.21
2015-09-15,125.8,127.4,125.1,125.85,52500,124.46
2015-09-16,127.15,127.15,124.6,125.2,41400,123.81
2015-09-17,125.2,125.2,125.2,125.2,0,123.81
2015-09-18,125.7,133.7,125.7,131,329200,129.55
2015-09-21,130.95,135.75,130,134.65,124500,133.16
2015-09-22,136,143.75,135,136.75,359600,135.24
2015-09-23,134,138.75,132,135.15,118400,133.65
2015-09-24,134.6,138.4,131.05,131.8,154000,130.34
2015-09-25,131.8,131.8,131.8,131.8,0,130.34
2015-09-28,133,135.75,132.3,133.05,95800,131.58
2015-09-29,133.2,137,132,135.55,150100,134.05
2015-09-30,137,137.8,133.5,135.55,103500,134.05
2015-10-01,136.3,137.35,133.1,133.65,77100,132.17
2015-10-02,133.65,133.65,133.65,133.65,0,132.17
2015-10-05,135.65,138.85,133.25,137.6,138300,136.08
2015-10-06,138.1,141,135.2,139.75,110200,138.2
2015-10-07,140,143,138.15,139.9,114300,138.35
2015-10-08,141.25,144.3,139.4,141.55,108300,139.98
2015-10-09,143,144.25,139,140.8,72000,139.24
2015-10-12,140.9,141.6,137.4,137.95,69500,136.42
2015-10-13,139.35,140.2,136,138.55,51300,137.02
2015-10-14,140.2,140.2,137.2,137.75,30800,136.23
2015-10-15,139.2,141.4,138,139.4,57400,137.86
2015-10-16,140,140.55,138.1,139.35,51600,137.81
2015-10-19,139.35,141.7,139,139.85,44200,138.3
2015-10-20,139.05,141.9,135.5,136.75,157800,135.24
2015-10-21,136.65,138.5,134.7,135.7,94800,134.2
2015-10-22,135.7,135.7,135.7,135.7,0,134.2
2015-10-23,137,137,133.2,133.7,78900,132.22
2015-10-26,134.3,136,132.7,133.2,45600,131.73
2015-10-27,133.45,134.5,132.15,132.65,40300,131.18
2015-10-28,132.5,133.8,129.45,130,76300,128.56
2015-10-29,131,131,128.25,128.75,84300,127.32
2015-10-30,130.8,131.25,123.5,124.85,193800,123.47
2015-11-02,126.45,140.9,124,133.35,2861900,131.87
