"Date","INDIGO.NS.Open","INDIGO.NS.High","INDIGO.NS.Low","INDIGO.NS.Close","INDIGO.NS.Volume","INDIGO.NS.Adjusted"
2015-11-10,855.8,899.5,849,877.25,27351700,862.01
2015-11-13,918,1032,917,1004.1,8446600,986.66
2015-11-16,1011,1040,966.25,988.95,3358100,971.77
2015-11-17,990,1049.9,976.2,1036.9,3694000,1018.89
2015-11-18,1017.25,1068.8,1015.3,1045.65,3621500,1027.48
2015-11-19,1055,1166.7,1052,1143.8,4320900,1123.93
2015-11-20,1156,1162.9,1088.2,1105.4,3636700,1086.2
2015-11-23,1100,1124.8,1031.2,1046.85,2115900,1028.66
2015-11-24,1049.95,1099,1032.35,1089.8,2080000,1070.87
2015-11-25,1089.8,1089.8,1089.8,1089.8,0,1070.87
2015-11-26,1100,1114,1062.1,1088.2,1278200,1069.3
2015-11-27,1093.3,1109.8,1071.55,1090.5,830200,1071.56
2015-11-30,1093.8,1122,1081.55,1109,953900,1089.73
2015-12-01,1112.95,1115,1085.75,1093.25,566100,1074.26
2015-12-02,1092,1124.9,1062,1099.2,1820400,1080.1
2015-12-03,1096,1144.45,1091,1113.7,2008600,1094.35
2015-12-04,1103,1122,1071.7,1079.7,738800,1060.94
2015-12-07,1050,1085.5,1032.2,1044.55,1975500,1026.4
2015-12-08,1050.7,1068.4,1010,1018.1,1221900,1000.41
2015-12-09,1021,1047.8,995.45,1012.75,1037600,995.16
2015-12-10,1021.95,1029,982,999.85,1524600,982.48
2015-12-11,1014,1043.7,1005,1035,1853900,1017.02
2015-12-14,1033,1103.9,1025.8,1093.05,1875700,1074.06
2015-12-15,1094.8,1196.9,1085,1185.45,3012200,1164.86
2015-12-16,1192,1234,1182.55,1192.7,2239100,1171.98
2015-12-17,1203.9,1231.75,1180.1,1190.85,1460200,1170.16
2015-12-18,1194.45,1206.2,1126,1139.25,1615000,1119.46
2015-12-21,1136.1,1156.5,1077.4,1082,1692300,1063.2
2015-12-22,1098.4,1179.4,1097.5,1164.75,2866200,1144.52
2015-12-23,1172,1187.95,1140,1183.05,1833200,1162.5
2015-12-24,1185,1192,1152,1164.45,959200,1144.22
2015-12-25,1164.45,1164.45,1164.45,1164.45,0,1144.22
2015-12-28,1170.5,1208,1145.6,1194.15,1752300,1173.41
2015-12-29,1198,1207.5,1175.8,1186.45,1051800,1165.84
2015-12-30,1190.4,1202.3,1176.5,1193.25,735700,1172.52
2015-12-31,1195,1245,1185,1234.9,2337600,1213.45
2016-01-01,1244,1394.85,1243.05,1343.45,4914700,1320.11
2016-01-04,1327,1371.75,1251,1262.1,2601100,1240.17
2016-01-05,1270.1,1286.9,1233.4,1252.95,1794000,1231.18
2016-01-06,1258.5,1281.8,1230,1235.4,1324200,1213.94
2016-01-07,1231.95,1280,1195,1250.55,2676700,1228.83
2016-01-08,1278,1293.9,1261,1272.2,1885500,1250.1
2016-01-11,1267,1267,1227.05,1238.15,1466000,1216.64
