"Date","INDUSINDBK.NS.Open","INDUSINDBK.NS.High","INDUSINDBK.NS.Low","INDUSINDBK.NS.Close","INDUSINDBK.NS.Volume","INDUSINDBK.NS.Adjusted"
2015-01-01,803.4,814.7,798.4,812,819100,801.55
2015-01-02,816,823.35,812,815.9,640200,805.4
2015-01-05,818,821.8,812.05,819.1,336900,808.56
2015-01-06,816,816,792.35,798.4,485800,788.12
2015-01-07,800.1,805.5,786.55,791.95,737900,781.76
2015-01-08,800,804.5,788.45,798.7,623600,788.42
2015-01-09,804,810.8,791.55,802,544100,791.68
2015-01-12,804.95,839.2,797,829.45,896700,818.77
2015-01-13,845,849.15,820.05,825.5,3264600,814.87
2015-01-14,831.7,832.9,811.1,816.65,1238600,806.14
2015-01-15,840.5,849,825,830.35,1493700,819.66
2015-01-16,831.7,837.85,813.3,831.85,1160700,821.14
2015-01-19,835,837.8,827,829.15,612700,818.48
2015-01-20,830,844.5,822.6,840.45,1318700,829.63
2015-01-21,845,859.5,839.45,842.55,1462600,831.7
2015-01-22,838.5,851.8,837.6,846.25,553200,835.36
2015-01-23,853,863.95,851,857.35,1179500,846.31
2015-01-26,857.35,857.35,857.35,857.35,0,846.31
2015-01-27,857,870,851.4,863.25,840900,852.14
2015-01-28,859.95,880,858.2,868.75,925500,857.57
2015-01-29,863.5,878.95,862.95,876.05,687000,864.77
2015-01-30,877,884.8,866.25,870.2,888300,859
2015-02-02,865.1,877.85,856.1,874.55,666500,863.29
2015-02-03,876.6,889.8,857.25,861.35,1013400,850.26
2015-02-04,864.6,872.3,851.25,863.3,907300,852.19
2015-02-05,861.9,883.35,851,865.4,704500,854.26
2015-02-06,863.8,868.3,840.5,845.3,465200,834.42
2015-02-09,838.75,838.75,820.5,825.15,573600,814.53
2015-02-10,815.7,851.95,815.7,840.8,1050000,829.98
2015-02-11,844,863.2,844,855.5,787300,844.49
2015-02-12,857.9,874.95,846.6,869.95,507500,858.75
2015-02-13,872.9,877.65,863.95,875.35,700700,864.08
2015-02-16,872.5,879.3,855,862.9,420300,851.79
2015-02-17,862.9,862.9,862.9,862.9,0,851.79
2015-02-18,861.8,869.85,852.6,864.85,503100,853.72
2015-02-19,868,870.5,842.45,857.5,621500,846.46
2015-02-20,857.1,881.4,850.65,876.8,1207900,865.51
2015-02-23,876,878.5,857.9,867.55,596600,856.38
2015-02-24,865.5,867,854.7,864.15,505000,853.03
2015-02-25,865,873.2,855,858.55,617000,847.5
2015-02-26,856.2,860,839.05,845.3,1152100,834.42
2015-02-27,844.95,867.8,837.55,864.5,1063500,853.37
2015-03-02,925,949.9,914,944.5,1263100,932.34
2015-03-03,945,945,926,938.6,617100,926.52
2015-03-04,959.9,962.55,903.1,908.2,996900,896.51
2015-03-05,909.8,917.85,893.15,913.2,739000,901.45
2015-03-06,913.2,913.2,913.2,913.2,0,901.45
2015-03-09,908,910,890.5,895.2,1121800,883.68
2015-03-10,898,913.55,888.55,896.75,949900,885.21
2015-03-11,898.1,905,885.1,890.2,661100,878.74
2015-03-12,893,902.5,888.8,891.8,678400,880.32
2015-03-13,895,897.3,865.25,875.2,789100,863.93
2015-03-16,875.25,888.8,866.25,877.25,637700,865.96
2015-03-17,882.1,908.8,880.8,903.15,578200,891.52
2015-03-18,907.4,920.9,896,903.2,1120200,891.57
2015-03-19,919,919,875,881.15,1142600,869.81
2015-03-20,888,894.9,874.25,886.35,751600,874.94
2015-03-23,888,894,881.55,888.35,955900,876.92
2015-03-24,885,896.45,878.6,884.85,704000,873.46
2015-03-25,887.5,889.85,864.25,871.05,715400,859.84
2015-03-26,864.5,878.9,853.05,860.35,2107200,849.28
2015-03-27,861,887.5,850.9,880.75,1088000,869.41
2015-03-30,886.05,890,876.1,887.95,411900,876.52
2015-03-31,891,894.1,877.5,886,583200,874.6
2015-04-01,884.1,928.65,880.5,925.25,954200,913.34
2015-04-02,925.25,925.25,925.25,925.25,0,913.34
2015-04-03,925.25,925.25,925.25,925.25,0,913.34
2015-04-06,926,927,911.35,914.95,573700,903.17
2015-04-07,915.05,920.5,900.2,906.95,738100,895.28
2015-04-08,915.15,915.15,900.05,901.95,456800,890.34
2015-04-09,908,947.85,901,943.9,1086100,931.75
2015-04-10,948.4,951.45,935.6,945.25,761000,933.08
2015-04-13,948,954.9,940.5,949.75,847600,937.52
2015-04-14,949.75,949.75,949.75,949.75,0,937.52
2015-04-15,953.85,967,938.25,946.55,862700,934.37
2015-04-16,955,959,927.95,934.45,3431700,922.42
2015-04-17,936,936,873.15,876,2706200,864.72
2015-04-20,874.7,881.25,830,843.75,1937200,832.89
2015-04-21,849,860,833.3,837.8,1671900,827.02
2015-04-22,840,852,820,846.25,1350300,835.36
2015-04-23,854.8,869.9,850.15,858.75,1373700,847.7
2015-04-24,863.4,863.4,824.2,830.55,1042500,819.86
2015-04-27,834,834,810.55,823.05,1087800,812.46
2015-04-28,818.15,835.3,806.1,827.7,1528600,817.05
2015-04-29,828.8,842,818.05,833.1,1119700,822.38
2015-04-30,830.1,835.4,820.05,823.8,1960200,813.2
2015-05-01,823.8,823.8,823.8,823.8,0,813.2
2015-05-04,828,849.5,827.2,841.7,868300,830.87
2015-05-05,839.85,845.95,831.6,836.55,672300,825.78
2015-05-06,837,839,799,802.95,985300,792.61
2015-05-07,796.7,800,786,795.2,1753100,784.96
2015-05-08,803.05,815.7,800,810.45,1407500,800.02
2015-05-11,816.4,823,806,819.65,1423400,809.1
2015-05-12,822.9,822.9,794.2,800.25,1358400,789.95
2015-05-13,805.1,819.4,795.15,817.2,1074400,806.68
2015-05-14,817.2,820,800.3,816.65,680100,806.14
2015-05-15,819.95,841.3,818,833.35,1234500,822.62
2015-05-18,829.75,852.3,827.55,846.35,995700,835.46
2015-05-19,846,858.7,842.2,845.7,816700,834.81
2015-05-20,848.95,856,847.25,851.55,750200,840.59
2015-05-21,855.8,855.8,838.05,848.2,503600,837.28
2015-05-22,850.7,861.65,848.25,852.6,760900,841.63
2015-05-25,851.8,862.75,846.95,854.1,516200,843.11
2015-05-26,853,859.8,841.3,852.95,552700,841.97
2015-05-27,848.95,865,844.6,860.3,307500,849.23
2015-05-28,863.9,869.1,850.1,855.3,1570800,844.29
2015-05-29,854.9,880,853.15,873.95,739200,862.7
2015-06-01,870,885,870,882.95,641800,871.58
2015-06-02,883,884.05,842.5,847.15,885400,836.25
2015-06-03,845,850.9,834,842.6,505600,831.75
2015-06-04,847.8,852.75,837.25,846.65,454400,835.75
2015-06-05,840,847.8,830,834.45,979900,823.71
2015-06-08,828,828.4,809,811.7,1318800,801.25
2015-06-09,807.8,818.4,790,809.2,1076800,798.78
2015-06-10,811,830.7,811,819.6,997300,809.05
2015-06-11,825,826,793,795.1,1251100,784.87
2015-06-12,790,814,784,810.8,1006800,800.36
2015-06-15,810,810,792.45,794.55,626200,784.32
2015-06-16,795.05,825.25,787,821.55,854100,810.98
2015-06-17,827,828,811.5,818.2,1319400,807.67
2015-06-18,820,831,812.95,825.55,721000,814.92
2015-06-19,826.5,837.3,823.75,834.7,497900,823.96
2015-06-22,833.8,865.5,832.95,839.25,1357500,828.45
2015-06-23,842.7,847.5,829.2,833.6,1202800,822.87
2015-06-24,834.25,854.5,834.25,844.5,905000,833.63
2015-06-25,844.5,885.45,841.75,867.15,1929200,855.99
2015-06-26,864.4,884.7,851,869.4,1457100,858.21
2015-06-29,859.5,864,841.1,859.6,696900,848.54
2015-06-30,860.95,874.8,855,872.7,738200,861.47
2015-07-01,872.6,886,862,875.55,832600,864.28
2015-07-02,883.4,883.4,868,869.75,688400,858.55
2015-07-03,858,900.55,858,893.5,1092400,886.07
2015-07-06,883.8,901.25,877,899.3,940500,891.83
2015-07-07,896,912,895,898.95,698500,891.48
2015-07-08,881.95,896,873.9,892.4,719100,884.98
2015-07-09,891.85,897.4,875.25,893,1043000,885.58
2015-07-10,897.9,904,887,894.95,528600,887.51
2015-07-13,904.2,927.7,895.05,923.95,3460000,916.27
2015-07-14,933,933.8,919.35,924.05,1362600,916.37
2015-07-15,921.35,932,918,927.15,728800,919.44
2015-07-16,930,937.2,924,932.3,1581700,924.55
2015-07-17,933.3,938.75,925.1,935.85,941300,928.07
2015-07-20,936,950,930.4,947.45,757900,939.58
2015-07-21,947,951.25,932.8,938.35,378800,930.55
2015-07-22,937.05,960,933,956.9,668700,948.95
2015-07-23,954.1,964.9,945,949.8,714500,941.91
2015-07-24,949,966.5,945.45,955.85,1061400,947.91
2015-07-27,949.8,953,929.1,938.3,568600,930.5
2015-07-28,941.05,952.25,930.75,949.85,1002500,941.96
2015-07-29,949,959,944.55,953.6,900200,945.67
2015-07-30,959,982.65,956.4,973.7,1155500,965.61
2015-07-31,975,989.3,970.15,977.7,994600,969.57
2015-08-03,978,986,966.6,973.85,826300,965.76
2015-08-04,973,973,940.05,952.3,1183200,944.39
2015-08-05,958,962.5,948.6,952.65,496800,944.73
2015-08-06,952.7,958.3,946.35,951.6,516400,943.69
2015-08-07,949.9,959.6,942,946.95,452500,943.04
2015-08-10,946.5,958,936.65,944.4,547500,940.5
2015-08-11,945.1,952.95,939.55,950.7,535100,946.78
2015-08-12,946.9,953.75,906.25,914.45,458800,910.68
2015-08-13,911.85,933.8,910,925.3,590500,921.48
2015-08-14,935,963.5,928.25,959,935400,955.04
2015-08-17,959.95,964.7,944.6,951.75,595800,947.82
2015-08-18,954,971.5,950.3,968.2,594700,964.21
2015-08-19,965.75,969.9,954.15,957.45,593500,953.5
2015-08-20,948,961.5,918.05,932.1,591000,928.26
2015-08-21,915,924.95,893.3,905.25,1314800,901.52
2015-08-24,880,880,850.1,865.6,1626900,862.03
2015-08-25,875,884,865.6,878.05,1189100,874.43
2015-08-26,876.9,876.9,848.45,853.5,1089900,849.98
2015-08-27,864,871,853.65,858.5,1888400,854.96
2015-08-28,870,881,830.25,847.65,1779000,844.15
2015-08-31,841,865,838,858.05,810200,854.51
2015-09-01,852.95,852.95,814.7,831.5,965800,828.07
2015-09-02,836,838.95,809.25,824.8,1244400,821.4
2015-09-03,830,855,820,849.4,916300,845.9
2015-09-04,842.5,843.05,817,840.8,943400,837.33
2015-09-07,850,859.6,812.65,820.2,1228200,816.82
2015-09-08,821.5,846.9,816.35,840.35,2536300,836.88
2015-09-09,853,870.7,841.1,857.95,2014100,854.41
2015-09-10,845.5,875,835.55,866.9,1364600,863.32
2015-09-11,874.5,885.9,862.15,868.7,1412800,865.12
2015-09-14,868,880,868,876.25,1144900,872.64
2015-09-15,875.9,886.9,871.1,878.65,1937300,875.03
2015-09-16,886,907.5,884.75,899.1,1151100,895.39
2015-09-17,899.1,899.1,899.1,899.1,0,895.39
2015-09-18,905.3,930.5,905,918.65,2094100,914.86
2015-09-21,905,924.9,905,913.5,683200,909.73
2015-09-22,919,921,875.5,888.05,808300,884.39
2015-09-23,875,907.9,873,905.55,955700,901.81
2015-09-24,908,932.1,896.35,926.9,2909500,923.08
2015-09-25,926.9,926.9,926.9,926.9,0,923.08
2015-09-28,927,937.6,916.15,920.9,1690600,917.1
2015-09-29,912.8,958,901.3,941.35,3261800,937.47
2015-09-30,956.85,958.1,939.55,942.45,2038700,938.56
2015-10-01,950,963.25,941.75,957.6,1251500,953.65
2015-10-02,957.6,957.6,957.6,957.6,0,953.65
2015-10-05,966,969.9,952.45,959.7,1399700,955.74
2015-10-06,964,964,946.75,952.2,1149700,948.27
2015-10-07,952.75,954.65,941.2,948.35,1390400,944.44
2015-10-08,951,953.6,936.2,944.8,1367000,940.9
2015-10-09,954.8,957.2,934.25,940.05,3827100,936.17
2015-10-12,944,958,940,944.6,1028100,940.7
2015-10-13,948,949.65,936.5,945.95,819500,942.05
2015-10-14,947,962,945.95,949.9,1071500,945.98
2015-10-15,953.9,966,952.1,957.8,1103200,953.85
2015-10-16,958,966,950.05,964.45,744400,960.47
2015-10-19,964.5,973.35,959.1,962.05,811800,958.08
2015-10-20,960.5,970.1,953.1,956.7,702100,952.75
2015-10-21,958,967.75,951.9,957.45,737100,953.5
2015-10-22,957.45,957.45,957.45,957.45,0,953.5
2015-10-23,963,966.25,957.15,959.8,329500,955.84
2015-10-26,964,964.9,956,957.95,774100,954
2015-10-27,955.2,959.65,951,954,529800,950.06
2015-10-28,949,963.5,918.95,924.2,1653000,920.39
2015-10-29,920.05,923.8,908.5,914.5,1155000,910.73
