"Date","INFIBEAM.NS.Open","INFIBEAM.NS.High","INFIBEAM.NS.Low","INFIBEAM.NS.Close","INFIBEAM.NS.Volume","INFIBEAM.NS.Adjusted"
2016-04-04,453,467,440.25,445.75,7342800,445.75
2016-04-05,441.05,459.8,441,445.6,978400,445.6
2016-04-06,446,457,440.2,451.1,638300,451.1
2016-04-07,451.05,458.8,443.35,445.4,605200,445.4
2016-04-08,446.55,451,432,449.65,840700,449.65
2016-04-11,447.5,451.5,443,448.05,112500,448.05
2016-04-12,447,473.95,444.4,466.3,361800,466.3
2016-04-13,468.7,522,466.5,506.05,1694400,506.05
2016-04-14,506.05,506.05,506.05,506.05,0,506.05
2016-04-15,506.05,506.05,506.05,506.05,0,506.05
2016-04-18,507.2,510.8,486.25,492.6,302200,492.6
2016-04-19,492.6,492.6,492.6,492.6,0,492.6
2016-04-20,497.95,507.25,487,494.65,329300,494.65
2016-04-21,501,501,487,495.85,316000,495.85
2016-04-22,492.1,505.9,490.05,493.8,82800,493.8
2016-04-25,494.2,499,493,496,404700,496
2016-04-26,495.9,524.6,495.75,507,763900,507
2016-04-27,508.2,519.4,503.1,515.25,619400,515.25
2016-04-28,516,527.3,505,508.25,576500,508.25
2016-04-29,511,518.45,503.35,512.1,624500,512.1
2016-05-02,513.85,524,505.05,519.35,670700,519.35
2016-05-03,523.95,537,512.3,520.35,738800,520.35
2016-05-04,521,528,510.1,513.1,651800,513.1
2016-05-05,514.95,517.75,506,510.3,620000,510.3
2016-05-06,510.3,519.9,502.2,512.4,675800,512.4
2016-05-09,515.8,536.9,486.8,509.9,649200,509.9
2016-05-10,514.75,515.8,500,508.05,626800,508.05
2016-05-11,502,507,500,502.7,616600,502.7
2016-05-12,506,506,491.1,498.9,606300,498.9
2016-05-13,498,503.4,481.1,498.4,716000,498.4
2016-05-16,505.3,511.95,495.15,507.8,711900,507.8
2016-05-17,506,512,502,507.9,662800,507.9
2016-05-18,508,509.5,502,507.05,688200,507.05
2016-05-19,507.05,508,493,500.85,697500,500.85
2016-05-20,492.05,503,480.2,491.25,754200,491.25
2016-05-23,510,513.8,496.1,509.5,688500,509.5
2016-05-24,505.95,522.4,504.65,514.45,688600,514.45
2016-05-25,516,526,512,519.65,787300,519.65
2016-05-26,520.25,524,516.25,521.45,783800,521.45
2016-05-27,522.1,525,515,520.15,786700,520.15
2016-05-30,506,624.15,506,537.2,1066500,537.2
2016-05-31,537.85,548,516.3,519.45,789300,519.45
2016-06-01,521.15,521.2,515,518,641500,518
2016-06-02,518.45,540,516.8,533.25,697700,533.25
2016-06-03,534,547.7,530.5,535.2,670900,535.2
2016-06-06,540,547,531.55,539.45,732500,539.45
2016-06-07,539,545,535,537.2,604000,537.2
2016-06-08,538,554,533,537.2,629800,537.2
2016-06-09,538,541.8,531,537.65,719400,537.65
2016-06-10,538,575.5,536.8,556.8,566300,556.8
2016-06-13,558.5,591,556.55,579.1,772600,579.1
2016-06-14,575,606.3,575,595.6,688100,595.6
2016-06-15,597.95,609.95,580,591.05,734600,591.05
2016-06-16,592,593.5,567,577.25,686800,577.25
2016-06-17,579.95,692.7,574.05,682.15,1276100,682.15
2016-06-20,664,710,646,698.1,1199900,698.1
2016-06-21,695,709,685.05,692,794500,692
2016-06-22,692,704.5,681.8,687.45,753600,687.45
2016-06-23,688,694.85,676.15,680.55,699400,680.55
2016-06-24,666,691.8,586.55,680.5,754100,680.5
2016-06-27,680,733,671.15,712.15,777400,712.15
2016-06-28,720,737,715,721.2,743000,721.2
2016-06-29,724.9,735.7,720,724.3,671900,724.3
2016-06-30,727.75,733,666,702.9,862300,702.9
2016-07-01,709,720.8,663.1,672.4,848100,672.4
2016-07-04,682,706,668,696.45,656900,696.45
2016-07-05,699.9,708,690.3,699.3,622200,699.3
2016-07-06,699.3,699.3,699.3,699.3,0,699.3
2016-07-07,700,712.9,667.5,672.45,705900,672.45
2016-07-08,674.95,684.7,668,677.05,631400,677.05
2016-07-11,675,696,671,680.8,650000,680.8
2016-07-12,678,693.5,668.6,679.7,710500,679.7
2016-07-13,685,689.9,676,682.1,627400,682.1
2016-07-14,680.5,702,675.5,687.25,703300,687.25
2016-07-15,677.05,692.25,671,673.75,586400,673.75
2016-07-18,679,682,670,673.2,584300,673.2
2016-07-19,672.85,677.8,665.25,673.15,567200,673.15
2016-07-20,673,681.7,668.8,674.1,656200,674.1
2016-07-21,677,681.3,666.6,672.35,623300,672.35
2016-07-22,673,677.85,664.45,671.8,593200,671.8
2016-07-25,675.65,684.85,663,681.5,600400,681.5
2016-07-26,681.9,701.9,679,686.75,607000,686.75
2016-07-27,686,691,666.65,671.75,579800,671.75
2016-07-28,672.15,698.8,660.3,692.6,636200,692.6
2016-07-29,695.9,722,682.2,711.25,713000,711.25
2016-08-01,710.05,719,693,705.85,617800,705.85
2016-08-02,691.1,741,691.1,727.4,707100,727.4
2016-08-03,728,737.4,705.15,725.85,626600,725.85
2016-08-04,730,768.8,730,759.6,438300,759.6
2016-08-05,762.55,844,752.1,823.35,656500,823.35
2016-08-08,828,831.5,796.65,810.15,558100,810.15
2016-08-09,811.8,812.15,785.3,798.3,508100,798.3
2016-08-10,805,814.5,795.5,803,534600,803
2016-08-11,782,815,782,805,426100,805
2016-08-12,803.25,833.45,797.15,821,544400,821
2016-08-15,821,821,821,821,0,821
2016-08-16,830,844.9,800,805.7,622800,805.7
2016-08-17,807,823.95,802.7,813.25,557400,813.25
2016-08-18,815.7,823,783.15,788,471300,788
2016-08-19,790,803,783.05,791.05,509200,791.05
2016-08-22,790,814.35,785.5,804.25,501300,804.25
2016-08-23,809.95,829.8,804,808.3,477000,808.3
2016-08-24,800,822.7,800,809.6,460300,809.6
2016-08-25,815.6,826.4,805,809.2,468800,809.2
2016-08-26,812.25,827,809.9,823.2,491600,823.2
2016-08-29,858,860,815,826.6,441800,826.6
2016-08-30,830,843.6,825,827.4,511100,827.4
2016-08-31,835.45,851,826.1,829.15,436500,829.15
2016-09-01,837.65,939.8,830.55,903.75,628000,903.75
2016-09-02,894.2,915,851.5,886.8,541500,886.8
2016-09-05,886.8,886.8,886.8,886.8,0,886.8
2016-09-06,888,908,887,891.75,467300,891.75
2016-09-07,895,908,886.7,898,480900,898
2016-09-08,904.95,916.9,873,881.4,448100,881.4
2016-09-09,885,890,846,858.4,465100,858.4
2016-09-12,846.9,860,841.6,847.6,474700,847.6
2016-09-13,847.6,847.6,847.6,847.6,0,847.6
2016-09-14,836.05,859.1,836.05,851.05,500800,851.05
2016-09-15,857,864.8,848.05,854.55,354200,854.55
2016-09-16,868,905,852.3,889.1,461000,889.1
2016-09-19,892.3,911.9,874.25,884.55,541500,884.55
2016-09-20,892.65,917,885.1,904.1,507900,904.1
2016-09-21,909,961.75,905,938.3,565100,938.3
2016-09-22,949,1074,927.05,938.5,575000,938.5
2016-09-23,945,962,910,947.9,549100,947.9
2016-09-26,947.7,950.05,897,903.15,574100,903.15
2016-09-27,906,922.75,892.35,907.5,569200,907.5
2016-09-28,921.2,929.6,904,927.45,574500,927.45
2016-09-29,935,936.5,880,891.15,522200,891.15
2016-09-30,908.85,908.85,880.5,891.25,507300,891.25
2016-10-03,892.1,924,892,911.7,559300,911.7
2016-10-04,915.05,930,875.2,921.6,551500,921.6
2016-10-05,934.95,934.95,911.7,930.1,534700,930.1
2016-10-06,932,936,886.6,898.5,555700,898.5
2016-10-07,904.4,919.9,900.95,912,635600,912
2016-10-10,924.3,929,888.05,917.4,589400,917.4
2016-10-11,917.4,917.4,917.4,917.4,0,917.4
2016-10-12,917.4,917.4,917.4,917.4,0,917.4
2016-10-13,914.7,934.7,891.05,912.4,352700,912.4
2016-10-14,915,935.5,915,928.75,347300,928.75
2016-10-17,937.8,937.8,890,892.8,376400,892.8
2016-10-18,893,909.8,893,908.55,368900,908.55
2016-10-19,911.05,915.25,896,906.75,348300,906.75
2016-10-20,915,915,895.85,898.25,389800,898.25
2016-10-21,904,905,860,862.3,575900,862.3
2016-10-24,875,890,852.2,859.6,462300,859.6
2016-10-25,852,870,821,864.75,353400,864.75
2016-10-26,865,868.5,855.5,861.6,408000,861.6
2016-10-27,878,935,861.6,924.6,500500,924.6
2016-10-28,933,971.9,933,961.2,408100,961.2
2016-10-31,961.2,961.2,961.2,961.2,0,961.2
2016-11-01,969.8,969.9,915.15,946.55,327200,946.55
2016-11-02,935,951.95,914,943,370200,943
2016-11-03,947,984.5,931,973.5,365300,973.5
2016-11-04,978,978,943.6,956.55,361300,956.55
2016-11-07,964.35,978.3,951.25,973.6,343000,973.6
2016-11-08,975.05,1010,973.35,999.7,385800,999.7
2016-11-09,816.05,990,799.8,973.8,329100,973.8
2016-11-10,977,999,921.05,938.2,297900,938.2
2016-11-11,920.05,940,910.2,923.2,307700,923.2
2016-11-14,923.2,923.2,923.2,923.2,0,923.2
2016-11-15,934.95,951,895.15,929.6,352300,929.6
2016-11-16,944,958.8,919.05,950.15,323900,950.15
2016-11-17,931.1,1010,931.1,988.95,364800,988.95
2016-11-18,984,1078,963.35,1060.3,379900,1060.3
2016-11-21,1046,1137,1015,1105.2,415800,1105.2
2016-11-22,1111,1180,1111,1137.1,364300,1137.1
2016-11-23,1144.05,1175,1131.65,1162.7,337900,1162.7
2016-11-24,1159.9,1189.9,1130,1161.6,331700,1161.6
2016-11-25,1165.05,1217.95,1146.05,1196.95,346000,1196.95
2016-11-28,1212.9,1239.95,1182.05,1197,388300,1197
2016-11-29,1217.4,1232,1186.85,1198.75,336800,1198.75
2016-11-30,1214.6,1220,1175,1193.85,447100,1193.85
2016-12-01,1186.25,1205,1140,1159.2,370600,1159.2
2016-12-02,1140,1164.95,1125.25,1137.7,340600,1137.7
2016-12-05,1140.25,1188,1131.65,1148.25,333100,1148.25
2016-12-06,1143,1164.95,1135,1139.65,342500,1139.65
2016-12-07,1150.25,1161.5,1135.1,1146.5,326600,1146.5
2016-12-08,1155.05,1167.55,1142.05,1152.5,317400,1152.5
2016-12-09,1158.95,1180,1116.3,1127.4,400900,1127.4
2016-12-12,1145,1145,1100,1109.25,291200,1109.25
2016-12-13,1087.1,1140,1087.1,1119.9,312900,1119.9
2016-12-14,1119.9,1132,1100,1112.45,339200,1112.45
2016-12-15,1099.8,1118,1099.1,1108.5,334000,1108.5
2016-12-16,1115,1129.5,1089.1,1106.65,342400,1106.65
2016-12-19,1100,1100,1060,1065.5,315800,1065.5
2016-12-20,1066,1097.55,1037.05,1090.2,319300,1090.2
2016-12-21,1098.95,1154,1085,1117,326800,1117
2016-12-22,1135,1205.95,1115,1182.5,335400,1182.5
2016-12-23,1169.8,1200,1140,1160.75,347000,1160.75
2016-12-26,1162,1230.4,1153.9,1159.4,306400,1159.4
2016-12-27,1151.15,1168.3,1145,1155.9,314500,1155.9
2016-12-28,1150,1165.9,1147,1160.4,329500,1160.4
2016-12-29,1151,1187.9,1150,1172.65,319700,1172.65
2016-12-30,1170.55,1191.5,1161.9,1173.9,340300,1173.9
2017-01-02,1176,1183,1154,1170.35,311600,1170.35
2017-01-03,1188.9,1193.65,1155,1166.7,311100,1166.7
2017-01-04,1171.55,1213.6,1162.7,1196.2,393000,1196.2
2017-01-05,1200,1219.25,1185,1199.25,357100,1199.25
2017-01-06,1190,1209.85,1190,1197.2,378100,1197.2
2017-01-09,1210,1211,1182.65,1189.3,359500,1189.3
2017-01-10,1189.3,1208.8,1175,1182.3,343800,1182.3
2017-01-11,1200,1204,1166,1178.7,311700,1178.7
2017-01-12,1189.95,1193.6,1136.05,1153.2,342700,1153.2
2017-01-13,1170,1179,1138.15,1155.45,314300,1155.45
2017-01-16,1156.95,1164,1140.6,1149.35,315000,1149.35
2017-01-17,1149.9,1157.5,1144.05,1148.7,327300,1148.7
2017-01-18,1160,1160,1147.05,1151.8,325800,1151.8
2017-01-19,1158,1165,1148,1149.6,364600,1149.6
2017-01-20,1159.6,1177.5,1147.8,1152.5,335500,1152.5
2017-01-23,1154.7,1174.8,1142.7,1162.3,330500,1162.3
2017-01-24,1174.85,1179.9,1142.5,1149.35,357400,1149.35
2017-01-25,1160,1309,1160,1269.35,705300,1269.35
2017-01-26,1269.35,1269.35,1269.35,1269.35,0,1269.35
2017-01-27,1278.9,1338,1270.05,1296.35,538100,1296.35
2017-01-30,1285.05,1303.95,1252,1256,367400,1256
2017-01-31,1255,1271.8,1240.05,1260.55,346400,1260.55
2017-02-01,1268.4,1270,1245.85,1267,311200,1267
2017-02-02,1270,1281.7,1254.15,1265.35,311700,1265.35
2017-02-03,1260,1280,1256,1273.9,321400,1273.9
2017-02-06,1275,1318,1272,1283.8,422000,1283.8
2017-02-07,1285.05,1348.9,1282.2,1339.6,469200,1339.6
2017-02-08,1349.9,1375,1330.05,1359.85,529700,1359.85
2017-02-09,1365,1390,1360.05,1374.15,531100,1374.15
2017-02-10,1379.9,1384.75,1341.4,1355.9,498000,1355.9
2017-02-13,1365.25,1397.4,1345.1,1365.4,518600,1365.4
