"Date","INFRATEL.NS.Open","INFRATEL.NS.High","INFRATEL.NS.Low","INFRATEL.NS.Close","INFRATEL.NS.Volume","INFRATEL.NS.Adjusted"
2015-01-01,333.5,340.5,329.85,339.3,103600,319.92
2015-01-02,335.6,340.6,334.95,337.2,371400,317.94
2015-01-05,332.5,347.65,332.5,342.4,662800,322.84
2015-01-06,342,351.6,338.3,341.55,1267500,322.04
2015-01-07,342,347.3,341.65,342.65,701000,323.08
2015-01-08,343.35,346,343.05,344.05,1423600,324.4
2015-01-09,350,350,339.5,343,1173300,323.41
2015-01-12,338.2,343.85,338.2,342.5,141700,322.94
2015-01-13,347.95,347.95,338.9,340.7,234700,321.24
2015-01-14,340.1,342,332.2,339.2,853000,319.83
2015-01-15,335.35,346.6,335.35,340.1,978800,320.67
2015-01-16,345,345,337,340,73000,320.58
2015-01-19,335.2,343,335.2,342.1,529200,322.56
2015-01-20,340.25,361.25,340.25,353.8,1175900,333.59
2015-01-21,361.7,375,358.05,365.3,2008500,344.44
2015-01-22,352.2,364.75,352.2,360.7,1031600,340.1
2015-01-23,364,373.3,359.45,368.5,1165800,347.45
2015-01-26,368.5,368.5,368.5,368.5,0,347.45
2015-01-27,364.2,368.8,360.55,363.65,769900,342.88
2015-01-28,364.85,381.8,362.25,379.85,1655500,358.15
2015-01-29,379.85,379.85,368.6,373.6,291400,352.26
2015-01-30,380.05,386.95,340.1,361.85,2409400,341.18
2015-02-02,369.8,374.75,368.3,370.1,701000,348.96
2015-02-03,367,383.75,365.25,376.3,2359700,354.81
2015-02-04,382.4,385,371,377.55,3751900,355.99
2015-02-05,377,381,368.2,376.8,1146500,355.28
2015-02-06,379.4,381,374.8,378.25,1762200,356.65
2015-02-09,382.7,382.7,367.55,373,1285700,351.7
2015-02-10,373,373,354.4,369.8,990800,348.68
2015-02-11,366.25,369.8,356.2,360.95,1316500,340.33
2015-02-12,362,368.75,338.5,364.1,5133500,343.3
2015-02-13,367,367,353,358.85,1368500,338.35
2015-02-16,360.9,373,359.2,370.25,1189900,349.1
