"Date","INFY.NS.Open","INFY.NS.High","INFY.NS.Low","INFY.NS.Close","INFY.NS.Volume","INFY.NS.Adjusted"
2015-01-01,1968.94995,1982,1956.90002,1974.40002,1001300,886.31202
2015-01-02,1972,2019.06006,1972,2013.19995,3389100,903.72939
2015-01-05,2009.90002,2030,1977.5,1995.90002,4968500,895.96342
2015-01-06,1980,1985,1934.09998,1954.19995,4833600,877.24417
2015-01-07,1965,1974.75,1950,1963.55005,3624900,881.44145
2015-01-08,1985.59998,1997,1950,1973.44995,6782400,885.88553
2015-01-09,1980.09998,2109,1913.05005,2074.43994,22431600,931.22014
2015-01-12,2092,2119.19995,2075,2115.93994,6379400,949.84957
2015-01-13,2107.80005,2107.80005,2075,2088.8999,4400600,937.71124
2015-01-14,2098.5,2133,2092.6001,2128.63989,4960600,955.5506
2015-01-15,2135.19995,2152.80005,2112.23999,2134.23999,4171200,958.0645
2015-01-16,2148,2160,2112,2118.30005,3345400,950.90903
2015-01-19,2120,2132.36011,2094.6001,2102.5,2043800,943.81635
2015-01-20,2107,2133,2101.43994,2124.19995,3402200,953.5575
2015-01-21,2131.5,2175.93994,2118,2169.8999,4247400,974.0723
2015-01-22,2174.80005,2203,2161.30005,2196.43994,4979100,985.98618
2015-01-23,2200,2225,2165.1001,2215.06006,4743100,994.34478
2015-01-26,2215.06006,2215.06006,2215.06006,2215.06006,0,994.34478
2015-01-27,2221,2221,2130.1001,2136.5,6869900,959.07902
2015-01-28,2150,2154.80005,2130.30005,2144.56006,6567100,962.6972
2015-01-29,2145,2149.8999,2127.6001,2145.5,7684700,963.11914
2015-01-30,2161.5,2162.56006,2126.93994,2141.8999,5416800,961.50305
2015-02-02,2141.5,2152,2126.06006,2136.86011,4351200,959.24067
2015-02-03,2136.86011,2139.93994,2102,2120.8999,2632900,952.0761
2015-02-04,2139.8999,2150,2126.3999,2142.86011,2580000,961.93408
2015-02-05,2150.80005,2220,2148,2193.80005,5937900,984.80112
2015-02-06,2205,2247.80005,2188.5,2230.5,3726800,1001.2758
2015-02-09,2200,2254,2200,2248.8999,3268400,1009.53555
2015-02-10,2243,2298,2241,2278.30005,4258400,1022.73334
2015-02-11,2280.5,2293.19995,2256.23999,2284.86011,2898400,1025.67816
2015-02-12,2283,2321.93994,2273,2311.19995,3143700,1037.50217
2015-02-13,2299.6001,2326.69995,2286,2296.1001,2828700,1030.72381
2015-02-16,2280.30005,2306.8999,2265.23999,2278.76001,3122100,1022.93981
2015-02-17,2278.76001,2278.76001,2278.76001,2278.76001,0,1022.93981
2015-02-18,2290.56006,2304.93994,2258.13989,2296.5,4306800,1030.90333
2015-02-19,2294,2334,2292.06006,2324.69995,4836800,1043.56234
2015-02-20,2328.5,2336,2276.8999,2283.1001,3485800,1024.88809
2015-02-23,2300,2309.19995,2248.1001,2265.6001,2545200,1017.0323
2015-02-24,2279,2295.93994,2257.6001,2272.80005,3218800,1020.26438
2015-02-25,2288.8999,2334.80005,2280,2317.6001,3022400,1040.37521
2015-02-26,2307.5,2309,2245.3999,2258.1001,3222800,1013.66554
2015-02-27,2274.8999,2280.63989,2251.5,2265.76001,3900500,1017.10409
2015-03-02,2303,2308.5,2278.06006,2291.69995,3520400,1028.74858
2015-03-03,2290,2302.93994,2278.30005,2297.86011,2452700,1031.51389
2015-03-04,2300,2313.8999,2251.8999,2274.63989,2187600,1021.09029
2015-03-05,2267.06006,2298.76001,2233.36011,2247.6001,2842400,1008.95207
2015-03-06,2247.6001,2247.6001,2247.6001,2247.6001,0,1008.95207
2015-03-09,2259,2259,2179,2190.06006,3992300,983.12223
2015-03-10,2198.1001,2206.93994,2160.19995,2198,3164900,986.68649
2015-03-11,2194.1001,2240,2169.1001,2182.19995,3390400,979.59382
2015-03-12,2179,2226.43994,2177,2218.30005,2844200,995.79922
2015-03-13,2225,2230,2192.3999,2220.3999,3089800,996.74185
2015-03-16,2210.56006,2282,2210.56006,2266.63989,3409300,1017.49907
2015-03-17,2266.63989,2279.5,2217.23999,2240.5,2769600,1005.76482
2015-03-18,2254.5,2262.86011,2222.56006,2229.5,2452700,1000.8269
2015-03-19,2234.6001,2249,2222.76001,2230.43994,3445800,1001.24884
2015-03-20,2241,2268.8999,2232.93994,2257.43994,3215400,1013.36919
2015-03-23,2253,2275,2225.5,2233.43994,2539300,1002.59555
2015-03-24,2234.8999,2253.3999,2206,2211.43994,3368200,992.7197
2015-03-25,2222.8999,2229.13989,2200.76001,2219.1001,3085400,996.15836
2015-03-26,2208,2214.8999,2132,2146.36011,7870400,963.50524
2015-03-27,2164,2224.69995,2163,2202.13989,5037100,988.54489
2015-03-30,2205.6001,2240,2194.8999,2228,2311500,1000.15355
2015-03-31,2245,2273.63989,2204.36011,2218.36011,4008200,995.82618
2015-04-01,2198.8999,2199.5,2157.69995,2173.93994,3369200,975.88588
2015-04-02,2173.93994,2173.93994,2173.93994,2173.93994,0,975.88588
2015-04-03,2173.93994,2173.93994,2173.93994,2173.93994,0,975.88588
2015-04-06,2179,2184.69995,2160.3999,2178.19995,3870800,977.79821
2015-04-07,2175,2182.80005,2138,2159.5,4271100,969.40376
2015-04-08,2182.5,2204.8999,2173.06006,2200.56006,5092700,987.8357
