"Date","IOC.NS.Open","IOC.NS.High","IOC.NS.Low","IOC.NS.Close","IOC.NS.Volume","IOC.NS.Adjusted"
2015-01-01,332.75,338.85,330.75,336.45,789900,146.2803
2015-01-02,337.95,339.45,333.75,334.6,858700,145.4759
2015-01-05,335.35,341.9,333.9,338.2,1203200,147.0411
2015-01-06,339.5,340.65,331.7,334.45,2231800,145.4107
2015-01-07,334.1,337.6,329.6,335.05,1677800,145.6716
2015-01-08,335.95,345.45,333.2,343.5,2301100,149.3454
2015-01-09,345.7,347,337.65,341.7,1991900,148.5629
2015-01-12,341.1,343,338.05,339.5,1123800,147.6063
2015-01-13,341,344.8,339,340.15,1051600,147.8889
2015-01-14,338.55,341.45,335.05,335.7,2084000,145.9542
2015-01-15,336.25,339.95,331.3,336.05,1713300,146.1064
2015-01-16,335,339.3,331.7,336.5,1068300,146.302
2015-01-19,335.05,338.85,333.55,336.8,893400,146.4324
2015-01-20,339.6,339.75,335.4,336.75,2298000,146.4107
2015-01-21,335.5,336,328.3,330.05,2411500,143.4977
2015-01-22,330.05,334.4,328.75,331.65,1406000,144.1934
2015-01-23,332.9,333.45,326.65,331,2333200,143.9108
2015-01-26,331,331,331,331,0,143.9108
2015-01-27,331,336.5,328.8,331.1,1475600,143.9542
2015-01-28,332,339.25,329.6,338.15,1655700,147.0194
2015-01-29,337.55,349.4,337.35,348.35,3057800,151.4541
2015-01-30,350,355,343.45,347.3,2521300,150.9976
2015-02-02,347,347,336.2,339.95,1334700,147.802
2015-02-03,339.7,340.9,330,330.75,1499500,143.8021
2015-02-04,330.6,339.15,328.7,335.2,1232900,145.7368
2015-02-05,335.95,347.45,331.4,334.65,2043400,145.4977
2015-02-06,333,335.95,325.1,327.55,1135600,142.4108
2015-02-09,324.95,325.95,318,319.55,883900,138.9326
2015-02-10,318.85,322.4,307,310.95,1480700,135.1935
2015-02-11,311.85,319.8,311.05,318.05,1163300,138.2804
2015-02-12,319.85,322.25,313.5,315.4,1060200,137.1282
2015-02-13,315.55,320.75,306.75,310.25,6136000,134.8892
2015-02-16,310,322.5,309.95,317.95,3175000,138.2369
2015-02-17,317.95,317.95,317.95,317.95,0,138.2369
2015-02-18,318.95,333.9,313.05,332.15,2792400,144.4107
2015-02-19,333.25,346.25,332,343.2,2723800,149.215
2015-02-20,342.05,343.3,332.15,333.05,1141500,144.802
2015-02-23,335,338.45,331.05,337.9,1651800,146.9107
2015-02-24,340,340.3,328.05,328.8,1327800,142.9542
2015-02-25,330.1,332.5,326.4,327.2,807300,142.2586
2015-02-26,329.45,329.45,324.05,327.65,1970000,142.4542
2015-02-27,328.15,334.8,325.6,333.65,1292300,145.0629
2015-03-02,338.8,355.85,337,350.7,4807000,152.4758
2015-03-03,349.3,359.1,344.65,356.4,2314300,154.954
2015-03-04,358,358.8,338,341.1,1340300,148.302
2015-03-05,341,349.8,339.1,348.7,1816300,151.6063
2015-03-06,348.7,348.7,348.7,348.7,0,151.6063
2015-03-09,349.5,351.5,343.4,349.95,1632200,152.1498
2015-03-10,348,348.8,340.4,346.05,1234600,150.4541
2015-03-11,345.65,349.7,338.05,341.05,1437500,148.2802
2015-03-12,339.5,347.8,339.3,345.8,1336200,150.3454
2015-03-13,347.55,348.45,337.85,339.05,1060900,147.4107
2015-03-16,341,346.05,339.75,341.45,1061600,148.4542
2015-03-17,344.7,351.5,341.35,347.05,2421400,150.8889
2015-03-18,349.95,353.9,347.3,349.7,3952100,152.0411
2015-03-19,351,355.95,347.2,350.4,2095400,152.3454
2015-03-20,350.05,352.4,342,344.1,1376800,149.6063
2015-03-23,344.45,345.55,341,341.95,539200,148.6715
2015-03-24,343,350.8,341.25,347.25,1081300,150.9759
2015-03-25,348,353.3,346.6,351.85,1171000,152.9758
2015-03-26,351.05,356,347.2,349.55,2339900,151.9758
2015-03-27,349.5,353,340.4,346.5,1251000,150.6498
2015-03-30,348.95,356,347,354.5,984300,154.128
2015-03-31,355.45,375.4,355.45,368.65,4634200,160.2801
2015-04-01,369.75,374.7,368.5,370.6,1693000,161.1279
2015-04-02,370.6,370.6,370.6,370.6,0,161.1279
2015-04-03,370.6,370.6,370.6,370.6,0,161.1279
2015-04-06,369.55,375.5,368.55,374,1260000,162.6061
2015-04-07,374.2,374.9,370.15,372.2,2261600,161.8235
2015-04-08,372,386,370.25,377.15,5499700,163.9756
2015-04-09,379.75,383,372.55,375,1904700,163.0409
2015-04-10,376,379.8,372,375.05,1568800,163.0626
2015-04-13,372,382,372,376.95,1413700,163.8887
2015-04-14,376.95,376.95,376.95,376.95,0,163.8887
2015-04-15,375.05,380.75,371,372.95,1417600,162.1496
2015-04-16,370,373.6,358.4,363.9,1266600,158.2149
2015-04-17,364,368.15,358.4,359.4,1039000,156.2584
2015-04-20,357.35,364,355.2,359.45,1870900,156.2801
2015-04-21,357.4,362.15,353.45,355.25,855600,154.4541
2015-04-22,356.95,366.3,355.15,363.45,1998700,158.0192
2015-04-23,366.45,371.6,363.6,368.5,2366200,160.2148
2015-04-24,367.55,371,354.15,355.8,2045200,154.6932
2015-04-27,357.3,357.95,345.35,349.6,1075400,151.9976
2015-04-28,351.45,357.65,346.55,351.45,2232000,152.8019
2015-04-29,352,356.3,348.05,349.85,1477600,152.1063
2015-04-30,350,364.7,347.55,361.2,2224800,157.041
2015-05-01,361.2,361.2,361.2,361.2,0,157.041
2015-05-04,368.45,369.2,358.15,364.75,1407400,158.5844
2015-05-05,365.4,366.95,358.2,364.2,1224100,158.3453
2015-05-06,362.8,362.8,335.05,336.3,3534100,146.2151
2015-05-07,339,340,326.5,330.85,2468300,143.8455
2015-05-08,333.45,340.7,332.55,335.35,1369800,145.802
2015-05-11,336.95,339.6,334.9,338.95,1233400,147.3672
2015-05-12,341.95,341.95,326.1,332.35,2390800,144.4977
2015-05-13,330.55,336.4,323.4,335,3186900,145.6499
2015-05-14,336,336,327.1,333.95,2012000,145.1933
2015-05-15,333.55,339.7,332.7,336.65,1073600,146.3672
2015-05-18,338.7,345.8,338.35,343.4,1818100,149.302
2015-05-19,344,347.85,341.55,344.75,869500,149.8889
2015-05-20,346.95,347.35,342.1,343.6,779100,149.3889
2015-05-21,344.95,349.8,341.55,348.9,1140000,151.6932
2015-05-22,349,350.8,345.45,348.45,1125600,151.4976
2015-05-25,349.95,353.6,346.05,348.85,916400,151.6715
2015-05-26,349.05,349.75,343.2,347.65,738500,151.1498
2015-05-27,346.55,359.95,345.85,358.65,1384800,155.9323
2015-05-28,359.95,363,356.1,360.65,1954800,156.8018
2015-05-29,362,374.65,354,356.2,6299800,154.8671
2015-06-01,357,360.65,352.9,354.75,1855400,154.2367
