"Date","IRB.NS.Open","IRB.NS.High","IRB.NS.Low","IRB.NS.Close","IRB.NS.Volume","IRB.NS.Adjusted"
2015-01-01,264.25,265.5,260.35,263.85,889300,255.14
2015-01-02,265,269,263,267.25,1245000,258.43
2015-01-05,265.05,268,238.35,244.7,6012700,236.62
2015-01-06,240,244.9,233.45,237.1,6254100,229.27
2015-01-07,239,241.8,219.5,227.35,6042300,219.85
2015-01-08,233.9,239.8,231.05,238.4,2812200,230.53
2015-01-09,241,241.4,234.1,238.05,2288700,230.19
2015-01-12,238,247.2,234.1,246.4,1865300,238.27
2015-01-13,246.7,247.25,232.1,235.35,2616700,227.58
2015-01-14,234.2,235.45,229.6,232.05,1756800,224.39
2015-01-15,240,245,234.3,239.6,2338400,231.69
2015-01-16,238.4,247.8,234.6,246.8,3170100,238.65
2015-01-19,248,253.7,243.85,250,2190900,241.75
2015-01-20,251.15,255,250.5,253.55,1580700,245.18
2015-01-21,254.7,259,250.55,254.7,2017600,246.29
2015-01-22,255.25,257,250.35,253.75,815200,245.37
2015-01-23,255.7,256.2,245.2,247.2,1583200,239.04
2015-01-26,247.2,247.2,247.2,247.2,0,239.04
2015-01-27,247.15,254.4,245.45,253.3,1440700,244.94
2015-01-28,250,269.5,250,267.1,4568100,258.28
2015-01-29,266.4,274.15,261.9,270.3,5138100,261.38
2015-01-30,270.5,275.6,265,269.35,3758800,260.46
2015-02-02,268.5,272.95,266.4,269.3,1726000,260.41
2015-02-03,269.7,275.9,265.8,269.75,2175900,260.85
2015-02-04,271,272.4,256.2,259.3,3247000,250.74
2015-02-05,260.6,270.6,248.2,254.5,3719800,246.1
2015-02-06,254.7,263.7,254.2,260.45,2912800,251.85
2015-02-09,255.95,268.7,252.5,257.25,2680800,248.76
2015-02-10,257,261.95,245.65,253.35,2371700,244.99
2015-02-11,256.4,264.6,253.5,262.95,1571700,254.27
2015-02-12,264.7,265.9,254.1,259.3,2208300,250.74
2015-02-13,260.8,264.3,256.2,257.75,1836700,249.24
2015-02-16,258,260.2,251.3,253.3,1746600,244.94
2015-02-17,253.3,253.3,253.3,253.3,0,244.94
2015-02-18,243,253.8,236,244.35,5372700,236.28
2015-02-19,246.3,251.4,242.5,249.5,1657600,241.26
2015-02-20,250.6,252.9,243.35,246.55,1362300,238.41
2015-02-23,248.6,250.8,244.15,246,1421600,237.88
2015-02-24,246.1,249.2,236.8,247.4,3338600,239.23
2015-02-25,249.6,254.95,246.1,249.8,2752700,241.55
2015-02-26,250.95,252.35,246.6,249.65,1656300,241.41
2015-02-27,252,256.9,250,256,1580400,247.55
2015-03-02,259.95,265.9,251.65,257.1,5326000,248.61
2015-03-03,261.9,263.45,258,261.75,3493700,253.11
2015-03-04,264.1,266.5,251.4,253.9,3140000,245.52
2015-03-05,255.7,258.5,252.2,256.25,1588700,247.79
2015-03-06,256.25,256.25,256.25,256.25,0,247.79
2015-03-09,254,254,241,242.7,1771200,234.69
2015-03-10,242.5,248,236.4,240.2,1965500,232.27
2015-03-11,241,244.75,237.6,239.7,1456200,231.79
2015-03-12,242,245.85,239.5,244.95,1693000,236.86
2015-03-13,247.2,247.5,234,235.7,2192800,227.92
2015-03-16,236,236,226.7,229.75,2598900,222.17
2015-03-17,232.1,235,225.3,230.75,2282100,223.13
2015-03-18,233.35,234.4,230.1,233,1125900,225.31
2015-03-19,235.2,239.4,232.55,234.35,3654600,226.61
2015-03-20,235,243,225.6,241.5,5382600,233.53
2015-03-23,241,245.6,239,243.15,2021800,235.12
2015-03-24,243.4,248.25,239.75,246.85,1982100,238.7
2015-03-25,247.5,251.5,241.1,250.55,2463500,242.28
2015-03-26,247.95,254.4,244.95,246.55,3686300,238.41
2015-03-27,249,250.5,237.45,244.15,1463900,236.09
2015-03-30,244.95,248.9,242.4,245.1,2002100,237.01
2015-03-31,246.45,250.4,242.65,244.2,1802800,236.14
2015-04-01,244.9,251.4,243.45,248.5,1522000,240.3
2015-04-02,248.5,248.5,248.5,248.5,0,240.3
2015-04-03,248.5,248.5,248.5,248.5,0,240.3
2015-04-06,250,255.9,244.55,253.95,1533100,245.57
2015-04-07,255.65,256,249.2,252.1,936900,243.78
2015-04-08,253.6,268.8,252.7,263.1,3321200,254.41
2015-04-09,265.4,266.85,258,262.15,2191600,253.5
2015-04-10,262.5,266,253.75,260.1,2189900,251.51
2015-04-13,259.9,263.1,255.35,256.5,1635100,248.03
2015-04-14,256.5,256.5,256.5,256.5,0,248.03
2015-04-15,258,261,254.4,256.55,1012600,248.08
2015-04-16,256.4,256.6,247.2,249.75,1117700,241.51
2015-04-17,249.9,253.65,245.1,249.2,867400,240.97
2015-04-20,249.7,250,239.7,241.85,1431000,233.87
2015-04-21,241.8,243.4,237.25,238.55,1803700,230.68
2015-04-22,239,242,233.3,237.1,1888400,229.27
2015-04-23,239,243,237.55,239.9,1323800,231.98
2015-04-24,239.65,240,229.7,231.1,965700,223.47
2015-04-27,232.4,232.6,220,222.2,1442300,214.87
2015-04-28,218,228.35,212.4,226.3,3231600,218.83
2015-04-29,225.8,230.95,223.2,228.95,1056200,221.39
2015-04-30,227.4,236.45,223.2,233.45,1744300,225.74
2015-05-01,233.45,233.45,233.45,233.45,0,225.74
2015-05-04,234,241.75,233.2,240.2,991100,232.27
2015-05-05,240.8,240.8,233.1,234.95,875600,227.19
2015-05-06,233.15,233.85,217.5,218.15,2254400,210.95
2015-05-07,218,222.6,210.9,216.5,2819800,209.35
2015-05-08,221.95,230,219.7,228.55,1917000,221.01
2015-05-11,228.5,233.8,224.6,231.65,987900,224
2015-05-12,231.6,231.6,222,224.15,746600,216.75
2015-05-13,225.95,232.4,222.9,230.65,962800,223.04
2015-05-14,229.65,236.7,227,235.9,1378100,228.11
2015-05-15,236.4,239.3,234,235.05,1026800,227.29
2015-05-18,235.8,237,232.35,234.85,671800,227.1
2015-05-19,234,242,232.5,239.8,1965500,231.88
2015-05-20,240,246.8,237,242.4,897000,234.4
2015-05-21,247,249.9,244,245.95,1636300,237.83
2015-05-22,247,247.85,242.05,243.35,773300,235.32
2015-05-25,241.8,246,239.1,240.2,914700,232.27
2015-05-26,240,244.9,239.2,242.25,1126100,234.25
2015-05-27,238.2,246,236.2,243.65,954800,235.61
2015-05-28,243.05,247.95,241,246.55,1399400,238.41
2015-05-29,247.55,249.6,242.75,246.85,1091900,238.7
2015-06-01,250,256.6,250,253.5,1714900,245.13
2015-06-02,254.5,255.7,246.05,248.5,1255100,240.3
2015-06-03,245.9,246.25,228.35,242.2,1751500,234.2
2015-06-04,241.9,243.85,234.65,241.75,964900,235.72
2015-06-05,240.2,241.4,233,233.95,1558800,228.11
2015-06-08,234.4,234.7,228.1,232.7,1022400,226.89
2015-06-09,230,238.4,228.95,233.85,1079000,228.01
2015-06-10,232.9,238.2,228.6,230.95,1167700,225.19
2015-06-11,234.9,234.9,218.15,219.8,1560900,214.31
2015-06-12,219.8,224,217.85,221,812000,215.48
2015-06-15,221.5,227.4,219.65,225.05,687500,219.43
2015-06-16,225.6,226.2,217.95,221.2,706500,215.68
2015-06-17,222.1,226.75,221.1,224.75,841100,219.14
2015-06-18,225.5,228.45,225,227.05,670500,221.38
2015-06-19,228,229.4,223.6,227.55,570200,221.87
2015-06-22,228,233.95,226.5,232.75,797800,226.94
2015-06-23,233.2,236.9,230.7,236.05,839400,230.16
2015-06-24,237,237.8,226.2,228.1,841600,222.41
2015-06-25,227.2,232,226.35,230.35,1300700,224.6
2015-06-26,228.5,234.9,225.6,232,1084100,226.21
2015-06-29,224,231.8,223.05,230.45,914200,224.7
2015-06-30,228.6,234.9,228.6,233.45,973800,227.62
2015-07-01,233.25,237.85,233.25,236.7,733500,230.79
2015-07-02,238,244.6,237.7,243.3,1690900,237.23
2015-07-03,244.4,244.7,235.05,236.15,1349000,230.26
2015-07-06,234.8,239.6,230.45,238.85,751600,232.89
2015-07-07,247.5,248,237.05,238.1,1821100,232.16
2015-07-08,234.9,237.5,228.95,231.35,1565600,225.58
