"Date","JINDALSTEL.NS.Open","JINDALSTEL.NS.High","JINDALSTEL.NS.Low","JINDALSTEL.NS.Close","JINDALSTEL.NS.Volume","JINDALSTEL.NS.Adjusted"
2015-01-01,152,158.35001,150.5,156.55,6913700,156.55
2015-01-02,158,164.60001,157.60001,161.95,8169000,161.95
2015-01-05,164.8,166.75,161.2,162.85001,12103700,162.85001
2015-01-06,160.95,163.39999,151.05,152.64999,9730500,152.64999
2015-01-07,154.2,154.75,148.60001,150.35001,5299400,150.35001
2015-01-08,152.7,158.5,152.10001,157.89999,6049200,157.89999
2015-01-09,159.10001,161.45,151.5,152.85001,6935200,152.85001
2015-01-12,152.10001,153.14999,147.89999,149.39999,4015300,149.39999
2015-01-13,150.5,155.85001,147.5,148.75,6560400,148.75
2015-01-14,149.7,152,145.2,146.85001,5640200,146.85001
2015-01-15,149.3,153.7,147.2,151.8,7036000,151.8
2015-01-16,150.95,154.3,148.75,150.85001,5230700,150.85001
2015-01-19,150.95,153.60001,149.60001,151.64999,3156400,151.64999
2015-01-20,152.8,157.60001,152.3,155.35001,6752900,155.35001
2015-01-21,156.60001,157.14999,151.10001,152.8,5694100,152.8
2015-01-22,152.8,155.10001,151.3,153.64999,6123200,153.64999
2015-01-23,156,160.25,151.95,158.39999,6530200,158.39999
2015-01-26,158.39999,158.39999,158.39999,158.39999,0,158.39999
2015-01-27,158.89999,160.95,156.55,159,6069100,159
2015-01-28,158.60001,158.60001,154.10001,155.10001,3970000,155.10001
2015-01-29,154.60001,159,151.3,157.39999,11319600,157.39999
2015-01-30,156.8,160.8,154.2,158.64999,4080100,158.64999
2015-02-02,158.5,160.3,153.55,154.75,2895600,154.75
2015-02-03,155.45,155.75,150.75,152.10001,2936500,152.10001
2015-02-04,151.5,159.10001,149.75,153.8,9302800,153.8
2015-02-05,154,154.35001,144.5,146.3,4196200,146.3
2015-02-06,146.10001,147.35001,140,142.05,4937700,142.05
2015-02-09,140,145.60001,138.05,141.95,5872000,141.95
2015-02-10,140.35001,144.89999,140.10001,142.7,4284700,142.7
2015-02-11,142.7,154.2,141.60001,151.2,10619300,151.2
2015-02-12,154,154.8,145.39999,146.75,6514100,146.75
2015-02-13,148.05,153.3,146.64999,152.25,4261300,152.25
2015-02-16,152.95,154.64999,149.25,152.14999,5493100,152.14999
2015-02-17,152.14999,152.14999,152.14999,152.14999,0,152.14999
2015-02-18,153.5,157.75,151,155.35001,6370600,155.35001
2015-02-19,155.5,200.5,153.7,195.35001,68648500,195.35001
2015-02-20,206.55,208,185.39999,194.25,57545800,194.25
2015-02-23,190,194.25,186.45,190.85001,13311600,190.85001
2015-02-24,190,190.75,180.5,182.75,7878000,182.75
2015-02-25,183,187.75,182,182.89999,5981800,182.89999
2015-02-26,183.85001,186.8,181.7,184.3,7300100,184.3
2015-02-27,185,209.89999,185,193.85001,28561100,193.85001
2015-03-02,192.8,194.60001,182.64999,188.7,8512900,188.7
2015-03-03,189.5,195.60001,188.3,193.39999,7098600,193.39999
2015-03-04,196.89999,201.10001,184.3,188.55,15468200,188.55
2015-03-05,188.8,192.3,182.10001,185.5,7760600,185.5
2015-03-06,185.5,185.5,185.5,185.5,0,185.5
2015-03-09,195.10001,201,191.89999,194.60001,13528300,194.60001
2015-03-10,195.95,200,182.10001,190.05,10825600,190.05
2015-03-11,188,192.89999,186,190.85001,6414400,190.85001
2015-03-12,192.60001,196.39999,192,194.60001,5321500,194.60001
2015-03-13,195.39999,196.2,185,186.3,6056300,186.3
2015-03-16,187.60001,192.7,176.2,190.45,9295900,190.45
2015-03-17,186.60001,187.8,156.60001,174,31629700,174
2015-03-18,176.8,183.89999,173.10001,175.14999,13787300,175.14999
