"Date","JISLJALEQS.NS.Open","JISLJALEQS.NS.High","JISLJALEQS.NS.Low","JISLJALEQS.NS.Close","JISLJALEQS.NS.Volume","JISLJALEQS.NS.Adjusted"
2015-01-01,70.4,70.4,69.05,69.55,1796700,68.5752
2015-01-02,70.2,71.6,69.9,71.15,2553000,70.1528
2015-01-05,71.7,72.5,69.8,70.3,2496100,69.3147
2015-01-06,70.3,70.3,66.35,66.65,2656300,65.7159
2015-01-07,67,67.2,64.9,65.85,2650000,64.9271
2015-01-08,66.7,67.9,66.1,67.25,2610500,66.3075
2015-01-09,67.65,68.15,65.5,66,2229900,65.075
2015-01-12,66.65,67.55,65.65,66.65,2203200,65.7159
2015-01-13,67.3,67.35,64.65,64.8,1905100,63.8918
2015-01-14,65,66.6,64.65,65.45,4334000,64.5327
2015-01-15,66.2,67.95,65.45,66.75,3326000,65.8145
2015-01-16,66.4,69.75,65.75,69.2,3696600,68.2301
2015-01-19,69.95,70.15,68.55,69.35,2531800,68.378
2015-01-20,69.4,70.65,69,69.35,2567200,68.378
2015-01-21,69.6,69.95,66.5,67.1,2280400,66.1596
2015-01-22,67.5,67.95,66.2,66.85,1538200,65.9131
2015-01-23,67.4,68.35,66.3,66.9,1858600,65.9624
2015-01-26,66.9,66.9,66.9,66.9,0,65.9624
2015-01-27,67.15,67.85,65.6,65.95,2253900,65.0257
2015-01-28,65,66.75,65,65.7,1718200,64.7792
2015-01-29,65.6,66.6,65.35,65.65,2424000,64.7299
2015-01-30,66,70.9,65.65,69.7,7507500,68.7231
2015-02-02,69.3,71.7,68.8,69.55,2969500,68.5752
2015-02-03,69.95,70.45,67.15,68,2786000,67.047
2015-02-04,68.6,73.1,68.6,70.9,7416200,69.9063
2015-02-05,71.25,73.9,68,69.55,6354700,68.5752
2015-02-06,69.25,70.5,66.3,67.45,4308200,66.5047
2015-02-09,66.85,70.55,65.65,66.25,5906700,65.3215
2015-02-10,66.35,68.25,63.25,63.95,5201300,63.0537
2015-02-11,61,66.65,61,66.05,7543800,65.1243
2015-02-12,66.8,66.9,62.7,64.5,4692200,63.596
2015-02-13,64,66.15,64,65.25,3043900,64.3355
