"Date","JPASSOCIAT.NS.Open","JPASSOCIAT.NS.High","JPASSOCIAT.NS.Low","JPASSOCIAT.NS.Close","JPASSOCIAT.NS.Volume","JPASSOCIAT.NS.Adjusted"
2015-01-01,25,26.25,24.9,25.95,23924000,25.95
2015-01-02,26,27.85,26,27.6,39252300,27.6
2015-01-05,27.5,27.95,26.7,27.1,27014100,27.1
2015-01-06,26.55,27.05,25.7,26,33780300,26
2015-01-07,26.05,26.5,24.9,25.45,28170200,25.45
2015-01-08,25.9,27.15,25.85,26.8,29696100,26.8
2015-01-09,27.05,27.7,26,26.3,24726700,26.3
2015-01-12,26.3,26.6,25.35,25.6,26179200,25.6
2015-01-13,25.55,25.65,24.3,24.65,26601700,24.65
2015-01-14,24.65,25.1,23.75,23.85,27111900,23.85
2015-01-15,24.8,26.1,24.2,25.85,45687800,25.85
2015-01-16,25.7,27.2,25.3,26.8,40939300,26.8
2015-01-19,26.8,27.45,26.3,26.8,30029300,26.8
2015-01-20,27,27.3,26.35,26.7,17205700,26.7
2015-01-21,26.9,26.95,25.5,25.7,25452400,25.7
2015-01-22,25.65,26.4,25.15,25.7,22786900,25.7
2015-01-23,26,26.8,25.2,26.6,29477300,26.6
2015-01-26,26.6,26.6,26.6,26.6,0,26.6
2015-01-27,26.7,27,26.05,26.3,15680800,26.3
2015-01-28,26.1,27.25,25.75,26.25,32768900,26.25
2015-01-29,26.2,26.85,25.8,26.1,29084500,26.1
2015-01-30,26.25,28.95,26.1,28.55,58918700,28.55
2015-02-02,28.55,29.25,27.85,28.55,33353300,28.55
2015-02-03,28.7,29.1,27,27.25,24145200,27.25
2015-02-04,27.4,29.4,26.85,28.5,39659400,28.5
2015-02-05,28.6,28.75,25.7,26.5,26610400,26.5
2015-02-06,26.25,26.7,25.5,25.8,27569100,25.8
2015-02-09,25.5,26.1,24.4,24.5,28724500,24.5
2015-02-10,24.3,25.05,23.65,23.9,31384100,23.9
2015-02-11,23.1,24.15,23.1,23.45,44972600,23.45
2015-02-12,23.7,24.4,23.6,24.2,23721300,24.2
2015-02-13,24.4,24.8,23.95,24.35,18546200,24.35
2015-02-16,24.6,25.1,24,24.65,22305600,24.65
2015-02-17,24.65,24.65,24.65,24.65,0,24.65
2015-02-18,25.05,26.15,24.9,25.3,29824800,25.3
2015-02-19,25.5,25.7,24.6,25.55,23029200,25.55
2015-02-20,25.6,25.95,25.35,25.5,15407900,25.5
2015-02-23,25.8,25.95,24.9,25.1,20162500,25.1
2015-02-24,25.2,25.3,24.65,24.75,12790100,24.75
2015-02-25,25.2,25.35,24.75,25.2,20441800,25.2
2015-02-26,25.25,25.3,24.55,24.75,14552700,24.75
2015-02-27,25,26.9,24.85,25.9,37389200,25.9
2015-03-02,25.65,26.45,24.95,26,24111600,26
2015-03-03,26.1,26.35,25.4,26,19156100,26
2015-03-04,26.5,28.75,26.3,28,89518800,28
2015-03-05,28,29.35,27.55,28.8,56481800,28.8
2015-03-06,28.8,28.8,28.8,28.8,0,28.8
2015-03-09,28.4,28.5,27.05,27.55,31347300,27.55
2015-03-10,27.75,28,26.65,26.85,24374100,26.85
2015-03-11,26.95,27.6,26.7,27.3,22165600,27.3
2015-03-12,27.5,28.95,27.3,28.65,43171900,28.65
2015-03-13,28.8,29,26.65,26.8,35120600,26.8
2015-03-16,27,27.5,26.7,26.85,21273800,26.85
2015-03-17,27.2,27.2,25.75,26.2,23830100,26.2
2015-03-18,26.4,26.6,25.75,25.9,19928300,25.9
2015-03-19,26.3,26.7,25.35,25.6,24543400,25.6
2015-03-20,25.8,25.8,24.55,24.95,24647300,24.95
2015-03-23,25.15,25.4,24.1,24.3,19650400,24.3
2015-03-24,24.2,24.75,24,24.35,18962900,24.35
2015-03-25,24.5,24.6,23.85,23.95,17399400,23.95
2015-03-26,23.7,24.35,23.6,23.75,30183400,23.75
2015-03-27,24.1,24.8,23.4,24.5,26173400,24.5
2015-03-30,24.7,25.35,24.65,25,18002000,25
2015-03-31,25.35,25.45,24.7,24.8,14124700,24.8
