"Date","JSWENERGY.NS.Open","JSWENERGY.NS.High","JSWENERGY.NS.Low","JSWENERGY.NS.Close","JSWENERGY.NS.Volume","JSWENERGY.NS.Adjusted"
2015-01-01,102.6,103.9,102.05,102.5,1401000,98.03
2015-01-02,102.95,104.3,101,101.75,2500700,97.32
2015-01-05,102,104,101.7,102.25,2446100,97.8
2015-01-06,101.75,101.75,96.45,96.9,3373400,92.68
2015-01-07,97,98,93.35,97.2,3327300,92.97
2015-01-08,98.2,100.25,98,99.65,2477800,95.31
2015-01-09,100.75,101.3,98.45,99.75,1626500,95.4
2015-01-12,99.6,103.7,98.65,103.35,2561800,98.85
2015-01-13,103.25,103.75,100.6,101.45,1851300,97.03
2015-01-14,101,105.4,100.6,102.65,5603900,98.18
2015-01-15,104.2,107.7,102.1,105.85,5443000,101.24
2015-01-16,105.95,108.4,105.1,107.2,3675400,102.53
2015-01-19,107.9,113.15,107.55,112.7,6847700,107.79
2015-01-20,113.3,114.4,108.25,109.95,6955400,105.16
2015-01-21,109.95,111.1,107.8,110.5,2990400,105.69
2015-01-22,110.55,111.85,109.65,110.55,2682000,105.73
2015-01-23,110.8,113.2,109.55,112.3,2840100,107.41
2015-01-26,112.3,112.3,112.3,112.3,0,107.41
2015-01-27,112.9,115.75,112.05,114.95,3432100,109.94
2015-01-28,114,117.85,113.6,117.15,4270400,112.05
2015-01-29,116.3,120.4,116.05,119.85,2862300,114.63
2015-01-30,120,122.2,119.05,121.05,3986500,115.78
2015-02-02,121.5,125.35,120,124.4,6104900,118.98
2015-02-03,125.45,126.25,110.6,112.85,7540100,107.93
2015-02-04,113.25,114.6,106.5,107.65,5392400,102.96
2015-02-05,108.05,110.8,103.15,104.65,4117100,100.09
2015-02-06,105,106.35,97.85,102.15,6615800,97.7
2015-02-09,100.9,106.8,99.6,105.7,6665500,101.09
2015-02-10,104.45,108.85,103.1,107.2,4651800,102.53
2015-02-11,107.85,112.45,107.85,111.5,4833000,106.64
2015-02-12,112.2,113.25,108.45,112.8,3251200,107.89
2015-02-13,113.25,115.55,111.1,114.2,2716000,109.22
2015-02-16,114.4,115.8,111.5,112.3,3209700,107.41
2015-02-17,112.3,112.3,112.3,112.3,0,107.41
2015-02-18,112.45,117.15,111.85,116.75,3263100,111.66
2015-02-19,117.8,120,114.75,118.05,3693500,112.91
2015-02-20,118.2,119,115.25,116.1,2482200,111.04
2015-02-23,115.75,117.5,112.5,113.5,2488000,108.55
2015-02-24,113.55,115.2,111.6,114.4,3168800,109.42
2015-02-25,115,115.7,113.25,113.95,1759900,108.99
2015-02-26,114,116.8,112,114.55,3645100,109.56
2015-02-27,114,119.5,113.95,118.85,2616400,113.67
2015-03-02,115.5,116.65,112.25,112.95,3107500,108.03
2015-03-03,113.9,115.5,113.1,114.1,1804600,109.13
2015-03-04,115.4,118.15,111.75,112.8,4011100,107.89
2015-03-05,112.4,114.25,110.4,113.35,2022700,108.41
2015-03-06,113.35,113.35,113.35,113.35,0,108.41
2015-03-09,112.5,114.4,111.2,113.9,1637600,108.94
2015-03-10,114,114.7,110.05,111.5,2091200,106.64
2015-03-11,110.6,112.1,106.7,109.1,3814300,104.35
2015-03-12,109.95,111.9,109.15,110.9,1471000,106.07
2015-03-13,111.7,117,111.5,115.55,4167600,110.52
2015-03-16,116.4,116.6,113.1,114.2,1503100,109.22
2015-03-17,114.95,120.45,114.75,119.8,3931300,114.58
2015-03-18,121.45,122.2,117,117.85,3895100,112.72
2015-03-19,119,120.4,115.7,116.65,1348500,111.57
2015-03-20,116.95,119.85,115.5,118.7,3150000,113.53
2015-03-23,118.1,119,116.8,118,2437800,112.86
2015-03-24,118.5,122.5,116.4,121.6,7012600,116.3
2015-03-25,122.5,123.8,121.1,122.25,4076000,116.92
2015-03-26,121.5,122,119,120.1,4391800,114.87
2015-03-27,120.7,121.5,116.55,119.75,1872200,114.53
2015-03-30,119.3,121.65,116.2,118.9,6695900,113.72
2015-03-31,120,120,116.1,119.2,13820700,114.01
2015-04-01,119.45,121.6,116.2,119.3,7329800,114.1
2015-04-02,119.3,119.3,119.3,119.3,0,114.1
2015-04-03,119.3,119.3,119.3,119.3,0,114.1
2015-04-06,119.85,120.8,118.1,119.35,1988100,114.15
2015-04-07,119.9,120,117.8,118.95,3290200,113.77
2015-04-08,119.5,120,117.65,118.95,4723400,113.77
2015-04-09,119,122.8,118.75,119.9,4830800,114.68
2015-04-10,120.1,120.9,118.8,119.85,1896100,114.63
2015-04-13,119.95,120.4,118.7,119.5,4842000,114.29
2015-04-14,119.5,119.5,119.5,119.5,0,114.29
2015-04-15,119.5,119.95,114.15,116.15,8381200,111.09
2015-04-16,115.75,116.2,112.25,114.55,3125900,109.56
2015-04-17,114.5,115.05,112,112.85,2285300,107.93
2015-04-20,112.35,113.05,110.45,111.1,2495500,106.26
2015-04-21,112,114.6,110.75,113.8,2583900,108.84
2015-04-22,114.7,115.6,113.65,115,2120600,109.99
2015-04-23,115.9,116,114.05,114.85,1110600,109.85
2015-04-24,115,115,113.2,114.75,2350400,109.75
2015-04-27,113.55,114.1,105.6,106.6,4490500,101.96
2015-04-28,105.9,110.7,102.5,110.05,4347600,105.26
2015-04-29,109.5,112.5,108.85,111.8,1919500,106.93
2015-04-30,110,115.2,108.65,114.5,3799800,109.51
2015-05-01,114.5,114.5,114.5,114.5,0,109.51
2015-05-04,114,120.3,114,116.95,2533200,111.85
2015-05-05,117.3,117.45,114.7,115.6,1250700,110.56
2015-05-06,115.5,115.5,105.7,106.95,2067800,102.29
2015-05-07,106,107.4,101.7,104.8,3350700,100.23
2015-05-08,105.25,109.5,105.25,107.8,2141700,103.1
2015-05-11,108.95,110,106.7,108.95,1773800,104.2
2015-05-12,108.25,108.8,100.65,101.85,1951200,97.41
2015-05-13,102.35,106.8,101.8,106.05,2109100,101.43
2015-05-14,104,111.85,104,111.35,2849800,106.5
2015-05-15,112.45,112.75,108.15,111.65,1493700,106.79
2015-05-18,110.05,113.5,109.5,112.75,888500,107.84
2015-05-19,111.55,112.9,109.25,110.55,1075300,105.73
2015-05-20,110.95,113.35,110.95,112.8,788100,107.89
2015-05-21,112.7,114.05,111.4,113.2,937700,108.27
2015-05-22,112.95,113.7,108.1,108.85,1619200,104.11
2015-05-25,108.5,110.6,107,109.9,1203000,105.11
2015-05-26,109.5,110.8,108.15,108.8,589800,104.06
2015-05-27,108.2,110.25,107.05,109.6,1558300,104.82
2015-05-28,110.45,114,109.85,111.8,6311900,106.93
2015-05-29,112.2,113.8,111.2,112.15,738700,107.26
2015-06-01,112.4,114.3,111.4,113.3,1018700,108.36
2015-06-02,113.2,113.4,105.3,106.4,1441400,101.76
2015-06-03,105.9,106.25,96.05,103,1511600,98.51
2015-06-04,103.3,103.7,99.2,101.55,843900,97.13
2015-06-05,99.05,106.55,99.05,104.15,1059600,99.61
2015-06-08,105,106.4,102.7,104.5,1730100,99.95
2015-06-09,103.05,105.3,102.4,104.05,1010000,99.52
2015-06-10,105,106.45,104.15,104.9,912100,100.33
2015-06-11,105,105.25,98.25,99.65,1120600,95.31
2015-06-12,98.4,99.4,94.55,97.85,1691800,93.59
2015-06-15,97.9,102.5,96.4,100.4,1266400,96.03
2015-06-16,99.7,100.9,96.6,99.1,1461700,94.78
2015-06-17,99.15,101.5,97.45,99.75,1375000,95.4
2015-06-18,100.85,100.85,97.6,98.35,1045400,94.07
2015-06-19,98.95,100.15,97.1,98.75,1128600,94.45
2015-06-22,99.4,103.35,99,102.8,914800,98.32
2015-06-23,102.9,107.4,102.05,106.4,1337600,101.76
2015-06-24,107.3,109.8,106,106.95,1831900,102.29
2015-06-25,105.05,108.7,104.7,107.5,1448800,102.82
2015-06-26,107.05,107.9,103.4,105.55,1484500,100.95
2015-06-29,101.05,103.75,100.6,101.6,821900,97.17
2015-06-30,101.5,103,97.85,98.3,1472400,94.02
2015-07-01,98.6,100.9,98.2,98.85,1688200,94.54
2015-07-02,99.5,100.5,97.5,97.8,1126500,93.54
2015-07-03,97.15,97.95,95.15,95.55,1271400,91.39
2015-07-06,94.9,98.2,91.6,97.25,1557100,93.01
2015-07-07,98.45,99.55,97.1,98.95,2059000,94.64
2015-07-08,98.2,100,95.45,98.3,1917100,94.02
2015-07-09,98.3,100.4,98.15,99.3,1007600,94.97
2015-07-10,101,101,96.4,97.3,3170200,94.97
2015-07-13,97,99.75,96.6,99.2,1152900,96.83
2015-07-14,99.25,103.85,98.55,103.15,1546000,100.68
2015-07-15,104,106.25,102.8,104.9,1751500,102.39
2015-07-16,105,105.5,101.3,101.95,1295000,99.51
2015-07-17,101.95,104.55,101.95,103.55,1163400,101.07
2015-07-20,103.7,103.9,100.65,101.3,1587300,98.88
2015-07-21,101.35,102.4,96.2,97.1,2499200,94.78
2015-07-22,96.75,100.2,94.1,98.9,4272400,96.54
2015-07-23,97.35,98,92.7,93.3,3856400,91.07
2015-07-24,93,94.25,92.4,93.15,1642600,90.92
2015-07-27,93,94.7,91.7,92.55,1679800,90.34
2015-07-28,92.9,93.05,85.4,86.35,1822700,84.29
2015-07-29,86.2,88.55,84.25,87.55,2338800,85.46
2015-07-30,88.7,90.25,86.7,87.2,1908400,85.12
2015-07-31,87.5,88,83.8,84.3,1882400,82.28
2015-08-03,84.3,85.2,81.75,82.1,1859700,80.14
