"Date","JSWSTEEL.NS.Open","JSWSTEEL.NS.High","JSWSTEEL.NS.Low","JSWSTEEL.NS.Close","JSWSTEEL.NS.Volume","JSWSTEEL.NS.Adjusted"
2015-01-01,1048.9,1072,1042,1065.9,2674400,88.3252
2015-01-02,1070.1,1079,1063.3,1069.15,3664200,88.5945
2015-01-05,1069.15,1087,1058,1066.6,3392800,88.3832
2015-01-06,1054.1,1058.95,1020.55,1027.7,5549800,85.1598
2015-01-07,1016,1025.8,997.25,1011.85,5286800,83.8464
2015-01-08,1025,1034.9,998.6,1022.1,4780800,84.6958
2015-01-09,1027,1035,1004.05,1012.95,5046000,83.9376
2015-01-12,1010.05,1012,997.65,1000.7,2409400,82.9225
2015-01-13,1005.95,1014,989.15,993.45,5067700,82.3217
2015-01-14,995,998,963.05,968.25,5881800,80.2335
2015-01-15,977.95,988,956.65,970.95,6814300,80.4573
2015-01-16,973.7,992.55,960.95,980.45,4952700,81.2445
2015-01-19,986,992.1,972.3,976.65,3389300,80.9296
2015-01-20,979.55,1008.25,978.75,1005.1,6121200,83.2871
2015-01-21,1010.1,1013,982,999.95,5028900,82.8603
2015-01-22,1001,1009.6,986.2,993.25,3852600,82.3051
2015-01-23,1010,1021,995,1015.3,5485000,84.1323
2015-01-26,1015.3,1015.3,1015.3,1015.3,0,84.1323
2015-01-27,1016.05,1024.2,1001.55,1016.5,4699200,84.2317
2015-01-28,1015,1017,990,995.05,4527000,82.4543
2015-01-29,993.8,1002.75,978.35,997.15,7116800,82.6283
2015-01-30,996,1005.45,957.65,977.45,8125000,80.9959
2015-02-02,978.25,1009.6,977.05,997,4969400,82.6159
2015-02-03,997,1005.95,978,985.5,5147100,81.6629
2015-02-04,988,1007.6,987,995,4891000,82.4501
2015-02-05,996,1000,971.25,976.5,5187400,80.9171
2015-02-06,978.8,984.7,954,960.85,4718900,79.6203
2015-02-09,950,953.95,922,936.1,7214100,77.5694
2015-02-10,933,963.9,927.05,938.6,4334900,77.7766
2015-02-11,936.9,989.8,936.9,977.85,4968800,81.029
2015-02-12,981.1,986.9,961.5,971.85,4874400,80.5318
2015-02-13,979.8,999.4,972,986,6535100,81.7044
2015-02-16,992,1003.05,985.2,991.2,4547400,82.1353
2015-02-17,991.2,991.2,991.2,991.2,0,82.1353
2015-02-18,993.8,1000.4,970,973.2,4624700,80.6437
2015-02-19,978.8,1052,975.15,1037.6,10900400,85.9802
2015-02-20,1050.1,1058.1,1020.35,1024.25,6068400,84.8739
2015-02-23,1028,1032.85,991.25,997.15,6027100,82.6283
2015-02-24,1000,1032.8,981.45,1019.75,6011000,84.501
2015-02-25,1034.7,1034.9,994.65,1000.15,3899200,82.8769
2015-02-26,1008,1014.5,985,992.25,6711400,82.2223
2015-02-27,1003,1019.2,995,1009.65,7951600,83.6641
2015-03-02,1017,1021.95,991.2,1006.85,5523100,83.4321
2015-03-03,1003,1023,994.75,1001.65,7891100,83.0012
2015-03-04,1020,1021.7,985.1,991.95,9128500,82.1974
2015-03-05,1011,1017.7,983.2,991.6,6330300,82.1684
2015-03-06,991.6,991.6,991.6,991.6,0,82.1684
2015-03-09,995.8,995.8,956.1,959.7,4438700,79.525
2015-03-10,965,967.5,940,944.55,4668600,78.2696
2015-03-11,950,953.15,927.2,930.65,4492500,77.1178
2015-03-12,935,964.9,935,952.15,4538000,78.8994
2015-03-13,956,960.15,933.1,942.9,4327900,78.1329
2015-03-16,950.15,952.6,915,918.9,4202300,76.1442
2015-03-17,926.8,942.7,916,937.5,7781300,77.6854
2015-03-18,951,952.95,932,939.4,5779100,77.8429
2015-03-19,950,965,943.65,949.8,8020300,78.7047
2015-03-20,949.5,952.35,915.5,920.95,7733800,76.314
2015-03-23,921.95,934,907.25,918.2,6487900,76.0861
2015-03-24,918.2,922.75,894.75,902.55,6518900,74.7893
2015-03-25,898.9,912,896.1,909.85,6553300,75.3942
2015-03-26,908.05,908.05,880.2,884.85,9654200,73.3226
2015-03-27,886.55,919,886.55,911.9,5649200,75.5641
2015-03-30,917.95,922.1,896,912,5256400,75.5724
2015-03-31,925.1,925.55,902.05,906.55,6867900,75.1208
2015-04-01,908.9,915.2,900,909.65,6922800,75.3777
2015-04-02,909.65,909.65,909.65,909.65,0,75.3777
2015-04-03,909.65,909.65,909.65,909.65,0,75.3777
2015-04-06,915,915,892.3,900.8,4374600,74.6443
2015-04-07,905,942.35,901.1,937.6,7755000,77.6937
2015-04-08,942,945.85,915.25,932,5392800,77.2297
2015-04-09,935,960,918.5,952.7,12583200,78.945
2015-04-10,953,967,937.15,951.9,7937200,78.8787
2015-04-13,952,964,936,942.3,6359100,78.0832
2015-04-14,942.3,942.3,942.3,942.3,0,78.0832
2015-04-15,942,951.2,922,928.75,2821500,76.9604
2015-04-16,928.65,947.9,926,941.6,5075500,78.0252
2015-04-17,944.9,979.7,935.6,956.25,8209500,79.2391
2015-04-20,962.15,982.5,947.05,962.7,9552100,79.7736
2015-04-21,965.8,974,945,950.45,7361400,78.7585
2015-04-22,955,968,945,960.45,6337600,79.5872
2015-04-23,970,993,968,985.55,9871900,81.6671
2015-04-24,987.15,993.3,948.8,956.6,6996300,79.2681
2015-04-27,959,965.9,927.2,937.7,6627000,77.702
2015-04-28,934,952,928.55,945.2,5288100,78.3235
2015-04-29,946.45,962.35,939.15,957.15,7560000,79.3137
2015-04-30,951,953,923.65,932.2,11020700,77.2463
2015-05-01,932.2,932.2,932.2,932.2,0,77.2463
2015-05-04,935.1,943.8,927,937.95,5246200,77.7227
2015-05-05,939.8,980,937.45,973.2,10561000,80.6437
2015-05-06,969,986.85,923.1,930.5,10232300,77.1054
2015-05-07,930.5,930.5,875,885.85,11635100,73.4055
2015-05-08,890,905.9,885.1,890.25,5131400,73.7701
2015-05-11,900,917.95,897.2,903.2,5153200,74.8432
2015-05-12,904.75,905.55,875.05,880.25,4680100,72.9414
2015-05-13,884,895,872,886.9,4058400,73.4925
2015-05-14,888,912,881.3,906.15,7651100,75.0876
2015-05-15,899,900,870,876.3,9518300,72.6141
2015-05-18,868,914.8,863.1,911.85,11468500,75.56
2015-05-19,912,928.5,904.15,922.6,5676500,76.4508
2015-05-20,926.4,932.35,911,921.85,7037300,76.3886
2015-05-21,922.1,930.6,901,923.75,4802700,76.546
2015-05-22,924.6,928.35,915,922.15,3927700,76.4135
2015-05-25,929.1,929.1,899.85,907.2,5750500,75.1746
2015-05-26,909.95,921.1,902,917.2,7177300,76.0033
2015-05-27,908.4,923.75,905,919.95,4805600,76.2312
2015-05-28,919,924,906.1,916.1,11219200,75.9121
2015-05-29,912.3,934,906.1,916.3,10605500,75.9287
2015-06-01,915.1,919,905.3,909.25,4258600,75.3445
2015-06-02,912.95,912.95,870.7,878.3,5754800,72.7799
2015-06-03,878.7,886.5,863.55,879.6,8761200,72.8876
2015-06-04,875,887,865.45,876.35,7729400,72.6183
2015-06-05,869.95,886.7,865.35,876.5,8229800,72.6307
2015-06-08,884,886.7,865.5,869.8,5166400,72.0755
2015-06-09,869.9,880.8,860.45,876.95,4727300,72.668
2015-06-10,875.5,900,871.05,892.65,5654900,73.969
2015-06-11,896,908,866.4,873.15,4452200,72.3531
2015-06-12,871.8,876,837.4,843.2,4580200,69.8713
2015-06-15,838.25,858.75,835.25,842.35,4378800,69.8009
2015-06-16,839.65,844.8,831.5,839.95,4280300,69.602
2015-06-17,845.55,886,836.4,867.55,10907900,71.8891
2015-06-18,861.3,890,851,884.2,7617400,73.2688
2015-06-19,895.8,911.7,883.75,905.7,7238000,75.0503
2015-06-22,909.5,915,902,905.1,3951500,75.0006
2015-06-23,904.3,913.5,902.15,908.05,3884300,75.2451
2015-06-24,912,916,890,893.15,5687400,74.0104
2015-06-25,883.25,913,880.85,907.55,8601300,75.2036
2015-06-26,899.4,906,882.1,892.45,3960200,73.9524
2015-06-29,878,880,860,871.45,5583000,72.2122
2015-06-30,870,879,863.55,872.25,7938500,72.2785
2015-07-01,875,894,874,891.5,3296600,73.8737
2015-07-02,902,903.1,883.1,886.15,3106700,73.4303
