"Date","JUBLFOOD.NS.Open","JUBLFOOD.NS.High","JUBLFOOD.NS.Low","JUBLFOOD.NS.Close","JUBLFOOD.NS.Volume","JUBLFOOD.NS.Adjusted"
2015-01-01,1384.5,1394.9,1349.95,1365.7,108000,1360.81
2015-01-02,1367,1388.9,1363.2,1371.5,174600,1366.59
2015-01-05,1377.55,1399.5,1373,1380.3,115400,1375.36
2015-01-06,1376,1378,1325,1336.2,193500,1331.42
2015-01-07,1336.1,1349,1295.05,1319.05,220000,1314.33
2015-01-08,1338.45,1359.7,1325.4,1351.9,188200,1347.06
2015-01-09,1365,1379.8,1355.2,1375.5,129000,1370.57
2015-01-12,1375,1421.55,1375,1418.4,193200,1413.32
2015-01-13,1422,1437.8,1382.15,1397.1,184000,1392.1
2015-01-14,1402,1414,1380,1398.1,158600,1393.09
2015-01-15,1409.85,1426.25,1382.35,1414.15,210000,1409.09
2015-01-16,1409,1428.95,1390.45,1417.65,187600,1412.57
2015-01-19,1422,1427,1401,1406.9,119100,1401.86
2015-01-20,1409.95,1412,1372.75,1382.05,131600,1377.1
2015-01-21,1392,1409,1375.4,1400.4,161800,1395.39
2015-01-22,1394.05,1427.9,1392.05,1405,209200,1399.97
2015-01-23,1405,1416,1383,1394.35,79100,1389.36
2015-01-26,1394.35,1394.35,1394.35,1394.35,0,1389.36
2015-01-27,1399,1427,1390.75,1421.5,248200,1416.41
2015-01-28,1427,1456,1410,1425.75,324600,1420.64
2015-01-29,1427.05,1438,1385.35,1417.4,169700,1412.32
2015-01-30,1422,1432.25,1376.3,1390.05,207100,1385.07
2015-02-02,1390,1414,1388.25,1401.75,84200,1396.73
2015-02-03,1400.1,1408.25,1373,1388.1,128600,1383.13
2015-02-04,1388.55,1391.7,1332.6,1347.2,657600,1342.38
2015-02-05,1347,1448.4,1327.75,1431.95,2159400,1426.82
2015-02-06,1433.95,1509.7,1410,1475.75,2001500,1470.47
2015-02-09,1467,1490,1444,1456.25,267900,1451.04
2015-02-10,1450,1531.5,1444.5,1523.7,557900,1518.24
2015-02-11,1535,1568,1529.3,1547.8,337300,1542.26
2015-02-12,1542,1641.15,1534,1624.7,805000,1618.88
2015-02-13,1625,1632,1590,1623.1,281300,1617.29
2015-02-16,1620.1,1658,1618,1635.8,172300,1629.94
2015-02-17,1635.8,1635.8,1635.8,1635.8,0,1629.94
2015-02-18,1631,1695,1627,1688.65,304300,1682.6
2015-02-19,1681,1684,1616.05,1625.55,563800,1619.73
2015-02-20,1613,1645.75,1601.15,1617.7,186900,1611.91
2015-02-23,1590,1648.35,1571,1592.15,164500,1586.45
2015-02-24,1592,1672.95,1592,1665.6,343200,1659.64
2015-02-25,1676.9,1719.1,1668,1681.2,542300,1675.18
2015-02-26,1681.2,1711.7,1625.65,1682.7,364000,1676.67
2015-02-27,1685.55,1712.95,1642.45,1658.1,284300,1652.16
2015-03-02,1642.6,1673,1619.8,1664.55,163100,1658.59
2015-03-03,1659.9,1698.35,1659.9,1675.4,169400,1669.4
2015-03-04,1681,1692,1633.8,1643.25,168700,1637.37
2015-03-05,1651.3,1660,1627.5,1639,74800,1633.13
2015-03-06,1639,1639,1639,1639,0,1633.13
