"Date","JUSTDIAL.NS.Open","JUSTDIAL.NS.High","JUSTDIAL.NS.Low","JUSTDIAL.NS.Close","JUSTDIAL.NS.Volume","JUSTDIAL.NS.Adjusted"
2015-01-01,1345,1363,1331.6,1351.55,48900,1348.23
2015-01-02,1349.65,1422,1348,1412.55,351000,1409.08
2015-01-05,1412,1427.9,1391.2,1405.3,149200,1401.85
2015-01-06,1397.25,1399.4,1349.4,1358.95,91700,1355.61
2015-01-07,1365,1437.9,1360.85,1422.5,325100,1419
2015-01-08,1431.5,1444,1420,1428.45,119300,1424.94
2015-01-09,1428,1473.9,1428,1467.35,191700,1463.74
2015-01-12,1473.9,1489.4,1455.2,1471.7,123700,1468.08
2015-01-13,1480.5,1588,1480.5,1546.4,937900,1542.6
2015-01-14,1553.95,1553.95,1486,1504.25,267200,1500.55
2015-01-15,1518.65,1546.8,1463.2,1509.75,238100,1506.04
2015-01-16,1523,1581.7,1519.05,1544.4,333000,1540.61
2015-01-19,1548,1586.8,1511.7,1524.4,231800,1520.65
2015-01-20,1534,1560,1524,1540.8,186500,1537.01
2015-01-21,1542.1,1559,1524,1538.15,135500,1534.37
2015-01-22,1536,1575,1536,1560.8,307000,1556.96
2015-01-23,1580,1582,1550,1568.85,149700,1565
2015-01-26,1568.85,1568.85,1568.85,1568.85,0,1565
2015-01-27,1570,1619.5,1570,1597.6,496600,1593.67
2015-01-28,1600,1631,1539.6,1565.35,369900,1561.5
2015-01-29,1584.4,1594.25,1524.85,1552.95,251200,1549.13
2015-01-30,1549,1567.7,1531.1,1555.35,177400,1551.53
2015-02-02,1555.35,1579,1536.5,1565.95,146700,1562.1
2015-02-03,1571,1581.9,1532.1,1569.4,403000,1565.54
2015-02-04,1564.8,1565,1511.25,1525.9,81300,1522.15
2015-02-05,1525.7,1547,1480,1494.6,88400,1490.93
2015-02-06,1500,1529.65,1461.5,1480.5,120700,1476.86
2015-02-09,1478.75,1488.35,1446.95,1452.7,96000,1449.13
2015-02-10,1450,1470,1372,1379.2,169300,1375.81
2015-02-11,1390.5,1430.25,1366.5,1403.15,251700,1399.7
2015-02-12,1408,1442,1391.8,1404.45,207900,1401
2015-02-13,1409,1460.45,1409,1451.6,356700,1448.03
2015-02-16,1456,1470,1385.85,1397.15,241200,1393.72
2015-02-17,1397.15,1397.15,1397.15,1397.15,0,1393.72
2015-02-18,1409,1420.5,1390,1414.9,166800,1411.42
