"Date","KOTAKBANK.NS.Open","KOTAKBANK.NS.High","KOTAKBANK.NS.Low","KOTAKBANK.NS.Close","KOTAKBANK.NS.Volume","KOTAKBANK.NS.Adjusted"
2015-01-01,1263.8,1265,1251.1,1258.6,501900,628.0199
2015-01-02,1261,1279,1258.3,1271.55,1263600,634.4817
2015-01-05,1272.1,1278.85,1262,1266.45,610200,631.9369
2015-01-06,1255,1262.25,1233.55,1251.35,2269000,624.4022
2015-01-07,1247.5,1303.95,1247.5,1271.5,3571700,634.4568
2015-01-08,1300,1353,1286.4,1340.65,6909700,668.9614
2015-01-09,1354.4,1370.5,1340.55,1360.95,6437400,679.0908
2015-01-12,1360.95,1387,1348.3,1371,1686800,684.1056
2015-01-13,1372,1409.85,1367.7,1392.95,1921600,695.0582
2015-01-14,1394.1,1397.5,1377.2,1391.2,1518500,694.185
2015-01-15,1438,1444,1392.05,1400.4,3970800,698.7757
2015-01-16,1387,1400,1380,1395.35,2680600,696.2558
2015-01-19,1393.2,1399,1382,1389.45,1755000,693.3118
2015-01-20,1392,1401.4,1382.65,1395.7,3783700,696.4304
2015-01-21,1396,1419,1385.05,1388.15,2684100,692.6631
2015-01-22,1386.65,1398.5,1370.15,1387.65,4e+06,692.4136
2015-01-23,1392.1,1395.75,1382,1385.3,1554800,691.241
2015-01-26,1385.3,1385.3,1385.3,1385.3,0,691.241
2015-01-27,1383.4,1393,1362.3,1388.35,1686700,692.7629
2015-01-28,1383.1,1390,1346.55,1351.15,7440300,674.2008
2015-01-29,1349,1354.85,1324.75,1331.4,4500800,664.3459
2015-01-30,1340,1348.9,1317.35,1322.2,2798500,659.7552
2015-02-02,1320,1360,1304.4,1352.35,3312700,674.7995
2015-02-03,1360.9,1366,1300.1,1306.3,3061600,651.8214
2015-02-04,1308.95,1328.35,1285,1291.5,2356600,644.4364
2015-02-05,1288,1309.3,1276.7,1287.9,1832800,642.6401
2015-02-06,1287.9,1288.3,1262.85,1266.9,1216500,632.1615
2015-02-09,1251,1283.1,1236.25,1266.25,1648400,631.8371
2015-02-10,1249,1299.35,1249,1285.75,2851900,641.5673
2015-02-11,1297,1301.95,1280.35,1298.7,1123300,648.0291
2015-02-12,1302,1306,1278.6,1296.6,2051700,646.9812
2015-02-13,1300,1322.8,1282.8,1309.5,2291700,653.4181
2015-02-16,1323,1323,1284.6,1292.45,1098200,644.9104
2015-02-17,1292.45,1292.45,1292.45,1292.45,0,644.9104
2015-02-18,1291.9,1312.2,1283.85,1307.8,1376100,652.5699
2015-02-19,1309.5,1316.8,1285,1307.25,1295800,652.2954
2015-02-20,1306.9,1315,1290.35,1298.25,1196600,647.8046
2015-02-23,1331.9,1334.9,1307,1316.85,3557400,657.0856
2015-02-24,1316.85,1354,1313.55,1350.3,6025300,673.7766
2015-02-25,1356,1365.75,1337.5,1342.55,3850200,669.9095
2015-02-26,1341.4,1349.4,1315,1333.35,3856700,665.3188
2015-02-27,1327.1,1344.15,1320.35,1337.75,1252900,667.5144
2015-03-02,1404,1424.95,1398.55,1404.7,3612700,700.9213
2015-03-03,1409,1417.5,1403.65,1408.7,3255900,702.9172
2015-03-04,1436,1457.75,1400.3,1410.25,8026100,703.6906
2015-03-05,1404,1422,1402,1412.25,2860500,704.6886
2015-03-06,1412.25,1412.25,1412.25,1412.25,0,704.6886
2015-03-09,1404.95,1404.95,1358.7,1364.6,1453000,680.9121
2015-03-10,1367.85,1371.7,1319,1347.8,1457300,672.5292
2015-03-11,1343,1384.9,1339.7,1375.9,1083800,686.5506
2015-03-12,1387,1390.65,1354.85,1370,821500,683.6066
2015-03-13,1390,1390,1335.4,1341.25,766400,669.2608
2015-03-16,1337,1343.7,1303.95,1314.95,1653200,656.1375
2015-03-17,1325,1346.85,1313.1,1339.65,873000,668.4625
2015-03-18,1339.7,1348.5,1324.15,1342.9,1164100,670.0842
2015-03-19,1350,1362.75,1316.35,1325.7,1522800,661.5016
2015-03-20,1321,1344,1307,1339.7,1589700,668.4874
2015-03-23,1341.5,1344.2,1326.5,1335.85,935200,666.5663
2015-03-24,1326.1,1362,1326.1,1340.75,648600,669.0113
2015-03-25,1338.1,1342.5,1318.05,1326.55,737500,661.9258
2015-03-26,1314.7,1338.85,1300,1305.4,3992700,651.3723
2015-03-27,1320,1324,1275.7,1299.15,977100,648.2537
2015-03-30,1301.4,1319.55,1290.75,1311.85,1703300,654.5907
