"Date","KPIT.NS.Open","KPIT.NS.High","KPIT.NS.Low","KPIT.NS.Close","KPIT.NS.Volume","KPIT.NS.Adjusted"
2015-01-01,203.3,209.95,200.95,208.1,743600,203.033
2015-01-02,210.05,218.9,208.5,214.55,2318900,209.326
2015-01-05,215.4,217.2,208.5,210.45,727400,205.326
2015-01-06,208,217.4,202.95,206.4,1495500,201.374
2015-01-07,206.95,211.7,204.45,205.55,705300,200.545
2015-01-08,207.45,209.7,202.55,204.65,712600,199.667
2015-01-09,205.55,209.6,199.5,201.6,1023700,196.691
2015-01-12,201.75,219.8,200,213.95,3057800,208.74
2015-01-13,214,219,210.6,212.75,1304800,207.57
2015-01-14,211.75,214.4,207,208.7,715300,203.618
2015-01-15,211,218.5,205.2,215.1,1482200,209.862
2015-01-16,210.05,215.4,208.5,210.7,651100,205.57
2015-01-19,211.05,216.9,210,215.25,839000,210.009
2015-01-20,217.7,219.7,209.2,210.2,1089900,205.082
2015-01-21,211.95,214.4,207.05,208.75,735300,203.667
2015-01-22,200,215.8,198.05,212.2,2645000,207.033
2015-01-23,212.9,232.4,211.95,219,16942500,213.667
2015-01-26,219,219,219,219,0,213.667
2015-01-27,219.4,219.5,208,208.65,1709400,203.569
2015-01-28,209.65,215.3,207.6,214.85,2219800,209.618
2015-01-29,214.45,216,211,213.1,858500,207.911
2015-01-30,214,214.9,205.2,207.5,905900,202.447
2015-02-02,208.7,214.95,208,211.95,1151100,206.789
2015-02-03,213.6,219.9,210.3,212.1,6793400,206.935
2015-02-04,213.05,223.8,210.05,221.35,4125900,215.96
2015-02-05,223,223.4,210,211.55,1616600,206.399
2015-02-06,211.95,214.7,207.45,211.75,1268500,206.594
2015-02-09,211,214,207.5,208,1022100,202.935
2015-02-10,208.3,218.7,204.65,210.55,1547300,205.423
2015-02-11,211.2,214.4,209.5,210.2,710300,205.082
2015-02-12,211,213.85,209.6,211.9,698600,206.74
2015-02-13,213.9,218.9,212.25,215.55,1266800,210.301
2015-02-16,214,216.65,211.1,212.4,630100,207.228
2015-02-17,212.4,212.4,212.4,212.4,0,207.228
2015-02-18,212.8,213.9,208.7,209.85,493200,204.74
2015-02-19,210.5,211.5,205.6,208.25,564700,203.179
2015-02-20,209.4,214.4,207,208.8,1062800,203.716
2015-02-23,210,211.85,199.1,201.25,867000,196.35
2015-02-24,202.9,205.8,201,202.9,510200,197.959
2015-02-25,205.1,211.35,202.95,208.9,1852100,203.813
2015-02-26,210.4,212.9,204.6,210.5,1224300,205.374
2015-02-27,210.8,216.4,209.1,215.15,1417700,209.911
2015-03-02,212.4,216.7,209,215.35,918000,210.106
2015-03-03,215,226.75,213.85,224.75,2975700,219.277
2015-03-04,225.7,225.75,213.6,215.45,1183700,210.204
2015-03-05,214.35,223.4,214.35,219.6,1038400,214.253
2015-03-06,219.6,219.6,219.6,219.6,0,214.253
2015-03-09,217.8,220.4,213.1,214.75,750200,209.521
2015-03-10,214,221.8,213.1,216.35,1224100,211.082
2015-03-11,220,224.7,214.65,215.9,1443600,210.643
2015-03-12,217,217.7,213.6,214.85,657500,209.618
2015-03-13,216.25,218,210,211.25,652900,206.106
2015-03-16,211.5,212.65,204.1,204.95,622900,199.96
2015-03-17,200.5,203.4,189.15,193.25,2338400,188.544
2015-03-18,192.85,196.95,191.6,192.4,857800,187.715
2015-03-19,193.6,194.95,180.2,182.1,1057000,177.666
2015-03-20,180.5,192.35,180.5,190.75,1914400,186.105
2015-03-23,190.65,190.65,177.5,178.3,848100,173.958
2015-03-24,177,188.9,175.55,186.6,1022800,182.056
2015-03-25,186.6,188.25,182.9,185.9,477400,181.373
2015-03-26,183,187.8,179.1,180.25,663100,175.861
2015-03-27,183,187.2,178.1,186.45,639400,181.91
2015-03-30,187,189.8,184.1,184.7,409400,180.203
2015-03-31,186.35,189.95,184.55,188.5,405300,183.91
2015-04-01,189,194.5,186.1,188.5,888800,183.91
2015-04-02,188.5,188.5,188.5,188.5,0,183.91
2015-04-03,188.5,188.5,188.5,188.5,0,183.91
2015-04-06,185.55,194.45,185.55,193.75,919700,189.032
2015-04-07,194.7,194.7,189,190.6,294200,185.959
2015-04-08,190.95,191.8,187.1,188.1,290300,183.52
2015-04-09,189,189.95,183.35,184,461800,179.52
2015-04-10,184.05,187.5,178.65,179.7,1035500,175.324
2015-04-13,180.2,182.6,178.1,179.05,676500,174.69
2015-04-14,179.05,179.05,179.05,179.05,0,174.69
2015-04-15,179,179.5,171.1,171.9,1109400,167.714
2015-04-16,172.3,175.5,168.35,170.55,680900,166.397
2015-04-17,171,173.8,169.15,170.8,327700,166.641
2015-04-20,171,171.95,165,165.7,342900,161.665
2015-04-21,165.5,168.1,157.25,158.75,744000,154.884
2015-04-22,160,161.55,149.5,151.6,999400,147.909
2015-04-23,151.7,157.3,150.15,153.85,766800,150.104
2015-04-24,154.85,154.85,144.5,145.25,973400,141.713
2015-04-27,146,147,141.05,144.25,737300,140.738
2015-04-28,146.5,156.5,143.45,154.75,1085600,150.982
2015-04-29,137.1,138,123.8,123.8,1931700,120.786
2015-04-30,99.05,111.8,99.05,105.1,16233900,102.541
2015-05-01,105.1,105.1,105.1,105.1,0,102.541
2015-05-04,107.7,115.6,107.1,113.75,3992500,110.98
2015-05-05,114.2,116.1,110.3,111.25,2044000,108.541
2015-05-06,112.4,112.85,106.1,109.45,1748800,106.785
2015-05-07,109.2,110.6,100.1,103.55,2692100,101.029
2015-05-08,105.9,108.45,105.9,106.6,777600,104.004
2015-05-11,108,109.5,104.35,105.1,1040800,102.541
2015-05-12,106,106.2,102.1,102.55,726000,100.053
2015-05-13,103.9,103.9,100.55,101.05,844200,98.589
2015-05-14,101.25,104.25,100.15,102.8,801900,100.297
2015-05-15,103.5,105.4,102.75,104.4,1284300,101.858
2015-05-18,104.35,106.75,103.4,106,938000,103.419
2015-05-19,105.6,113.95,105.4,111.95,2389900,109.224
2015-05-20,112.5,114.6,109.7,110.1,1099000,107.419
2015-05-21,110.1,111.4,108,109.8,544200,107.126
2015-05-22,109.7,112,108,108.7,515800,106.053
2015-05-25,109,109,105,105.45,552200,102.882
2015-05-26,105.45,106.85,103,103.8,503300,101.273
2015-05-27,103.3,105,101.25,103.55,366100,101.029
2015-05-28,104.7,104.95,103.05,103.95,289200,101.419
2015-05-29,104,104.75,102.65,103.9,586400,101.37
2015-06-01,104.95,107,103.7,105.55,527600,102.98
2015-06-02,105.85,105.9,101.05,102,584600,99.516
2015-06-03,102.65,103,95.3,97.6,1035600,95.223
2015-06-04,98.2,101.95,97.6,101.05,697000,98.589
2015-06-05,101,103.5,99.55,101.75,531100,99.272
2015-06-08,102.8,103.75,101.25,102.95,685500,100.443
2015-06-09,102.45,104.75,102.05,103.7,403900,101.175
2015-06-10,103.5,105.1,102.6,104.05,458400,101.516
2015-06-11,104.4,105.8,101.2,101.95,442000,99.468
2015-06-12,101.9,102.4,99.6,100.95,259700,98.492
2015-06-15,102,102.9,100.25,100.5,674800,98.053
2015-06-16,100.25,102.6,99.8,100.15,355700,97.711
2015-06-17,100.5,102.1,99.5,99.95,414800,97.516
2015-06-18,100.7,101.35,99.6,100.05,260500,97.614
2015-06-19,100.7,102.2,99.4,99.6,594900,97.175
2015-06-22,100.4,100.9,99.7,99.9,662900,97.467
2015-06-23,100,100.7,98.05,99.15,527300,96.736
2015-06-24,99.5,101.95,98.7,99.35,1366400,96.931
2015-06-25,97.5,97.5,85.05,89.9,13161300,87.711
2015-06-26,89.1,93.9,87.5,93.15,9591800,90.882
2015-06-29,91.6,97.25,89.5,94.2,2972300,91.906
2015-06-30,94.35,95.8,92.95,93.15,967300,90.882
2015-07-01,94.5,96.5,93.1,94.25,986300,91.955
2015-07-02,95.5,95.7,93.1,93.75,747400,91.467
2015-07-03,93.75,94.4,93.05,93.6,848200,91.321
2015-07-06,93.1,95.55,92.5,94.75,628800,92.443
2015-07-07,95.2,97,94.95,96.05,854900,93.711
2015-07-08,95.8,95.8,92.35,93.9,1257700,91.614
2015-07-09,93.75,95.2,93,93.1,323700,90.833
2015-07-10,93.75,94.8,92.85,93.65,407600,91.37
2015-07-13,94.4,94.8,93.2,93.6,158800,91.321
2015-07-14,94,101.3,93.6,100.25,2433500,97.809
2015-07-15,101,109.8,100.5,107.3,4388400,104.687
2015-07-16,108.3,109.5,105.5,107.4,1504600,104.785
2015-07-17,108,113,106.1,111.05,2048600,108.346
2015-07-20,111.85,113.6,109.65,111.65,1054300,108.931
2015-07-21,112.1,112.8,105.2,105.95,975700,103.37
2015-07-22,105,109.95,104,106.55,850900,103.956
2015-07-23,112,120.8,110.25,112.1,7085100,109.37
2015-07-24,113.55,116.8,112.5,113.9,1753300,111.127
2015-07-27,113,113.4,108.5,110.6,938400,107.907
2015-07-28,111.45,112.6,108.35,109.05,710800,106.395
2015-07-29,109.75,110.4,105.1,106.7,779500,104.102
2015-07-30,107.5,108.9,102.55,104.4,1067800,101.858
2015-07-31,105.35,111.9,105.15,110.4,1419100,107.712
2015-08-03,111.7,123.3,111,121.1,3286800,118.151
2015-08-04,123,128.8,123,126.6,4964000,123.517
2015-08-05,128,132,127,129.2,2460800,126.054
2015-08-06,130.1,133.1,125.4,132.25,2795200,129.03
2015-08-07,130.9,134.9,128.5,130.3,1877700,127.127
2015-08-10,129,131.3,125.95,129,1012200,125.859
2015-08-11,127.05,128.3,120,121.55,876700,119.61
