"Date","KSCL.NS.Open","KSCL.NS.High","KSCL.NS.Low","KSCL.NS.Close","KSCL.NS.Volume","KSCL.NS.Adjusted"
2015-01-01,772.5,789,772.5,780.75,35000,765.52
2015-01-02,776.4,786.1,771.6,776.35,56600,761.2
2015-01-05,779,785,758,765.55,99800,750.61
2015-01-06,766,766,741.15,746.35,132900,731.79
2015-01-07,741,790,711.5,777.5,199200,762.33
2015-01-08,808.8,814.2,780,785.85,191700,770.52
2015-01-09,794.7,814.9,777,802.5,122500,786.84
2015-01-12,802.05,816,791.1,797.35,60300,781.79
2015-01-13,794.5,799,779.5,782.25,44600,766.99
2015-01-14,781,784.95,765.55,769.45,59100,754.44
2015-01-15,770.1,783.75,767.95,774.35,92300,759.24
2015-01-16,775.2,782.95,772,779.4,109500,764.19
2015-01-19,782,789,765.25,771.05,73600,756
2015-01-20,772,780.95,770,774.05,60500,758.95
2015-01-21,771,780.5,770,772.8,137900,757.72
2015-01-22,771,785.05,763.95,768.6,858500,753.6
2015-01-23,778,778,755.1,762.8,465600,747.92
2015-01-26,762.8,762.8,762.8,762.8,0,747.92
2015-01-27,760,766,736.55,740.55,189500,726.1
2015-01-28,740,754.35,725.6,735.95,259100,721.59
2015-01-29,740,750,722,736.6,107500,722.23
2015-01-30,741.95,742.15,730,732.45,79800,718.16
2015-02-02,732.9,752.7,732,737.4,146400,723.01
2015-02-03,744,774,693.35,759.3,1106500,744.48
2015-02-04,777,844,777,837,1394300,820.67
2015-02-05,847.5,893.9,826,870.1,817900,853.12
2015-02-06,868,892.9,861,875.75,267000,858.66
2015-02-09,869,869,801.55,816.6,137500,800.67
2015-02-10,823.8,888.9,817.05,880.5,435400,863.32
2015-02-11,884,899.7,851.4,860.1,106700,843.32
2015-02-12,863.1,889.4,863.1,881.3,107600,866.62
2015-02-13,881.1,909.75,870.1,901.3,148700,886.29
2015-02-16,905,916.2,880.25,898.8,129600,883.83
2015-02-17,898.8,898.8,898.8,898.8,0,883.83
2015-02-18,898,915,892.25,900.9,99300,885.9
2015-02-19,904,912,875.55,882.45,55400,867.75
2015-02-20,882,882,863,868.4,40900,853.94
2015-02-23,875.25,875.25,849.85,856.15,225000,841.89
2015-02-24,859,922,852.3,909.3,487000,894.16
2015-02-25,917.7,954,917,939.25,358200,923.61
2015-02-26,940,948.65,898,917.95,169800,902.66
2015-02-27,921.15,951,915.35,946.6,182300,930.83
2015-03-02,938.5,947.95,918.35,939.25,87100,923.61
2015-03-03,940,949.9,925,946.2,79100,930.44
2015-03-04,947.7,974,934,959.7,144000,943.72
2015-03-05,964.75,1000,959.75,970.85,410600,954.68
2015-03-06,970.85,970.85,970.85,970.85,0,954.68
2015-03-09,966.9,1015,960.95,1004.95,172000,988.21
2015-03-10,1005.9,1014.5,948,958.3,102500,942.34
2015-03-11,962,965,938,945.2,77600,929.46
2015-03-12,950,969.9,940,948.8,50200,933
2015-03-13,958,958,912.1,920.2,88800,904.87
2015-03-16,929.95,955,891,950.9,172000,935.06
2015-03-17,958.85,961,947.25,956.15,51600,940.23
2015-03-18,959.95,978,947.45,961.7,34200,945.68
2015-03-19,969,1047,961,1038.35,457300,1021.06
2015-03-20,1050.15,1075.5,1016,1029.95,335400,1012.8
2015-03-23,1025.2,1063.95,1025.2,1050.85,84000,1033.35
2015-03-24,1049,1069.8,1038,1049.55,58900,1032.07
2015-03-25,1044.9,1048.25,1003,1013.6,324800,996.72
