"Date","KTKBANK.NS.Open","KTKBANK.NS.High","KTKBANK.NS.Low","KTKBANK.NS.Close","KTKBANK.NS.Volume","KTKBANK.NS.Adjusted"
2015-01-01,118.65,121.379,118.202,120.361,1763200,110.9592
2015-01-02,120.565,122.52,119.791,120.443,2839700,111.0348
2015-01-05,120.605,121.176,118.202,118.61,1496000,109.345
2015-01-06,117.388,117.795,111.074,112.215,2959600,103.4495
2015-01-07,112.337,114.74,109.812,113.478,3625900,104.6138
2015-01-08,115.677,117.062,114.455,116.614,1864200,107.5049
2015-01-09,117.51,117.673,113.885,115.147,1707000,106.1525
2015-01-12,115.514,116.817,113.6,115.758,1384500,106.7157
2015-01-13,116.084,116.451,114.048,114.944,1553500,105.9653
2015-01-14,114.862,115.555,112.419,113.233,1759600,104.388
2015-01-15,117.306,120.402,115.025,118.528,4296200,109.2694
2015-01-16,118.487,118.895,116.899,117.184,1719200,108.0303
2015-01-19,118.447,125.901,117.306,124.679,8084600,114.9399
2015-01-20,125.819,127.53,123.823,124.394,4588600,114.6771
2015-01-21,125.045,126.837,121.461,122.438,3115900,112.8739
2015-01-22,122.927,124.434,120.646,121.705,2027500,112.1982
2015-01-23,122.886,123.335,119.75,120.565,1845500,111.1472
2015-01-26,120.565,120.565,120.565,120.565,0,111.1472
2015-01-27,121.379,121.705,115.514,117.754,4337600,108.5558
2015-01-28,122.194,122.561,116.125,117.673,4986300,108.4811
2015-01-29,116.817,119.913,115.351,115.921,4549600,106.866
2015-01-30,117.103,120.728,115.473,116.41,3866400,107.3168
2015-02-02,116.084,118.691,115.718,117.836,1966900,108.6314
2015-02-03,118.365,118.487,112.052,113.681,3592100,104.801
2015-02-04,114.414,114.455,110.871,111.767,2753000,103.0365
2015-02-05,111.563,112.663,107.571,108.834,1849700,100.3326
2015-02-06,108.59,108.956,104.72,105.779,4164300,97.5162
2015-02-09,104.924,109.323,104.069,106.512,2695400,98.192
2015-02-10,106.064,111.645,105.087,108.223,3114400,99.7693
2015-02-11,108.671,110.789,108.345,110.26,1915300,101.6472
2015-02-12,111.156,111.848,108.753,111.074,1706300,102.3976
2015-02-13,110.463,112.826,110.463,112.011,2007600,103.2614
2015-02-16,112.663,113.315,111.156,112.296,1676800,103.5242
2015-02-17,112.296,112.296,112.296,112.296,0,103.5242
2015-02-18,112.581,112.744,111.115,111.441,1264000,102.7359
2015-02-19,112.256,112.337,108.834,111.115,2137600,102.4354
2015-02-20,111.685,113.274,109.364,111.278,2125400,102.5857
2015-02-23,111.808,112.256,107.653,108.305,2094600,99.8449
2015-02-24,108.753,109.975,107.164,109.527,1775100,100.9715
2015-02-25,109.934,110.3,107.042,107.409,2004100,99.0189
2015-02-26,107.612,107.897,103.702,104.354,4231800,96.2025
2015-02-27,105.087,108.223,105.087,107.694,2445400,99.2816
2015-03-02,109.975,114.781,108.875,113.722,4065800,104.8388
2015-03-03,114.251,114.659,111.848,113.518,1729800,104.6507
2015-03-04,116.492,117.062,108.345,108.997,3514500,100.4829
2015-03-05,109.527,109.812,107.897,109.323,1521600,100.7834
2015-03-06,109.323,109.323,109.323,109.323,0,100.7834
2015-03-09,108.223,108.508,105.494,105.942,1505300,97.6665
2015-03-10,106.39,107.694,105.535,106.675,2225600,98.3422
2015-03-11,106.879,108.182,106.064,106.961,1532500,98.6059
2015-03-12,107.531,108.223,107.164,107.49,861900,99.0936
2015-03-13,108.345,108.63,103.213,103.824,1640300,95.7139
2015-03-16,104.069,105.576,102.236,103.743,1666300,95.6393
2015-03-17,104.72,106.838,104.354,105.901,1831700,97.6287
2015-03-18,106.064,106.594,104.802,105.779,1265400,97.5162
2015-03-19,106.716,107.123,102.847,103.417,1098200,95.3387
2015-03-20,102.724,103.376,101.014,101.217,1792400,93.3106
2015-03-23,101.421,102.562,100.321,100.688,1270000,92.8229
2015-03-24,100.403,101.584,99.9954,100.362,924800,92.5224
2015-03-25,100.769,101.625,98.6106,99.914,2137600,92.1094
2015-03-26,99.3845,100.036,98.0403,98.4884,1778600,90.7951
2015-03-27,98.9364,99.6696,96.126,98.2847,2011300,90.6073
2015-03-30,98.9364,102.113,98.9364,101.706,897800,93.7614
2015-03-31,102.195,102.643,100.606,101.543,1187100,93.6111
2015-04-01,101.747,104.476,100.525,104.109,938600,95.9767
2015-04-02,104.109,104.109,104.109,104.109,0,95.9767
2015-04-03,104.109,104.109,104.109,104.109,0,95.9767
2015-04-06,104.639,104.68,102.724,103.132,894300,95.076
2015-04-07,103.865,104.231,100.932,102.562,1619700,94.5505
2015-04-08,103.05,104.231,101.869,102.032,1901300,94.0619
2015-04-09,102.847,105.25,102.154,104.476,1316900,96.315
2015-04-10,104.476,105.901,103.661,104.639,1532500,96.4653
2015-04-13,105.128,111.93,104.639,110.463,3872100,101.8343
2015-04-14,110.463,110.463,110.463,110.463,0,101.8343
2015-04-15,111.563,111.93,107.531,108.264,2304900,99.8071
2015-04-16,108.264,110.26,105.739,107.531,2062300,99.1314
2015-04-17,107.49,110.097,106.064,107.368,1588400,98.9811
2015-04-20,107.531,108.305,104.15,104.639,1577200,96.4653
2015-04-21,104.272,105.779,103.254,103.661,1200000,95.5637
2015-04-22,103.946,106.024,101.014,104.069,2036000,95.9398
2015-04-23,104.598,105.331,103.295,103.987,1113000,95.8642
2015-04-24,104.028,104.028,100.892,101.299,1554800,93.3862
2015-04-27,101.747,101.747,98.6513,99.4659,1194500,91.6963
2015-04-28,99.4659,101.991,99.4252,101.136,1333300,93.2359
2015-04-29,101.095,102.806,100.688,101.828,1261800,93.8739
2015-04-30,101.828,103.295,100.606,102.643,1469700,94.6252
2015-05-01,102.643,102.643,102.643,102.643,0,94.6252
2015-05-04,103.621,108.345,102.684,107.694,1438500,99.2816
2015-05-05,107.979,109.119,103.702,105.453,2056900,97.2157
2015-05-06,105.005,105.82,98.9771,100.362,1900500,92.5224
2015-05-07,100.036,101.095,95.9223,97.4701,2113600,89.8564
2015-05-08,98.5291,100.851,98.0811,100.403,1261800,92.5602
2015-05-11,100.932,103.702,100.362,103.05,1066700,95.0004
2015-05-12,102.969,102.969,97.5923,97.9996,1362800,90.3445
2015-05-13,98.7735,100.443,97.796,98.8142,1289800,91.0955
2015-05-14,98.855,101.706,97.8367,100.932,1606200,93.0478
2015-05-15,101.014,102.236,100.525,101.177,1146600,93.2737
2015-05-18,101.38,102.562,101.054,102.154,735000,94.1744
2015-05-19,101.828,104.435,101.706,102.724,1366200,94.6999
2015-05-20,103.254,104.191,102.684,103.05,642000,95.0004
2015-05-21,103.376,103.458,101.828,103.091,1007400,95.0382
2015-05-22,103.498,109.079,103.05,107.409,9025800,99.0189
2015-05-25,108.345,111.074,107.123,108.101,4263100,99.6568
2015-05-26,108.671,111.726,107.612,109.364,3263100,100.8212
2015-05-27,109.16,117.184,108.305,115.27,6844300,106.2658
2015-05-28,116.084,116.899,111.93,114.455,4500700,105.5145
2015-05-29,114.577,116.288,113.885,115.188,2869500,106.1903
2015-06-01,115.677,116.98,114.414,115.27,1906900,106.2658
2015-06-02,115.758,115.84,109.404,110.626,3591300,101.9846
2015-06-03,109.852,110.789,106.798,108.671,3355900,100.1823
2015-06-04,109.241,109.893,106.838,108.59,1533100,100.1076
2015-06-05,107.938,110.3,107.531,107.857,1585700,99.4319
2015-06-08,108.59,108.63,106.716,107.816,1860000,99.3941
2015-06-09,107.857,109.038,106.064,107.042,2002600,98.6806
2015-06-10,107.449,108.508,107.164,107.734,1030300,99.3185
2015-06-11,108.712,108.875,103.498,104.15,3013800,96.0145
2015-06-12,104.109,104.68,102.969,104.231,1511200,96.0891
2015-06-15,104.272,105.901,103.865,104.72,1154400,96.5399
2015-06-16,104.761,105.901,103.458,104.965,2029600,96.7658
2015-06-17,105.901,108.182,105.453,107.694,1868800,99.2816
2015-06-18,108.264,109.975,107.571,108.549,1411100,100.0699
2015-06-19,109.323,109.323,107.327,108.753,911700,100.2579
2015-06-22,109.16,120.157,108.671,118.325,8699800,109.0822
2015-06-23,118.936,119.221,114.862,117.51,4452300,108.3309
2015-06-24,117.795,122.927,115.881,117.917,8030900,108.7061
2015-06-25,117.551,120.768,116.492,120.28,4836300,110.8845
2015-06-26,119.506,121.176,116.655,119.343,2685100,110.0207
2015-06-29,115.596,118.08,113.926,117.51,2934400,108.3309
2015-06-30,117.632,119.546,116.329,117.958,1962000,108.7439
2015-07-01,117.958,122.113,117.714,120.687,2644000,111.2597
2015-07-02,121.705,124.394,121.176,123.212,3810400,113.5875
2015-07-03,122.194,124.801,120.443,121.909,3436700,112.3863
2015-07-06,120.28,126.593,118.325,126.104,4160400,116.2536
2015-07-07,126.878,128.833,124.638,126.226,4380600,116.366
2015-07-08,121.379,122.561,114.455,116.614,5538500,111.9389
2015-07-09,118.365,119.995,116.573,118.569,2885300,113.8156
2015-07-10,119.302,123.66,119.058,121.868,5003900,116.9823
