"Date","LICHSGFIN.NS.Open","LICHSGFIN.NS.High","LICHSGFIN.NS.Low","LICHSGFIN.NS.Close","LICHSGFIN.NS.Volume","LICHSGFIN.NS.Adjusted"
2015-01-01,436,439.9,432.5,438.1,905200,420.62
2015-01-02,441.7,468.9,441.2,466.75,5720500,448.13
2015-01-05,468.7,479.8,468,470.2,3541100,451.44
2015-01-06,465.55,465.9,445,447.55,3178100,429.7
2015-01-07,446.9,461.9,438.85,457.25,3730800,439.01
2015-01-08,464.9,471,461,469.15,3116600,450.43
2015-01-09,474,479.4,468.65,473.2,4048100,454.32
2015-01-12,464,465.85,455.2,459.1,3164600,440.78
2015-01-13,463,469.7,458.1,462.35,3303300,443.9
2015-01-14,465,465.9,449.3,454.05,5644200,435.94
2015-01-15,470,472.8,459.2,466.15,4051900,447.55
2015-01-16,467.9,491.9,464.7,487.05,7411100,467.62
2015-01-19,489.7,495.4,486.75,494.05,2860500,474.34
2015-01-20,494.1,499.5,486.25,490.45,3113400,470.88
2015-01-21,493.4,493.6,480.9,483.65,3417700,464.36
2015-01-22,484.8,489.3,479.1,481.9,2247900,462.68
2015-01-23,485,495,481.55,486.1,2758400,466.71
2015-01-26,486.1,486.1,486.1,486.1,0,466.71
2015-01-27,488,498.5,480.3,497,3182200,477.17
2015-01-28,497,504.9,487,494.35,3871500,474.63
2015-01-29,493.5,495.4,488.6,490.35,2286300,470.79
2015-01-30,492,494.3,474,478.5,1889600,459.41
2015-02-02,475.95,483.05,467.5,479.9,2654300,460.75
2015-02-03,481.2,483,466.25,470.7,2178600,451.92
2015-02-04,471.2,472.4,450,455.65,1730000,437.47
2015-02-05,455,468,448,459.95,3397700,441.6
2015-02-06,460.95,462.7,447.1,452.05,1922400,434.02
2015-02-09,447.5,461.55,445,448.15,1831900,430.27
2015-02-10,444.9,467,444,456.65,3349200,438.43
2015-02-11,458.5,463.9,455,458.7,2580600,440.4
2015-02-12,461,469.8,458.4,468.35,2320300,449.67
2015-02-13,471.25,475.5,468,470.15,2376500,451.39
2015-02-16,473.2,473.5,460.65,462.65,2375400,444.19
2015-02-17,462.65,462.65,462.65,462.65,0,444.19
2015-02-18,463.9,467.75,458.2,461.1,2574400,442.7
2015-02-19,462.9,464.45,447.95,454.7,2697000,436.56
2015-02-20,455,468.9,450.25,465.1,3096800,446.55
2015-02-23,468.9,475.5,462.9,466.85,3519900,448.23
2015-02-24,470,474.5,465.8,468.35,3251600,449.67
2015-02-25,471,483.9,470.8,482.3,4526200,463.06
2015-02-26,484,487.6,474.9,477.5,4668300,458.45
2015-02-27,481.9,496.6,479.15,495.25,4656900,475.49
2015-03-02,485,487.6,479,485.9,2652900,466.52
2015-03-03,488.15,497.5,483.2,492.45,3377900,472.8
2015-03-04,504,506.3,485,489.55,4819300,470.02
2015-03-05,492.7,498.4,490,494.7,3082600,474.96
2015-03-06,494.7,494.7,494.7,494.7,0,474.96
2015-03-09,492,492.65,477.25,479.55,2211300,460.42
2015-03-10,482.15,482.4,465.4,469.75,1357000,451.01
2015-03-11,472,473.3,461.65,465.9,1797300,447.31
2015-03-12,467.5,470.1,460,464.8,2402400,446.26
2015-03-13,471.95,472.2,443.9,446.75,3320200,428.93
2015-03-16,449.15,453.7,440.3,449.45,1770200,431.52
2015-03-17,453.6,466.35,451.5,464.25,4498300,445.73
2015-03-18,466,467.35,458.1,460.75,1878100,442.37
2015-03-19,464.8,473.95,459,462.4,2982700,443.95
2015-03-20,466.5,475,457.45,460.1,7065600,441.74
2015-03-23,461.9,462.6,441.6,443.15,2455100,425.47
2015-03-24,445.1,451.15,438.3,441.9,2098400,424.27
2015-03-25,441.25,444.15,425.25,429.25,3387000,412.13
2015-03-26,426.4,432.3,421,424,4455600,407.08
2015-03-27,426.1,432.05,415,430.15,3351000,412.99
2015-03-30,435,445.7,432.1,444.5,2373600,426.77
2015-03-31,446.95,449,436.5,437.6,2297100,420.14
2015-04-01,437,448,433.1,446.45,1456400,428.64
2015-04-02,446.45,446.45,446.45,446.45,0,428.64
2015-04-03,446.45,446.45,446.45,446.45,0,428.64
2015-04-06,447.5,451.85,441.35,450.85,1340100,432.86
2015-04-07,451.1,452.4,438,444.25,1960200,426.53
2015-04-08,445.65,456.8,443.15,452.85,2683900,434.78
2015-04-09,454,463.5,450.45,460.6,2984500,442.22
2015-04-10,463,468.6,456.65,460.85,2173400,442.46
2015-04-13,463.4,464.95,459.1,462,1101700,443.57
2015-04-14,462,462,462,462,0,443.57
2015-04-15,463.5,472.45,460.5,462.95,2330600,444.48
2015-04-16,464.45,464.45,447.45,451.2,1747500,433.2
2015-04-17,451,451,434,436.5,1652500,419.09
2015-04-20,443.1,447.95,436.15,441.8,3775800,424.17
2015-04-21,443.8,446,435,440.3,2629100,422.73
2015-04-22,442.3,445.45,431.75,441.15,2025800,423.55
2015-04-23,443,448.8,441,443.25,1998500,425.57
2015-04-24,444,444.6,435.8,438.75,1126400,421.25
2015-04-27,438.7,439.2,418.05,422.1,2421900,405.26
2015-04-28,421.95,441.9,412.6,438.25,2889100,420.77
2015-04-29,437.5,440.55,431.2,434.7,1841500,417.36
2015-04-30,432.55,436,428.25,430.05,2975700,412.89
2015-05-01,430.05,430.05,430.05,430.05,0,412.89
2015-05-04,435,435,427.5,430.85,2229500,413.66
2015-05-05,432,446.7,432,441.8,4067100,424.17
2015-05-06,438.5,440,417.1,419.7,2917700,402.96
2015-05-07,418,418,401,405.95,2127900,389.76
2015-05-08,408,418,408,414.75,1432600,398.2
2015-05-11,418.4,429,416.75,426.5,1995000,409.49
2015-05-12,426.9,427.4,410.6,412.1,1339900,395.66
2015-05-13,414.2,422.2,411.3,419.2,2561200,402.48
2015-05-14,417.2,418.6,408.1,412.05,3379100,395.61
2015-05-15,412.25,422.9,412.25,419.55,2405100,402.81
2015-05-18,419.5,426.5,416.95,422.85,1522000,405.98
2015-05-19,422.25,427.5,419.05,422.95,1321000,406.08
2015-05-20,424,426.4,416.2,418.75,1437300,402.04
2015-05-21,419.1,420.65,412.65,416.5,1227900,399.88
2015-05-22,417.4,422,414.1,415.75,1251000,399.16
2015-05-25,416,419.65,408.8,412.9,948700,396.43
2015-05-26,411.55,412.3,402.6,404.55,2056400,388.41
2015-05-27,403.9,414.75,398,413.9,2684000,397.39
2015-05-28,415,416.05,408,411.2,2696800,394.8
2015-05-29,413,421.3,410.95,419,3136800,402.28
2015-06-01,420.25,424.4,416.55,421.8,1631500,404.97
2015-06-02,422.05,423.5,398.7,401.7,1779600,385.67
2015-06-03,401.85,406.8,390.3,404.3,2907300,388.17
2015-06-04,406.4,409.3,395.5,403.25,2607600,387.16
2015-06-05,401.8,411.5,400.05,407.35,2151300,391.1
2015-06-08,408.1,409.2,399.6,402.55,1748000,386.49
2015-06-09,397.2,400,391.3,393.35,1918700,377.66
2015-06-10,392.5,403.4,389.25,400.8,1290600,384.81
2015-06-11,404,406.85,393.4,395.75,1666700,379.96
2015-06-12,394,401.25,391.1,399.85,986200,383.9
2015-06-15,398.05,400.95,393.3,395,1431100,379.24
2015-06-16,395.8,404.5,393.4,402.4,1213700,386.35
2015-06-17,405.35,419.7,404.6,415.3,2551600,398.73
2015-06-18,419.8,435,419.2,428.6,3415300,411.5
2015-06-19,431,441,431,439.75,4269000,422.21
2015-06-22,441.2,462.5,436.2,459.75,3948700,441.41
2015-06-23,461.45,467.95,450.65,452.75,2074100,434.69
2015-06-24,452,462,449.35,455.9,2897400,437.71
2015-06-25,457.9,463.15,455,457.15,3432500,438.91
2015-06-26,455.15,457.4,445,450.75,1572100,432.77
2015-06-29,444,454,431.2,451.4,1975100,433.39
2015-06-30,451.4,456,448,450.9,2361300,432.91
2015-07-01,453,459.8,450.8,452.6,2317600,434.54
2015-07-02,455.8,461,450.05,451.7,2069400,433.68
2015-07-03,452,454.75,443.4,447.75,1388000,429.89
2015-07-06,441,445.9,436,444.6,2903300,426.86
2015-07-07,445,451.65,444.25,447.65,2709700,429.79
2015-07-08,444.85,444.85,428.95,438.85,2837600,421.34
2015-07-09,441.05,455.95,438.75,452.2,2614800,434.16
2015-07-10,454.2,458.6,450.3,455.6,1829600,437.42
