"Date","LT.NS.Open","LT.NS.High","LT.NS.Low","LT.NS.Close","LT.NS.Volume","LT.NS.Adjusted"
2015-01-01,1493.8,1506.9,1492,1502.95,449500,1454.8687
2015-01-02,1501.5,1539,1501.5,1534.65,1291000,1485.5547
2015-01-05,1545.35,1571,1545.35,1556,1451000,1506.2216
2015-01-06,1541,1544.75,1496.05,1504.1,2032000,1455.9819
2015-01-07,1498.75,1510,1485.55,1500.5,1375700,1452.4971
2015-01-08,1519.5,1523.5,1504.15,1510.05,970600,1461.7417
2015-01-09,1522,1524,1488,1500.25,1157100,1452.2551
2015-01-12,1503.9,1537,1495.1,1534.2,1023500,1485.119
2015-01-13,1544.95,1547.15,1516.2,1519.5,878800,1470.8893
2015-01-14,1522.5,1534.1,1500,1518,984500,1469.4373
2015-01-15,1545,1586.2,1535.5,1573.7,2279300,1523.3553
2015-01-16,1582.5,1612,1560,1591.75,2796600,1540.8279
2015-01-19,1603,1623,1601.9,1614.85,1391900,1563.1889
2015-01-20,1621.9,1634,1601,1629.55,1392500,1577.4187
2015-01-21,1633.8,1668.2,1630.75,1654.55,2470100,1601.6189
2015-01-22,1656,1669,1653.35,1663.3,1207400,1610.089
2015-01-23,1675,1715.95,1675,1711.3,2916100,1656.5534
2015-01-26,1711.3,1711.3,1711.3,1711.3,0,1656.5534
2015-01-27,1720,1750,1718,1742,2260400,1686.2713
2015-01-28,1735.2,1740.5,1685,1698.35,2309000,1644.0176
2015-01-29,1692.35,1733.7,1688.25,1723.9,2306600,1668.7503
2015-01-30,1728.6,1740.8,1683.35,1700.55,1521600,1646.1473
2015-02-02,1696,1739.85,1696,1735.1,1417100,1679.592
2015-02-03,1742,1749.9,1707.35,1722.5,1953800,1667.3951
2015-02-04,1729.55,1732.2,1682.4,1688.4,1230600,1634.386
2015-02-05,1690.95,1706,1674.1,1682.4,1343900,1628.578
2015-02-06,1682,1694,1663,1683.55,1473700,1629.6912
2015-02-09,1663.3,1669,1550,1572.45,3559800,1522.1453
2015-02-10,1545.1,1611,1532.15,1571.7,6981300,1521.4193
2015-02-11,1587,1623.7,1583.7,1612.7,3117000,1561.1077
2015-02-12,1618,1659,1605.2,1650.05,2108100,1597.2629
2015-02-13,1660,1674,1650,1662.15,1575700,1608.9758
2015-02-16,1665,1678,1640.1,1648.45,1117600,1595.714
2015-02-17,1648.45,1648.45,1648.45,1648.45,0,1595.714
2015-02-18,1654.8,1674.9,1654,1663.35,1458500,1610.1373
2015-02-19,1668.8,1710,1662.4,1698.55,1872500,1644.2113
2015-02-20,1700,1714.8,1671.5,1677.6,3581700,1623.9315
2015-02-23,1686.45,1711.9,1679.35,1687,2372600,1633.0308
2015-02-24,1691.45,1724.5,1690.05,1721.1,2124300,1666.0398
