"Date","LUPIN.NS.Open","LUPIN.NS.High","LUPIN.NS.Low","LUPIN.NS.Close","LUPIN.NS.Volume","LUPIN.NS.Adjusted"
2015-01-01,1428.4,1435.8,1424.1,1429.2,119600,1417.251
2015-01-02,1435,1442.5,1428.05,1432.3,247100,1420.325
2015-01-05,1434.15,1441.65,1425.25,1430.3,211100,1418.342
2015-01-06,1425,1428.95,1386.3,1395.85,405500,1384.18
2015-01-07,1395.85,1401.6,1365.35,1377.6,483800,1366.082
2015-01-08,1385,1412.85,1380,1407.95,340200,1396.178
2015-01-09,1411,1425.5,1405.5,1420.7,317200,1408.822
2015-01-12,1422.65,1435,1415.7,1431,218000,1419.036
2015-01-13,1432.2,1451,1421,1433.05,340300,1421.069
2015-01-14,1431,1438,1410,1423.35,184800,1411.45
2015-01-15,1438,1459.5,1395.8,1437.15,433500,1425.134
2015-01-16,1433,1448,1426,1428.05,236600,1416.11
2015-01-19,1431,1467.5,1430,1463.5,390300,1451.264
2015-01-20,1473.6,1479.8,1454,1475.7,370100,1463.362
2015-01-21,1479,1488.4,1461.5,1484.8,388400,1472.386
2015-01-22,1495,1519.75,1483,1503.45,800500,1490.88
2015-01-23,1524.45,1524.45,1470,1489.45,617200,1476.997
2015-01-26,1489.45,1489.45,1489.45,1489.45,0,1476.997
2015-01-27,1489,1529.4,1475.55,1524.25,641900,1511.506
2015-01-28,1521.9,1533.5,1501.8,1515.5,643800,1502.829
2015-01-29,1535.7,1562.95,1521,1554.55,1189400,1541.553
2015-01-30,1555,1591.15,1545,1585.3,648900,1572.046
2015-02-02,1587,1606,1545.15,1554.7,541800,1541.702
2015-02-03,1562.75,1577,1523,1546.35,808800,1533.421
2015-02-04,1558.9,1600,1550.05,1579.65,450800,1566.443
2015-02-05,1580,1610,1559.15,1578.3,497600,1565.104
2015-02-06,1578.1,1588,1552.8,1567.7,234600,1554.593
2015-02-09,1560,1572.25,1540.25,1546.15,283200,1533.223
