"Date","MARICO.NS.Open","MARICO.NS.High","MARICO.NS.Low","MARICO.NS.Close","MARICO.NS.Volume","MARICO.NS.Adjusted"
2015-01-01,328,328,323.14999,323.85001,142700,155.31593
2015-01-02,325.60001,331.79999,324.10001,329.95001,658100,158.24144
2015-01-05,327,331,323.20001,323.95001,953300,155.36389
2015-01-06,323.10001,331,321.5,327.64999,1854700,157.13837
2015-01-07,327.70001,329.75,317.10001,322,1531000,154.42868
2015-01-08,322,323.85001,319.5,321.54999,1607000,154.21286
2015-01-09,322.5,329.79999,315.60001,318.95001,28894900,152.96593
2015-01-12,319.70001,322,315.10001,318.75,7008800,152.87001
2015-01-13,319.29999,337.75,318.75,334.25,15155700,160.30368
2015-01-14,334.10001,365,334.04999,351.85001,10559400,168.74451
2015-01-15,359,359.89999,349.64999,355.39999,2655700,170.44706
2015-01-16,356.54999,360.70001,348.14999,350.25,1251100,167.97716
2015-01-19,351.89999,369.5,349.14999,357.85001,2461900,171.62206
2015-01-20,360,360,346.14999,351.14999,1228700,168.40879
2015-01-21,352,362.89999,349.04999,352.79999,3524700,169.20011
2015-01-22,351.60001,364.89999,351.60001,361.95001,2148800,173.58839
2015-01-23,365.39999,366.70001,353.5,358.64999,1930700,172.00573
2015-01-26,358.64999,358.64999,358.64999,358.64999,0,172.00573
2015-01-27,360,361.79999,350.10001,353.5,6040400,169.53583
2015-01-28,354.60001,356.70001,351,353.20001,487900,169.39196
2015-01-29,353.70001,354.29999,346.04999,351.79999,678900,168.72052
2015-01-30,354.64999,364.5,352,360.79999,4729500,173.03685
2015-02-02,361.70001,372,358.25,360.5,5856800,172.89298
2015-02-03,359.20001,366.89999,338.64999,349.70001,5544000,167.71339
2015-02-04,352.5,358.85001,352,355.89999,1285000,170.68685
2015-02-05,358.79999,358.79999,354.04999,356.70001,1281700,171.07053
2015-02-06,357.70001,357.70001,349.70001,352.60001,1454600,170.5385
2015-02-09,352.79999,355.5,345,352.39999,1596800,170.44176
2015-02-10,348.45001,355.04999,345.60001,352,976000,170.2483
2015-02-11,353,355,351.20001,354.29999,456300,171.36072
2015-02-12,355.95001,355.95001,348.64999,351.45001,1816200,169.9823
2015-02-13,353,355.10001,352,354.85001,1067100,171.62674
2015-02-16,353,355.89999,352,353.25,459800,170.85288
2015-02-17,353.25,353.25,353.25,353.25,0,170.85288
2015-02-18,354.85001,374.35001,353.25,358.10001,1668600,173.19863
2015-02-19,359.89999,361,352,353.29999,416000,170.87706
2015-02-20,353.95001,358,352.60001,353.79999,363800,171.11889
2015-02-23,354.70001,368,353.5,357.14999,1177900,172.73915
2015-02-24,357.5,357.60001,352.10001,355.89999,1343200,172.13457
2015-02-25,356,356.64999,354.04999,354.5,624000,171.45745
2015-02-26,352.75,355.5,352.75,354.64999,640800,171.53
2015-02-27,354.25,360.89999,353.85001,357.75,1525000,173.02935
2015-03-02,357,364.39999,354.39999,359.10001,2170900,173.68229
2015-03-03,363.95001,375,358,368.79999,4722600,178.37378
2015-03-04,372.79999,403.70001,370,384,5681100,185.72542
2015-03-05,382.5,408.39999,382.5,398.35001,3315500,192.66595
2015-03-06,398.35001,398.35001,398.35001,398.35001,0,192.66595
2015-03-09,398.79999,398.79999,379.45001,384,1351100,185.72542
2015-03-10,385.10001,386.10001,375.10001,378.75,1236400,183.18621
2015-03-11,380,385.79999,372,376.85001,1515900,182.26726
2015-03-12,375.54999,389.20001,372.64999,382.79999,864000,185.14502
2015-03-13,386.95001,389.79999,363,365.75,1105800,176.89863
2015-03-16,369.39999,371.75,357.29999,364.95001,860600,176.51171
2015-03-17,370.95001,386.95001,370.95001,384.54999,2589300,185.99143
2015-03-18,385,393.39999,366.25,368.54999,1773100,178.25287
2015-03-19,373.79999,373.79999,368.25,369.95001,2064100,178.93001
2015-03-20,375.29999,376.64999,355.29999,364.5,7080900,176.29405
2015-03-23,364.95001,373.5,362.25,370.54999,1157600,179.22019
2015-03-24,373.70001,373.70001,366.10001,371.04999,455500,179.46202
2015-03-25,369,371.89999,363.54999,364.75,254400,176.41497
2015-03-26,364,384.5,363,373.95001,1642300,180.86465
2015-03-27,376,388,375,386.79999,1275400,187.07966
2015-03-30,389.89999,390,372.75,376.70001,868500,182.19471
2015-03-31,378,395.04999,378,385.75,1400000,186.57183
2015-04-01,387.5,392,381.75,387.45001,573500,187.39405
2015-04-02,387.45001,387.45001,387.45001,387.45001,0,187.39405
2015-04-03,387.45001,387.45001,387.45001,387.45001,0,187.39405
2015-04-06,388,388,381.29999,382.70001,337000,185.09667
2015-04-07,386,395.95001,383.85001,390.70001,748400,188.96595
2015-04-08,392,410,388.95001,408.04999,2207500,197.35744
2015-04-09,411.5,415.5,392.14999,394.54999,1025800,190.82803
2015-04-10,395.89999,405,388,401.5,724800,194.18947
2015-04-13,402,404.29999,392.60001,400.75,2076400,193.82673
2015-04-14,400.75,400.75,400.75,400.75,0,193.82673
2015-04-15,402.85001,406.35001,396.14999,403.85001,1096100,195.32607
2015-04-16,406,423,406,419.04999,2399700,202.6777
2015-04-17,426.75,428.39999,414.25,416.20001,1495100,201.29928
2015-04-20,412,414,390.25,395.5,1659700,191.28751
2015-04-21,394.39999,403.29999,386.10001,397.75,2068100,192.37575
2015-04-22,397.45001,401.95001,393.14999,396.85001,386500,191.94046
2015-04-23,396.85001,413,395.20001,398.04999,1319500,192.52084
2015-04-24,398.95001,419.5,389,396,1968400,191.52934
2015-04-27,396.39999,406.14999,389.14999,393.35001,925500,190.24765
2015-04-28,393.35001,402,390.85001,400.04999,1310700,193.48816
2015-04-29,401.85001,405,393,399.85001,695800,193.39144
2015-04-30,403.79999,411.85001,397.5,401.70001,3069900,194.28621
2015-05-01,401.70001,401.70001,401.70001,401.70001,0,194.28621
2015-05-04,404,404,380.45001,388.45001,2171000,187.87771
2015-05-05,390.79999,390.79999,383,386,1602800,186.69274
2015-05-06,386,392.89999,373.75,375.10001,2126600,181.42085
2015-05-07,377,378.39999,360,368.95001,1197800,178.44635
2015-05-08,375,375,365.20001,369.45001,836700,178.68818
2015-05-11,368.79999,380.89999,365.45001,379.5,1294300,183.54895
2015-05-12,378.89999,384.79999,373.10001,379.85001,3229100,183.71824
2015-05-13,389,419.89999,384.89999,406,10174900,196.36594
2015-05-14,403.04999,420,399.04999,402.25,4942800,194.55222
2015-05-15,402,412.14999,399.04999,405.60001,3867100,196.17248
2015-05-18,404.64999,414.5,402,410,2023800,198.30058
2015-05-19,409.39999,414,406.25,410.79999,1951900,198.6875
2015-05-20,410.79999,422,404,411.70001,4062400,199.12281
2015-05-21,413.95001,414.5,403,408.54999,2381100,197.59927
2015-05-22,409.79999,414.5,405,410.25,2918700,198.4215
2015-05-25,410.20001,420,408.70001,417.54999,4583100,201.95221
2015-05-26,418.5,429.89999,415,425.64999,7227300,205.86986
2015-05-27,420,426.89999,404.60001,411.29999,3195800,198.92933
2015-05-28,409,414.70001,406.5,409.79999,2622900,198.20384
2015-05-29,412.25,455.95001,410.5,439.60001,44809600,212.61692
2015-06-01,424.75,449,420.10001,445.25,3935500,215.34959
2015-06-02,441.25,443.20001,418.14999,421.5,1568100,203.86267
