"Date","MARUTI.NS.Open","MARUTI.NS.High","MARUTI.NS.Low","MARUTI.NS.Close","MARUTI.NS.Volume","MARUTI.NS.Adjusted"
2015-01-01,3320.25,3360,3320.25,3340.75,299200,3297.92
2015-01-02,3360,3383,3350.5,3359.6,233900,3316.53
2015-01-05,3382,3469.35,3376.05,3447.8,536700,3403.6
2015-01-06,3439,3439,3382.5,3395.25,422700,3351.73
2015-01-07,3400,3458.95,3382.05,3437.75,369200,3393.68
2015-01-08,3465,3509.55,3444,3475.5,422000,3430.95
2015-01-09,3500,3507.7,3429.95,3468.2,194000,3423.74
2015-01-12,3470,3483.65,3445.15,3462.9,152800,3418.51
2015-01-13,3483.8,3515,3462.1,3468.25,237700,3423.79
2015-01-14,3471.85,3531,3461.3,3516,429000,3470.93
2015-01-15,3550.35,3638.65,3540,3625.8,670600,3579.32
2015-01-16,3615.25,3625,3592.05,3616.6,379000,3570.24
2015-01-19,3627.7,3642.5,3615.2,3626.25,192500,3579.76
2015-01-20,3618,3636,3584.5,3605.55,333300,3559.33
2015-01-21,3623,3690,3592,3634.7,402400,3588.11
2015-01-22,3648,3648,3592.1,3597.25,318800,3551.14
2015-01-23,3634,3639.75,3575,3606.7,337500,3560.46
2015-01-26,3606.7,3606.7,3606.7,3606.7,0,3560.46
2015-01-27,3644.95,3704.7,3585.15,3687.9,1278400,3640.62
2015-01-28,3692,3758.5,3692,3725.8,672700,3678.04
2015-01-29,3745,3745,3677,3688.8,603100,3641.51
2015-01-30,3700,3741,3626.55,3647.35,284700,3600.59
2015-02-02,3647.35,3725,3620,3669.45,319600,3622.41
2015-02-03,3708,3708,3600,3607.85,220600,3561.6
2015-02-04,3620,3634,3550.5,3557.55,203500,3511.94
2015-02-05,3579,3597,3508,3522.7,379600,3477.54
2015-02-06,3529.75,3533.5,3490,3502.6,198200,3457.7
2015-02-09,3490,3497.2,3400,3411.3,286800,3367.57
2015-02-10,3393,3478,3360,3393.85,547500,3350.34
2015-02-11,3406,3470.8,3406,3454.75,341700,3410.46
2015-02-12,3468,3559.75,3468,3551.9,436800,3506.37
2015-02-13,3565,3627,3531.3,3616.95,321100,3570.58
2015-02-16,3620,3650,3561.5,3572.1,260900,3526.31
2015-02-17,3572.1,3572.1,3572.1,3572.1,0,3526.31
2015-02-18,3575,3584,3547.05,3564.95,161800,3519.25
2015-02-19,3575,3615,3562.15,3595.15,214700,3549.06
2015-02-20,3610,3614,3542,3547.35,240700,3501.88
2015-02-23,3561,3575,3532.85,3545.9,163100,3500.44
2015-02-24,3573.85,3600,3553.2,3588.3,143900,3542.3
2015-02-25,3595,3615,3564.1,3579.9,173300,3534.01
2015-02-26,3567.3,3581.9,3483.15,3496.85,429500,3452.02
2015-02-27,3497,3618.85,3496.85,3604.4,378600,3558.19
2015-03-02,3648.1,3730,3632.25,3711.45,386100,3663.87
2015-03-03,3718,3734.35,3689.55,3708.65,206200,3661.11
2015-03-04,3750,3789.7,3647.25,3678.4,340900,3631.25
2015-03-05,3677,3711.25,3641.35,3678.75,152800,3631.59
2015-03-06,3678.75,3678.75,3678.75,3678.75,0,3631.59
2015-03-09,3632.3,3690.9,3623,3671.3,218700,3624.24
2015-03-10,3689,3689,3640.25,3646.75,182600,3600
2015-03-11,3642.05,3672,3615.35,3656.45,198500,3609.58
2015-03-12,3667.4,3719.95,3662.1,3685.2,308500,3637.96
2015-03-13,3705,3717.2,3625.1,3650.7,363000,3603.9
2015-03-16,3651,3677,3637.8,3647.05,182800,3600.3
2015-03-17,3665,3688.95,3623.55,3661.55,185200,3614.61
2015-03-18,3663,3678,3642.3,3664.9,177200,3617.92
2015-03-19,3671,3695,3648,3655,252100,3608.15
2015-03-20,3640,3672.8,3610,3623.85,206400,3577.4
2015-03-23,3625.05,3639.2,3583.05,3594.4,192900,3548.32
2015-03-24,3625,3635,3567.05,3587.3,227200,3541.31
2015-03-25,3590,3628.9,3573.3,3614.75,201800,3568.41
