"Date","MFSL.NS.Open","MFSL.NS.High","MFSL.NS.Low","MFSL.NS.Close","MFSL.NS.Volume","MFSL.NS.Adjusted"
2015-01-01,397.5,397.9,389.2,390.85,75700,387.639
2015-01-02,392.4,395.3,386.05,387.5,119000,384.317
2015-01-05,385.2,415.6,385.2,393.15,1717300,389.92
2015-01-06,391,395.8,383,384.95,473300,381.788
2015-01-07,387.8,393.4,381.2,386,181700,382.829
2015-01-08,388.9,394.8,388.9,390.3,258000,387.094
2015-01-09,392.95,395,388.4,392,263300,388.78
2015-01-12,390.15,406,384.15,396.75,551700,393.491
2015-01-13,396,408,396,405.1,293100,401.772
2015-01-14,420.2,423.95,405.6,407.8,726000,404.45
2015-01-15,411.9,411.9,399,400.15,190000,396.863
2015-01-16,401.1,409,400.9,406.1,125700,402.764
2015-01-19,406.1,411.8,401,404.3,407900,400.979
2015-01-20,405.9,425.4,405.05,418.05,890200,414.616
2015-01-21,420,428.95,415.95,427.3,984500,423.79
2015-01-22,428.95,428.95,420,421.45,359300,417.988
2015-01-23,424.95,469.9,423.05,454.05,3098100,450.32
2015-01-26,454.05,454.05,454.05,454.05,0,450.32
2015-01-27,463.4,505.9,463,492.25,6453500,488.206
2015-01-28,496.2,521.85,492.6,498.25,2666200,494.157
2015-01-29,499,501.35,479.6,485.6,672000,481.611
2015-01-30,485.9,488,468.1,474.55,717600,470.652
2015-02-02,473.75,511,472.95,499.35,1231900,495.248
2015-02-03,502.8,521,480,499,1418300,494.901
2015-02-04,499.1,509,495,504.75,833200,500.604
2015-02-05,500.1,519.9,477.35,485.25,696000,481.264
2015-02-06,480.85,488.6,462.05,471,466100,467.131
2015-02-09,469,469,451.5,457.2,409900,453.444
2015-02-10,454,474.9,447.5,459.5,305700,455.725
2015-02-11,461,477.75,460,468.55,403700,464.701
2015-02-12,470.5,477.7,452.25,457.3,533800,453.543
2015-02-13,470.1,485,468.25,471.9,634300,468.023
2015-02-16,475.75,478.9,467.1,469.3,154200,465.445
2015-02-17,469.3,469.3,469.3,469.3,0,465.445
2015-02-18,471,479.95,468,471.45,202500,467.577
2015-02-19,472.9,473.45,462.55,464.75,121900,460.932
2015-02-20,465,483.2,457.05,461.35,583900,457.56
2015-02-23,464.9,475.55,449,454.6,354800,450.865
2015-02-24,454.8,457.95,440,447.7,322800,444.022
2015-02-25,446.2,453.7,433,439.8,586200,436.187
2015-02-26,445,453,436.35,441.15,268200,437.526
2015-02-27,444.95,450.2,436.25,440.3,294700,436.683
2015-03-02,470,478.1,465.1,470.3,667800,466.436
2015-03-03,473.45,485.5,471.15,473.95,730300,470.057
2015-03-04,475.15,477,462.6,465.4,324300,461.577
2015-03-05,468.9,473.95,459,468.4,343800,464.552
2015-03-06,468.4,468.4,468.4,468.4,0,464.552
2015-03-09,460.6,471.9,455.65,460.2,262600,456.419
2015-03-10,461.9,464.95,455,455.5,127500,451.758
2015-03-11,457,471.3,450.25,463.85,246900,460.04
2015-03-12,484,514,483.5,488.7,2291300,484.685
2015-03-13,516,519.7,460.25,469.8,4542100,465.941
2015-03-16,475,475,454.15,457,599900,453.246
2015-03-17,461,464.4,453.85,458.6,547100,454.833
2015-03-18,459.95,460,451.65,454.45,293800,450.717
2015-03-19,459,463.9,455.1,459.7,390200,455.924
2015-03-20,458,458,440,445.2,313600,441.543
2015-03-23,448,455,440,445.65,242700,441.989
2015-03-24,444.9,444.95,437.05,438.35,155300,434.749
2015-03-25,440.1,447.9,437,437.95,233700,434.352
2015-03-26,436.9,451,432.5,444.85,340200,441.196
2015-03-27,448,452,427,435.6,314900,432.022
2015-03-30,437,449.5,430.3,445.55,300900,441.89
2015-03-31,447.95,451,423.25,431.25,594100,427.707
2015-04-01,431.6,453.5,431.5,449.7,694000,446.006
2015-04-02,449.7,449.7,449.7,449.7,0,446.006
2015-04-03,449.7,449.7,449.7,449.7,0,446.006
2015-04-06,452,462.9,450,458.5,363200,454.733
2015-04-07,460.75,471.95,457,466.95,232300,463.114
2015-04-08,469.8,472.9,462.15,469.8,210700,465.941
2015-04-09,479,492,471.4,488.15,796600,484.14
2015-04-10,497.9,499.95,487.1,490.15,746000,486.123
2015-04-13,491.5,491.5,462,483.15,213800,479.181
2015-04-14,483.15,483.15,483.15,483.15,0,479.181
2015-04-15,478.5,491.85,474,479.9,168700,475.958
2015-04-16,480.05,483,476.3,479.75,170600,475.809
2015-04-17,480,480,461.4,463.9,149500,460.089
2015-04-20,465.1,466.2,438,446.25,242500,442.584
2015-04-21,444,447.5,436.1,438.15,280900,434.551
2015-04-22,437.5,446.4,434,438.4,456500,434.799
2015-04-23,438.9,444,432,438.05,201200,434.451
2015-04-24,438,439,424,425.7,269300,422.203
