"Date","MINDTREE.NS.Open","MINDTREE.NS.High","MINDTREE.NS.Low","MINDTREE.NS.Close","MINDTREE.NS.Volume","MINDTREE.NS.Adjusted"
2015-01-01,1299,1321,1288.75,1295.85,374700,610.664
2015-01-02,1299.9,1313,1292,1299.1,389000,612.1956
2015-01-05,1292,1307.1,1267.05,1271.65,177300,599.2599
2015-01-06,1271,1271,1186.6,1206.9,578500,568.7467
2015-01-07,1206.9,1221.9,1185,1192.15,337600,561.7959
2015-01-08,1198,1217,1195.1,1205.95,329600,568.299
2015-01-09,1212,1269.5,1212,1261.05,482700,594.2647
2015-01-12,1265,1292.75,1238.15,1288.15,253300,607.0355
2015-01-13,1289,1344,1287.3,1331.35,664800,627.3933
2015-01-14,1343.9,1404,1337.7,1387.9,681500,654.0423
2015-01-15,1404.5,1408.8,1360,1365,256600,643.2507
2015-01-16,1374,1404.9,1365,1380.25,254000,650.4372
2015-01-19,1395.95,1420,1390,1414.7,572600,666.6716
2015-01-20,1420,1428,1340,1356.3,1167300,639.1509
2015-01-21,1370,1370,1320.05,1324.55,411900,624.1888
2015-01-22,1340,1349,1306.15,1315.25,309400,619.8062
2015-01-23,1330,1336.95,1307.8,1314.6,269100,623.2911
2015-01-26,1314.6,1314.6,1314.6,1314.6,0,623.2911
2015-01-27,1316,1320,1299.2,1305.9,404200,619.1662
2015-01-28,1305.9,1310,1286.6,1293.85,247900,613.4529
2015-01-29,1300,1339,1283,1305.25,694200,618.858
2015-01-30,1310,1328.95,1304.1,1321.1,393400,626.3729
2015-02-02,1316,1345.5,1310.1,1330.6,442600,630.8772
2015-02-03,1329.9,1339.85,1248.1,1295.65,384200,614.3064
2015-02-04,1300,1325,1300,1320.2,267000,625.9462
2015-02-05,1325,1361.25,1318.35,1335.85,527700,633.3664
2015-02-06,1336.15,1376.5,1336.15,1358.7,560400,644.2002
2015-02-09,1348.65,1384,1345,1371.9,481900,650.4588
2015-02-10,1371,1380,1333.2,1364.45,224600,646.9265
2015-02-11,1360,1408,1360,1393.05,382400,660.4866
2015-02-12,1394,1440,1394,1428.9,491600,677.4842
