"Date","MRF.NS.Open","MRF.NS.High","MRF.NS.Low","MRF.NS.Close","MRF.NS.Volume","MRF.NS.Adjusted"
2015-01-01,37950,38320,37848.4,37981.4,9500,37825.25
2015-01-02,38150,38400,37981,38192.2,11000,38035.18
2015-01-05,38299,39390,38000,38477.3,38100,38319.11
2015-01-06,38350,38350,37350,37460,15700,37305.99
2015-01-07,37499,37724.9,37011,37381.1,10700,37227.42
2015-01-08,37790,38200,37712.6,38076.5,13400,37919.96
2015-01-09,38400,38489.5,37500,37707.2,11000,37552.18
2015-01-12,37799,38300,37611,38094.4,11500,37937.78
2015-01-13,38150,38400,38002.4,38170.1,9200,38013.18
2015-01-14,38180,38388,37925.9,38235.4,8600,38078.2
2015-01-15,38460.4,38798,38011.1,38321.4,11400,38163.85
2015-01-16,38400,39874.1,38140,39161.8,24000,39000.8
2015-01-19,38925,39950,38925,39496.1,17500,39333.72
2015-01-20,39700,39980,39400.1,39513.2,15500,39350.75
2015-01-21,39540,39679.9,38800.1,38902.6,8900,38742.66
2015-01-22,38999,39485.6,38959,39146.6,10200,38985.66
2015-01-23,39550,39599,38420,38728.1,10500,38568.88
2015-01-26,38728.1,38728.1,38728.1,38728.1,0,38568.88
2015-01-27,39005,40250,38801.4,39944.6,20500,39780.38
2015-01-28,40049,40307,39501.5,39729.6,9400,39566.26
2015-01-29,39900,40100,39599,39901.5,8400,39737.46
2015-01-30,40000,40290,39651,40036.9,7700,39872.3
2015-02-02,40000,40480,39900.1,40218.2,7500,40052.85
2015-02-03,40397,41150,40253.6,40623.4,16900,40456.39
2015-02-04,40674,40850,39700,40056.3,8100,39934.88
2015-02-05,40150,40268,39650,39729.1,4200,39608.67
2015-02-06,39850,39974,38500,38837.4,7800,38719.67
2015-02-09,38849.9,38849.9,37111,37290.1,9400,37177.06
2015-02-10,37496,38299,35520,36648.9,17100,36537.8
2015-02-11,37199,38048,37000,37877.2,15300,37762.38
2015-02-12,38290,41664.9,38000,40755.2,59600,40631.66
2015-02-13,41540,41782,40250.1,40585.5,26100,40462.47
2015-02-16,40750,41470,40566,40994.6,15500,40870.33
2015-02-17,40994.6,40994.6,40994.6,40994.6,0,40870.33
2015-02-18,41199,41700,40670.4,41445.9,10400,41320.26
2015-02-19,41687,41687,40330,41119,9700,40994.35
2015-02-20,41349,41349,40638.6,40945.8,7500,40821.68
2015-02-23,40949,41158,40420,40550.8,5900,40427.88
2015-02-24,40640,41180,40488.9,40874.7,6500,40750.79
2015-02-25,40800,41130.1,40710.6,40912.3,7800,40788.28
2015-02-26,40950,40998,39551.2,39833.8,18100,39713.05
2015-02-27,40048,41450,40000,41200.8,13100,41075.91
2015-03-02,41305,42474.9,40787.1,42286.2,17500,42158.01
2015-03-03,42300,42365.9,41750.6,41975.2,10000,41847.96
2015-03-04,41474.9,42149,41160,41323.9,9500,41198.63
2015-03-05,41448,41940,41204.4,41634.2,7000,41507.99
2015-03-06,41634.2,41634.2,41634.2,41634.2,0,41507.99
2015-03-09,41500,41500,40912.4,41065.4,4400,40940.91
2015-03-10,41423.9,41547.7,41149.1,41262.2,7000,41137.12
2015-03-11,41350,41924,41201.8,41451.8,6000,41326.14
2015-03-12,41550,41850,41429,41651.2,6000,41524.94
2015-03-13,41784,41840,40100,40241.4,10000,40119.41
2015-03-16,40300,40499.4,39698.1,40160.9,10600,40039.16
2015-03-17,40299,40700,40003,40459.7,5300,40337.05
2015-03-18,40695,40763.9,40313,40555.1,4300,40432.16
2015-03-19,41178.6,41178.6,40150,40298.3,6300,40176.14
2015-03-20,40400,40594.8,39697.1,39891.1,5900,39770.18
2015-03-23,40000,40196.1,38065.1,38471.9,10300,38355.28
2015-03-24,38510,38999,37586.9,37714,9200,37599.67
2015-03-25,38010,38010,37350,37610.9,12600,37496.89
2015-03-26,37400,37549,37003.3,37150.5,10700,37037.88
2015-03-27,38000,38000,36908.3,37661.9,7600,37547.73
2015-03-30,37965,39134.9,37850,38829.6,8700,38711.89
2015-03-31,38999,39450,38551.5,38750.6,9700,38633.13
2015-04-01,38850,39660.4,38405.3,39557,7700,39437.09
2015-04-02,39557,39557,39557,39557,0,39437.09
2015-04-03,39557,39557,39557,39557,0,39437.09
2015-04-06,39986,40080,39516.1,39891.4,4700,39770.47
2015-04-07,39850,40753.7,39547.3,40612.2,9100,40489.09
2015-04-08,40924,41093,40550,40865.1,7200,40741.22
2015-04-09,40940,41109.9,40500.1,40831.2,6500,40707.42
2015-04-10,40900,41450,40450.1,41326.9,8400,41201.62
2015-04-13,41499,41990,41300,41856.1,8400,41729.22
2015-04-14,41856.1,41856.1,41856.1,41856.1,0,41729.22
2015-04-15,41950,41979.9,41405.1,41561.1,4800,41435.11
2015-04-16,41501,41740,41009.6,41559.6,5800,41433.62
2015-04-17,41684.2,41884.6,40700.1,41014.4,6600,40890.07
2015-04-20,41390,41390,39753.1,39911.6,8500,39790.61
2015-04-21,40000,40332.9,38925.1,39068.4,10400,38949.97
2015-04-22,39389,39499,38201.5,38739.9,13900,38622.46
2015-04-23,38980,40609,38950.5,40014.2,49500,39892.9
2015-04-24,40255,40388,38701.1,38944.6,20800,38826.55
2015-04-27,38900,39199.9,37000,37148.2,13300,37035.59
2015-04-28,37185.6,38049.9,36675.1,37315.1,18700,37201.99
