"Date","MUTHOOTFIN.NS.Open","MUTHOOTFIN.NS.High","MUTHOOTFIN.NS.Low","MUTHOOTFIN.NS.Close","MUTHOOTFIN.NS.Volume","MUTHOOTFIN.NS.Adjusted"
2015-01-01,196,216.7,195,214.4,1116000,201.56
2015-01-02,216.5,216.5,201.4,203.45,466200,191.27
2015-01-05,204,205.5,196.55,198.45,396100,186.57
2015-01-06,193.85,197.7,193,195.95,201100,184.22
2015-01-07,195.9,197.45,192,195.6,142100,183.89
2015-01-08,197,198.95,195,196.55,857500,184.78
2015-01-09,201.05,205,195,196.3,472800,184.55
2015-01-12,196.5,197.5,195.35,196.15,138200,184.41
2015-01-13,195.35,197.5,195,196.05,551000,184.31
2015-01-14,196.2,198.5,190.55,192.45,193600,180.93
2015-01-15,196,200.6,190.55,198.85,3778400,186.95
2015-01-16,199.95,202.4,196.2,197.45,352400,185.63
2015-01-19,198,217.45,196.55,207.1,1604400,194.7
2015-01-20,206,219.4,202.4,216.85,1835300,203.87
2015-01-21,218.3,234.5,217.5,232.5,2170500,218.58
2015-01-22,234.6,234.9,217.55,228.5,2424300,214.82
2015-01-23,226,227.1,212.05,222.85,1550200,209.51
2015-01-26,222.85,222.85,222.85,222.85,0,209.51
2015-01-27,222,226.85,215.35,221.95,446400,208.66
2015-01-28,221,224.9,210,221.6,898300,208.33
2015-01-29,221.1,224,216.65,219.7,723700,206.55
2015-01-30,219.7,220.45,210.25,211.15,131100,198.51
2015-02-02,211,219.45,208.7,215.05,591700,202.18
2015-02-03,215.05,216.8,206.25,208.1,211100,195.64
2015-02-04,210.75,212,206.7,209.75,770000,197.19
2015-02-05,210.5,219.5,210,214.3,237700,201.47
2015-02-06,216,216.8,212.65,213.7,183400,200.91
2015-02-09,207.05,218,207.05,214.35,566900,201.52
2015-02-10,218,220.1,211.45,214.55,325300,201.71
2015-02-11,214.5,215.7,207.5,207.85,230000,195.41
2015-02-12,208.2,210.9,203.7,208.5,294400,196.02
2015-02-13,210.05,212.8,208.7,210.65,391500,198.04
2015-02-16,210,214.8,210,212.95,181900,200.2
2015-02-17,212.95,212.95,212.95,212.95,0,200.2
2015-02-18,214,218.85,211.1,217.35,322900,204.34
2015-02-19,218,221.2,215.2,218.7,300900,205.61
2015-02-20,219.85,220.5,217.5,219.7,136500,206.55
2015-02-23,222,222,216.65,219.7,497300,206.55
2015-02-24,218.55,220.5,215.7,218.35,103700,205.28
2015-02-25,218.35,219.8,215.15,215.95,268500,203.02
2015-02-26,215.3,224.15,213.3,218.1,467600,205.04
2015-02-27,219.7,223.9,212.05,219.9,800900,206.74
2015-03-02,238.15,240.25,219,220.5,1193700,207.3
2015-03-03,221.7,223.25,219.1,220.5,290300,207.3
2015-03-04,223.2,228,218.25,220,632200,206.83
2015-03-05,220,221.05,216,219.05,714900,205.94
2015-03-06,219.05,219.05,219.05,219.05,0,205.94
2015-03-09,216.4,223.6,216,217.4,203900,204.38
2015-03-10,218,219.5,209.05,212.55,115900,199.83
2015-03-11,214.2,216.75,212.1,213.5,59100,200.72
2015-03-12,213.25,215.65,211.5,213.7,58400,200.91
2015-03-13,213.05,217.05,209.85,211.05,54400,198.41
2015-03-16,210.35,210.35,200.1,204.6,149000,192.35
2015-03-17,210,210.4,202.1,205.1,64200,192.82
2015-03-18,206,206.2,202.05,202.55,75000,190.42
2015-03-19,205.35,205.35,193.25,195.6,112100,183.89
2015-03-20,198.85,201.4,193.7,195.7,120200,183.98
2015-03-23,196,199.1,190.7,194.4,131200,182.76
2015-03-24,193.15,198,190,194.45,62500,182.81
2015-03-25,195.3,201.5,194.2,195.05,85300,183.37
2015-03-26,194.5,198.45,194,195.6,132400,183.89
2015-03-27,195.6,198.15,194.3,197.4,72500,185.58
2015-03-30,197.4,208.2,197.4,205.65,121000,193.34
2015-03-31,206,213.7,202.3,207.05,567500,194.65
2015-04-01,202.35,208.75,202.35,204.4,34300,192.16
2015-04-02,204.4,204.4,204.4,204.4,0,192.16
2015-04-03,204.4,204.4,204.4,204.4,0,192.16
2015-04-06,204.9,205.2,201.1,201.6,30700,189.53
2015-04-07,204.05,205.4,202.25,204.15,43400,191.93
2015-04-08,205.75,209.45,202,202.3,63300,190.19
2015-04-09,203.75,205,198.6,199.25,70600,187.32
2015-04-10,199.85,203.4,199.2,203.15,36900,190.99
2015-04-13,203.3,206.35,194.1,199.55,281400,187.6
2015-04-14,199.55,199.55,199.55,199.55,0,187.6
2015-04-15,199.35,203.8,190,191.65,334900,180.18
2015-04-16,193,195.6,189.05,192.6,146700,181.07
2015-04-17,193,194,187.5,189.75,95600,178.39
2015-04-20,191,191.55,189,189.8,38100,178.44
2015-04-21,190,194,188,191.55,92700,180.08
2015-04-22,191.85,193.35,189.3,190.95,373200,179.52
2015-04-23,191.1,192.75,188.7,189.3,46600,177.97
2015-04-24,189.5,190.95,185.55,187.2,78600,175.99
2015-04-27,186,187.95,178.2,184.4,82700,173.36
2015-04-28,184.2,186,181.5,183.55,132000,172.56
2015-04-29,184.5,185,181.25,184,33900,172.98
2015-04-30,184,184.8,181.6,183.5,31800,172.51
2015-05-01,183.5,183.5,183.5,183.5,0,172.51
2015-05-04,185,188.7,183.6,184.9,206000,173.83
2015-05-05,185.5,186.9,183,184.3,147300,173.27
2015-05-06,190,191.5,175.2,177.3,577700,166.69
2015-05-07,179,179,172.55,173.6,284000,163.21
2015-05-08,174.85,180,174.5,178.3,957200,167.63
2015-05-11,177.9,188,177.9,186.75,353800,175.57
2015-05-12,188.15,188.15,182.5,185.95,570400,174.82
2015-05-13,184.6,194.9,184.4,191.6,257500,180.13
2015-05-14,193.75,193.75,186.25,191.2,162900,179.75
2015-05-15,190.7,192.75,188.75,190.95,160300,179.52
2015-05-18,192,192,188.1,190.9,146600,179.47
2015-05-19,190,192,188.1,191.25,309100,179.8
2015-05-20,192.75,194,190.05,192.85,1367600,181.3
2015-05-21,193.9,195,191.25,191.9,158800,180.41
2015-05-22,192.7,192.7,189.9,191.05,351800,179.61
2015-05-25,192.4,192.4,187.7,188.8,37200,177.5
2015-05-26,191.5,191.5,185.15,185.75,37500,174.63
2015-05-27,188,190,184.5,188.2,42600,176.93
2015-05-28,188.05,190.25,183.4,187.8,73500,176.56
2015-05-29,187.55,204,184.1,195.05,888100,183.37
2015-06-01,195,197.1,189.05,189.7,94100,178.34
2015-06-02,189.1,189.2,183,185.8,197600,174.68
2015-06-03,188.7,189.95,181.45,188,176900,176.74
2015-06-04,186,190.05,185.35,189.6,376900,178.25
2015-06-05,188,190.5,186.55,188.25,178600,176.98
2015-06-08,186.4,190.5,185,187.4,48900,176.18
