"Date","NCC.NS.Open","NCC.NS.High","NCC.NS.Low","NCC.NS.Close","NCC.NS.Volume","NCC.NS.Adjusted"
2015-01-01,80.8,83.7,80.6,82.6,3148200,81.57099
2015-01-02,82.35,84.35,81.7,81.95,3822500,80.92908
2015-01-05,81.65,82.7,79.7,80.8,3117600,79.79341
2015-01-06,79.85,79.85,76.5,77,3138200,76.04075
2015-01-07,77.2,77.95,74.1,76.1,3123700,75.15196
2015-01-08,77.2,80.2,77.2,79.3,3485100,78.3121
2015-01-09,80.35,81.4,77.85,79.2,3194900,78.21334
2015-01-12,79.45,79.45,77.5,78.55,1724500,77.57144
2015-01-13,78.3,79.75,76.55,77.35,2203000,76.38639
2015-01-14,77,77.8,75.3,75.75,1741400,74.80632
2015-01-15,77.25,80.7,76.6,77.25,5775500,76.28764
2015-01-16,77.2,78.35,76,76.4,2777400,75.44823
2015-01-19,76.1,77.5,74.85,75.25,2168600,74.31255
2015-01-20,75.6,76.35,74.75,74.95,1435400,74.01629
2015-01-21,75.5,75.6,72.25,72.5,3330500,71.59681
2015-01-22,72.5,75.95,71.3,73.95,3599200,73.02874
2015-01-23,75.35,75.5,69,72.05,4025600,71.15242
2015-01-26,72.05,72.05,72.05,72.05,0,71.15242
2015-01-27,72.65,72.65,70.65,71.95,1866900,71.05366
2015-01-28,72.55,79.3,72.45,75.9,9407900,74.95446
2015-01-29,76.25,76.25,74.2,75.15,2045100,74.2138
2015-01-30,75.55,78.6,74.5,75.85,4742000,74.90508
2015-02-02,75.15,75.75,73.8,75.05,2247800,74.11505
2015-02-03,75.5,75.7,72.15,72.65,2180400,71.74494
2015-02-04,73,77.4,71.7,74.9,6157200,73.96691
2015-02-05,75,75,70.75,71.2,3117100,70.313
2015-02-06,71.15,73.25,70.1,70.65,2251000,69.76986
2015-02-09,69.45,69.55,62.05,63.55,5495100,62.75831
2015-02-10,62.25,66.15,60.6,63.2,4740200,62.41267
2015-02-11,64.5,75.8,64.5,75.8,24808800,74.8557
2015-02-12,77.7,84.9,77.2,84.2,23640300,83.15105
2015-02-13,84.15,84.5,81.15,82.15,7508400,81.12659
2015-02-16,82.45,83.2,80,80.55,7272200,79.54653
2015-02-17,80.55,80.55,80.55,80.55,0,79.54653
2015-02-18,80.8,81.2,78,78.5,3743500,77.52206
2015-02-19,78.9,79.95,76.6,78.8,3041800,77.81833
2015-02-20,79.45,79.75,77,78.2,2603200,77.2258
2015-02-23,79.75,81,76.3,76.85,6624700,75.89262
2015-02-24,76.9,78.75,76.35,77.1,2464900,76.1395
2015-02-25,77.6,79.1,77.2,77.9,3623600,76.92954
2015-02-26,78.45,78.45,75.65,76.3,1578200,75.34947
2015-02-27,76.95,79,75.55,76.35,4162500,75.39885
2015-03-02,79.4,94.5,78.2,92.45,36275100,91.29827
2015-03-03,93.5,97.5,91.4,94.7,20187900,93.52024
2015-03-04,94.4,94.5,86.1,88.05,5749600,86.95309
2015-03-05,88.4,95.6,88.25,93.65,9401500,92.48333
2015-03-06,93.65,93.65,93.65,93.65,0,92.48333
2015-03-09,91.3,93.25,88.75,91,4078000,89.86634
2015-03-10,91.6,93.45,87.35,89,4244400,87.89126
2015-03-11,89.9,93.15,89.05,91.05,5295900,89.91572
2015-03-12,92.25,100.75,92.25,99.35,18295800,98.11232
2015-03-13,100.25,104.5,99,100.2,16222600,98.95173
2015-03-16,100.5,101.6,96,98.8,6687500,97.56917
2015-03-17,99.75,101.8,97.5,99.4,7093700,98.1617
2015-03-18,99.95,101.6,97.2,100.5,4632600,99.24799
2015-03-19,101,105.7,97.2,99.2,8233000,97.96418
2015-03-20,99,100.65,94.15,95.95,5036000,94.75467
2015-03-23,97.4,100.4,95.25,97.05,3984600,95.84097
2015-03-24,97.3,98.5,95.8,96.85,2510100,95.64346
2015-03-25,97.45,98.15,96.4,96.8,1838100,95.59409
2015-03-26,96.5,96.9,92.5,94.6,2789400,93.42149
2015-03-27,95.9,97.25,92.75,95.45,2576600,94.2609
2015-03-30,97,108.25,96.5,104.7,6882600,103.39567
2015-03-31,108,113.5,107.45,112.05,14860900,110.65411
2015-04-01,109.8,111.4,108.25,110.55,5202500,109.17279
2015-04-02,110.55,110.55,110.55,110.55,0,109.17279
2015-04-03,110.55,110.55,110.55,110.55,0,109.17279
2015-04-06,110.9,117.95,108.65,115.45,7634000,114.01175
