"Date","NHPC.NS.Open","NHPC.NS.High","NHPC.NS.Low","NHPC.NS.Close","NHPC.NS.Volume","NHPC.NS.Adjusted"
2015-01-01,18.7,19,18.7,18.9,1950400,16.08
2015-01-02,18.9,19.2,18.9,19.05,3189400,16.21
2015-01-05,19.05,19.15,18.9,18.9,1847800,16.08
2015-01-06,18.85,18.85,18.4,18.5,3339700,15.74
2015-01-07,18.6,18.65,18.15,18.25,3502400,15.53
2015-01-08,18.3,18.65,18.3,18.6,2240200,15.82
2015-01-09,18.7,18.75,18.45,18.55,2290000,15.78
2015-01-12,18.5,18.7,18.4,18.6,2673100,15.82
2015-01-13,18.6,18.75,18.4,18.55,3435100,15.78
2015-01-14,18.7,19.8,18.7,19.6,16711900,16.68
2015-01-15,19.95,20,19.35,19.5,5024900,16.59
2015-01-16,19.5,19.7,19.25,19.35,3498000,16.46
2015-01-19,19.25,19.6,19.2,19.3,3960300,16.42
2015-01-20,19.25,19.35,19,19.1,2588500,16.25
2015-01-21,19.25,19.25,19,19.1,2858700,16.25
2015-01-22,19.1,20,19.05,19.9,6091100,16.93
2015-01-23,19.95,20.1,19.6,19.85,4099900,16.89
2015-01-26,19.85,19.85,19.85,19.85,0,16.89
2015-01-27,19.7,19.9,19.5,19.65,2245600,16.72
2015-01-28,19.55,20.3,19.5,20.05,5361200,17.06
2015-01-29,19.9,19.95,19.55,19.7,6530200,16.93
2015-01-30,19.7,20,19.2,19.25,5212600,16.54
2015-02-02,19.1,20.2,19.1,19.55,9578900,16.8
2015-02-03,19.6,20.45,19.5,19.9,14594100,17.1
2015-02-04,19.9,20.3,19.6,20,6430900,17.19
2015-02-05,20,20.45,19.75,20.05,10574800,17.23
2015-02-06,19.9,20.15,19.65,20,5831300,17.19
2015-02-09,20,20.05,19.7,19.85,3945600,17.06
2015-02-10,19.7,19.95,19.55,19.8,5354200,17.01
2015-02-11,19.75,20.2,19.75,20.05,3765500,17.23
2015-02-12,20.2,20.95,20.05,20.75,8946900,17.83
2015-02-13,20.75,21,20.45,20.9,5065900,17.96
2015-02-16,20.4,21.2,20.4,20.65,4641000,17.75
2015-02-17,20.65,20.65,20.65,20.65,0,17.75
2015-02-18,20.6,21.15,20.55,20.85,5784600,17.92
2015-02-19,20.75,21.05,20.4,20.9,5847100,17.96
2015-02-20,20.85,21.1,20.65,20.85,5801900,17.92
2015-02-23,20.95,21.15,20.6,21,6065700,18.05
2015-02-24,21,21.05,20.65,20.95,6454700,18
2015-02-25,21,21.35,20.8,21,4656000,18.05
2015-02-26,20.95,21.25,20.5,20.75,15414900,17.83
2015-02-27,20.7,21.3,20.65,21.25,6226200,18.26
2015-03-02,21.1,21.45,20.85,21,3167000,18.05
2015-03-03,20.95,21.3,20.9,21.05,2839000,18.09
2015-03-04,21.05,21.25,20.35,20.45,4867000,17.57
2015-03-05,20.5,20.6,20.05,20.15,3026700,17.32
2015-03-06,20.15,20.15,20.15,20.15,0,17.32
2015-03-09,20.1,20.1,19.75,19.8,2799500,17.01
2015-03-10,19.8,19.95,19.55,19.6,1950400,16.84
2015-03-11,19.7,20,19.6,19.7,2078800,16.93
2015-03-12,19.7,20.1,19.7,19.9,2312300,17.1
2015-03-13,19.95,20.1,19.6,19.65,1604800,16.89
2015-03-16,19.65,19.7,19.35,19.4,2001400,16.67
2015-03-17,19.55,19.6,19.25,19.4,2572800,16.67
2015-03-18,19.35,19.75,19.3,19.55,4089500,16.8
2015-03-19,19.6,19.95,19.5,19.8,4916800,17.01
2015-03-20,19.9,19.9,19.3,19.7,3843500,16.93
2015-03-23,19.7,19.8,19.55,19.6,1718800,16.84
2015-03-24,19.55,19.7,19.25,19.35,2740800,16.63
2015-03-25,19.35,19.6,19.05,19.5,4568000,16.76
2015-03-26,19.3,19.9,19.2,19.5,18825400,16.76
2015-03-27,19.45,19.8,19.35,19.75,3670000,16.97
2015-03-30,19.65,19.95,19.5,19.85,2339000,17.06
2015-03-31,19.95,20.05,19.6,19.8,1629100,17.01
2015-04-01,19.8,20.2,19.8,20.05,1973700,17.23
2015-04-02,20.05,20.05,20.05,20.05,0,17.23
2015-04-03,20.05,20.05,20.05,20.05,0,17.23
2015-04-06,19.95,20.15,19.75,20.05,1462700,17.23
2015-04-07,20.1,20.1,19.9,20.05,1168100,17.23
2015-04-08,20,20.55,19.65,20.3,5170700,17.44
2015-04-09,20.45,20.45,20.2,20.3,1395300,17.44
2015-04-10,20.35,20.75,20.15,20.65,2411500,17.75
2015-04-13,20.55,21.15,20.55,20.95,2532700,18
2015-04-14,20.95,20.95,20.95,20.95,0,18
2015-04-15,21,21.2,20.6,20.75,2344000,17.83
2015-04-16,20.8,20.9,20.5,20.7,1940600,17.79
2015-04-17,20.65,20.8,20.55,20.6,1924800,17.7
2015-04-20,20.75,20.75,20.2,20.25,2068800,17.4
2015-04-21,20.25,20.4,20.15,20.25,1698200,17.4
2015-04-22,20.25,20.35,20,20.25,1592400,17.4
2015-04-23,20.25,20.4,20.1,20.15,1137800,17.32
2015-04-24,20.1,20.2,19.95,20.05,2477900,17.23
2015-04-27,20.1,20.15,19.8,19.85,2664400,17.06
2015-04-28,19.75,19.9,19.5,19.75,1722300,16.97
2015-04-29,19.75,19.8,19.5,19.65,2213700,16.89
2015-04-30,19.6,19.85,19.5,19.75,3061500,16.97
2015-05-01,19.75,19.75,19.75,19.75,0,16.97
2015-05-04,19.65,20.1,19.65,20,1506600,17.19
2015-05-05,20,20.1,19.65,19.9,1790500,17.1
2015-05-06,19.9,19.95,19.35,19.5,2006200,16.76
2015-05-07,19.4,19.5,19.1,19.2,1288300,16.5
2015-05-08,19.3,19.5,19.2,19.3,1589400,16.59
2015-05-11,19.4,19.5,19.25,19.3,1403600,16.59
2015-05-12,19.2,19.25,18.75,18.9,1896400,16.24
2015-05-13,18.9,19.2,18.9,19,1320500,16.33
2015-05-14,18.95,19.2,18.95,19,1795900,16.33
2015-05-15,19,19.15,18.95,19,1627600,16.33
2015-05-18,19,19.2,18.95,19,3793000,16.33
2015-05-19,19,19.15,18.9,19.05,2703800,16.37
2015-05-20,19.05,19.45,19,19.2,2379200,16.5
2015-05-21,19.25,19.4,19.05,19.35,2223900,16.63
2015-05-22,19.4,19.5,19.3,19.45,1639700,16.71
2015-05-25,19.35,19.4,19.15,19.2,1037000,16.5
2015-05-26,19.15,19.4,19.05,19.25,1450000,16.54
2015-05-27,19.2,19.55,19.15,19.5,2081300,16.76
2015-05-28,19.55,20.55,19.4,20.2,11072100,17.36
2015-05-29,20.15,20.45,20,20.15,2584200,17.32
2015-06-01,21,21.1,19.8,20,7313000,17.19
2015-06-02,20,20.15,19.65,19.7,2346500,16.93
2015-06-03,19.6,19.7,18.65,19.1,2912100,16.41
2015-06-04,19,19.15,18.8,18.95,2085800,16.28
2015-06-05,19,19.35,18.9,19.15,1754900,16.46
2015-06-08,19.15,19.2,18.75,18.85,1623800,16.2
2015-06-09,18.8,19.2,18.8,19.1,1060700,16.41
2015-06-10,19.1,19.25,19.05,19.1,915200,16.41
2015-06-11,19.1,19.15,18.85,18.85,1149600,16.2
2015-06-12,18.85,19.15,18.8,19,1184700,16.33
2015-06-15,19,19.1,18.9,18.9,753800,16.24
2015-06-16,18.9,19.1,18.85,19,973500,16.33
2015-06-17,19.05,19.2,19,19.1,1198800,16.41
2015-06-18,19.1,19.2,19.05,19.15,1287600,16.46
2015-06-19,19.1,20,19.1,19.75,3467100,16.97
2015-06-22,19.75,19.9,19.5,19.6,1547600,16.84
2015-06-23,19.55,19.9,19.5,19.65,1941700,16.89
2015-06-24,19.65,20,19.65,19.75,1951200,16.97
2015-06-25,19.75,20.25,19.7,20.05,5946100,17.23
2015-06-26,20.1,20.1,19.65,19.85,2468400,17.06
2015-06-29,19.65,19.7,19.3,19.6,2328400,16.84
2015-06-30,19.4,19.65,19.35,19.6,1122200,16.84
2015-07-01,19.6,19.75,19.5,19.65,1603700,16.89
2015-07-02,19.6,19.7,19.45,19.55,991200,16.8
2015-07-03,19.5,19.65,19.45,19.6,1434400,16.84
2015-07-06,19.3,19.45,19.15,19.4,1435800,16.67
2015-07-07,19.4,19.6,19.25,19.4,1584400,16.67
2015-07-08,19.25,19.9,19.25,19.6,3947800,16.84
2015-07-09,19.55,19.65,19.35,19.4,1137300,16.67
2015-07-10,19.45,19.5,18.9,18.95,6993800,16.28
2015-07-13,18.95,19.1,18.95,19.05,2807000,16.37
2015-07-14,19.1,19.15,18.85,18.95,2412100,16.28
2015-07-15,19,19.2,18.95,19.05,1996000,16.37
2015-07-16,19.1,19.2,19,19.05,2039400,16.37
2015-07-17,19.1,19.2,19.05,19.1,2102500,16.41
2015-07-20,19.1,19.1,19,19.05,1752700,16.37
2015-07-21,19.05,19.6,19.05,19.2,2710100,16.5
2015-07-22,19.15,19.4,18.95,19.05,3848500,16.37
2015-07-23,19,19.1,18.9,18.95,2637400,16.28
2015-07-24,19,19.1,18.85,18.9,1469400,16.24
2015-07-27,18.85,19,18.65,18.7,2350700,16.07
2015-07-28,18.75,19,18.65,18.75,2799300,16.11
2015-07-29,18.8,19.1,18.8,18.9,2586500,16.24
2015-07-30,19,19.25,18.5,18.65,10139200,16.03
2015-07-31,18.65,19,18.65,18.9,3124000,16.24
2015-08-03,18.9,19.1,18.9,19,2217300,16.33
2015-08-04,19,19.2,18.95,19.05,3660400,16.37
2015-08-05,19.2,19.45,18.95,19.05,4852600,16.37
2015-08-06,19.15,19.45,18.85,18.95,8710800,16.28
2015-08-07,18.95,19.05,18.75,18.85,2777300,16.2
2015-08-10,18.85,19,18.7,18.75,2547200,16.11
2015-08-11,18.75,18.8,18.4,18.5,2745000,15.9
2015-08-12,18.45,18.6,18.25,18.3,2638100,15.73
2015-08-13,18.3,18.4,17.95,18,3929000,15.47
2015-08-14,18.05,18.3,18,18.1,3235000,15.55
2015-08-17,18.15,18.3,18,18.25,2081700,15.68
2015-08-18,18.3,18.5,18.2,18.35,2598700,15.77
2015-08-19,18.35,18.35,18.15,18.2,1486500,15.64
2015-08-20,18.2,18.25,17.85,17.95,3312600,15.43
2015-08-21,17.8,17.85,17.6,17.75,4096800,15.25
2015-08-24,17.5,17.55,16,16.05,9849300,13.79
2015-08-25,16.2,16.6,15.55,16.35,6327300,14.05
2015-08-26,16.7,17,16.15,16.45,3961300,14.14
2015-08-27,16.7,17.25,16.55,16.8,17688900,14.44
2015-08-28,16.85,17.2,16.65,16.9,2617100,14.52
2015-08-31,16.85,17,16.3,16.45,4593500,14.14
2015-09-01,16.35,16.5,16,16.05,3142000,13.79
2015-09-02,16.1,16.4,15.95,16.05,3567700,13.79
2015-09-03,16.05,16.6,16.05,16.45,2712000,14.14
