"Date","NIITTECH.NS.Open","NIITTECH.NS.High","NIITTECH.NS.Low","NIITTECH.NS.Close","NIITTECH.NS.Volume","NIITTECH.NS.Adjusted"
2015-01-01,368.05,372.5,363,367.05,23500,345.3817
2015-01-02,368.75,380.95,365.05,380.1,97600,357.6613
2015-01-05,381,383,372,374.65,58500,352.5331
2015-01-06,372.05,373,363.35,364.85,139400,343.3116
2015-01-07,367.1,367.1,354.6,356.15,32800,335.1252
2015-01-08,355.1,365,355.1,359.5,17800,338.2774
2015-01-09,361,363,356.5,359.85,131100,338.6068
2015-01-12,360,369.5,358.7,365.4,67100,343.8291
2015-01-13,369.7,374.7,367,370.1,40200,348.2517
2015-01-14,371,389.1,366.7,382.8,755000,360.2019
2015-01-15,380.9,382,369.65,373.85,357100,351.7803
2015-01-16,372,373.95,368,370.15,33800,348.2987
2015-01-19,373,377,371.2,373.8,53700,351.7332
2015-01-20,371,375.1,371,374.2,229900,352.1096
2015-01-21,373,375.75,367.85,372.25,137300,350.2748
2015-01-22,373.6,374.05,369.35,371.35,118400,349.4279
2015-01-23,375,375,356.9,365.4,79500,343.8291
2015-01-26,365.4,365.4,365.4,365.4,0,343.8291
2015-01-27,360.1,364.95,357.1,358.55,174500,337.3835
2015-01-28,358.95,358.95,343.5,346.65,193200,326.186
2015-01-29,345,351.2,344.45,345.9,94100,325.4803
2015-01-30,347,351.15,346.85,350.3,53000,329.6205
2015-02-02,341.25,354,341.25,351.4,44100,330.6556
2015-02-03,350.15,354.95,349,350,30900,329.3382
2015-02-04,352.45,355.35,346,347.75,40300,327.2211
2015-02-05,350.05,353.6,348.3,350.5,162700,329.8087
2015-02-06,348.75,350.85,341,344.3,44200,323.9747
2015-02-09,349.85,364,341,361.25,71100,339.9241
2015-02-10,358.3,381,356,377.9,90500,355.5912
2015-02-11,375.65,380,367.2,370.8,36100,348.9103
2015-02-12,370.5,374.95,352.55,369.6,13900,347.7812
2015-02-13,361.1,379.95,361.1,371.3,15400,349.3808
2015-02-16,364,375.15,360.5,369.45,17800,347.6401
2015-02-17,369.45,369.45,369.45,369.45,0,347.6401
2015-02-18,369.45,375.9,367,372.25,16600,350.2748
2015-02-19,371.7,384.05,371.7,380.05,68000,357.6143
2015-02-20,381.5,394,373,389.45,76500,366.4594
2015-02-23,390,414.7,388,395,248400,371.6817
2015-02-24,395,406.55,391.1,392.6,45800,369.4234
2015-02-25,394.9,420.6,394.9,410,435600,385.7962
2015-02-26,409,423.9,409,418.55,209900,393.8415
2015-02-27,419.25,421.8,405.5,407.55,62100,383.4909
2015-03-02,407,407,395.1,402.8,27300,379.0213
2015-03-03,404,412,399,409.85,58600,385.6551
2015-03-04,410.95,418,403.4,408.35,63100,384.2436
2015-03-05,408.5,422.8,403.05,418.45,70300,393.7474
2015-03-06,418.45,418.45,418.45,418.45,0,393.7474
2015-03-09,417.25,425,414.05,417.7,41800,393.0417
2015-03-10,415,417.7,402,409.4,27400,385.2316
2015-03-11,412,439.8,412,428.5,584900,403.2041
