"Date","NMDC.NS.Open","NMDC.NS.High","NMDC.NS.Low","NMDC.NS.Close","NMDC.NS.Volume","NMDC.NS.Adjusted"
2015-01-01,145,148.7,144.35,148.25,1166600,121.988
2015-01-02,149,149,146.2,146.95,935600,120.918
2015-01-05,147.25,148.7,145.2,146.2,1206700,120.301
2015-01-06,145.9,145.9,139.15,139.95,2259200,115.158
2015-01-07,140.7,140.9,135.55,135.85,2207300,111.784
2015-01-08,137.25,138,136.25,137.55,3140400,113.183
2015-01-09,138.1,138.95,134.6,135.35,2489800,111.373
2015-01-12,136.9,136.95,133.5,133.7,1828200,110.015
2015-01-13,134,136.7,133,135,2575700,111.085
2015-01-14,135.5,135.9,132.35,132.7,1988500,109.192
2015-01-15,133.1,135,132.7,133.75,2394000,110.056
2015-01-16,133.3,136.2,132.6,135.4,3089800,111.414
2015-01-19,136,137.6,135.3,137.15,1161300,112.854
2015-01-20,137.6,141,137.2,140.7,2846800,115.775
2015-01-21,141.5,141.7,137.3,138.2,2566400,113.718
2015-01-22,137.15,138.5,135.9,137,3074800,112.731
2015-01-23,138,139.95,135.2,139.3,2020400,114.623
2015-01-26,139.3,139.3,139.3,139.3,0,114.623
2015-01-27,139.5,142.5,137.2,141.15,2815800,116.145
2015-01-28,141,141.5,138.5,140.95,2543400,115.981
2015-01-29,140.6,141.95,139,140.15,4269000,115.323
2015-01-30,140,144.45,139.45,141.5,3873500,116.433
2015-02-02,140,142.95,139.55,141.35,1514000,116.31
2015-02-03,142,143.15,140.5,141.45,1308700,116.392
2015-02-04,141,142.95,139.6,140,2298400,115.199
2015-02-05,140,140.6,137.45,138.25,2761300,113.759
2015-02-06,138,141.6,135.5,141.05,4691100,116.063
2015-02-09,141,141,138.55,140.25,2208900,115.405
2015-02-10,139.65,141.25,139,139.9,2140000,115.117
2015-02-11,140.05,141,138,139.4,1113700,114.705
2015-02-12,139.9,140.65,138.75,140.25,1435900,115.405
2015-02-13,140,142.75,138.55,142.35,1970200,117.133
2015-02-16,142.55,146.7,141.8,146,2800500,120.136
2015-02-17,146,146,146,146,0,120.136
2015-02-18,144.5,144.5,139,139.65,2502000,118.356
2015-02-19,140,144.2,138.1,141.6,1860600,120.009
2015-02-20,142.1,143.65,140.6,142.45,1529200,120.729
2015-02-23,142.45,142.85,136.8,137.55,1716000,116.577
2015-02-24,138.2,138.3,136.4,137.65,914100,116.661
