"Date","NTPC.NS.Open","NTPC.NS.High","NTPC.NS.Low","NTPC.NS.Close","NTPC.NS.Volume","NTPC.NS.Adjusted"
2015-01-01,144.2,144.25,142.1,142.45,1232400,134.23
2015-01-02,142.5,145,142.5,144.4,1985900,136.07
2015-01-05,144.55,144.9,143.05,144,1830800,135.69
2015-01-06,143.5,144.5,138.25,139.2,4936200,131.17
2015-01-07,140.5,143,139.35,142.55,4873700,134.32
2015-01-08,143.3,145.3,143.2,144.95,6303500,136.58
2015-01-09,145.15,145.5,139.5,140.25,3149100,132.15
2015-01-12,141,141.4,138.5,140,2658700,131.92
2015-01-13,139.25,140.35,138.1,138.95,3762800,130.93
2015-01-14,139.7,140.25,137.2,137.75,2280100,129.8
2015-01-15,139.85,140.55,138.4,139.2,5846800,131.17
2015-01-16,138.65,141.8,138.35,140.4,5188200,132.3
2015-01-19,140.9,142.9,139.85,141.75,4322400,133.57
2015-01-20,142.75,143.5,142.1,142.85,5374100,134.6
2015-01-21,143.25,144.15,142.3,143.5,5789600,135.22
2015-01-22,143.5,143.7,139.35,140.2,5607500,132.11
2015-01-23,141.6,142.2,140.45,141.9,7537700,133.71
2015-01-26,141.9,141.9,141.9,141.9,0,133.71
2015-01-27,142.5,143.7,140.7,143.15,14984900,134.89
2015-01-28,143,144.95,141.55,142.85,5637000,134.6
2015-01-29,142.7,142.7,141.1,141.85,14628100,133.66
2015-01-30,142.8,147.4,142.1,143.65,18591500,135.36
2015-02-02,144.45,144.45,141.55,142.05,8637300,133.85
2015-02-03,142.45,144.8,142.15,144,6484600,135.69
2015-02-04,143.2,144.1,142.05,142.8,3363700,135.26
2015-02-05,142.2,143.1,139.05,140.15,5119200,132.75
2015-02-06,140.15,140.75,138.3,140,4980400,132.61
2015-02-09,139,140.4,138.1,138.8,2595300,131.47
2015-02-10,138,140.3,136.75,137.15,3755600,129.91
2015-02-11,137,141,136.8,140.15,2935300,132.75
2015-02-12,140.55,142.65,140.05,142.1,4302300,134.6
2015-02-13,142.1,143.7,141.6,143.25,3011800,135.69
2015-02-16,142.2,144.65,142.2,144,1621200,136.4
2015-02-17,144,144,144,144,0,136.4
2015-02-18,144.05,147.8,143.6,146.05,4146700,138.34
2015-02-19,146.2,147.2,142,146.65,3090800,138.91
2015-02-20,146.4,147.35,144.1,145.65,2648400,137.96
2015-02-23,145.65,146.8,144.3,146.05,5026400,138.34
2015-02-24,146.25,149.2,146,146.6,4904600,138.86
2015-02-25,147,148.6,145.6,146.05,6281900,138.34
2015-02-26,147.1,154.85,145.75,153.35,21241200,145.26
2015-02-27,153,159.5,152,158.45,10071300,150.09
2015-03-02,156,160,155.7,159.5,6544500,151.08
2015-03-03,159.5,160,157.9,158.7,4830700,150.32
2015-03-04,159,159.8,155.75,157.5,3817100,149.19
2015-03-05,156.25,158.7,155.2,158.15,3589700,149.8
2015-03-06,158.15,158.15,158.15,158.15,0,149.8
2015-03-09,157.5,158.1,151.4,151.8,2549000,143.79
2015-03-10,153.3,153.3,149,149.95,3208000,142.03
2015-03-11,149.5,154.75,146.6,153.75,3966000,145.63
2015-03-12,154,164.75,153,159.7,19776900,151.27
2015-03-13,160.3,161.3,158.6,159.45,13559400,151.03
2015-03-16,159.3,159.5,154.7,155.85,10012200,147.62
2015-03-17,156.1,158.5,155.3,157.85,5336300,149.52
2015-03-18,158,159.35,151.2,152.65,16155100,144.59
2015-03-19,153.5,155.85,150.15,154.75,20768300,146.58
2015-03-20,143.8,148.3,142.7,145.5,17171600,137.82
2015-03-23,145.2,150.5,145.2,150.15,7423300,142.22
2015-03-24,150,153.4,149.6,152.7,6418000,144.64
2015-03-25,154.5,154.9,146.5,147.35,15931000,139.57
2015-03-26,146.25,147.8,142.95,144,21961600,136.4
2015-03-27,145.9,146.65,143.5,145.6,4464600,137.91
2015-03-30,146.1,148.2,145.7,147.6,4132500,139.81
2015-03-31,148.5,148.5,144.9,146.85,6997700,139.1
2015-04-01,147,149.9,147,147.75,3038200,139.95
2015-04-02,147.75,147.75,147.75,147.75,0,139.95
2015-04-03,147.75,147.75,147.75,147.75,0,139.95
2015-04-06,148.5,152.95,148.2,152.1,3393200,144.07
