"Date","OFSS.NS.Open","OFSS.NS.High","OFSS.NS.Low","OFSS.NS.Close","OFSS.NS.Volume","OFSS.NS.Adjusted"
2015-01-01,3358,3389.7,3335,3357.65,10700,2978.344
2015-01-02,3341,3435.95,3341,3411.15,343400,3025.8
2015-01-05,3395.5,3479.5,3395.5,3405.6,35400,3020.878
2015-01-06,3395,3395,3282,3300.6,17400,2927.739
2015-01-07,3305,3324.6,3280,3300.7,15000,2927.828
2015-01-08,3302,3399,3302,3325.15,21100,2949.516
2015-01-09,3312.65,3330,3258.15,3289.2,30700,2917.627
2015-01-12,3299.95,3327.8,3255,3273.25,21400,2903.479
2015-01-13,3276,3309.65,3276,3302.6,8900,2929.513
2015-01-14,3307,3383.7,3307,3368.3,38900,2987.791
2015-01-15,3370.1,3397.5,3342.85,3371.25,42300,2990.408
2015-01-16,3350,3397.9,3326.8,3345.15,22400,2967.256
2015-01-19,3345.05,3375,3330,3345.65,10700,2967.7
2015-01-20,3409,3411,3355,3369.95,25100,2989.255
2015-01-21,3355.1,3394,3345,3369.65,9700,2988.989
2015-01-22,3365.05,3376.05,3325,3346.05,15400,2968.055
2015-01-23,3364,3382.95,3305,3322.15,11200,2946.855
2015-01-26,3322.15,3322.15,3322.15,3322.15,0,2946.855
2015-01-27,3320,3341.55,3241.8,3291.95,11600,2920.066
2015-01-28,3276.15,3295.7,3222.5,3256.5,30700,2888.621
2015-01-29,3260,3351,3245,3341.9,55300,2964.373
2015-01-30,3342,3429.9,3342,3397.35,34700,3013.56
2015-02-02,3399,3434.9,3384.5,3396.75,9200,3013.027
2015-02-03,3383.45,3419,3365,3400.75,10600,3016.575
2015-02-04,3401,3444.9,3372,3412.25,8000,3026.776
2015-02-05,3410,3426.5,3228,3300.2,14700,2927.384
2015-02-06,3320.2,3365,3281.15,3318.15,6400,2943.306
2015-02-09,3349,3351.35,3252.2,3277,13600,2906.805
2015-02-10,3299,3335,3230.35,3269.85,24700,2900.463
2015-02-11,3285,3320,3276.8,3304.75,6900,2931.42
2015-02-12,3330,3362.5,3320,3345.45,11100,2967.522
2015-02-13,3395,3459,3365,3443.4,34500,3054.407
2015-02-16,3459,3475.5,3340,3353.55,35300,2974.708
2015-02-17,3353.55,3353.55,3353.55,3353.55,0,2974.708
2015-02-18,3354,3399.7,3330,3368.25,19500,2987.747
2015-02-19,3374.9,3375,3317.15,3343.25,10900,2965.571
2015-02-20,3368.95,3368.95,3289.1,3301,8200,2928.094
2015-02-23,3302,3304,3250,3270.9,37300,2901.394
2015-02-24,3300,3300,3245,3268.2,22500,2898.999
2015-02-25,3263.25,3288,3235,3261.25,16800,2892.834
2015-02-26,3281,3282,3235.1,3258.25,31500,2890.173
2015-02-27,3258.25,3280,3240.2,3260.5,10200,2892.169
2015-03-02,3284.75,3390,3275,3373.7,17500,2992.581
2015-03-03,3355,3402,3355,3375.85,20200,2994.488
2015-03-04,3390,3399.9,3305.2,3349.75,83500,2971.337
2015-03-05,3357.45,3370,3320.1,3329.05,5800,2952.975
2015-03-06,3329.05,3329.05,3329.05,3329.05,0,2952.975
2015-03-09,3300,3349,3300,3318.7,14100,2943.794
2015-03-10,3348.9,3348.9,3289.5,3318.7,13000,2943.794
2015-03-11,3320,3347.9,3280.1,3302.95,13800,2929.824
2015-03-12,3281,3350,3267,3298.25,20300,2925.655
2015-03-13,3282,3295,3255,3280,8100,2909.466
2015-03-16,3309,3309,3235,3282.45,14700,2911.639
2015-03-17,3288.65,3308.8,3251,3290.55,4200,2918.824
2015-03-18,3294.35,3326.05,3257.8,3265.05,3000,2896.205
2015-03-19,3261.15,3299,3250.1,3261,11100,2892.613
2015-03-20,3272.55,3294.3,3226.4,3247.55,19900,2880.682
2015-03-23,3206.3,3288.95,3182,3207.25,73200,2844.935
2015-03-24,3220.85,3233.9,3175,3199.45,20200,2838.016
2015-03-25,3200,3213.95,3175.05,3184.05,11400,2824.356
2015-03-26,3196.95,3235,3175.35,3223.45,16500,2859.305
2015-03-27,3220,3287.9,3205,3246.15,22700,2879.44
2015-03-30,3225,3283,3225,3255.15,38800,2887.423
2015-03-31,3227,3273,3217.85,3260.05,56100,2891.77
2015-04-01,3250.05,3266.65,3230.5,3254.15,5100,2886.536
2015-04-02,3254.15,3254.15,3254.15,3254.15,0,2886.536
2015-04-03,3254.15,3254.15,3254.15,3254.15,0,2886.536
2015-04-06,3255,3307.25,3213.05,3229.9,12100,2865.026
2015-04-07,3230,3399,3230,3359.65,38300,2980.118
2015-04-08,3359.45,3388.3,3308.4,3338.8,23100,2961.624
2015-04-09,3338.85,3390,3335.95,3364.85,42000,2984.731
2015-04-10,3369.7,3390,3331,3352.65,23800,2973.909
2015-04-13,3368,3517,3368,3433.05,190700,3045.227
2015-04-14,3433.05,3433.05,3433.05,3433.05,0,3045.227
2015-04-15,3490,3500.25,3275.1,3362.6,68700,2982.735
2015-04-16,3387,3450,3309.95,3420.6,40100,3034.183
2015-04-17,3416.8,3435.05,3345.05,3354.55,19100,2975.595
2015-04-20,3385,3385,3250,3297.45,28900,2924.945
2015-04-21,3275.1,3360,3250,3306.45,39300,2932.928
2015-04-22,3325,3343,3257.8,3291.8,23600,2919.933
2015-04-23,3314.9,3340,3285.4,3297.45,13100,2924.945
2015-04-24,3275.2,3379.85,3232.95,3253.15,19200,2885.649
2015-04-27,3251,3272.85,3136.1,3177.65,27700,2818.678
2015-04-28,3200,3211.7,3140.75,3193,25100,2832.294
2015-04-29,3204,3358,3175,3321.3,40600,2946.101
2015-04-30,3325.9,3364,3264,3315.7,59400,2941.133
2015-05-01,3315.7,3315.7,3315.7,3315.7,0,2941.133
2015-05-04,3327,3353,3256,3349.4,31300,2971.026
2015-05-05,3349,3394.15,3341.15,3379,30700,2997.282
2015-05-06,3369,3378.45,3280.3,3352,137100,2973.333
2015-05-07,3355.5,3441,3313.8,3366.4,84700,2986.106
2015-05-08,3380.25,3400,3310.05,3383.5,96200,3001.274
2015-05-11,3392.1,3415,3376.1,3392.15,135600,3008.947
2015-05-12,3402.55,3510,3382.4,3475.35,38400,3082.748
2015-05-13,3471.5,3560,3440,3479.5,30900,3086.429
2015-05-14,3480,3530,3480,3517.85,21800,3120.447
2015-05-15,3500.05,3534.95,3485.45,3495.65,10700,3100.755
2015-05-18,3570,3570,3412.25,3484.95,52600,3091.263
2015-05-19,3451.2,3555,3451.2,3508.3,63300,3111.976
2015-05-20,3456,3590,3456,3568.45,420300,3165.331
2015-05-21,3584,3593.3,3550,3580.55,241000,3176.064
2015-05-22,3553.1,3645,3553.1,3630.6,87700,3220.46
2015-05-25,3630,3642.85,3570.15,3583.5,14200,3178.681
2015-05-26,3582.05,3612,3562.25,3588.75,6400,3183.337
2015-05-27,3600,3620,3509.55,3593.45,27400,3187.506
2015-05-28,3600,3675,3539.9,3629.65,64400,3219.617
2015-05-29,3585.3,3648.05,3585.3,3631,25100,3220.815
2015-06-01,3630,3630,3565.05,3593.3,15200,3187.374
2015-06-02,3565,3610,3532.1,3545.9,24300,3145.328
2015-06-03,3520.1,3541.95,3475.2,3519.2,15700,3121.644
2015-06-04,3533.55,3540.05,3455.5,3496.1,16300,3101.154
2015-06-05,3475.1,3518.95,3452,3466.45,13500,3074.853
2015-06-08,3450.05,3485.65,3430,3440.75,7100,3052.057
2015-06-09,3429.05,3550,3420,3493.9,36600,3099.202
2015-06-10,3499.8,3533.9,3465.15,3509.35,11200,3112.907
2015-06-11,3508.9,3548,3491.2,3530.7,37600,3131.845
2015-06-12,3550,3656,3481.35,3611.4,70800,3203.429
2015-06-15,3610,3610,3549,3558.35,11900,3156.372
2015-06-16,3560.45,3635,3560.05,3617.6,24200,3208.928
2015-06-17,3620.75,3829.9,3602.25,3754.65,93700,3330.496
2015-06-18,3755,3821.9,3658.05,3760.1,34800,3335.331
2015-06-19,3710.1,3795,3700,3719.55,19900,3299.361
2015-06-22,3711,3788.35,3688,3746.7,11500,3323.444
2015-06-23,3752.25,3808.85,3743,3767.8,11000,3342.161
2015-06-24,3760,3789.95,3735.05,3767.1,23700,3341.54
2015-06-25,3761.15,3789,3690,3775.4,20300,3348.902
2015-06-26,3790,3790,3732.7,3749.25,12000,3325.706
2015-06-29,3631,3725,3631,3703.45,11700,3285.08
2015-06-30,3705,3830,3690,3780.1,16900,3353.071
2015-07-01,3800,3869.9,3780,3846.3,22100,3411.793
2015-07-02,3849.55,3940,3834.95,3926.35,55200,3482.8
2015-07-03,3930,3947,3860,3878,10200,3439.912
2015-07-06,3880,3950,3861.05,3911.95,21600,3470.026
2015-07-07,3950,3958,3860.1,3896.4,32200,3456.233
2015-07-08,3881.9,3940,3810,3881.15,17900,3442.706
2015-07-09,3830,3908.75,3788.55,3798.05,17200,3368.993
2015-07-10,3800,3844,3777,3781.75,12200,3354.535
2015-07-13,3840,3869.9,3779,3846.45,12400,3411.926
2015-07-14,3845.95,3866.5,3800.15,3817.5,18500,3386.246
2015-07-15,3818.5,3858,3817,3823.6,8400,3391.657
2015-07-16,3824,3879.9,3820.3,3826.9,25200,3394.584
2015-07-17,3849,3896.65,3826,3845.1,28500,3410.728
2015-07-20,3883,3883,3845.4,3870.05,9600,3432.86
2015-07-21,3870.05,3900,3805.55,3827.45,14900,3395.072
2015-07-22,3821.85,3889.5,3820.25,3855.7,16500,3420.131
2015-07-23,3855.45,4050.15,3855,3935.75,149100,3491.138
2015-07-24,3955,3988.9,3840,3868,26100,3431.041
2015-07-27,3868,3950,3793.45,3898.5,23400,3458.096
2015-07-28,3917,3944.65,3883.2,3925.25,14100,3481.824
2015-07-29,3937,3981.95,3921.2,3968,33100,3519.745
2015-07-30,3994,4000,3901,3945.5,47900,3499.786
2015-07-31,3910.3,4063.3,3910.3,4046.5,34500,3589.377
2015-08-03,4022,4148,4022,4114.3,80600,3649.517
2015-08-04,4130,4350,4100.1,4264.6,85300,3782.838
2015-08-05,4310,4331.55,4207,4240.35,26300,3761.328
2015-08-06,4265,4294,4165,4211.8,22900,3736.003
2015-08-07,4301.9,4375.65,4247.55,4259.75,129500,3778.536
2015-08-10,4250,4273.45,4225.2,4254.25,42900,3773.658
2015-08-11,4260.1,4273.95,4220.6,4238.55,23700,3759.731
2015-08-12,4231.95,4260.3,4155.15,4198.55,44900,3724.25
2015-08-13,4230,4233,4134.95,4163.85,16000,3693.47
2015-08-14,4165,4270,4153,4203.35,36100,3728.508
2015-08-17,4218,4254.4,4192.05,4235.45,22000,3756.982
2015-08-18,4241.6,4420,4205,4388.9,94300,3893.096
2015-08-19,4444,4444,4307,4356.25,51600,3864.135
2015-08-20,4395,4395,4276,4316.05,66500,3828.476
2015-08-21,4374,4417,4160.75,4375.45,52600,3881.166
2015-08-24,4280.15,4349.9,4040,4071.2,103500,3611.286
2015-08-25,4150,4195.7,3900,4100.2,84800,3637.01
2015-08-26,4099,4199.9,4005.7,4068.5,54700,3608.891
2015-08-27,4074.9,4189.95,4058,4091.9,148900,3629.648
2015-08-28,4115,4179,4011.4,4059.4,38700,3600.819
2015-08-31,4077.95,4231.1,4075.35,4145.65,123300,3677.326
2015-09-01,4145.65,4205,4050,4098.15,51600,3635.192
2015-09-02,4169.9,4169.9,4023,4067.1,49600,3607.65
2015-09-03,3948.9,3983.95,3888,3917.6,66400,3635.957
2015-09-04,3915,3947,3731,3769.7,57500,3498.689
2015-09-07,3778,3865.95,3641.35,3708.3,49200,3441.704
2015-09-08,3777,3777,3656.35,3680.9,36000,3416.273
2015-09-09,3749.9,3824,3713.9,3791.85,49700,3519.247
2015-09-10,3789.95,3860,3726.1,3840.3,46500,3564.214
2015-09-11,3840,3864.9,3786.25,3809.85,31700,3535.953
2015-09-14,3816,3851.25,3776.5,3801.15,37600,3527.878
2015-09-15,3839.95,3842,3712.4,3722.1,30700,3454.511
2015-09-16,3777,3822,3740,3794.3,52500,3521.521
2015-09-17,3794.3,3794.3,3794.3,3794.3,0,3521.521
2015-09-18,3794.3,3840.2,3731.95,3757.05,51300,3486.949
2015-09-21,3739.95,3780,3720,3726,22600,3458.131
2015-09-22,3780,3820.2,3755.5,3790.25,65600,3517.762
2015-09-23,3755,3805.05,3735.55,3781.55,25600,3509.687
2015-09-24,3804,3923.9,3772.3,3856.65,144900,3579.388
2015-09-25,3856.65,3856.65,3856.65,3856.65,0,3579.388
2015-09-28,3899,3909,3817,3849.3,53600,3572.567
2015-09-29,3858,3873.8,3776.75,3844.4,42000,3568.019
