"Date","OIL.NS.Open","OIL.NS.High","OIL.NS.Low","OIL.NS.Close","OIL.NS.Volume","OIL.NS.Adjusted"
2015-01-01,572.249,578.999,571.999,576.549,86600,374.238
2015-01-02,579.999,585.999,576.748,578.948,148900,375.795
2015-01-05,574.999,579.899,560.599,563.849,338500,365.995
2015-01-06,559.849,560.999,532.549,535.199,649500,347.397
2015-01-07,535.999,541.999,529.999,532.799,886800,345.84
2015-01-08,534.999,553.899,534.999,550.299,213800,357.199
2015-01-09,551.999,591.999,542.999,565.199,1419700,366.87
2015-01-12,567.999,567.999,549.999,550.849,470000,357.556
2015-01-13,545.599,548.099,533.999,535.199,1404800,347.397
2015-01-14,540.849,541.999,526.999,529.799,1116600,343.892
2015-01-15,536.999,539.799,529.999,532.148,472000,345.417
2015-01-16,530.499,540.999,522.299,526.999,654600,342.075
2015-01-19,525.999,538.899,525.999,531.748,405000,345.158
2015-01-20,537.999,539.999,532.499,537.148,320400,348.663
2015-01-21,535.249,539.349,531.999,535.699,216200,347.722
2015-01-22,535.249,546.199,535.249,544.148,244300,353.206
2015-01-23,547.999,554.999,545.199,553.199,303000,359.081
2015-01-26,553.199,553.199,553.199,553.199,0,359.081
2015-01-27,553.199,558.399,539.999,543.648,486500,352.882
2015-01-28,545.999,563.099,545.099,562.099,478500,364.858
2015-01-29,560.999,563.849,548.499,551.349,219400,357.881
2015-01-30,553.999,556.899,530.648,534.499,338700,346.943
2015-02-02,536.199,540.899,530.249,533.249,268900,346.132
2015-02-03,539.799,540.999,526.249,531.349,1231500,344.899
2015-02-04,540.999,550.448,536.399,548.748,647700,356.192
2015-02-05,548.849,548.999,538.249,540.049,1169900,350.546
2015-02-06,536.499,552.899,536.499,546.999,477700,355.057
2015-02-09,544.999,553.748,529.999,542.999,811000,352.46
2015-02-10,539.999,546.448,526.999,530.849,435700,344.574
2015-02-11,531.999,536.399,529.099,530.948,155000,344.638
2015-02-12,534.648,535.999,527.999,531.648,252500,345.093
2015-02-13,520.999,525.899,495.099,500.199,1193600,324.679
2015-02-16,504.999,513.899,494.999,498.999,505500,323.9
