"Date","ONGC.NS.Open","ONGC.NS.High","ONGC.NS.Low","ONGC.NS.Close","ONGC.NS.Volume","ONGC.NS.Adjusted"
2015-01-01,340.2495,344.7495,340.0995,344.0505,1849300,205.0885
2015-01-02,344.1,352.5,344.1,349.2,3736400,208.1581
2015-01-05,346.9995,358.0005,346.0005,353.1495,6074600,210.5124
2015-01-06,348.5505,348.9495,330.6,333.15,9024900,198.5907
2015-01-07,333,341.55,328.0995,338.0505,8937600,201.5119
2015-01-08,342.9495,343.8495,335.5005,341.8005,6578900,203.7473
2015-01-09,347.1,356.8995,336.4005,351,13223700,209.2311
2015-01-12,352.05,352.3995,344.4495,347.7,3157500,207.264
2015-01-13,348,348.6,338.2995,339.9495,7395000,202.6439
2015-01-14,340.0005,346.0005,339,344.0505,6704700,205.0885
2015-01-15,349.0005,352.9995,342.6495,346.5,10737900,206.5487
2015-01-16,345,352.0005,343.35,347.1,4284900,206.9063
2015-01-19,349.0995,352.9995,345.7995,347.5005,3049600,207.1451
2015-01-20,351.4995,351.4995,347.2995,350.2995,4842000,208.8135
2015-01-21,350.1495,350.5005,344.1,346.05,8863100,206.2804
2015-01-22,346.9995,354.8505,345.75,352.9005,8061700,210.364
2015-01-23,355.0005,355.9995,347.55,348.7995,6424400,207.9194
2015-01-26,348.7995,348.7995,348.7995,348.7995,0,207.9194
2015-01-27,349.9995,351.6,346.05,350.25,4689800,208.784
2015-01-28,349.9995,356.5005,348.5505,353.8995,7037400,210.9595
2015-01-29,352.0005,355.5,347.5005,351.9,10551200,209.7676
2015-01-30,351.9,355.4505,348.0495,351.3495,6162400,209.4394
2015-02-02,355.0005,357.7995,348.6,349.8495,3717500,208.5453
2015-02-03,352.6005,361.0005,352.0005,359.4495,7617900,214.2678
2015-02-04,366.15,373.8,362.1,368.55,12396300,219.6927
2015-02-05,368.1,368.5005,354.0495,356.6505,3953700,212.5994
2015-02-06,360,361.2495,347.7,351,5834600,209.2311
2015-02-09,349.0995,357.8505,349.0995,356.3505,4045800,212.4205
2015-02-10,355.0005,359.1,351,354.6495,3438300,211.4066
2015-02-11,355.0005,356.4,343.9995,344.9505,3754900,205.625
2015-02-12,346.0005,350.5995,339.3495,346.4505,6518200,206.5191
2015-02-13,339.5505,343.9005,338.25,339.5505,9134700,202.4061
2015-02-16,337.5,344.7,337.0005,340.4505,5713100,202.9425
2015-02-17,340.4505,340.4505,340.4505,340.4505,0,202.9425
2015-02-18,341.3505,343.9005,331.9995,332.5995,7747500,198.2626
2015-02-19,334.0005,335.9505,330.6,333.45,5393900,198.7696
2015-02-20,334.3995,335.8995,330,330.7005,4764100,197.1306
2015-02-23,331.6995,333.5505,323.7,324.8505,4667700,193.6434
2015-02-24,326.1,326.8005,312.6495,315.0495,11394400,187.801
2015-02-25,317.8005,323.3505,315.15,317.1495,7747500,189.0528
2015-02-26,319.9995,322.2,315.5505,319.35,8330000,190.3645
2015-02-27,319.0005,325.9995,319.0005,324.75,10424100,193.5835
2015-03-02,328.8,329.5995,317.4,320.0505,9150900,190.7821
2015-03-03,320.0505,325.9995,316.9995,320.5005,9377200,191.0504
2015-03-04,322.4505,326.7495,318.7995,320.55,12393300,191.0799
2015-03-05,321.0495,321.45,317.4,319.95,5311200,190.7222
2015-03-06,319.95,319.95,319.95,319.95,0,190.7222
2015-03-09,317.85,318.4995,314.1,316.0005,8394500,188.3679
2015-03-10,318,318.9495,308.1495,314.4,10846800,187.4138
2015-03-11,315,316.9005,309,309.4995,7587300,184.4926
2015-03-12,310.9995,313.95,308.8995,312.1995,5494800,186.1021
2015-03-13,313.0995,316.8,311.2995,313.9005,5558400,187.1161
2015-03-16,313.8495,314.5995,311.1,312,3707100,185.9832
2015-03-17,312.1005,315.4995,310.05,314.2005,3799800,187.2949
2015-03-18,315,315.45,307.9995,309.1995,4852000,184.3138
2015-03-19,309.9,313.9005,309.1995,311.8995,5367500,185.9233
2015-03-20,312.1995,313.0005,308.4,311.3505,4793800,185.596
2015-03-23,310.9995,315.3495,310.8495,314.4,4589800,187.4138
2015-03-24,310.6005,315,309,313.3995,3764500,190.452
2015-03-25,315.6495,316.4505,308.7,309.6495,4139600,188.1732
2015-03-26,310.9995,311.4,298.8,301.6005,11858000,183.2818
2015-03-27,302.9505,308.3505,301.3995,304.95,5891900,185.3173
2015-03-30,304.9995,317.4,303.8505,315.1995,6601700,191.5459
2015-03-31,315.9495,319.6005,304.5,306.3495,6853300,186.1678
2015-04-01,307.0005,309.2505,305.5005,306.45,3321500,186.2288
2015-04-02,306.45,306.45,306.45,306.45,0,186.2288
2015-04-03,306.45,306.45,306.45,306.45,0,186.2288
2015-04-06,308.1,318.2505,307.9995,317.25,5556400,192.792
2015-04-07,319.9995,320.5005,315,319.0005,3490800,193.8557
2015-04-08,319.0005,319.0005,311.8995,313.0005,5976200,190.2096
2015-04-09,314.5005,315.7995,308.5005,310.1505,5713200,188.4776
2015-04-10,310.2,315.7995,309.15,309.75,8693300,188.2342
2015-04-13,313.5,313.5,310.0995,311.85,2797100,189.5104
2015-04-14,311.85,311.85,311.85,311.85,0,189.5104
2015-04-15,312.7995,322.6995,311.5005,317.1495,9083700,192.7309
2015-04-16,318.6,328.7505,318.4995,327.6495,9836700,199.1117
2015-04-17,329.5005,332.85,328.0005,330,6401800,200.5401
2015-04-20,329.85,332.8995,316.2,321.7995,4536200,195.5567
2015-04-21,322.6005,327.4005,318.3,320.3505,4822600,194.6761
2015-04-22,321.0495,323.85,309.5505,312.3,7356600,189.7839
2015-04-23,315,315.4005,306.7995,307.95,5199000,187.1404
2015-04-24,310.0005,318.9,307.65,316.8495,7401400,192.5486
2015-04-27,317.9505,317.9505,308.1,309.3495,3309300,187.9909
2015-04-28,309,313.6005,304.05,307.5495,5021300,186.897
2015-04-29,307.5495,309.5505,304.0995,306.3,4445700,186.1377
2015-04-30,306.8505,308.8005,303.1005,304.0005,9699300,184.7403
2015-05-01,304.0005,304.0005,304.0005,304.0005,0,184.7403
2015-05-04,306.1005,330.4995,306.1005,328.35,16873100,199.5374
2015-05-05,331.0005,343.2,328.5,342.15,24530400,207.9236
2015-05-06,339.6,340.8,325.0995,327.9,10301000,199.2639
2015-05-07,330,331.3005,316.5,320.0505,5843100,194.4938
2015-05-08,320.9505,324.4005,313.8495,315.4995,6429100,191.7282
2015-05-11,316.9005,320.8005,315.0495,319.0005,5431500,193.8557
2015-05-12,320.1,320.4495,307.2,309.6495,4464500,188.1732
2015-05-13,312.15,317.7,308.5005,311.1,5646800,189.0546
2015-05-14,312.1005,316.9995,309.15,316.1505,4257000,192.1238
2015-05-15,315.9,319.6995,312.4995,318.9,3325100,193.7947
2015-05-18,320.2995,324.6,319.65,321.75,4586000,195.5266
2015-05-19,319.35,321.3,315.5505,317.5995,4366900,193.0044
2015-05-20,316.9995,319.2495,313.9995,314.55,3059500,191.1512
2015-05-21,316.3995,318.9495,314.4,318.3,3139300,193.43
2015-05-22,323.5005,325.0005,319.2,323.0505,3893300,196.3169
2015-05-25,324,330.75,323.2005,329.55,5574000,200.2666
2015-05-26,330,330.8505,321.4995,322.5,2979900,195.9824
2015-05-27,324,333.3495,320.6505,331.9995,3477900,201.7552
2015-05-28,334.9995,337.2,324.3,327.9,8512100,199.2639
2015-05-29,318,331.8,313.2,329.85,13023600,200.4489
2015-06-01,328.9995,329.8995,322.3995,324.1005,2889500,196.955
2015-06-02,328.7505,328.7505,318.3,320.2995,4511400,194.6451
2015-06-03,320.2995,323.2995,306.4995,307.8495,5149000,187.0793
2015-06-04,309.7995,309.7995,300.2505,301.35,7210400,183.1296
2015-06-05,302.4495,312.45,297.3,308.2005,8311500,187.2926
2015-06-08,310.0005,310.0005,305.1,306.4005,3424800,186.1988
2015-06-09,305.1,306.7995,300.3495,301.4505,3158700,183.1906
2015-06-10,301.9995,307.9995,301.9995,305.3505,4509800,185.5607
