"Date","ORIENTBANK.NS.Open","ORIENTBANK.NS.High","ORIENTBANK.NS.Low","ORIENTBANK.NS.Close","ORIENTBANK.NS.Volume","ORIENTBANK.NS.Adjusted"
2015-01-01,339.5,344.5,337.2,338.15,1034700,329.51
2015-01-02,339,342.4,333.35,334.75,1216500,326.19
2015-01-05,335.4,337.75,330.45,332.75,982100,324.25
2015-01-06,329,331.9,320.6,322.4,1549900,314.16
2015-01-07,322.1,324.6,312.4,314.35,1768600,306.32
2015-01-08,317.25,322.5,315.6,320.55,1688900,312.36
2015-01-09,324,325,314.8,320.9,1324600,312.7
2015-01-12,320.55,330.6,317.45,328.5,1306200,320.1
2015-01-13,330,330.7,318.1,321.15,1315500,312.94
2015-01-14,320.1,324.1,313.6,314.5,1169800,306.46
2015-01-15,330,336,327.7,334.2,3171900,325.66
2015-01-16,336,336,325.5,328.45,1079200,320.06
2015-01-19,330.7,335.45,325.8,327.05,850200,318.69
2015-01-20,327.9,333,326.7,328.65,674800,320.25
2015-01-21,330.4,341.25,328.75,334.05,1929200,325.51
2015-01-22,335.7,337.3,322.5,325.05,1514800,316.74
2015-01-23,330,330.55,319.5,322.15,1014700,313.92
2015-01-26,322.15,322.15,322.15,322.15,0,313.92
2015-01-27,324,325,312,317.7,1158300,309.58
2015-01-28,317.5,318.1,310.5,313.3,1463800,305.29
2015-01-29,312.35,315.1,267.05,281.15,7308000,273.96
2015-01-30,280.6,282.7,264.3,265.65,5473100,258.86
2015-02-02,262.55,270.5,261.65,265.05,2393000,258.28
2015-02-03,265.5,269.8,260,266.3,3710200,259.49
2015-02-04,268,268.75,260.15,261.7,1581900,255.01
2015-02-05,262,263.5,244,248.35,2253200,242
2015-02-06,249.2,253.95,244.2,246.5,2568000,240.2
2015-02-09,245,247.1,230,231.55,1746900,225.63
2015-02-10,230.5,241.9,228.25,234,2385900,228.02
2015-02-11,235.25,242.65,233.85,241.7,2462400,235.52
2015-02-12,243,243.4,232.2,234.1,1430300,228.12
2015-02-13,236.3,247.25,234.05,243.6,2691700,237.37
2015-02-16,245.3,248.8,238.55,240.55,1343600,234.4
2015-02-17,240.55,240.55,240.55,240.55,0,234.4
2015-02-18,242,243,237.1,240.35,1282300,234.21
2015-02-19,241.75,242.35,233.35,237.6,1240900,231.53
2015-02-20,238.5,248.7,236.1,243.4,1650400,237.18
2015-02-23,245,245.2,236.8,239.05,875000,232.94
2015-02-24,240,243.9,236.65,240.4,1001500,234.26
2015-02-25,241.4,243.5,236.2,236.95,882100,230.89
2015-02-26,237.7,238.75,228.25,229.15,1772800,223.29
2015-02-27,231.5,242.65,230.75,241.05,1882700,234.89
2015-03-02,243,245,237.3,241.4,1233600,235.23
2015-03-03,241.9,256.75,240.1,254.4,1940100,247.9
2015-03-04,262.9,265,244,246.35,2829100,240.05
2015-03-05,247,247.5,238.8,242.55,1561700,236.35
2015-03-06,242.55,242.55,242.55,242.55,0,236.35
2015-03-09,240,240.9,234.7,236.1,988300,230.07
2015-03-10,236.85,239.9,234.3,236.35,812200,230.31
2015-03-11,236.2,241.9,233.6,234,1681400,228.02
2015-03-12,236,240.45,235.8,238.3,688400,232.21
2015-03-13,240.8,241.8,232.2,234.1,1049100,228.12
2015-03-16,235.35,237.15,231.75,234.4,755700,228.41
2015-03-17,235.65,237.4,231,235,1018900,228.99
2015-03-18,235.5,240.7,233.55,237,859500,230.94
2015-03-19,240,241.5,224.2,226.8,1476800,221
2015-03-20,226.25,229,222.2,223.3,2004500,217.59
2015-03-23,225.1,225.15,219.2,221.15,1266800,215.5
2015-03-24,220.85,223.8,217.85,218.7,1367400,213.11
2015-03-25,218.5,220.45,213,214,1610900,208.53
2015-03-26,211.9,215.5,207,208.1,1688300,202.78
2015-03-27,210.1,210.95,200.2,208.55,2068000,203.22
2015-03-30,210.3,211.6,206.2,210,1203200,204.63
2015-03-31,211.3,211.45,203.75,204.6,1717200,199.37
2015-04-01,203.95,211.1,202.8,210.3,1931900,204.93
2015-04-02,210.3,210.3,210.3,210.3,0,204.93
2015-04-03,210.3,210.3,210.3,210.3,0,204.93
2015-04-06,212,212,205.1,207.8,1611500,202.49
2015-04-07,209,211.3,203.85,205.05,2237400,199.81
2015-04-08,206.1,207.2,201.05,201.65,2171700,196.5
2015-04-09,204.1,214.15,202.25,212.05,3049700,206.63
2015-04-10,212.85,222,211.05,220.95,2309500,215.3
2015-04-13,220.75,224.1,218.1,220.7,1640500,215.06
2015-04-14,220.7,220.7,220.7,220.7,0,215.06
2015-04-15,221.4,235.3,220.65,229.3,3127400,223.44
2015-04-16,230,233,225.15,228.25,2490600,222.42
2015-04-17,227.5,234.25,225.25,229.2,1486900,223.34
