"Date","PAGEIND.NS.Open","PAGEIND.NS.High","PAGEIND.NS.Low","PAGEIND.NS.Close","PAGEIND.NS.Volume","PAGEIND.NS.Adjusted"
2015-01-01,11681,12400,11681,12334.4,13000,12153.98
2015-01-02,12351,12539,12350,12419.7,13200,12238.04
2015-01-05,12400,12400,11920,12080.8,9300,11904.09
2015-01-06,12100,12239.7,11550,11639.8,11700,11469.54
2015-01-07,11639,11639.8,11352,11388.6,9300,11222.02
2015-01-08,11650,11650,11000,11194.2,16200,11030.46
2015-01-09,11205.2,11445,10951,11031.2,11000,10869.85
2015-01-12,11139.7,11198,10870,10974.4,11500,10813.88
2015-01-13,10975,11320,10850,10870.5,10600,10711.5
2015-01-14,10852.2,11100,10680,10839.5,12500,10680.95
2015-01-15,10816,11000,10760.5,10909.7,10400,10750.12
2015-01-16,10855.1,11735,10855.1,11646.5,21100,11476.15
2015-01-19,11634.5,12000,11630,11782.2,11500,11609.86
2015-01-20,11732.2,11887,11510.2,11615.5,9900,11445.6
2015-01-21,11581,11880,11581,11712.5,9000,11541.18
2015-01-22,11660.2,11840,11660.2,11783.3,10200,11610.95
2015-01-23,11829.7,11946,11724,11893.6,13500,11719.63
2015-01-26,11893.6,11893.6,11893.6,11893.6,0,11719.63
2015-01-27,11900,12006,11675,11875,15400,11701.3
2015-01-28,11918.3,12000,11660,11869.6,7900,11695.98
2015-01-29,11890,11911,11575,11653.4,6200,11482.95
2015-01-30,11680,11878.7,11653,11795,4900,11622.47
2015-02-02,11800,11999,11700,11805.2,3800,11632.53
2015-02-03,11845,12030,11753.2,11997.5,8400,11822.01
2015-02-04,12069,12100,11816,11911.1,4100,11736.88
2015-02-05,11820,11980,11662,11800.3,3200,11627.7
2015-02-06,11781,11851,11582,11644,5700,11473.68
2015-02-09,11644,11734.7,11205,11265.8,7500,11101.01
2015-02-10,11265,11485,11153.1,11463,5000,11295.33
2015-02-11,11501.5,11797,11501.5,11709.1,2900,11537.83
2015-02-12,11839,12044,11565,11770.6,15100,11598.43
2015-02-13,11800,11965,11721.2,11766.8,8700,11594.69
2015-02-16,11900,12000.1,11711,11760,9700,11605.74
2015-02-17,11760,11760,11760,11760,0,11605.74
2015-02-18,11801,11920,11603,11775.7,74700,11621.23
2015-02-19,11804.7,11850,11609.5,11776.5,9200,11622.02
2015-02-20,11848.7,11888.7,11655,11783.2,3000,11628.64
2015-02-23,11671.1,11824.7,11575.8,11647.4,2100,11494.62
2015-02-24,11709.6,11998,11490,11761.5,7200,11607.22
2015-02-25,11790,11793.9,11550,11626.8,4500,11474.29
2015-02-26,11739.7,11739.7,11335,11463.5,3200,11313.13
2015-02-27,11547.5,11725,11405,11599.7,3700,11447.54
2015-03-02,11949,12050,11600.2,11961.7,19300,11804.79
2015-03-03,11998,12488,11810,12196.9,30900,12036.91
2015-03-04,12292,12940,11968,12437.5,27200,12274.35
2015-03-05,12499.7,13187,12451,13058.7,12600,12887.4
2015-03-06,13058.7,13058.7,13058.7,13058.7,0,12887.4
2015-03-09,13000,13500,12791.7,13171.2,14200,12998.43
2015-03-10,13170,13339,12900,13096.9,5900,12925.1
2015-03-11,13150,13150,12700,12845.5,3300,12677
2015-03-12,12888.7,13358,12820.3,13316.8,8300,13142.12
2015-03-13,13498.7,13720,13200,13495,8500,13317.98
2015-03-16,13500,13575,13300,13480.5,5000,13303.67
2015-03-17,13500,13600,13462,13578.3,5600,13400.19
2015-03-18,13659.7,13977,13523,13774.8,6000,13594.11
2015-03-19,13888,14233,13770.3,14050.2,9500,13865.9
2015-03-20,14100,14774,14100,14444.7,23100,14255.22
2015-03-23,14450,14599,13627.3,13998.1,8400,13814.48
2015-03-24,14148.7,14300,13005.5,13400.1,13100,13224.33
2015-03-25,13500,13850.5,13500,13798.8,5300,13617.8
2015-03-26,13709.2,14254,13621.2,14136.5,7300,13951.07
2015-03-27,14388.7,14388.7,13760.2,14173.3,5600,13987.38
2015-03-30,14297,14400,13834,13963.4,5800,13780.24
2015-03-31,14025,14072.2,13670,13731,4200,13550.89
2015-04-01,13702,14400,13702,14355.4,6900,14167.1
2015-04-02,14355.4,14355.4,14355.4,14355.4,0,14167.1
2015-04-03,14355.4,14355.4,14355.4,14355.4,0,14167.1
2015-04-06,14468.7,14468.7,14096.5,14184.4,2900,13998.34
2015-04-07,13956.2,14229.2,13599.7,13719.2,14200,13539.24
2015-04-08,13800,14090,13721,14008.5,4300,13824.75
2015-04-09,14125,14345,13901.1,14203.8,26100,14017.48
2015-04-10,14202,14345,14005,14141.5,3200,13956
2015-04-13,14142,14142,13704,13736,6400,13555.82
2015-04-14,13736,13736,13736,13736,0,13555.82
2015-04-15,13750,13750,13603,13674.8,20200,13495.42
2015-04-16,13705,13706.3,13201,13413.5,7800,13237.55
2015-04-17,13410,13410.3,12750,12871.3,8500,12702.46
2015-04-20,13088.7,13230,12530,13033.8,10600,12862.83
2015-04-21,13239.7,13500,13030,13419.9,4900,13243.87
2015-04-22,13498.7,13598,13000,13298,5300,13123.57
2015-04-23,13515,13515,12780,12881,4500,12712.04
2015-04-24,12901.8,13273,12895,13086.8,8100,12915.14
2015-04-27,13080,13150,12590,12880,4100,12711.05
2015-04-28,12900.2,13235,12602,13139.9,4800,12967.54
2015-04-29,13001.2,13755,12801.2,13660.7,4400,13481.51
2015-04-30,13261.2,14000,13261.2,13654,4900,13474.9
2015-05-01,13654,13654,13654,13654,0,13474.9
2015-05-04,13700,14064,13550,14004.5,5100,13820.8
2015-05-05,13995,14198,13700,14074.5,4500,13889.88
2015-05-06,14000,14100,13705.2,14047,4300,13862.74
2015-05-07,14047,14249,13500,13764.6,4700,13584.04
2015-05-08,13605,13948.7,13210,13303.2,6300,13128.7
2015-05-11,13400,13800,13335.1,13685.1,3400,13505.59
2015-05-12,13750,13750,13301.2,13432.1,3000,13255.91
2015-05-13,13498.3,13700,13356,13516.2,3600,13338.9
2015-05-14,13599,13761,13300,13716.7,3600,13536.77
2015-05-15,13724.8,13999,13724.8,13917.3,3000,13734.74
2015-05-18,13998.9,14700,13938.8,14641.7,11000,14449.64
2015-05-19,14700,15276,14670.1,14772.8,12000,14579.02
2015-05-20,14804.8,15188,14600,14815,4900,14620.67
2015-05-21,14939.7,15086,14640,14699.2,3700,14506.39
2015-05-22,14700,15050,14700,14792,4700,14597.97
2015-05-25,14801.3,14945,14705,14842.7,5400,14648
2015-05-26,14930,15098.7,14601.2,14656,4600,14463.75
2015-05-27,14665,14758.7,14276,14513.3,6600,14322.92
2015-05-28,14514.5,15444,14513,15213.2,10700,15013.64
2015-05-29,15405,16500,15405,16204.8,39500,15992.24
2015-06-01,16299,17000,16097,16879.8,24800,16658.38
2015-06-02,17000,17000,15381,15566,41800,15361.81
2015-06-03,15590,15640,14650,15275,22400,15074.63
2015-06-04,15525,15755.2,15210.1,15704,17900,15517.31
2015-06-05,15699,15900,15399,15602.5,14300,15417.01
2015-06-08,15602,15602,14880,14929.1,16000,14751.62
2015-06-09,14930,14930,14230,14577.7,15300,14404.4
2015-06-10,14500,14917,14412.9,14835.2,14200,14658.84
2015-06-11,14940,14990,13930,14022.5,17500,13855.8
