"Date","PCJEWELLER.NS.Open","PCJEWELLER.NS.High","PCJEWELLER.NS.Low","PCJEWELLER.NS.Close","PCJEWELLER.NS.Volume","PCJEWELLER.NS.Adjusted"
2015-01-01,218,219,213.1,215.5,110100,212.32
2015-01-02,215.5,217.8,214.35,215.5,97800,212.32
2015-01-05,215.5,216.85,211.4,212.7,69700,209.56
2015-01-06,212.2,212.2,205.15,210.1,181000,207
2015-01-07,208.5,228.6,208.5,214.85,289100,211.68
2015-01-08,215,223.65,213,214.7,214600,211.53
2015-01-09,219.4,219.4,205.4,208.45,95300,205.37
2015-01-12,210.45,214.75,210,211.35,79900,208.23
2015-01-13,211,222.4,209.8,220.65,310800,217.39
2015-01-14,222.55,226.4,221,223.85,252400,220.54
2015-01-15,234.9,246.5,231.55,234.15,603300,230.69
2015-01-16,232,248.5,229,242,491000,238.43
2015-01-19,242.5,244.15,236.7,239.55,145100,236.01
2015-01-20,239.5,242.65,238.25,239.95,84200,236.41
2015-01-21,238.8,263.65,238.8,258.15,1537500,254.34
2015-01-22,258.75,264.5,255.1,260.5,437900,256.65
2015-01-23,260.2,264.6,255.15,262.7,187500,258.82
2015-01-26,262.7,262.7,262.7,262.7,0,258.82
2015-01-27,263,264.5,251.35,253.3,141900,249.56
2015-01-28,253,262.7,253,260.05,201300,256.21
2015-01-29,258,262.75,250.1,254.5,418400,250.74
2015-01-30,255.75,274.8,254.75,270.65,425500,266.65
2015-02-02,271.8,283.5,270.7,276.2,420300,272.12
2015-02-03,278.4,281.4,267.2,269.35,133200,265.37
2015-02-04,268,269.15,258.85,261.85,145900,257.98
2015-02-05,261.85,274,256.1,270.55,548000,266.55
2015-02-06,276,278,240.1,245,2339000,241.38
2015-02-09,247.25,253.7,239.5,241,355500,237.44
2015-02-10,239,246.05,235,237.1,177500,233.6
2015-02-11,237.9,243.5,237.9,241.8,121200,238.23
2015-02-12,244.8,246.65,238,238.75,176800,235.22
2015-02-13,240.8,242.55,226,234.8,181300,231.33
2015-02-16,236.65,239.8,233.1,235,91000,231.53
2015-02-17,235,235,235,235,0,231.53
2015-02-18,237.2,248,235.1,243.65,256200,240.05
2015-02-19,253,258,247.2,250.35,564000,246.65
2015-02-20,251.5,259.4,248.8,256.55,353700,252.76
2015-02-23,256,271.2,217.65,256.4,10122400,252.61
2015-02-24,266,274.4,261,263.1,1753800,259.21
2015-02-25,265.95,271,256.05,260.25,486500,256.41
2015-02-26,260.65,265,257,262.6,170600,258.72
2015-02-27,260.1,274.95,260.1,272.7,932700,268.67
2015-03-02,255,270.7,255,268.75,481600,264.78
2015-03-03,268.9,268.9,262.05,264.65,148000,260.74
