"Date","PEL.NS.Open","PEL.NS.High","PEL.NS.Low","PEL.NS.Close","PEL.NS.Volume","PEL.NS.Adjusted"
2015-01-01,832.6,839.8,825.5,832.8,12800,799.5704
2015-01-02,831.95,847.25,831.95,839.5,25500,806.0031
2015-01-05,839.6,844.5,830,838.1,20200,804.6589
2015-01-06,834.8,836,814.85,827.2,32500,794.1939
2015-01-07,819.6,838.85,819.6,835.25,19900,801.9227
2015-01-08,840.6,844.5,826,840.4,22200,806.8672
2015-01-09,844.5,844.5,834.75,842.05,12500,808.4513
2015-01-12,840.55,840.55,829.5,831.75,10800,798.5623
2015-01-13,844.5,845,828,840.35,39600,806.8192
2015-01-14,842,875,831,836.9,70500,803.5069
2015-01-15,854.95,854.95,822.35,831.65,34200,798.4663
2015-01-16,854.85,864.9,842.65,848.7,119900,814.836
2015-01-19,857,862.65,841.3,845.35,29000,811.6197
2015-01-20,848,854.45,831.7,834.4,44500,801.1066
2015-01-21,837,847.7,831,833.25,28200,800.0025
2015-01-22,834,851,826.6,829.65,43300,796.5461
2015-01-23,832.95,849.95,829.2,834.95,61000,801.6347
2015-01-26,834.95,834.95,834.95,834.95,0,801.6347
2015-01-27,835.4,850,832,835.35,248100,802.0187
2015-01-28,841.35,854,841.35,846.6,115200,812.8198
2015-01-29,844.75,849.95,835,836.55,246500,803.1708
2015-01-30,836.55,840,828.95,833.85,73900,800.5785
2015-02-02,833.25,854,833.25,836.85,54300,803.4588
2015-02-03,836,843.9,823.7,829.15,226300,796.0661
2015-02-04,827.05,835.4,827.05,829.05,18600,795.97
2015-02-05,831.85,850.7,830.75,837.85,246500,804.4189
2015-02-06,837.55,854,830.1,833.85,45700,800.5785
2015-02-09,837,862,820.95,849.65,112700,815.7481
2015-02-10,856,857,825,828.25,37200,795.202
2015-02-11,830,849.4,827,840.45,28400,806.9152
2015-02-12,843,843,829,833.1,23600,799.8584
2015-02-13,833.25,865.45,833,857.3,44300,823.0928
2015-02-16,860,870,841,849.05,36000,815.172
2015-02-17,849.05,849.05,849.05,849.05,0,815.172
2015-02-18,852,865,849.6,862.4,27200,827.9894
2015-02-19,865,875,859,863.15,18700,828.7095
2015-02-20,866,868,855,866.4,15000,831.8298
2015-02-23,869,948,863,906,381100,869.8497
2015-02-24,912.85,918.95,871.6,880.85,246600,845.7032
2015-02-25,884,911.95,877.5,884.8,561200,849.4956
2015-02-26,885.5,921,867.95,910.6,62000,874.2661
2015-02-27,913,915,885.75,906.35,114200,870.1857
2015-03-02,890.5,901.75,880.15,889.9,75300,854.3921
2015-03-03,882,909.5,882,898.8,58000,862.937
2015-03-04,900.15,910.4,882.5,891.55,29100,855.9762
2015-03-05,894.95,917.35,884.05,910.95,39600,874.6022
2015-03-06,910.95,910.95,910.95,910.95,0,874.6022
2015-03-09,908,908,876.05,881.75,49100,846.5673
2015-03-10,884,889.9,852.4,857.25,52700,823.0449
2015-03-11,857.25,864.4,835,838.7,56900,805.235
2015-03-12,842,860,840.35,851.2,45600,817.2363
2015-03-13,854,856.05,833,851.25,179500,817.2843
2015-03-16,854,855,831,834.25,284900,800.9626
2015-03-17,840,899,838.8,884.05,223800,848.7755
2015-03-18,898.95,918,866,877.65,101100,842.6309
2015-03-19,888,890,876.05,879.45,60600,844.3591
2015-03-20,875.85,899,858.55,888.95,104300,853.48
2015-03-23,890,890,860,862.6,37400,828.1814
2015-03-24,877,877,852.25,854.3,86500,820.2125
2015-03-25,862.7,877,854,861,300200,826.6452
2015-03-26,855,870,846.4,858.05,59500,823.8129
2015-03-27,860,864.5,840.5,858.95,86700,824.677
2015-03-30,860,872.9,854.5,866.25,42300,831.6857
2015-03-31,857.05,880,857.05,870.95,184100,836.1982
2015-04-01,876,885.8,869,878.55,259500,843.4949
2015-04-02,878.55,878.55,878.55,878.55,0,843.4949
2015-04-03,878.55,878.55,878.55,878.55,0,843.4949
2015-04-06,880,904,875,884.75,53800,849.4476
2015-04-07,886.05,904,875,900.6,54600,864.6651
2015-04-08,900,911.5,891,901,74400,865.0492
2015-04-09,909.85,918,883.1,913.65,72300,877.1945
2015-04-10,919,941.5,904.55,921.35,124400,884.5872
2015-04-13,922,994,916.25,980.75,152700,941.6171
2015-04-14,980.75,980.75,980.75,980.75,0,941.6171
2015-04-15,987,1013.85,960,967.25,149100,928.6557
2015-04-16,967.25,983,954.1,971.05,73400,932.3041
2015-04-17,976.25,979,925,943.45,48100,905.8054
2015-04-20,940,964,933.85,945.25,47100,907.5336
2015-04-21,958,958,932.05,940.4,101600,902.8771
2015-04-22,940.4,950,936.5,945,53600,907.2935
2015-04-23,958,967.8,930.3,955.15,34600,917.0386
2015-04-24,945,962.75,940,949.95,29000,912.046
2015-04-27,959,959,925.65,935.35,50700,898.0286
2015-04-28,949.9,990,921.8,980.6,57100,941.473
2015-04-29,967.05,987.95,945.05,952.9,69400,914.8783
2015-04-30,970,970,928.5,938.1,104400,900.6688
2015-05-01,938.1,938.1,938.1,938.1,0,900.6688
2015-05-04,937.8,951.7,927.2,944,40400,906.3334
2015-05-05,938,990,931.6,982.2,65700,943.0092
2015-05-06,967,991.95,941,956.55,55900,918.3827
2015-05-07,961.65,963.75,941,953.4,67900,915.3584
2015-05-08,985,999.95,957,978.7,159000,939.6489
2015-05-11,978.7,1019.95,953.7,1013.2,140500,972.7723
2015-05-12,1019,1019,975,984.75,70900,945.4575
2015-05-13,996,996,957.2,962.25,71700,923.8552
2015-05-14,969.9,994,964.2,987.4,27600,948.0018
2015-05-15,988.1,1008.15,980,1002.9,57100,962.8833
2015-05-18,1009,1019.9,990,1014.75,39500,974.2604
2015-05-19,1005,1039.95,1005,1035.1,63800,993.7984
2015-05-20,1040,1044.5,1010,1023.95,81900,983.0934
2015-05-21,1015,1019.85,992.05,1001.7,36200,961.7312
2015-05-22,1017.8,1017.95,981,988.3,61100,948.8658
2015-05-25,983.6,1005,983.6,991.5,30500,951.9381
2015-05-26,998,998.3,975.1,994.3,63400,954.6264
2015-05-27,999.9,999.9,977,992.05,91900,952.4662
2015-05-28,1017.95,1017.95,975.05,994.9,93000,955.2025
2015-05-29,1006.9,1006.9,915,934.45,371100,897.1645
2015-06-01,928,959.7,911.6,953.8,87700,915.7424
2015-06-02,947,965,943,953.4,78500,915.3584
2015-06-03,964.95,967,945,962.25,40300,923.8552
2015-06-04,952.5,979.7,952.5,976.15,52600,937.2006
2015-06-05,980.1,988,971.55,985.35,54600,946.0335
2015-06-08,966.05,984.65,955,960,37000,921.695
2015-06-09,958,966,955.1,961.2,22200,922.8472
2015-06-10,965,969.95,958,962.95,58400,924.5273
