"Date","PETRONET.NS.Open","PETRONET.NS.High","PETRONET.NS.Low","PETRONET.NS.Close","PETRONET.NS.Volume","PETRONET.NS.Adjusted"
2015-01-01,208.45,214.4,208.45,211.35,1090000,207.43
2015-01-02,211.7,213.4,210.2,211.2,761100,207.28
2015-01-05,211.15,214.5,210.35,212,2006700,208.07
2015-01-06,210,211.5,204,205.45,2287100,201.64
2015-01-07,205.1,210.9,204.35,209.6,805100,205.71
2015-01-08,210.25,221.9,210.25,217.2,2594600,213.17
2015-01-09,219.55,219.55,211,213.9,1327000,209.93
2015-01-12,212.25,214.9,205.4,206.85,3030800,203.01
2015-01-13,206.5,210.5,206.1,207.25,1158800,203.41
2015-01-14,207.25,210.4,201.75,203.2,7579900,199.43
2015-01-15,204,204.85,197.4,201.2,1918700,197.47
2015-01-16,202.8,202.95,196.75,197.6,1700300,193.93
2015-01-19,197.9,198.75,194.6,195.55,2260300,191.92
2015-01-20,195.75,199,194.7,195.75,3762200,192.12
2015-01-21,196.3,197.05,190.85,193.8,2644200,190.21
2015-01-22,194.1,195.7,187.4,188.85,2977700,185.35
2015-01-23,189.5,190.95,187.05,188.5,890500,185
2015-01-26,188.5,188.5,188.5,188.5,0,185
2015-01-27,189.35,191.9,187.55,190.4,2504600,186.87
2015-01-28,190.6,192.9,189.05,189.75,1726800,186.23
2015-01-29,189.5,190.95,186.8,187.7,1467300,184.22
2015-01-30,188.75,188.75,176.65,179.85,1799900,176.51
2015-02-02,180.25,182.85,178.1,180.65,2756100,177.3
2015-02-03,181.5,184.5,180.6,181.55,3151600,178.18
2015-02-04,183.25,187.75,180.6,185.85,3341600,182.4
2015-02-05,187.9,187.9,180.8,184.15,3323100,180.73
2015-02-06,181.35,186,179.1,184.2,4528800,180.78
2015-02-09,182.5,186.1,181.35,181.95,1069900,178.58
2015-02-10,181.25,185.4,180,183.6,1105300,180.19
2015-02-11,184.85,191.2,183.85,189.65,1461100,186.13
2015-02-12,192.55,192.55,188,190.5,2016000,186.97
2015-02-13,191,192.5,186.25,187.6,1086000,184.12
2015-02-16,187.95,187.95,182,182.9,805400,179.51
2015-02-17,182.9,182.9,182.9,182.9,0,179.51
2015-02-18,183.05,183.5,177.8,178.8,1422100,175.48
2015-02-19,179.1,180.5,177.4,178.9,1262600,175.58
2015-02-20,179,179.2,175.85,176.95,627300,173.67
