"Date","PFC.NS.Open","PFC.NS.High","PFC.NS.Low","PFC.NS.Close","PFC.NS.Volume","PFC.NS.Adjusted"
2015-01-01,301.4,306.9,298.25,305.85,2617400,119.36
2015-01-02,306.35,314.9,304.55,306.8,6129000,119.731
2015-01-05,307.6,311.5,303.8,304.45,3729200,118.813
2015-01-06,301.35,302,286,287.75,5914100,112.296
2015-01-07,288,290.4,275.5,277.6,8843600,108.335
2015-01-08,283.6,284.6,273.1,279.5,9176200,109.077
2015-01-09,282.9,283.8,278.6,280.7,4932700,109.545
2015-01-12,281,284.5,274.3,283.45,2781600,110.618
2015-01-13,283,284.5,273.6,275.3,3150300,107.438
2015-01-14,275.95,281.8,275,280.1,3759300,109.311
2015-01-15,286.1,295.7,283,291.5,9351300,113.76
2015-01-16,291.5,294.9,286.75,290.7,3910600,113.447
2015-01-19,292,299,292,293,5594000,114.345
2015-01-20,295.7,297.4,288.05,289.8,3886500,113.096
2015-01-21,290,294.8,283,286.4,6937600,111.769
2015-01-22,285,289.65,276.5,279.5,5142300,109.077
2015-01-23,283,287.9,275.6,281.5,7237400,109.857
2015-01-26,281.5,281.5,281.5,281.5,0,109.857
2015-01-27,283.1,285.5,276.2,282.75,3657300,110.345
2015-01-28,283,294,281.3,292.65,7371200,114.208
2015-01-29,293.5,300.5,291,296,10054400,115.516
2015-01-30,297.95,305.9,294.1,298.45,7519300,116.472
2015-02-02,298.05,311.95,296.6,309.85,8801900,120.921
2015-02-03,312,313.5,285,286.95,7103100,111.984
2015-02-04,287.2,293.6,280.5,281.2,8003300,109.74
2015-02-05,281.2,287.65,277.75,279.5,3833400,109.077
2015-02-06,280,286,276.3,283.25,3341800,110.54
2015-02-09,281.25,281.25,274.2,277.15,2645700,108.159
2015-02-10,275.5,287,273.55,284.6,4697400,111.067
2015-02-11,285.6,287.7,277.4,281.05,4918000,109.681
2015-02-12,282.5,286,278.25,282.35,2958300,110.189
2015-02-13,279.95,282.9,273.3,274.7,7527800,107.203
2015-02-16,276.5,283.35,275.05,281.7,4980200,109.935
2015-02-17,281.7,281.7,281.7,281.7,0,109.935
2015-02-18,281.7,282.3,274.15,275.15,3329100,107.379
2015-02-19,277.45,278.7,270,275.75,3819200,107.613
2015-02-20,277.25,282,273.05,278.3,3405900,108.608
2015-02-23,280.35,281,271.6,273,3375700,106.54
2015-02-24,273.5,274.75,268.35,270.3,4013400,105.486
2015-02-25,272.5,274.5,270.6,273,2898700,106.54
2015-02-26,274.4,280.2,272.15,279,6022200,108.881
2015-02-27,281,294.95,276.9,293.65,7333200,114.599
2015-03-02,295.6,311,293.5,308.7,8398600,120.472
2015-03-03,309.15,313.2,302,306.15,7971600,119.477
2015-03-04,304,306.85,290.5,292.5,6635200,120.861
2015-03-05,294.2,297.35,290.85,294.9,5956500,121.853
2015-03-06,294.9,294.9,294.9,294.9,0,121.853
2015-03-09,293.4,295.4,287.15,289.6,3587700,119.663
2015-03-10,291.15,293,283.55,285.3,3071000,117.886
2015-03-11,285,291.8,282.2,287.25,4978700,118.692
2015-03-12,289,291.8,287.3,289.45,3599100,119.601
2015-03-13,292,292,270.75,272.35,4316100,112.535
2015-03-16,273.05,279.45,269.55,271.2,2555500,112.06
2015-03-17,273.95,281,272.1,278.7,8633500,115.159
2015-03-18,280.4,286.35,276.15,283.4,4684500,117.101
2015-03-19,286.7,289.8,278.7,280.6,4326100,115.944
2015-03-20,281.6,288.2,273.2,275,4399800,113.63
2015-03-23,277.5,279.35,271.75,275.95,2984100,114.023
2015-03-24,275.95,281.9,275.75,279.05,2457100,115.304
2015-03-25,281,282.25,275.8,280.4,3769000,115.861
2015-03-26,277.85,281.45,269.5,270.55,5982000,111.791
2015-03-27,271,274.8,257.4,264.3,4570800,109.209
2015-03-30,266,272.5,265.3,271.35,2202700,112.122
2015-03-31,272.25,276.65,271,273.05,2929900,112.824
2015-04-01,275.1,284.9,272.5,282.65,3225500,116.791
2015-04-02,282.65,282.65,282.65,282.65,0,116.791
2015-04-03,282.65,282.65,282.65,282.65,0,116.791
2015-04-06,286.8,286.8,274.85,278.1,3762800,114.911
2015-04-07,273.8,274,268.9,273.25,2999100,112.907
2015-04-08,275.15,280.95,272.25,277.95,3887300,114.849
2015-04-09,285.3,288.55,280.75,287.6,4031500,118.836
2015-04-10,287.6,292.2,284.55,287.6,4983000,118.836
2015-04-13,288,288.8,283.6,286.6,2761400,118.423
2015-04-14,286.6,286.6,286.6,286.6,0,118.423
2015-04-15,288.45,289,277,279.65,3550000,115.551
2015-04-16,280.8,281.1,272.05,275.3,3537000,113.754
2015-04-17,275.5,280,273.45,278.4,2659600,115.035
2015-04-20,278.9,279.9,273.5,275.95,2655600,114.023
2015-04-21,276.95,278.5,269.45,275.7,2686000,113.919
2015-04-22,276.9,277.8,272.7,276.3,2657900,114.167
2015-04-23,278.15,282,274.9,276.2,3042700,114.126
2015-04-24,277.5,277.5,271.5,272.95,2266700,112.783
2015-04-27,274.5,274.7,267,271.25,2834300,112.081
2015-04-28,271.1,275.9,266.95,270.8,4380200,111.895
2015-04-29,271.5,272.5,261.3,263.6,5277200,108.92
2015-04-30,262.6,267.9,255.05,265.65,6568900,109.767
2015-05-01,265.65,265.65,265.65,265.65,0,109.767
2015-05-04,266,275.85,266,274.75,3476600,113.527
2015-05-05,275,279.65,272.65,276.25,4405300,114.147
2015-05-06,278,278,257.9,270.95,8482400,111.957
2015-05-07,271.3,271.3,249.8,252.6,4623800,104.374
2015-05-08,256,261.75,255.15,256.45,3973900,105.965
2015-05-11,257.1,265.7,252,264.8,4793100,109.415
2015-05-12,264.95,265.55,255.9,260.8,6398100,107.763
2015-05-13,262.05,266.6,256.15,265.1,2573100,109.539
2015-05-14,264.9,272,261.65,270.35,2698200,111.709
2015-05-15,272,273.15,264.7,269.8,2757100,111.481
2015-05-18,271.5,274.4,268.1,272.95,1763600,112.783
2015-05-19,271,275,268.4,270.6,1968400,111.812
2015-05-20,273,275.8,271.25,273.05,2006300,112.824
2015-05-21,273.05,275.6,270.05,272.75,3669000,112.7
2015-05-22,273,279.65,272.6,277.85,2720100,114.808
2015-05-25,276.2,282.85,274.45,281.05,1741700,116.13
2015-05-26,280.95,281.75,274.45,276.25,1343200,114.147
2015-05-27,272.4,279.4,271.4,277.25,1689400,114.56
2015-05-28,277.25,283.4,273,280.4,5777900,115.861
2015-05-29,282.9,282.9,271.9,272.6,3811800,112.638
2015-06-01,272,272,267.2,270.05,3381200,111.585
2015-06-02,270,271.85,266.25,267.75,4249500,110.634
2015-06-03,269.15,269.15,256,260.85,3510200,107.783
2015-06-04,263,263,251.05,255.75,2998400,105.676
2015-06-05,255.9,264.5,253,263.25,3833600,108.775
2015-06-08,263.3,264.85,255.4,260.4,2276100,107.597
2015-06-09,258.1,265,257.8,261.15,1672900,107.907
2015-06-10,262.9,268.95,262,264.65,3042700,109.353
2015-06-11,266.2,268.3,256,258,2548900,106.606
2015-06-12,256,262.2,255.55,258.95,1548000,106.998
2015-06-15,258.6,264.8,257.75,261.55,1735600,108.073
2015-06-16,262.7,264.95,261.25,264.15,2032900,109.147
2015-06-17,265.05,270.55,265.05,266.85,2083400,110.263
2015-06-18,265.7,267.2,260.45,260.95,1901200,107.825
2015-06-19,264.65,267.6,262.25,266.2,3193100,109.994
2015-06-22,267.6,274.8,263.45,271.2,2945500,112.06
2015-06-23,273,279.5,272.75,277.6,2378400,114.704
2015-06-24,280.05,281.5,273,275.75,1720100,113.94
2015-06-25,274,275.45,270.5,272.8,3634200,112.721
2015-06-26,271.25,272.7,265.15,267.5,2241800,110.531
2015-06-29,262.1,263.7,255.25,258.4,2734100,106.771
2015-06-30,259.85,261.75,254.3,256,3751200,105.779
2015-07-01,258.7,261.6,256.1,259.25,2968900,107.122
2015-07-02,260.75,262.6,256.9,257.3,2177800,106.316
2015-07-03,258.05,262.75,258.05,261.3,1768200,107.969
2015-07-06,259,262.35,255.2,261.45,2672300,108.031
2015-07-07,262,264.35,257,257.9,3471300,106.564
2015-07-08,256,256.75,250,255.35,3514200,105.511
2015-07-09,255.35,258.85,253.5,257.05,1826700,106.213
2015-07-10,258.2,260.7,255.5,257.75,3156700,106.502
2015-07-13,258.7,262.95,258.7,262.1,2044900,108.3
2015-07-14,262.6,264.7,258.55,261.05,1819100,107.866
2015-07-15,262.85,263.65,258.15,259.3,1308000,107.143
2015-07-16,261,270.4,260,269.1,3169800,111.192
2015-07-17,269.8,270.7,265.2,266.05,1629200,109.932
2015-07-20,264.7,268.3,264.4,267.15,1567000,110.386
2015-07-21,268,270.5,256,257.5,1925700,106.399
2015-07-22,257.1,266.2,256.2,263.35,2091000,108.816
2015-07-23,263.1,264.5,259.1,260.1,2463600,107.473
2015-07-24,261.9,263,257.6,259.55,3135400,107.246
2015-07-27,258.05,259.55,251.7,254.25,5613300,105.056
2015-07-28,251.95,252.75,245,245.65,21056800,101.503
2015-07-29,246.2,246.9,239.7,243.75,9421200,100.718
2015-07-30,244.45,247.9,241.05,243.25,7923100,100.511
2015-07-31,245,246.9,241.15,246.15,4983000,101.709
2015-08-03,246.15,248.45,245.2,246.2,3784000,101.73
2015-08-04,247.4,251,245.25,250.4,4445300,103.465
2015-08-05,251.35,251.85,248,248.5,2880800,102.68
2015-08-06,248.95,250.9,247.5,249.05,3354000,102.908
2015-08-07,248.7,251.6,247,251,4616900,103.713
2015-08-10,251.65,253.25,244.5,246.35,3694500,101.792
2015-08-11,247.15,248.7,245.4,247.45,4044300,102.246
