"Date","PIDILITIND.NS.Open","PIDILITIND.NS.High","PIDILITIND.NS.Low","PIDILITIND.NS.Close","PIDILITIND.NS.Volume","PIDILITIND.NS.Adjusted"
2015-01-01,543.9,554.7,534.95,549.25,172600,542.3403
2015-01-02,558,569.7,558,559.9,467900,552.8564
2015-01-05,562.5,565.6,550,551.8,188900,544.8583
2015-01-06,551.9,552,525,526.6,409600,519.9753
2015-01-07,528.1,533.7,519,519.95,610600,513.409
2015-01-08,525,527.9,519.15,519.8,476000,513.2608
2015-01-09,528.7,528.7,518.05,522.25,1050700,515.68
2015-01-12,522.9,534,521.05,525.7,308500,519.0866
2015-01-13,525.15,544,525,538.55,556500,531.7749
2015-01-14,545.95,576.95,545,567.3,1544200,560.1633
2015-01-15,572.95,594.95,556,586.1,639600,578.7267
2015-01-16,586.65,607,572.65,575.85,1013800,568.6057
2015-01-19,580.85,590,575.1,577.65,342300,570.3831
2015-01-20,579.85,585,573.1,578.7,325100,571.4199
2015-01-21,581.45,590.2,577.95,585.65,554200,578.2825
2015-01-22,585.5,588.4,575,578.9,254400,571.6174
2015-01-23,581,585.8,566.5,569.8,472100,562.6318
2015-01-26,569.8,569.8,569.8,569.8,0,562.6318
2015-01-27,572,582,568,575.65,515100,568.4083
2015-01-28,580.8,583.45,570.1,575.1,540200,567.8651
2015-01-29,579,584.5,573,575.9,264300,568.6551
2015-01-30,579,583.5,566.5,570.7,349400,563.5205
2015-02-02,567.5,570.7,540.15,544.95,315000,538.0945
2015-02-03,544.95,546.95,536,540.85,349000,534.046
2015-02-04,545,553.75,534,538.45,208700,531.6762
2015-02-05,541,554.5,528,536.55,172700,529.8001
2015-02-06,533.8,544.5,530.7,534.3,224000,527.5784
2015-02-09,535,544.75,529,542.8,137600,535.9715
2015-02-10,542.8,556,538.05,551.45,430000,544.5127
2015-02-11,554.95,575.5,554.95,568.55,341100,561.3975
2015-02-12,574.05,585.5,570,578.1,321900,570.8274
2015-02-13,579.95,580.75,570,573.8,152700,566.5815
2015-02-16,587.85,587.85,575.15,579,141700,571.7161
2015-02-17,579,579,579,579,0,571.7161
2015-02-18,576,591.85,574.1,580.35,245600,573.0491
2015-02-19,582.95,589.7,577.15,581.75,98100,574.4315
2015-02-20,580.5,582.5,568,569.7,121600,562.5331
2015-02-23,573.7,575,560.55,566.55,110500,559.4227
2015-02-24,562.15,569,556.75,563.25,249500,556.1642
2015-02-25,565,570,551,552.5,140100,545.5495
2015-02-26,553.55,555.95,537.05,541.3,114300,534.4903
2015-02-27,542,556.95,542,554.95,105100,547.9687
2015-03-02,564,584.7,564,582.45,372100,575.1227
2015-03-03,583.95,601.7,579,599.55,428200,592.0076
2015-03-04,614,614,585.9,591.25,457300,583.812
2015-03-05,596.85,626.8,596.85,604.35,1181000,596.7472
