"Date","PNB.NS.Open","PNB.NS.High","PNB.NS.Low","PNB.NS.Close","PNB.NS.Volume","PNB.NS.Adjusted"
2015-01-01,218.25,221.9,218.2,219.65,3181000,214.23
2015-01-02,220,222,219.05,219.8,4451000,214.38
2015-01-05,221.45,222,216.25,217.75,3754700,212.38
2015-01-06,215,215.3,207.05,207.75,4896800,202.63
2015-01-07,207.2,208.5,199.6,203.85,5008200,198.82
2015-01-08,206.7,209.1,205.65,206.55,3214900,201.46
2015-01-09,209,209.45,203.45,206.6,3126100,201.5
2015-01-12,206.5,211.95,204.8,208.95,3567200,203.8
2015-01-13,209.3,211,206,207.35,2410900,202.24
2015-01-14,206.9,208.2,201.25,203.05,2935700,198.04
2015-01-15,212,213.85,207.15,210.05,5358100,204.87
2015-01-16,209.25,209.25,204.5,205.05,4167300,199.99
2015-01-19,205.45,208.5,205.45,207.85,2727600,202.72
2015-01-20,207.8,210.8,207.4,209.25,2995800,204.09
2015-01-21,209.3,217,208.6,216,6336900,210.67
2015-01-22,217,219,210.7,212.8,3802500,207.55
2015-01-23,215.95,216.9,206.7,207.15,5986700,202.04
2015-01-26,207.15,207.15,207.15,207.15,0,202.04
2015-01-27,208.95,209,202.6,204.65,4183200,199.6
2015-01-28,204,211,202.85,206.7,6508800,201.6
2015-01-29,206,207.3,198.3,199.1,8365100,194.19
2015-01-30,202,202.3,188,189.65,11653200,184.97
2015-02-02,190,193.5,187.95,191.8,5198700,187.07
2015-02-03,193,194.6,175.55,176.85,23151000,172.49
2015-02-04,177,179.8,173.45,177.1,6892000,172.73
2015-02-05,178.9,179.7,168.15,171.4,6474300,167.17
2015-02-06,170.6,175.65,168.3,170.45,6248600,166.25
2015-02-09,170,172.5,165.6,166.7,4991200,162.59
2015-02-10,165.5,172.9,164.25,166.2,7536800,162.1
2015-02-11,167.95,171.2,166.65,168.8,4871800,164.64
2015-02-12,169.4,170.4,165,166.15,5723400,162.05
2015-02-13,166.8,169.65,166.8,167.65,7293600,163.52
2015-02-16,169.1,169.95,166.15,166.65,3955400,162.54
2015-02-17,166.65,166.65,166.65,166.65,0,162.54
2015-02-18,168.95,170.9,167.2,167.95,6204400,163.81
2015-02-19,169.5,170.5,162.2,165.35,6211400,161.27
2015-02-20,166.2,169.9,163.75,167.2,7795300,163.08
2015-02-23,168.5,168.7,162.6,163.7,3782700,159.66
2015-02-24,164,164.4,160,161.35,5656000,157.37
2015-02-25,163.6,163.75,159.55,160.15,5538100,156.2
2015-02-26,161.45,161.6,158.45,159.55,8905900,155.61
2015-02-27,161.3,166.65,160.05,166.15,6938700,162.05
2015-03-02,167.7,168.7,164,165.75,4472100,161.66
2015-03-03,166.9,170.7,165,169.25,4831900,165.08
2015-03-04,180,180,163.05,164.4,10791300,160.35
2015-03-05,164.8,165.2,162.1,163.3,5662200,159.27
2015-03-06,163.3,163.3,163.3,163.3,0,159.27
2015-03-09,162,164.2,159.5,161.45,6243100,157.47
2015-03-10,161.8,164.2,161.2,163.4,4688500,159.37
2015-03-11,163.45,165,161.05,163.15,4486300,159.13
2015-03-12,164.8,167.1,164.55,166.15,3243100,162.05
2015-03-13,168.4,169.3,165.05,166.05,5387900,161.95
2015-03-16,166,168.45,164.65,167.45,2366000,163.32
2015-03-17,168.65,169.1,165.1,167.6,2220000,163.47
2015-03-18,168.4,170.5,167,168.55,3562600,164.39
2015-03-19,169.8,170,160.85,161.95,3507200,157.96
2015-03-20,161.55,163.8,159.35,162.85,4609400,158.83
