"Date","POWERGRID.NS.Open","POWERGRID.NS.High","POWERGRID.NS.Low","POWERGRID.NS.Close","POWERGRID.NS.Volume","POWERGRID.NS.Adjusted"
2015-01-01,138,138.2,136.9,137.1,438000,132.55
2015-01-02,137.15,139.35,137.15,138.75,2032200,134.14
2015-01-05,138.5,140.1,136.15,138.9,4101300,134.29
2015-01-06,138.05,138.3,134.15,135.8,4662500,131.29
2015-01-07,135,138.5,133.5,137.75,1831600,133.17
2015-01-08,138,138.9,136.25,138.35,1370500,133.75
2015-01-09,138.3,139.5,136.95,138.45,1169800,133.85
2015-01-12,137.6,139.2,135.5,136.5,2059200,131.97
2015-01-13,136.55,137.8,135.25,135.85,1603500,131.34
2015-01-14,135.8,136.9,134.8,136.05,2215600,131.53
2015-01-15,136.5,143.7,136.5,142.95,3614200,138.2
2015-01-16,142.8,148.95,140.8,147.35,4625100,142.46
2015-01-19,147.15,148.9,144.4,147.85,2859000,142.94
2015-01-20,149,150,146.8,147.4,3456600,142.5
2015-01-21,147.3,148.05,146.05,146.9,1611600,142.02
2015-01-22,147.1,151.4,146.65,148.35,3946900,143.42
2015-01-23,148.8,150,147.2,149.55,2559000,144.58
2015-01-26,149.55,149.55,149.55,149.55,0,144.58
2015-01-27,148.25,151,147.2,149.95,3402000,144.97
2015-01-28,150.45,151.7,149,149.45,3065000,144.49
2015-01-29,149.85,149.95,147.6,148.8,3894500,143.86
2015-01-30,148.5,150.5,146,148,1740400,143.08
2015-02-02,147.25,148.7,146,147.85,1365300,142.94
2015-02-03,148.9,149.4,146.5,147.2,742500,142.31
2015-02-04,147.5,149.25,145.9,146.25,979200,141.39
2015-02-05,146.25,146.9,142.7,143.65,1380000,138.88
2015-02-06,142.4,145,141.6,143.45,1362800,138.69
2015-02-09,143,143.45,140,141.45,1412400,136.75
2015-02-10,140.2,146.2,140,145.1,2240200,140.28
2015-02-11,146,148.85,145,145.75,3189700,140.91
2015-02-12,148.8,152,146.05,150.25,4374400,145.26
2015-02-13,151.75,152.7,149.35,151.5,4651900,146.47
2015-02-16,152,154.4,152,152.75,2131600,147.68
2015-02-17,152.75,152.75,152.75,152.75,0,147.68
2015-02-18,152.1,155,151.25,154.75,2269400,149.61
2015-02-19,154.8,155.05,151.15,154.3,1523200,149.17
2015-02-20,153.9,154.8,152.3,153.25,2579700,148.16
2015-02-23,153,157.5,152.5,155.9,3294900,150.72
2015-02-24,155.9,157.7,155.55,156.75,2129600,151.54
2015-02-25,157.6,157.75,152.6,154.55,2161400,149.42
2015-02-26,154.1,156.45,150.8,152.75,4144500,147.68
2015-02-27,152.95,157.5,152.1,157.1,2739400,151.88
2015-03-02,157.75,159,155.4,156.7,1849600,151.49
2015-03-03,156.2,156.4,154.15,155.55,2122500,150.38
2015-03-04,156.15,157.35,153.1,154.45,2771700,149.32
2015-03-05,154,156.15,151.6,155.15,1412900,150
2015-03-06,155.15,155.15,155.15,155.15,0,150
2015-03-09,153.3,154.35,149.7,150.25,1633600,145.91
2015-03-10,150.25,150.35,146.7,148.5,2253900,144.21
2015-03-11,149.4,150,147.45,147.9,1884500,143.63
2015-03-12,148.05,152.4,148.05,149.65,2269300,145.33
2015-03-13,150.25,150.4,146,146.6,2105600,142.36
2015-03-16,145.55,147.7,145.55,146.75,869900,142.51
2015-03-17,147.1,149,146.05,147.65,2412100,143.38
2015-03-18,147.5,148.25,145.9,146.65,1965000,142.41
2015-03-19,146.65,149.25,145,146.1,1485900,141.88
2015-03-20,146,149.85,144.6,148.2,2117000,143.92
2015-03-23,149.5,151.9,148.55,149.2,2390200,144.89
2015-03-24,149,150.85,147.5,147.95,2908600,143.67
2015-03-25,147.75,148.55,146.2,146.5,3379500,142.27
2015-03-26,146.9,149.5,144.05,145.1,6664800,140.91
2015-03-27,145.1,145.95,143.2,144.75,1957000,140.57
2015-03-30,145.05,145.6,143.6,145,2452200,140.81
2015-03-31,145.5,146.45,144.5,145.25,2698800,141.05
2015-04-01,145.1,146.85,145.1,146.45,1579500,142.22
2015-04-02,146.45,146.45,146.45,146.45,0,142.22
2015-04-03,146.45,146.45,146.45,146.45,0,142.22
