"Date","PTC.NS.Open","PTC.NS.High","PTC.NS.Low","PTC.NS.Close","PTC.NS.Volume","PTC.NS.Adjusted"
2015-01-01,94.05,96.15,93.7,95,1783600,88.64
2015-01-02,95.4,96.8,95.4,95.95,2092500,89.53
2015-01-05,96.25,97.5,95.6,96.1,1686200,89.67
2015-01-06,95.5,95.5,91.65,92.25,1647500,86.07
2015-01-07,92.35,92.9,89.7,91.3,1370200,85.19
2015-01-08,92.1,94.7,92.1,93.85,1491200,87.57
2015-01-09,95,95.65,92.9,93.9,1840500,87.61
2015-01-12,95.55,95.55,93.6,93.95,1643200,87.66
2015-01-13,93.85,94.65,92,92.25,1215700,86.07
2015-01-14,92.1,93.2,91.05,91.4,1268900,85.28
2015-01-15,92.55,94.4,91.9,93.65,1783500,87.38
2015-01-16,93.8,95.2,92.7,94.8,2058300,88.45
2015-01-19,94.4,95.25,93.35,93.8,992500,87.52
2015-01-20,93.8,94.5,93,93.45,796700,87.19
2015-01-21,93.55,94.1,92.2,92.5,884400,86.31
2015-01-22,92.9,93.05,91.1,92.4,1039800,86.21
2015-01-23,93.4,95.2,91.1,94.5,3248000,88.17
2015-01-26,94.5,94.5,94.5,94.5,0,88.17
2015-01-27,95.35,99.8,95.1,99.1,5615200,92.46
2015-01-28,99.95,100.8,97,97.9,3031400,91.34
2015-01-29,97.5,100.05,95.9,99.3,8653700,92.65
2015-01-30,99.85,101.9,98,99.9,2867000,93.21
2015-02-02,99.9,102,99.4,100.1,2055700,93.4
2015-02-03,100.35,100.6,97.5,97.8,2919900,91.25
2015-02-04,98.25,98.55,96,96.8,1270200,90.32
2015-02-05,96.4,96.4,92.55,93.85,2603000,87.57
2015-02-06,88,89.8,83.65,88.85,10465200,82.9
2015-02-09,87.05,87.8,82,82.65,2676400,77.12
2015-02-10,83,85.25,79.05,83.1,2518700,77.54
2015-02-11,84,85.6,82.6,84.65,1924900,78.98
2015-02-12,85.6,86.1,84.05,84.45,1484300,78.8
2015-02-13,85.7,85.9,83.5,83.75,1145900,78.14
2015-02-16,83.65,85.15,83.2,84.55,1030000,78.89
2015-02-17,84.55,84.55,84.55,84.55,0,78.89
2015-02-18,85,87.15,83.85,86.85,1577800,81.03
2015-02-19,87.25,87.75,85.1,86.95,1201400,81.13
2015-02-20,87,87.45,85.25,86.15,1578300,80.38
2015-02-23,87,90.4,86.6,87.35,3775700,81.5
2015-02-24,87.9,87.9,84.65,85.55,2002500,79.82
2015-02-25,87,88.3,86.4,87.2,2213800,81.36
2015-02-26,87.3,87.7,85.85,86.2,2101400,80.43
2015-02-27,86.55,88.9,86.3,88.4,1191300,82.48
2015-03-02,87.25,88.95,86,88.45,2084400,82.53
2015-03-03,88.45,90.8,87.9,89.45,1491200,83.46
2015-03-04,90.2,90.55,85.2,85.8,1189100,80.06
2015-03-05,85.5,86.95,84.75,85.8,1189600,80.06
2015-03-06,85.8,85.8,85.8,85.8,0,80.06
2015-03-09,85.65,85.65,83.85,84.2,549300,78.56
2015-03-10,84,84.4,82.8,82.95,946800,77.4
2015-03-11,82.5,83.35,80.75,81.25,1417400,75.81
2015-03-12,82,83,81.6,82.8,917700,77.26
2015-03-13,83.05,84.2,79.5,79.8,1603200,74.46
2015-03-16,79.55,81.05,79.3,79.7,979300,74.36
2015-03-17,80.2,82.05,80.1,81.1,1145200,75.67
2015-03-18,81,82,80.1,81.55,801100,76.09
2015-03-19,82.5,82.6,80.85,81.1,1015500,75.67
2015-03-20,81,81.2,78.6,78.95,2108000,73.66
2015-03-23,79.7,79.7,76.1,76.75,1118200,71.61
2015-03-24,76.65,77.6,75.65,76,928700,70.91
2015-03-25,75.7,76.4,74.9,75.15,929800,70.12
2015-03-26,75,76.1,73.75,74.2,1479200,69.23
2015-03-27,74.5,75.25,71.7,73.7,989300,68.77
2015-03-30,74,80.9,73.85,79.15,2578600,73.85
2015-03-31,79.6,82.4,77,80.9,2271400,75.48
2015-04-01,79.5,80.75,78.4,79.45,1005400,74.13
2015-04-02,79.45,79.45,79.45,79.45,0,74.13
2015-04-03,79.45,79.45,79.45,79.45,0,74.13
2015-04-06,79.95,79.95,78.1,78.7,695600,73.43
2015-04-07,78.95,80.3,78.05,78.7,1145000,73.43
2015-04-08,78.7,80.4,78.7,78.95,1568500,73.66
2015-04-09,79.95,80,77.7,78.2,1624900,72.96
2015-04-10,78.5,80,78.15,78.95,1115200,73.66
2015-04-13,79.45,81.9,79,80.75,1983400,75.34
2015-04-14,80.75,80.75,80.75,80.75,0,75.34
2015-04-15,81.3,81.9,79.45,80.1,1832600,74.74
2015-04-16,80.5,80.5,78.4,78.9,576500,73.62
2015-04-17,78.9,80,78.05,78.35,971700,73.1
2015-04-20,78.15,78.6,73.3,74.35,1245800,69.37
2015-04-21,73.9,75.8,73.1,74.3,1124700,69.33
2015-04-22,74.9,75.5,72.95,75.25,1207500,70.21
2015-04-23,75.45,76,74.1,74.8,787800,69.79
2015-04-24,75.2,75.2,73.4,74.1,966600,69.14
2015-04-27,74.1,74.3,71.1,71.45,1218800,66.67
2015-04-28,71,73.05,70.25,72.55,1506000,67.69
2015-04-29,72.85,73.05,71.1,71.65,1539700,66.85
2015-04-30,71.5,72.9,70.75,72.35,7592000,67.51
2015-05-01,72.35,72.35,72.35,72.35,0,67.51
2015-05-04,71.9,73.15,71.25,72.6,1726500,67.74
2015-05-05,72.55,72.9,71.45,71.8,1341500,66.99
2015-05-06,71.8,72,68.65,68.95,1600300,64.33
2015-05-07,68.7,68.7,66,67.15,1615100,62.65
2015-05-08,67.8,68.95,67.6,68.4,732600,63.82
