"Date","PVR.NS.Open","PVR.NS.High","PVR.NS.Low","PVR.NS.Close","PVR.NS.Volume","PVR.NS.Adjusted"
2015-01-01,705.5,705.5,691,694.4,13200,692.37
2015-01-02,698.8,705.05,694.45,703.15,19900,701.1
2015-01-05,707,713.75,698.05,710.95,23700,708.87
2015-01-06,706,710,693.5,699.45,15900,697.41
2015-01-07,687.6,719,687.6,711.5,21200,709.42
2015-01-08,708.95,727,702.55,719.25,18900,717.15
2015-01-09,715,735.9,707.85,718.35,38900,716.25
2015-01-12,729,750,728.95,737.1,112800,734.95
2015-01-13,743.5,743.5,714.95,719.15,23000,717.05
2015-01-14,721,729,711.45,715.45,21100,713.36
2015-01-15,720.05,722.95,706.2,709.45,13000,707.38
2015-01-16,713.25,716,708,711.45,15800,709.37
2015-01-19,712.4,722,701.45,706,27900,703.94
2015-01-20,709,712,702,703.55,86000,701.5
2015-01-21,700.05,709.65,694.1,697.65,17300,695.61
2015-01-22,695,712.95,692,697.95,23600,695.91
2015-01-23,701,701.7,681.15,687.5,163000,685.49
2015-01-26,687.5,687.5,687.5,687.5,0,685.49
2015-01-27,689,708.6,678.1,682.55,25900,680.56
2015-01-28,683,690.95,672.05,675.9,183000,673.93
2015-01-29,678,680.05,664.3,674.25,34400,672.28
2015-01-30,694,704.95,646.85,680.2,601400,678.21
2015-02-02,684.9,692,678,682.1,58400,680.11
2015-02-03,684.9,697,682.15,689.9,52100,687.89
2015-02-04,690.05,697.95,688.15,690,31300,687.98
2015-02-05,687,704.8,675.5,679,42500,677.02
2015-02-06,682,692.6,676,687.25,40200,685.24
2015-02-09,685,694.8,675,681.6,34100,679.61
2015-02-10,670,693.95,668,677.1,24500,675.12
2015-02-11,684.7,694.95,680,683.4,24800,681.4
2015-02-12,686.05,693.5,683,685,16900,683
2015-02-13,691.85,740,689.1,718,194100,715.9
2015-02-16,717.05,729,701.65,706.8,48200,704.74
2015-02-17,706.8,706.8,706.8,706.8,0,704.74
2015-02-18,705,715.95,701,713.3,25800,711.22
2015-02-19,716,721,676.65,709.4,99700,707.33
2015-02-20,713.9,720,696.05,700.8,64300,698.75
2015-02-23,702.9,710,682.65,689.3,40300,687.29
2015-02-24,692,698.95,680,681.2,23800,679.21
2015-02-25,684,688,607.3,673.15,20600,671.18
2015-02-26,675,682.5,670,671.4,13200,669.44
2015-02-27,674,685,668,673.05,15100,671.08
2015-03-02,665,680,665,668.2,33600,666.25
2015-03-03,670,713.8,670,703.5,71100,701.45
2015-03-04,703.65,711,694,698.5,31000,696.46
2015-03-05,700,707.9,692,695.25,14800,693.22
2015-03-06,695.25,695.25,695.25,695.25,0,693.22
2015-03-09,695,711,670,688.65,83600,686.64
2015-03-10,690,711,690,706.45,90200,704.39
2015-03-11,708.95,710,693.05,702.85,41500,700.8
2015-03-12,700,705.7,692.9,700.55,10100,698.5
2015-03-13,703,706,689.05,691.4,125800,689.38
2015-03-16,689,693.85,678.8,681.35,10500,679.36
2015-03-17,689.9,698,686.95,692.05,18600,690.03
2015-03-18,695,700,691,696.9,8800,694.86
2015-03-19,709,712,701.2,706.35,80800,704.29
2015-03-20,704.95,707.9,645.2,675.7,89700,673.73
2015-03-23,680,710,674,692.7,41900,690.68
2015-03-24,693,704.95,682,691.65,19200,689.63
2015-03-25,692.5,696,676.1,684.15,148400,682.15
2015-03-26,677.05,697.7,670,673.75,16000,671.78
2015-03-27,676,684.95,661,669.65,20500,667.69
2015-03-30,664.95,684.95,664.95,671.5,12900,669.54
2015-03-31,684.9,684.9,657.1,662.9,26200,660.96
2015-04-01,664,674.95,662,668.7,27400,666.75
2015-04-02,668.7,668.7,668.7,668.7,0,666.75
2015-04-03,668.7,668.7,668.7,668.7,0,666.75
2015-04-06,680,680,664,672.25,19100,670.29
2015-04-07,672.9,679.85,655.1,669,61500,667.05
2015-04-08,659,675.7,656,668.45,41600,666.5
2015-04-09,673.95,682,668,673.65,115800,671.68
2015-04-10,681.5,681.5,666.65,668.85,68100,666.9
2015-04-13,679.8,679.8,661.7,666.9,19000,664.95
2015-04-14,666.9,666.9,666.9,666.9,0,664.95
2015-04-15,675,675,663,666,16200,664.05
2015-04-16,670,670,654,656.95,10100,655.03
2015-04-17,650,665,650,659.45,12200,657.52
2015-04-20,650.15,660,645,649.25,8800,647.35
2015-04-21,650.95,650.95,618,622.05,36300,620.23
2015-04-22,623.9,633.15,621.3,625.55,95300,623.72
2015-04-23,630.1,636,620,622.05,39700,620.23
